,0
0,D7
1,D7
2,D7
3,D7
4,D7
5,D7
6,D7
7,D7
8,D7
9,D7
10,D7
11,D7
12,D7
13,D7
14,D7
15,D7
16,D7
17,D7
18,D7
19,D7
20,D7
21,D7
22,D7
23,D7
24,D7
25,D7
26,D7
27,D7
28,D7
29,D7
30,D7
31,D7
32,D7
33,D7
34,D7
35,D7
36,D7
37,D7
38,D7
39,D7
40,D7
41,D7
42,D7
43,D7
44,D7
45,D7
46,D7
47,D7
48,G
49,G
50,G
51,G
52,G
53,G
54,G
55,G
56,G
57,G
58,G
59,G
60,G
61,G
62,G
63,G
64,G
65,G
66,G
67,G
68,G
69,G
70,G
71,G
72,G
73,G
74,G
75,G
76,G
77,G
78,G
79,G
80,G
81,G
82,G
83,G
84,G
85,G
86,G
87,G
88,G
89,G
90,G
91,G
92,G
93,G
94,G
95,G
96,Am
97,Am
98,Am
99,Am
100,Am
101,Am
102,Am
103,Am
104,Am
105,Am
106,Am
107,Am
108,Am
109,Am
110,Am
111,Am
112,Am
113,Am
114,Am
115,Am
116,Am
117,Am
118,Am
119,Am
120,D7
121,D7
122,D7
123,D7
124,D7
125,D7
126,D7
127,D7
128,D7
129,D7
130,D7
131,D7
132,D7
133,D7
134,D7
135,D7
136,D7
137,D7
138,D7
139,D7
140,D7
141,D7
142,D7
143,D7
144,Bm
145,Bm
146,Bm
147,Bm
148,Bm
149,Bm
150,Bm
151,Bm
152,Bm
153,Bm
154,Bm
155,Bm
156,Bm
157,Bm
158,Bm
159,Bm
160,Bm
161,Bm
162,Bm
163,Bm
164,Bm
165,Bm
166,Bm
167,Bm
168,E7
169,E7
170,E7
171,E7
172,E7
173,E7
174,E7
175,E7
176,E7
177,E7
178,E7
179,E7
180,E7
181,E7
182,E7
183,E7
184,E7
185,E7
186,E7
187,E7
188,E7
189,E7
190,E7
191,E7
192,Am
193,Am
194,Am
195,Am
196,Am
197,Am
198,Am
199,Am
200,Am
201,Am
202,Am
203,Am
204,Am
205,Am
206,Am
207,Am
208,Am
209,Am
210,Am
211,Am
212,Am
213,Am
214,Am
215,Am
216,D7
217,D7
218,D7
219,D7
220,D7
221,D7
222,D7
223,D7
224,D7
225,D7
226,D7
227,D7
228,D7
229,D7
230,D7
231,D7
232,D7
233,D7
234,D7
235,D7
236,D7
237,D7
238,D7
239,D7
240,G7
241,G7
242,G7
243,G7
244,G7
245,G7
246,G7
247,G7
248,G7
249,G7
250,G7
251,G7
252,G7
253,G7
254,G7
255,G7
256,G7
257,G7
258,G7
259,G7
260,G7
261,G7
262,G7
263,G7
264,G7
265,G7
266,G7
267,G7
268,G7
269,G7
270,G7
271,G7
272,G7
273,G7
274,G7
275,G7
276,G7
277,G7
278,G7
279,G7
280,G7
281,G7
282,G7
283,G7
284,G7
285,G7
286,G7
287,G7
288,C7
289,C7
290,C7
291,C7
292,C7
293,C7
294,C7
295,C7
296,C7
297,C7
298,C7
299,C7
300,C7
301,C7
302,C7
303,C7
304,C7
305,C7
306,C7
307,C7
308,C7
309,C7
310,C7
311,C7
312,C7
313,C7
314,C7
315,C7
316,C7
317,C7
318,C7
319,C7
320,C7
321,C7
322,C7
323,C7
324,C7
325,C7
326,C7
327,C7
328,C7
329,C7
330,C7
331,C7
332,C7
333,C7
334,C7
335,C7
336,Bm
337,Bm
338,Bm
339,Bm
340,Bm
341,Bm
342,Bm
343,Bm
344,Bm
345,Bm
346,Bm
347,Bm
348,Bm
349,Bm
350,Bm
351,Bm
