,0
0,G7
1,G7
2,G7
3,G7
4,G7
5,G7
6,G7
7,G7
8,G7
9,G7
10,G7
11,G7
12,G7
13,G7
14,G7
15,G7
16,G7
17,G7
18,G7
19,G7
20,G7
21,G7
22,G7
23,G7
24,G7
25,G7
26,G7
27,G7
28,G7
29,G7
30,G7
31,G7
32,G7
33,G7
34,G7
35,G7
36,G7
37,G7
38,G7
39,G7
40,G7
41,G7
42,G7
43,G7
44,G7
45,G7
46,G7
47,G7
48,Am
49,Am
50,Am
51,Am
52,Am
53,Am
54,Am
55,Am
56,Am
57,Am
58,Am
59,Am
60,Am
61,Am
62,Am
63,Am
64,Am
65,Am
66,Am
67,Am
68,Am
69,Am
70,Am
71,Am
72,B-dim
73,B-dim
74,B-dim
75,B-dim
76,B-dim
77,B-dim
78,B-dim
79,B-dim
80,B-dim
81,B-dim
82,B-dim
83,B-dim
84,B-dim
85,B-dim
86,B-dim
87,B-dim
88,B-dim
89,B-dim
90,B-dim
91,B-dim
92,B-dim
93,B-dim
94,B-dim
95,B-dim
96,G7
97,G7
98,G7
99,G7
100,G7
101,G7
102,G7
103,G7
104,G7
105,G7
106,G7
107,G7
108,G7
109,G7
110,G7
111,G7
112,G7
113,G7
114,G7
115,G7
116,G7
117,G7
118,G7
119,G7
120,G7
121,G7
122,G7
123,G7
124,G7
125,G7
126,G7
127,G7
128,G7
129,G7
130,G7
131,G7
132,G7
133,G7
134,G7
135,G7
136,G7
137,G7
138,G7
139,G7
140,G7
141,G7
142,G7
143,G7
144,Dm
145,Dm
146,Dm
147,Dm
148,Dm
149,Dm
150,Dm
151,Dm
152,Dm
153,Dm
154,Dm
155,Dm
156,Dm
157,Dm
158,Dm
159,Dm
160,Dm
161,Dm
162,Dm
163,Dm
164,Dm
165,Dm
166,Dm
167,Dm
168,G7
169,G7
170,G7
171,G7
172,G7
173,G7
174,G7
175,G7
176,G7
177,G7
178,G7
179,G7
180,G7
181,G7
182,G7
183,G7
184,G7
185,G7
186,G7
187,G7
188,G7
189,G7
190,G7
191,G7
192,C7
193,C7
194,C7
195,C7
196,C7
197,C7
198,C7
199,C7
200,C7
201,C7
202,C7
203,C7
204,C7
205,C7
206,C7
207,C7
208,C7
209,C7
210,C7
211,C7
212,C7
213,C7
214,C7
215,C7
216,C7
217,C7
218,C7
219,C7
220,C7
221,C7
222,C7
223,C7
224,C7
225,C7
226,C7
227,C7
228,C7
229,C7
230,C7
231,C7
232,C7
233,C7
234,C7
235,C7
236,C7
237,C7
238,C7
239,C7
240,C7
241,C7
242,C7
243,C7
244,C7
245,C7
246,C7
247,C7
248,C7
249,C7
250,C7
251,C7
252,C7
253,C7
254,C7
255,C7
256,C7
257,C7
258,C7
259,C7
260,C7
261,C7
262,C7
263,C7
264,C7
265,C7
266,C7
267,C7
268,C7
269,C7
270,C7
271,C7
272,C7
273,C7
274,C7
275,C7
276,C7
277,C7
278,C7
279,C7
280,C7
281,C7
282,C7
283,C7
284,C7
285,C7
286,C7
287,C7
288,G7
289,G7
290,G7
291,G7
292,G7
293,G7
294,G7
295,G7
296,G7
297,G7
298,G7
299,G7
300,G7
301,G7
302,G7
303,G7
304,G7
305,G7
306,G7
307,G7
308,G7
309,G7
310,G7
311,G7
312,G7
313,G7
314,G7
315,G7
316,G7
317,G7
318,G7
319,G7
320,G7
321,G7
322,G7
323,G7
324,G7
325,G7
326,G7
327,G7
328,G7
329,G7
330,G7
331,G7
332,G7
333,G7
334,G7
335,G7
336,Bm
337,Bm
338,Bm
339,Bm
340,Bm
341,Bm
342,Bm
343,Bm
344,Bm
345,Bm
346,Bm
347,Bm
348,Bm
349,Bm
350,Bm
351,Bm
352,Bm
353,Bm
354,Bm
355,Bm
356,Bm
357,Bm
358,Bm
359,Bm
360,E7
361,E7
362,E7
363,E7
364,E7
365,E7
366,E7
367,E7
368,E7
369,E7
370,E7
371,E7
372,E7
373,E7
374,E7
375,E7
376,E7
377,E7
378,E7
379,E7
380,E7
381,E7
382,E7
383,E7
384,Am
385,Am
386,Am
387,Am
388,Am
389,Am
390,Am
391,Am
392,Am
393,Am
394,Am
395,Am
396,Am
397,Am
398,Am
399,Am
400,Am
401,Am
402,Am
403,Am
404,Am
405,Am
406,Am
407,Am
408,Am
409,Am
410,Am
411,Am
412,Am
413,Am
414,Am
415,Am
416,Am
417,Am
418,Am
419,Am
420,Am
421,Am
422,Am
423,Am
424,Am
425,Am
426,Am
427,Am
428,Am
429,Am
430,Am
431,Am
432,D7
433,D7
434,D7
435,D7
436,D7
437,D7
438,D7
439,D7
440,D7
441,D7
442,D7
443,D7
444,D7
445,D7
446,D7
447,D7
448,D7
449,D7
450,D7
451,D7
452,D7
453,D7
454,D7
455,D7
456,D7
457,D7
458,D7
459,D7
460,D7
461,D7
462,D7
463,D7
464,D7
465,D7
466,D7
467,D7
468,D7
469,D7
470,D7
471,D7
472,D7
473,D7
474,D7
475,D7
476,D7
477,D7
478,D7
479,D7
480,G7
481,G7
482,G7
483,G7
484,G7
485,G7
486,G7
487,G7
488,G7
489,G7
490,G7
491,G7
492,G7
493,G7
494,G7
495,G7
