,0
0,C
1,C
2,C
3,C
4,C
5,C
6,C
7,C
8,C
9,C
10,C
11,C
12,C
13,C
14,C
15,C
16,C
17,C
18,C
19,C
20,C
21,C
22,C
23,C
24,C
25,C
26,C
27,C
28,C
29,C
30,C
31,C
32,C
33,C
34,C
35,C
36,C
37,C
38,C
39,C
40,C
41,C
42,C
43,C
44,C
45,C
46,C
47,C
48,Dm
49,Dm
50,Dm
51,Dm
52,Dm
53,Dm
54,Dm
55,Dm
56,Dm
57,Dm
58,Dm
59,Dm
60,Dm
61,Dm
62,Dm
63,Dm
64,Dm
65,Dm
66,Dm
67,Dm
68,Dm
69,Dm
70,Dm
71,Dm
72,G7
73,G7
74,G7
75,G7
76,G7
77,G7
78,G7
79,G7
80,G7
81,G7
82,G7
83,G7
84,G7
85,G7
86,G7
87,G7
88,G7
89,G7
90,G7
91,G7
92,G7
93,G7
94,G7
95,G7
96,C7
97,C7
98,C7
99,C7
100,C7
101,C7
102,C7
103,C7
104,C7
105,C7
106,C7
107,C7
108,C7
109,C7
110,C7
111,C7
112,C7
113,C7
114,C7
115,C7
116,C7
117,C7
118,C7
119,C7
120,C7
121,C7
122,C7
123,C7
124,C7
125,C7
126,C7
127,C7
128,C7
129,C7
130,C7
131,C7
132,C7
133,C7
134,C7
135,C7
136,C7
137,C7
138,C7
139,C7
140,C7
141,C7
142,C7
143,C7
144,Gm
145,Gm
146,Gm
147,Gm
148,Gm
149,Gm
150,Gm
151,Gm
152,Gm
153,Gm
154,Gm
155,Gm
156,Gm
157,Gm
158,Gm
159,Gm
160,Gm
161,Gm
162,Gm
163,Gm
164,Gm
165,Gm
166,Gm
167,Gm
168,C7
169,C7
170,C7
171,C7
172,C7
173,C7
174,C7
175,C7
176,C7
177,C7
178,C7
179,C7
180,C7
181,C7
182,C7
183,C7
184,C7
185,C7
186,C7
187,C7
188,C7
189,C7
190,C7
191,C7
192,F7
193,F7
194,F7
195,F7
196,F7
197,F7
198,F7
199,F7
200,F7
201,F7
202,F7
203,F7
204,F7
205,F7
206,F7
207,F7
208,F7
209,F7
210,F7
211,F7
212,F7
213,F7
214,F7
215,F7
216,F7
217,F7
218,F7
219,F7
220,F7
221,F7
222,F7
223,F7
224,F7
225,F7
226,F7
227,F7
228,F7
229,F7
230,F7
231,F7
232,F7
233,F7
234,F7
235,F7
236,F7
237,F7
238,F7
239,F7
240,F7
241,F7
242,F7
243,F7
244,F7
245,F7
246,F7
247,F7
248,F7
249,F7
250,F7
251,F7
252,F7
253,F7
254,F7
255,F7
256,F7
257,F7
258,F7
259,F7
260,F7
261,F7
262,F7
263,F7
264,F7
265,F7
266,F7
267,F7
268,F7
269,F7
270,F7
271,F7
272,F7
273,F7
274,F7
275,F7
276,F7
277,F7
278,F7
279,F7
280,F7
281,F7
282,F7
283,F7
284,F7
