,0
0,C#
1,C#
2,C#
3,C#
4,C#
5,C#
6,C#
7,C#
8,C#
9,C#
10,C#
11,C#
12,C#
13,C#
14,C#
15,C#
16,C#
17,C#
18,C#
19,C#
20,C#
21,C#
22,C#
23,C#
24,C#
25,C#
26,C#
27,C#
28,C#
29,C#
30,C#
31,C#
32,C#
33,C#
34,C#
35,C#
36,C#
37,C#
38,C#
39,C#
40,C#
41,C#
42,C#
43,C#
44,C#
45,C#
46,C#
47,C#
48,C#
49,C#
50,C#
51,C#
52,C#
53,C#
54,C#
55,C#
56,C#
57,C#
58,C#
59,C#
60,C#
61,C#
62,C#
63,C#
64,C#
65,C#
66,C#
67,C#
68,C#
69,C#
70,C#
71,C#
72,C#
73,C#
74,C#
75,C#
76,C#
77,C#
78,C#
79,C#
80,C#
81,C#
82,C#
83,C#
84,C#
85,C#
86,C#
87,C#
88,C#
89,C#
90,C#
91,C#
92,C#
93,C#
94,C#
95,C#
96,Cm
97,Cm
98,Cm
99,Cm
100,Cm
101,Cm
102,Cm
103,Cm
104,Cm
105,Cm
106,Cm
107,Cm
108,Cm
109,Cm
110,Cm
111,Cm
112,Cm
113,Cm
114,Cm
115,Cm
116,Cm
117,Cm
118,Cm
119,Cm
120,Cm
121,Cm
122,Cm
123,Cm
124,Cm
125,Cm
126,Cm
127,Cm
128,Cm
129,Cm
130,Cm
131,Cm
132,Cm
133,Cm
134,Cm
135,Cm
136,Cm
137,Cm
138,Cm
139,Cm
140,Cm
141,Cm
142,Cm
143,Cm
144,F7
145,F7
146,F7
147,F7
148,F7
149,F7
150,F7
151,F7
152,F7
153,F7
154,F7
155,F7
156,F7
157,F7
158,F7
159,F7
160,F7
161,F7
162,F7
163,F7
164,F7
165,F7
166,F7
167,F7
168,F7
169,F7
170,F7
171,F7
172,F7
173,F7
174,F7
175,F7
176,F7
177,F7
178,F7
179,F7
180,F7
181,F7
182,F7
183,F7
184,F7
185,F7
186,F7
187,F7
188,F7
189,F7
190,F7
191,F7
192,B-m
193,B-m
194,B-m
195,B-m
196,B-m
197,B-m
198,B-m
199,B-m
200,B-m
201,B-m
202,B-m
203,B-m
204,B-m
205,B-m
206,B-m
207,B-m
208,B-m
209,B-m
210,B-m
211,B-m
212,B-m
213,B-m
214,B-m
215,B-m
216,B-m
217,B-m
218,B-m
219,B-m
220,B-m
221,B-m
222,B-m
223,B-m
224,B-m
225,B-m
226,B-m
227,B-m
228,B-m
229,B-m
230,B-m
231,B-m
232,B-m
233,B-m
234,B-m
235,B-m
236,B-m
237,B-m
238,B-m
239,B-m
240,B-m
241,B-m
242,B-m
243,B-m
244,B-m
245,B-m
246,B-m
247,B-m
248,B-m
249,B-m
250,B-m
251,B-m
252,B-m
253,B-m
254,B-m
255,B-m
256,B-m
257,B-m
258,B-m
259,B-m
260,B-m
