,0
0,F
1,F
2,F
3,F
4,F
5,F
6,F
7,F
8,F
9,F
10,F
11,F
12,F
13,F
14,F
15,F
16,F
17,F
18,F
19,F
20,F
21,F
22,F
23,F
24,F
25,F
26,F
27,F
28,F
29,F
30,F
31,F
32,F
33,F
34,F
35,F
36,F
37,F
38,F
39,F
40,F
41,F
42,F
43,F
44,F
45,F
46,F
47,F
48,F
49,F
50,F
51,F
52,F
53,F
54,F
55,F
56,F
57,F
58,F
59,F
60,F
61,F
62,F
63,F
64,F
65,F
66,F
67,F
68,F
69,F
70,F
71,F
72,F
73,F
74,F
75,F
76,F
77,F
78,F
79,F
80,F
81,F
82,F
83,F
84,F
85,F
86,F
87,F
88,F
89,F
90,F
91,F
92,F
93,F
94,F
95,F
96,Em
97,Em
98,Em
99,Em
100,Em
101,Em
102,Em
103,Em
104,Em
105,Em
106,Em
107,Em
108,Em
109,Em
110,Em
111,Em
112,Em
113,Em
114,Em
115,Em
116,Em
117,Em
118,Em
119,Em
120,Em
121,Em
122,Em
123,Em
124,Em
125,Em
126,Em
127,Em
128,Em
129,Em
130,Em
131,Em
132,Em
133,Em
134,Em
135,Em
136,Em
137,Em
138,Em
139,Em
140,Em
141,Em
142,Em
143,Em
144,A7
145,A7
146,A7
147,A7
148,A7
149,A7
150,A7
151,A7
152,A7
153,A7
154,A7
155,A7
156,A7
157,A7
158,A7
159,A7
160,A7
161,A7
162,A7
163,A7
164,A7
165,A7
166,A7
167,A7
168,A7
169,A7
170,A7
171,A7
172,A7
173,A7
174,A7
175,A7
176,A7
177,A7
178,A7
179,A7
180,A7
181,A7
182,A7
183,A7
184,A7
185,A7
186,A7
187,A7
188,A7
189,A7
190,A7
191,A7
192,Dm
193,Dm
194,Dm
195,Dm
196,Dm
197,Dm
198,Dm
199,Dm
200,Dm
201,Dm
202,Dm
203,Dm
204,Dm
205,Dm
206,Dm
207,Dm
208,Dm
209,Dm
210,Dm
211,Dm
212,Dm
213,Dm
214,Dm
215,Dm
216,Dm
217,Dm
218,Dm
219,Dm
220,Dm
221,Dm
222,Dm
223,Dm
224,Dm
225,Dm
226,Dm
227,Dm
228,Dm
229,Dm
230,Dm
231,Dm
232,Dm
233,Dm
234,Dm
235,Dm
236,Dm
237,Dm
238,Dm
239,Dm
240,Dm
241,Dm
242,Dm
243,Dm
244,Dm
245,Dm
246,Dm
247,Dm
248,Dm
249,Dm
250,Dm
251,Dm
252,Dm
253,Dm
254,Dm
255,Dm
256,Dm
257,Dm
258,Dm
259,Dm
260,Dm
261,Dm
262,Dm
263,Dm
264,Dm
265,Dm
266,Dm
267,Dm
268,Dm
269,Dm
270,Dm
271,Dm
272,Dm
273,Dm
274,Dm
275,Dm
276,Dm
277,Dm
278,Dm
279,Dm
280,Dm
281,Dm
282,Dm
283,Dm
284,Dm
285,Dm
286,Dm
287,Dm
288,Ddim
289,Ddim
290,Ddim
291,Ddim
292,Ddim
293,Ddim
294,Ddim
295,Ddim
296,Ddim
297,Ddim
298,Ddim
299,Ddim
300,Ddim
301,Ddim
302,Ddim
303,Ddim
304,Ddim
305,Ddim
306,Ddim
307,Ddim
308,Ddim
309,Ddim
310,Ddim
311,Ddim
312,Ddim
313,Ddim
314,Ddim
315,Ddim
316,Ddim
317,Ddim
318,Ddim
319,Ddim
320,Ddim
321,Ddim
322,Ddim
323,Ddim
324,Ddim
325,Ddim
326,Ddim
327,Ddim
328,Ddim
329,Ddim
330,Ddim
331,Ddim
332,Ddim
333,Ddim
334,Ddim
335,Ddim
336,Ddim
337,Ddim
338,Ddim
339,Ddim
340,Ddim
341,Ddim
342,Ddim
343,Ddim
344,Ddim
345,Ddim
346,Ddim
347,Ddim
348,Ddim
349,Ddim
350,Ddim
351,Ddim
352,Ddim
353,Ddim
354,Ddim
355,Ddim
356,Ddim
357,Ddim
358,Ddim
359,Ddim
360,Ddim
361,Ddim
362,Ddim
363,Ddim
364,Ddim
365,Ddim
366,Ddim
367,Ddim
368,Ddim
369,Ddim
370,Ddim
371,Ddim
372,Ddim
373,Ddim
374,Ddim
375,Ddim
376,Ddim
377,Ddim
378,Ddim
379,Ddim
380,Ddim
381,Ddim
382,Ddim
383,Ddim
384,F
385,F
386,F
387,F
388,F
389,F
390,F
391,F
392,F
393,F
394,F
395,F
396,F
397,F
398,F
399,F
400,F
401,F
402,F
403,F
404,F
405,F
406,F
407,F
408,F
409,F
410,F
411,F
412,F
413,F
414,F
415,F
416,F
417,F
418,F
419,F
420,F
421,F
422,F
423,F
424,F
425,F
426,F
427,F
428,F
429,F
430,F
431,F
432,F
433,F
434,F
435,F
436,F
437,F
438,F
439,F
440,F
441,F
442,F
443,F
444,F
445,F
446,F
447,F
448,F
449,F
450,F
451,F
452,F
453,F
454,F
455,F
456,F
457,F
458,F
459,F
460,F
461,F
462,F
463,F
464,F
465,F
466,F
467,F
468,F
469,F
470,F
471,F
472,F
473,F
474,F
475,F
476,F
477,F
478,F
479,F
480,Gm
481,Gm
482,Gm
483,Gm
484,Gm
485,Gm
486,Gm
487,Gm
488,Gm
489,Gm
490,Gm
491,Gm
492,Gm
493,Gm
494,Gm
495,Gm
496,Gm
497,Gm
498,Gm
499,Gm
500,Gm
501,Gm
502,Gm
503,Gm
504,Gm
505,Gm
506,Gm
507,Gm
508,Gm
509,Gm
510,Gm
511,Gm
512,Gm
513,Gm
514,Gm
515,Gm
516,Gm
517,Gm
518,Gm
519,Gm
520,Gm
521,Gm
522,Gm
523,Gm
524,Gm
525,Gm
526,Gm
527,Gm
528,C7
529,C7
530,C7
531,C7
532,C7
533,C7
534,C7
535,C7
536,C7
537,C7
538,C7
539,C7
540,C7
541,C7
542,C7
543,C7
544,C7
545,C7
546,C7
547,C7
548,C7
549,C7
550,C7
551,C7
552,C7
553,C7
554,C7
555,C7
556,C7
557,C7
558,C7
559,C7
560,C7
561,C7
562,C7
563,C7
564,C7
565,C7
566,C7
567,C7
568,C7
569,C7
570,C7
571,C7
572,C7
573,C7
574,C7
575,C7
576,F
577,F
578,F
579,F
580,F
581,F
582,F
583,F
584,F
585,F
586,F
587,F
588,F
589,F
590,F
591,F
592,F
593,F
594,F
595,F
596,F
597,F
598,F
599,F
600,F7
601,F7
602,F7
603,F7
604,F7
605,F7
606,F7
607,F7
608,F7
609,F7
610,F7
611,F7
612,F7
613,F7
614,F7
615,F7
616,F7
617,F7
618,F7
619,F7
620,F7
621,F7
622,F7
623,F7
624,B-
625,B-
626,B-
627,B-
628,B-
629,B-
630,B-
631,B-
632,B-
633,B-
634,B-
635,B-
636,B-
637,B-
638,B-
639,B-
640,B-
641,B-
642,B-
643,B-
644,B-
645,B-
646,B-
647,B-
648,B-m
649,B-m
650,B-m
651,B-m
652,B-m
653,B-m
654,B-m
655,B-m
656,B-m
657,B-m
658,B-m
659,B-m
660,B-m
661,B-m
662,B-m
663,B-m
664,B-m
665,B-m
666,B-m
667,B-m
668,B-m
669,B-m
670,B-m
671,B-m
672,F
673,F
674,F
675,F
676,F
677,F
678,F
679,F
680,F
681,F
682,F
683,F
684,F
685,F
686,F
687,F
688,F
689,F
690,F
691,F
692,F
693,F
694,F
695,F
696,F
697,F
698,F
699,F
700,F
701,F
702,F
703,F
704,F
705,F
706,F
707,F
708,F
709,F
710,F
711,F
712,F
713,F
714,F
715,F
716,F
717,F
718,F
719,F
720,C7
721,C7
722,C7
723,C7
724,C7
725,C7
726,C7
727,C7
728,C7
729,C7
730,C7
731,C7
732,C7
733,C7
734,C7
735,C7
736,C7
737,C7
738,C7
739,C7
740,C7
741,C7
742,C7
743,C7
744,C7
745,C7
746,C7
747,C7
748,C7
749,C7
750,C7
751,C7
752,C7
753,C7
754,C7
755,C7
756,C7
757,C7
758,C7
759,C7
760,C7
761,C7
762,C7
763,C7
764,C7
765,C7
766,C7
767,C7
768,F
769,F
770,F
771,F
772,F
773,F
774,F
775,F
776,F
777,F
778,F
779,F
780,F
781,F
782,F
783,F
784,F
785,F
786,F
787,F
788,F
789,F
790,F
791,F
792,F
793,F
794,F
795,F
796,F
797,F
798,F
799,F
800,F
801,F
802,F
803,F
804,F
805,F
806,F
807,F
808,F
809,F
810,F
811,F
812,F
813,F
814,F
815,F
816,F
817,F
818,F
819,F
820,F
821,F
822,F
823,F
824,F
825,F
826,F
827,F
828,F
829,F
830,F
831,F
832,F
833,F
834,F
835,F
836,F
837,F
838,F
839,F
840,F
841,F
842,F
843,F
844,F
845,F
846,F
847,F
848,F
849,F
850,F
851,F
852,F
853,F
854,F
855,F
856,F
857,F
858,F
859,F
860,F
861,F
862,F
863,F
864,Em
865,Em
866,Em
867,Em
868,Em
869,Em
870,Em
871,Em
872,Em
873,Em
874,Em
875,Em
876,Em
877,Em
878,Em
879,Em
880,Em
881,Em
882,Em
883,Em
884,Em
885,Em
886,Em
887,Em
888,Em
889,Em
890,Em
891,Em
892,Em
893,Em
894,Em
895,Em
896,Em
897,Em
898,Em
899,Em
900,Em
901,Em
902,Em
903,Em
904,Em
905,Em
906,Em
907,Em
908,Em
909,Em
910,Em
911,Em
912,A7
913,A7
914,A7
915,A7
916,A7
917,A7
918,A7
919,A7
920,A7
921,A7
922,A7
923,A7
924,A7
925,A7
926,A7
927,A7
928,A7
929,A7
930,A7
931,A7
932,A7
933,A7
934,A7
935,A7
936,A7
937,A7
938,A7
939,A7
940,A7
941,A7
942,A7
943,A7
944,A7
945,A7
946,A7
947,A7
948,A7
949,A7
950,A7
951,A7
952,A7
953,A7
954,A7
955,A7
956,A7
957,A7
958,A7
959,A7
960,Dm
961,Dm
962,Dm
963,Dm
964,Dm
965,Dm
966,Dm
967,Dm
968,Dm
969,Dm
970,Dm
971,Dm
972,Dm
973,Dm
974,Dm
975,Dm
976,Dm
977,Dm
978,Dm
979,Dm
980,Dm
981,Dm
982,Dm
983,Dm
984,Dm
985,Dm
986,Dm
987,Dm
988,Dm
989,Dm
990,Dm
991,Dm
992,Dm
993,Dm
994,Dm
995,Dm
996,Dm
997,Dm
998,Dm
999,Dm
1000,Dm
1001,Dm
1002,Dm
1003,Dm
1004,Dm
1005,Dm
1006,Dm
1007,Dm
1008,Dm
