,0
0,F#
1,F#
2,F#
3,F#
4,F#
5,F#
6,F#
7,F#
8,F#
9,F#
10,F#
11,F#
12,F#
13,F#
14,F#
15,F#
16,F#
17,F#
18,F#
19,F#
20,F#
21,F#
22,F#
23,F#
24,F#
25,F#
26,F#
27,F#
28,F#
29,F#
30,F#
31,F#
32,F#
33,F#
34,F#
35,F#
36,F#
37,F#
38,F#
39,F#
40,F#
41,F#
42,F#
43,F#
44,F#
45,F#
46,F#
47,F#
48,F#
49,F#
50,F#
51,F#
52,F#
53,F#
54,F#
55,F#
56,F#
57,F#
58,F#
59,F#
60,F#
61,F#
62,F#
63,F#
64,F#
65,F#
66,F#
67,F#
68,F#
69,F#
70,F#
71,F#
72,F#
73,F#
74,F#
75,F#
76,F#
77,F#
78,F#
79,F#
80,F#
81,F#
82,F#
83,F#
84,F#
85,F#
86,F#
87,F#
88,F#
89,F#
90,F#
91,F#
92,F#
93,F#
94,F#
95,F#
96,Fm
97,Fm
98,Fm
99,Fm
100,Fm
101,Fm
102,Fm
103,Fm
104,Fm
105,Fm
106,Fm
107,Fm
108,Fm
109,Fm
110,Fm
111,Fm
112,Fm
113,Fm
114,Fm
115,Fm
116,Fm
117,Fm
118,Fm
119,Fm
120,Fm
121,Fm
122,Fm
123,Fm
124,Fm
125,Fm
126,Fm
127,Fm
128,Fm
129,Fm
130,Fm
131,Fm
132,Fm
133,Fm
134,Fm
135,Fm
136,Fm
137,Fm
138,Fm
139,Fm
140,Fm
141,Fm
142,Fm
143,Fm
144,B-7
145,B-7
146,B-7
147,B-7
148,B-7
149,B-7
150,B-7
151,B-7
152,B-7
153,B-7
154,B-7
155,B-7
156,B-7
157,B-7
158,B-7
159,B-7
160,B-7
161,B-7
162,B-7
163,B-7
164,B-7
165,B-7
166,B-7
167,B-7
168,B-7
169,B-7
170,B-7
171,B-7
172,B-7
173,B-7
174,B-7
175,B-7
176,B-7
177,B-7
178,B-7
179,B-7
180,B-7
181,B-7
182,B-7
183,B-7
184,B-7
185,B-7
186,B-7
187,B-7
188,B-7
189,B-7
190,B-7
191,B-7
192,E-m
193,E-m
194,E-m
195,E-m
196,E-m
197,E-m
198,E-m
199,E-m
200,E-m
201,E-m
202,E-m
203,E-m
204,E-m
205,E-m
206,E-m
207,E-m
208,E-m
209,E-m
210,E-m
211,E-m
212,E-m
213,E-m
214,E-m
215,E-m
216,E-m
217,E-m
218,E-m
219,E-m
220,E-m
221,E-m
222,E-m
223,E-m
224,E-m
225,E-m
226,E-m
227,E-m
228,E-m
229,E-m
230,E-m
231,E-m
232,E-m
233,E-m
234,E-m
235,E-m
236,E-m
237,E-m
238,E-m
239,E-m
240,E-m
241,E-m
242,E-m
243,E-m
244,E-m
245,E-m
246,E-m
247,E-m
248,E-m
249,E-m
250,E-m
251,E-m
252,E-m
253,E-m
254,E-m
255,E-m
256,E-m
257,E-m
258,E-m
259,E-m
260,E-m
261,E-m
262,E-m
263,E-m
264,E-m
265,E-m
266,E-m
267,E-m
268,E-m
269,E-m
270,E-m
271,E-m
272,E-m
273,E-m
274,E-m
275,E-m
276,E-m
277,E-m
278,E-m
279,E-m
280,E-m
281,E-m
282,E-m
283,E-m
284,E-m
285,E-m
286,E-m
287,E-m
288,E-dim
289,E-dim
290,E-dim
291,E-dim
292,E-dim
293,E-dim
294,E-dim
295,E-dim
296,E-dim
297,E-dim
298,E-dim
299,E-dim
300,E-dim
301,E-dim
302,E-dim
303,E-dim
304,E-dim
305,E-dim
306,E-dim
307,E-dim
308,E-dim
309,E-dim
310,E-dim
311,E-dim
312,E-dim
313,E-dim
314,E-dim
315,E-dim
316,E-dim
317,E-dim
318,E-dim
319,E-dim
320,E-dim
321,E-dim
322,E-dim
323,E-dim
324,E-dim
325,E-dim
326,E-dim
327,E-dim
328,E-dim
329,E-dim
330,E-dim
331,E-dim
332,E-dim
333,E-dim
334,E-dim
335,E-dim
336,E-dim
337,E-dim
338,E-dim
339,E-dim
340,E-dim
341,E-dim
342,E-dim
343,E-dim
344,E-dim
345,E-dim
346,E-dim
347,E-dim
348,E-dim
349,E-dim
350,E-dim
351,E-dim
352,E-dim
353,E-dim
354,E-dim
355,E-dim
356,E-dim
357,E-dim
358,E-dim
359,E-dim
360,E-dim
361,E-dim
362,E-dim
363,E-dim
364,E-dim
365,E-dim
366,E-dim
367,E-dim
368,E-dim
369,E-dim
370,E-dim
371,E-dim
372,E-dim
373,E-dim
374,E-dim
375,E-dim
376,E-dim
377,E-dim
378,E-dim
379,E-dim
380,E-dim
381,E-dim
382,E-dim
383,E-dim
384,F#
385,F#
386,F#
387,F#
388,F#
389,F#
390,F#
391,F#
392,F#
393,F#
394,F#
395,F#
396,F#
397,F#
398,F#
399,F#
400,F#
401,F#
402,F#
403,F#
404,F#
405,F#
406,F#
407,F#
408,F#
409,F#
410,F#
411,F#
412,F#
413,F#
414,F#
415,F#
416,F#
417,F#
418,F#
419,F#
420,F#
421,F#
422,F#
423,F#
424,F#
425,F#
426,F#
427,F#
428,F#
429,F#
430,F#
431,F#
432,F#
433,F#
434,F#
435,F#
436,F#
437,F#
438,F#
439,F#
440,F#
441,F#
442,F#
443,F#
444,F#
445,F#
446,F#
447,F#
448,F#
449,F#
450,F#
451,F#
452,F#
453,F#
454,F#
455,F#
456,F#
457,F#
458,F#
459,F#
460,F#
461,F#
462,F#
463,F#
464,F#
465,F#
466,F#
467,F#
468,F#
469,F#
470,F#
471,F#
472,F#
473,F#
474,F#
475,F#
476,F#
477,F#
478,F#
479,F#
480,G#m
481,G#m
482,G#m
483,G#m
484,G#m
485,G#m
486,G#m
487,G#m
488,G#m
489,G#m
490,G#m
491,G#m
492,G#m
493,G#m
494,G#m
495,G#m
496,G#m
497,G#m
498,G#m
499,G#m
500,G#m
501,G#m
502,G#m
503,G#m
504,G#m
505,G#m
506,G#m
507,G#m
508,G#m
509,G#m
510,G#m
511,G#m
512,G#m
513,G#m
514,G#m
515,G#m
516,G#m
517,G#m
518,G#m
519,G#m
520,G#m
521,G#m
522,G#m
523,G#m
524,G#m
525,G#m
526,G#m
527,G#m
528,C#7
529,C#7
530,C#7
531,C#7
532,C#7
533,C#7
534,C#7
535,C#7
536,C#7
537,C#7
538,C#7
539,C#7
540,C#7
541,C#7
542,C#7
543,C#7
544,C#7
545,C#7
546,C#7
547,C#7
548,C#7
549,C#7
550,C#7
551,C#7
552,C#7
553,C#7
554,C#7
555,C#7
556,C#7
557,C#7
558,C#7
559,C#7
560,C#7
561,C#7
562,C#7
563,C#7
564,C#7
565,C#7
566,C#7
567,C#7
568,C#7
569,C#7
570,C#7
571,C#7
572,C#7
573,C#7
574,C#7
575,C#7
576,F#
577,F#
578,F#
579,F#
580,F#
581,F#
582,F#
583,F#
584,F#
585,F#
586,F#
587,F#
588,F#
589,F#
590,F#
591,F#
592,F#
593,F#
594,F#
595,F#
596,F#
597,F#
598,F#
599,F#
600,F#7
601,F#7
602,F#7
603,F#7
604,F#7
605,F#7
606,F#7
607,F#7
608,F#7
609,F#7
610,F#7
611,F#7
612,F#7
613,F#7
614,F#7
615,F#7
616,F#7
617,F#7
618,F#7
619,F#7
620,F#7
621,F#7
622,F#7
623,F#7
624,B
625,B
626,B
627,B
628,B
629,B
630,B
631,B
632,B
633,B
634,B
635,B
636,B
637,B
638,B
639,B
640,B
641,B
642,B
643,B
644,B
645,B
646,B
647,B
648,Bm
649,Bm
650,Bm
651,Bm
652,Bm
653,Bm
654,Bm
655,Bm
656,Bm
657,Bm
658,Bm
659,Bm
660,Bm
661,Bm
662,Bm
663,Bm
664,Bm
665,Bm
666,Bm
667,Bm
668,Bm
669,Bm
670,Bm
671,Bm
672,F#
673,F#
674,F#
675,F#
676,F#
677,F#
678,F#
679,F#
680,F#
681,F#
682,F#
683,F#
684,F#
685,F#
686,F#
687,F#
688,F#
689,F#
690,F#
691,F#
692,F#
693,F#
694,F#
695,F#
696,F#
697,F#
698,F#
699,F#
700,F#
701,F#
702,F#
703,F#
704,F#
705,F#
706,F#
707,F#
708,F#
709,F#
710,F#
711,F#
712,F#
713,F#
714,F#
715,F#
716,F#
717,F#
718,F#
719,F#
720,C#7
721,C#7
722,C#7
723,C#7
724,C#7
725,C#7
726,C#7
727,C#7
728,C#7
729,C#7
730,C#7
731,C#7
732,C#7
733,C#7
734,C#7
735,C#7
736,C#7
737,C#7
738,C#7
739,C#7
740,C#7
741,C#7
742,C#7
743,C#7
744,C#7
745,C#7
746,C#7
747,C#7
748,C#7
749,C#7
750,C#7
751,C#7
752,C#7
753,C#7
754,C#7
755,C#7
756,C#7
757,C#7
758,C#7
759,C#7
760,C#7
761,C#7
762,C#7
763,C#7
764,C#7
765,C#7
766,C#7
767,C#7
768,F#
769,F#
770,F#
771,F#
772,F#
773,F#
774,F#
775,F#
776,F#
777,F#
778,F#
779,F#
780,F#
781,F#
782,F#
783,F#
784,F#
785,F#
786,F#
787,F#
788,F#
789,F#
790,F#
791,F#
792,F#
793,F#
794,F#
795,F#
796,F#
797,F#
798,F#
799,F#
800,F#
801,F#
802,F#
803,F#
804,F#
805,F#
806,F#
807,F#
808,F#
809,F#
810,F#
811,F#
812,F#
813,F#
814,F#
815,F#
816,F#
817,F#
818,F#
819,F#
820,F#
821,F#
822,F#
823,F#
824,F#
825,F#
826,F#
827,F#
828,F#
829,F#
830,F#
831,F#
832,F#
833,F#
834,F#
835,F#
836,F#
837,F#
838,F#
839,F#
840,F#
841,F#
842,F#
843,F#
844,F#
845,F#
846,F#
847,F#
848,F#
849,F#
850,F#
851,F#
852,F#
853,F#
854,F#
855,F#
856,F#
857,F#
858,F#
859,F#
860,F#
861,F#
862,F#
863,F#
864,Fm
865,Fm
866,Fm
867,Fm
868,Fm
869,Fm
870,Fm
871,Fm
872,Fm
873,Fm
874,Fm
875,Fm
876,Fm
877,Fm
878,Fm
879,Fm
880,Fm
881,Fm
882,Fm
883,Fm
884,Fm
885,Fm
886,Fm
887,Fm
888,Fm
889,Fm
890,Fm
891,Fm
892,Fm
893,Fm
894,Fm
895,Fm
896,Fm
897,Fm
898,Fm
899,Fm
900,Fm
901,Fm
902,Fm
