,0
0,G
1,G
2,G
3,G
4,G
5,G
6,G
7,G
8,G
9,G
10,G
11,G
12,G
13,G
14,G
15,G
16,G
17,G
18,G
19,G
20,G
21,G
22,G
23,G
24,G
25,G
26,G
27,G
28,G
29,G
30,G
31,G
32,G
33,G
34,G
35,G
36,G
37,G
38,G
39,G
40,G
41,G
42,G
43,G
44,G
45,G
46,G
47,G
48,G
49,G
50,G
51,G
52,G
53,G
54,G
55,G
56,G
57,G
58,G
59,G
60,G
61,G
62,G
63,G
64,G
65,G
66,G
67,G
68,G
69,G
70,G
71,G
72,G
73,G
74,G
75,G
76,G
77,G
78,G
79,G
80,G
81,G
82,G
83,G
84,G
85,G
86,G
87,G
88,G
89,G
90,G
91,G
92,G
93,G
94,G
95,G
96,F#m
97,F#m
98,F#m
99,F#m
100,F#m
101,F#m
102,F#m
103,F#m
104,F#m
105,F#m
106,F#m
107,F#m
108,F#m
109,F#m
110,F#m
111,F#m
112,F#m
113,F#m
114,F#m
115,F#m
116,F#m
117,F#m
118,F#m
119,F#m
120,F#m
121,F#m
122,F#m
123,F#m
124,F#m
125,F#m
126,F#m
127,F#m
128,F#m
129,F#m
130,F#m
131,F#m
132,F#m
133,F#m
134,F#m
135,F#m
136,F#m
137,F#m
138,F#m
139,F#m
140,F#m
141,F#m
142,F#m
143,F#m
144,B7
145,B7
146,B7
147,B7
148,B7
149,B7
150,B7
151,B7
152,B7
153,B7
154,B7
155,B7
156,B7
157,B7
158,B7
159,B7
160,B7
161,B7
162,B7
163,B7
164,B7
165,B7
166,B7
167,B7
168,B7
169,B7
170,B7
171,B7
172,B7
173,B7
174,B7
175,B7
176,B7
177,B7
178,B7
179,B7
180,B7
181,B7
182,B7
183,B7
184,B7
185,B7
186,B7
187,B7
188,B7
189,B7
190,B7
191,B7
192,Em
193,Em
194,Em
195,Em
196,Em
197,Em
198,Em
199,Em
200,Em
201,Em
202,Em
203,Em
204,Em
205,Em
206,Em
207,Em
208,Em
209,Em
210,Em
211,Em
212,Em
213,Em
214,Em
215,Em
216,Em
217,Em
218,Em
219,Em
220,Em
221,Em
222,Em
223,Em
224,Em
225,Em
226,Em
227,Em
228,Em
229,Em
230,Em
231,Em
232,Em
233,Em
234,Em
235,Em
236,Em
237,Em
238,Em
239,Em
240,Em
241,Em
242,Em
243,Em
244,Em
245,Em
246,Em
247,Em
248,Em
249,Em
250,Em
251,Em
252,Em
253,Em
254,Em
255,Em
256,Em
257,Em
258,Em
259,Em
260,Em
261,Em
262,Em
263,Em
264,Em
265,Em
266,Em
267,Em
268,Em
269,Em
270,Em
271,Em
272,Em
273,Em
274,Em
275,Em
276,Em
277,Em
278,Em
279,Em
280,Em
281,Em
282,Em
283,Em
284,Em
285,Em
286,Em
287,Em
288,Edim
289,Edim
290,Edim
291,Edim
292,Edim
293,Edim
294,Edim
295,Edim
296,Edim
297,Edim
298,Edim
299,Edim
300,Edim
301,Edim
302,Edim
303,Edim
304,Edim
305,Edim
306,Edim
307,Edim
308,Edim
309,Edim
310,Edim
311,Edim
312,Edim
313,Edim
314,Edim
315,Edim
316,Edim
317,Edim
318,Edim
319,Edim
320,Edim
321,Edim
322,Edim
323,Edim
324,Edim
325,Edim
326,Edim
327,Edim
328,Edim
329,Edim
330,Edim
331,Edim
332,Edim
333,Edim
334,Edim
335,Edim
336,Edim
337,Edim
338,Edim
339,Edim
340,Edim
341,Edim
342,Edim
343,Edim
344,Edim
345,Edim
346,Edim
347,Edim
348,Edim
349,Edim
350,Edim
351,Edim
352,Edim
353,Edim
354,Edim
355,Edim
356,Edim
357,Edim
358,Edim
359,Edim
360,Edim
361,Edim
362,Edim
363,Edim
364,Edim
365,Edim
366,Edim
367,Edim
368,Edim
369,Edim
370,Edim
371,Edim
372,Edim
373,Edim
374,Edim
375,Edim
376,Edim
377,Edim
378,Edim
379,Edim
380,Edim
381,Edim
382,Edim
383,Edim
384,G
385,G
386,G
387,G
388,G
389,G
390,G
391,G
392,G
393,G
394,G
395,G
396,G
397,G
398,G
399,G
400,G
401,G
402,G
403,G
404,G
405,G
406,G
407,G
408,G
409,G
410,G
411,G
412,G
413,G
414,G
415,G
416,G
417,G
418,G
419,G
420,G
421,G
422,G
423,G
424,G
425,G
426,G
