,0
0,G#
1,G#
2,G#
3,G#
4,G#
5,G#
6,G#
7,G#
8,G#
9,G#
10,G#
11,G#
12,G#
13,G#
14,G#
15,G#
16,G#
17,G#
18,G#
19,G#
20,G#
21,G#
22,G#
23,G#
24,G#
25,G#
26,G#
27,G#
28,G#
29,G#
30,G#
31,G#
32,G#
33,G#
34,G#
35,G#
36,G#
37,G#
38,G#
39,G#
40,G#
41,G#
42,G#
43,G#
44,G#
45,G#
46,G#
47,G#
48,G#
49,G#
50,G#
51,G#
52,G#
53,G#
54,G#
55,G#
56,G#
57,G#
58,G#
59,G#
60,G#
61,G#
62,G#
63,G#
64,G#
65,G#
66,G#
67,G#
68,G#
69,G#
70,G#
71,G#
72,G#
73,G#
74,G#
75,G#
76,G#
77,G#
78,G#
79,G#
80,G#
81,G#
82,G#
83,G#
84,G#
85,G#
86,G#
87,G#
88,G#
89,G#
90,G#
91,G#
92,G#
93,G#
94,G#
95,G#
96,Gm
97,Gm
98,Gm
99,Gm
100,Gm
101,Gm
102,Gm
103,Gm
104,Gm
105,Gm
106,Gm
107,Gm
108,Gm
109,Gm
110,Gm
111,Gm
112,Gm
113,Gm
114,Gm
115,Gm
116,Gm
117,Gm
118,Gm
119,Gm
120,Gm
121,Gm
122,Gm
123,Gm
124,Gm
125,Gm
126,Gm
127,Gm
128,Gm
129,Gm
130,Gm
131,Gm
132,Gm
133,Gm
134,Gm
135,Gm
136,Gm
137,Gm
138,Gm
139,Gm
140,Gm
141,Gm
142,Gm
143,Gm
144,C7
145,C7
146,C7
147,C7
148,C7
149,C7
150,C7
151,C7
152,C7
153,C7
154,C7
155,C7
156,C7
157,C7
158,C7
159,C7
160,C7
161,C7
162,C7
163,C7
164,C7
165,C7
166,C7
167,C7
168,C7
169,C7
170,C7
171,C7
172,C7
173,C7
174,C7
175,C7
176,C7
177,C7
178,C7
179,C7
180,C7
181,C7
182,C7
183,C7
184,C7
185,C7
186,C7
187,C7
188,C7
189,C7
190,C7
191,C7
192,Fm
193,Fm
194,Fm
195,Fm
196,Fm
197,Fm
198,Fm
199,Fm
200,Fm
201,Fm
202,Fm
203,Fm
204,Fm
205,Fm
206,Fm
207,Fm
208,Fm
209,Fm
210,Fm
211,Fm
212,Fm
213,Fm
214,Fm
215,Fm
216,Fm
217,Fm
218,Fm
219,Fm
220,Fm
221,Fm
222,Fm
223,Fm
224,Fm
225,Fm
226,Fm
227,Fm
228,Fm
229,Fm
230,Fm
231,Fm
232,Fm
233,Fm
234,Fm
235,Fm
236,Fm
237,Fm
238,Fm
239,Fm
240,Fm
241,Fm
242,Fm
243,Fm
244,Fm
245,Fm
246,Fm
247,Fm
248,Fm
249,Fm
250,Fm
251,Fm
252,Fm
253,Fm
254,Fm
255,Fm
256,Fm
257,Fm
258,Fm
259,Fm
260,Fm
261,Fm
262,Fm
263,Fm
264,Fm
265,Fm
266,Fm
267,Fm
268,Fm
269,Fm
270,Fm
271,Fm
272,Fm
273,Fm
274,Fm
275,Fm
276,Fm
277,Fm
278,Fm
279,Fm
280,Fm
281,Fm
282,Fm
283,Fm
284,Fm
285,Fm
286,Fm
287,Fm
288,Fdim
289,Fdim
290,Fdim
291,Fdim
292,Fdim
293,Fdim
294,Fdim
295,Fdim
296,Fdim
297,Fdim
298,Fdim
299,Fdim
300,Fdim
301,Fdim
302,Fdim
303,Fdim
304,Fdim
305,Fdim
306,Fdim
307,Fdim
308,Fdim
309,Fdim
310,Fdim
311,Fdim
312,Fdim
313,Fdim
314,Fdim
315,Fdim
316,Fdim
317,Fdim
318,Fdim
319,Fdim
320,Fdim
321,Fdim
322,Fdim
323,Fdim
324,Fdim
325,Fdim
326,Fdim
327,Fdim
328,Fdim
329,Fdim
330,Fdim
331,Fdim
332,Fdim
333,Fdim
334,Fdim
335,Fdim
336,Fdim
337,Fdim
338,Fdim
339,Fdim
340,Fdim
341,Fdim
342,Fdim
343,Fdim
344,Fdim
345,Fdim
346,Fdim
347,Fdim
348,Fdim
349,Fdim
350,Fdim
351,Fdim
352,Fdim
353,Fdim
354,Fdim
355,Fdim
356,Fdim
357,Fdim
358,Fdim
359,Fdim
360,Fdim
361,Fdim
362,Fdim
363,Fdim
364,Fdim
365,Fdim
366,Fdim
