,0
0,E-7
1,E-7
2,E-7
3,E-7
4,E-7
5,E-7
6,E-7
7,E-7
8,E-7
9,E-7
10,E-7
11,E-7
12,E-7
13,E-7
14,E-7
15,E-7
16,E-7
17,E-7
18,E-7
19,E-7
20,E-7
21,E-7
22,E-7
23,E-7
24,E-7
25,E-7
26,E-7
27,E-7
28,E-7
29,E-7
30,E-7
31,E-7
32,E-7
33,E-7
34,E-7
35,E-7
36,E-7
37,E-7
38,E-7
39,E-7
40,E-7
41,E-7
42,E-7
43,E-7
44,E-7
45,E-7
46,E-7
47,E-7
48,E-7
49,E-7
50,E-7
51,E-7
52,E-7
53,E-7
54,E-7
55,E-7
56,E-7
57,E-7
58,E-7
59,E-7
60,E-7
61,E-7
62,E-7
63,E-7
64,E-7
65,E-7
66,E-7
67,E-7
68,E-7
69,E-7
70,E-7
71,E-7
72,E-7
73,E-7
74,E-7
75,E-7
76,E-7
77,E-7
78,E-7
79,E-7
80,E-7
81,E-7
82,E-7
83,E-7
84,E-7
85,E-7
86,E-7
87,E-7
88,E-7
89,E-7
90,E-7
91,E-7
92,E-7
93,E-7
94,E-7
95,E-7
96,E-7
97,E-7
98,E-7
99,E-7
100,E-7
101,E-7
102,E-7
103,E-7
104,E-7
105,E-7
106,E-7
107,E-7
108,E-7
109,E-7
110,E-7
111,E-7
112,E-7
113,E-7
114,E-7
115,E-7
116,E-7
117,E-7
118,E-7
119,E-7
120,E-7
121,E-7
122,E-7
123,E-7
124,E-7
125,E-7
126,E-7
127,E-7
128,E-7
129,E-7
130,E-7
131,E-7
132,E-7
133,E-7
134,E-7
135,E-7
136,E-7
137,E-7
138,E-7
139,E-7
140,E-7
141,E-7
142,E-7
143,E-7
144,E-7
145,E-7
146,E-7
147,E-7
148,E-7
149,E-7
150,E-7
151,E-7
152,E-7
153,E-7
154,E-7
155,E-7
156,E-7
157,E-7
158,E-7
159,E-7
160,E-7
161,E-7
162,E-7
163,E-7
164,E-7
165,E-7
166,E-7
167,E-7
168,E-7
169,E-7
170,E-7
171,E-7
172,E-7
173,E-7
174,E-7
175,E-7
176,E-7
177,E-7
178,E-7
179,E-7
180,E-7
181,E-7
182,E-7
183,E-7
184,E-7
185,E-7
186,E-7
187,E-7
188,E-7
189,E-7
190,E-7
191,E-7
192,G#7
193,G#7
194,G#7
195,G#7
196,G#7
197,G#7
198,G#7
199,G#7
200,G#7
201,G#7
202,G#7
203,G#7
204,G#7
205,G#7
206,G#7
207,G#7
208,G#7
209,G#7
210,G#7
211,G#7
212,G#7
213,G#7
214,G#7
215,G#7
216,G#7
217,G#7
218,G#7
219,G#7
220,G#7
221,G#7
222,G#7
223,G#7
224,G#7
225,G#7
226,G#7
227,G#7
228,G#7
229,G#7
230,G#7
231,G#7
232,G#7
233,G#7
234,G#7
235,G#7
236,G#7
237,G#7
238,G#7
239,G#7
240,G#m
241,G#m
242,G#m
243,G#m
244,G#m
245,G#m
246,G#m
247,G#m
248,G#m
249,G#m
250,G#m
251,G#m
252,G#m
253,G#m
254,G#m
255,G#m
256,G#m
257,G#m
258,G#m
259,G#m
260,G#m
261,G#m
262,G#m
263,G#m
264,G#m
265,G#m
266,G#m
267,G#m
268,G#m
269,G#m
270,G#m
271,G#m
272,G#m
273,G#m
274,G#m
275,G#m
276,G#m
277,G#m
278,G#m
279,G#m
280,G#m
281,G#m
282,G#m
283,G#m
284,G#m
285,G#m
286,G#m
287,G#m
288,E-7
289,E-7
290,E-7
291,E-7
292,E-7
293,E-7
294,E-7
295,E-7
296,E-7
297,E-7
298,E-7
299,E-7
300,E-7
301,E-7
302,E-7
303,E-7
304,E-7
305,E-7
306,E-7
307,E-7
308,E-7
309,E-7
310,E-7
311,E-7
312,E-7
313,E-7
314,E-7
315,E-7
316,E-7
317,E-7
318,E-7
319,E-7
320,E-7
321,E-7
322,E-7
323,E-7
324,E-7
325,E-7
326,E-7
327,E-7
328,E-7
329,E-7
330,E-7
331,E-7
332,E-7
333,E-7
334,E-7
335,E-7
336,F#m
337,F#m
338,F#m
339,F#m
340,F#m
341,F#m
342,F#m
343,F#m
344,F#m
345,F#m
346,F#m
347,F#m
348,F#m
349,F#m
350,F#m
351,F#m
352,F#m
353,F#m
354,F#m
355,F#m
356,F#m
357,F#m
358,F#m
359,F#m
360,F#m
361,F#m
362,F#m
363,F#m
364,F#m
365,F#m
366,F#m
367,F#m
368,F#m
369,F#m
370,F#m
371,F#m
372,F#m
373,F#m
374,F#m
375,F#m
376,F#m
377,F#m
378,F#m
379,F#m
380,F#m
381,F#m
382,F#m
383,F#m
384,Fm
385,Fm
386,Fm
387,Fm
388,Fm
389,Fm
390,Fm
391,Fm
392,Fm
393,Fm
394,Fm
395,Fm
396,Fm
397,Fm
398,Fm
399,Fm
400,Fm
401,Fm
402,Fm
403,Fm
404,Fm
405,Fm
406,Fm
407,Fm
408,Fm
409,Fm
410,Fm
411,Fm
412,Fm
413,Fm
414,Fm
415,Fm
416,Fm
417,Fm
418,Fm
419,Fm
420,Fm
421,Fm
422,Fm
423,Fm
424,Fm
425,Fm
426,Fm
427,Fm
428,Fm
429,Fm
430,Fm
431,Fm
432,B-7
433,B-7
434,B-7
435,B-7
436,B-7
437,B-7
438,B-7
439,B-7
440,B-7
441,B-7
442,B-7
443,B-7
444,B-7
445,B-7
446,B-7
447,B-7
448,B-7
449,B-7
450,B-7
451,B-7
452,B-7
453,B-7
454,B-7
455,B-7
456,B-7
457,B-7
458,B-7
459,B-7
460,B-7
461,B-7
462,B-7
463,B-7
464,B-7
465,B-7
466,B-7
467,B-7
468,B-7
469,B-7
470,B-7
471,B-7
472,B-7
473,B-7
474,B-7
475,B-7
476,B-7
477,B-7
478,B-7
479,B-7
480,E-7
481,E-7
482,E-7
483,E-7
484,E-7
485,E-7
486,E-7
487,E-7
488,E-7
489,E-7
490,E-7
491,E-7
492,E-7
493,E-7
494,E-7
495,E-7
496,E-7
497,E-7
498,E-7
499,E-7
500,E-7
501,E-7
502,E-7
503,E-7
504,E-7
505,E-7
506,E-7
507,E-7
508,E-7
509,E-7
510,E-7
511,E-7
512,E-7
513,E-7
514,E-7
515,E-7
516,E-7
517,E-7
518,E-7
519,E-7
520,E-7
521,E-7
522,E-7
523,E-7
524,E-7
525,E-7
526,E-7
527,E-7
528,Fm
529,Fm
530,Fm
