,0
0,E-
1,E-
2,E-
3,E-
4,E-
5,E-
6,E-
7,E-
8,E-
9,E-
10,E-
11,E-
12,E-
13,E-
14,E-
15,E-
16,E-
17,E-
18,E-
19,E-
20,E-
21,E-
22,E-
23,E-
24,E-
25,E-
26,E-
27,E-
28,E-
29,E-
30,E-
31,E-
32,E-
33,E-
34,E-
35,E-
36,E-
37,E-
38,E-
39,E-
40,E-
41,E-
42,E-
43,E-
44,E-
45,E-
46,E-
47,E-
48,Fm
49,Fm
50,Fm
51,Fm
52,Fm
53,Fm
54,Fm
55,Fm
56,Fm
57,Fm
58,Fm
59,Fm
60,Fm
61,Fm
62,Fm
63,Fm
64,Fm
65,Fm
66,Fm
67,Fm
68,Fm
69,Fm
70,Fm
71,Fm
72,B-7
73,B-7
74,B-7
75,B-7
76,B-7
77,B-7
78,B-7
79,B-7
80,B-7
81,B-7
82,B-7
83,B-7
84,B-7
85,B-7
86,B-7
87,B-7
88,B-7
89,B-7
90,B-7
91,B-7
92,B-7
93,B-7
94,B-7
95,B-7
96,Gm
97,Gm
98,Gm
99,Gm
100,Gm
101,Gm
102,Gm
103,Gm
104,Gm
105,Gm
106,Gm
107,Gm
108,Gm
109,Gm
110,Gm
111,Gm
112,Gm
113,Gm
114,Gm
115,Gm
116,Gm
117,Gm
118,Gm
119,Gm
120,C7
121,C7
122,C7
123,C7
124,C7
125,C7
126,C7
127,C7
128,C7
129,C7
130,C7
131,C7
132,C7
133,C7
134,C7
135,C7
136,C7
137,C7
138,C7
139,C7
140,C7
141,C7
142,C7
143,C7
144,Fm
145,Fm
146,Fm
147,Fm
148,Fm
149,Fm
150,Fm
151,Fm
152,Fm
153,Fm
154,Fm
155,Fm
156,Fm
157,Fm
158,Fm
159,Fm
160,Fm
161,Fm
162,Fm
163,Fm
164,Fm
165,Fm
166,Fm
167,Fm
168,B-7
169,B-7
170,B-7
171,B-7
172,B-7
173,B-7
174,B-7
175,B-7
176,B-7
177,B-7
178,B-7
179,B-7
180,B-7
181,B-7
182,B-7
183,B-7
184,B-7
185,B-7
186,B-7
187,B-7
188,B-7
189,B-7
190,B-7
191,B-7
192,E-7
193,E-7
194,E-7
195,E-7
196,E-7
197,E-7
198,E-7
199,E-7
200,E-7
201,E-7
202,E-7
203,E-7
204,E-7
205,E-7
206,E-7
207,E-7
208,E-7
209,E-7
210,E-7
211,E-7
212,E-7
213,E-7
214,E-7
215,E-7
216,E-7
217,E-7
218,E-7
219,E-7
220,E-7
221,E-7
222,E-7
223,E-7
224,E-7
225,E-7
226,E-7
227,E-7
228,E-7
229,E-7
230,E-7
231,E-7
232,E-7
233,E-7
234,E-7
235,E-7
236,E-7
237,E-7
238,E-7
239,E-7
240,E-7
241,E-7
242,E-7
243,E-7
244,E-7
245,E-7
246,E-7
247,E-7
248,E-7
249,E-7
250,E-7
251,E-7
252,E-7
253,E-7
254,E-7
255,E-7
256,E-7
257,E-7
258,E-7
259,E-7
260,E-7
261,E-7
262,E-7
263,E-7
264,E-7
265,E-7
266,E-7
267,E-7
268,E-7
269,E-7
270,E-7
271,E-7
272,E-7
273,E-7
274,E-7
275,E-7
276,E-7
277,E-7
278,E-7
279,E-7
280,E-7
281,E-7
282,E-7
283,E-7
284,E-7
285,E-7
286,E-7
287,E-7
288,E-7
289,E-7
290,E-7
291,E-7
292,E-7
293,E-7
294,E-7
295,E-7
296,E-7
297,E-7
298,E-7
299,E-7
300,E-7
301,E-7
302,E-7
303,E-7
304,E-7
305,E-7
306,E-7
307,E-7
308,E-7
309,E-7
310,E-7
311,E-7
312,E-7
313,E-7
314,E-7
315,E-7
316,E-7
317,E-7
318,E-7
319,E-7
320,E-7
321,E-7
322,E-7
323,E-7
324,E-7
325,E-7
326,E-7
327,E-7
328,E-7
329,E-7
330,E-7
331,E-7
332,E-7
333,E-7
334,E-7
335,E-7
336,E-7
337,E-7
338,E-7
339,E-7
340,E-7
341,E-7
342,E-7
343,E-7
344,E-7
345,E-7
346,E-7
347,E-7
348,E-7
349,E-7
350,E-7
351,E-7
352,E-7
353,E-7
354,E-7
355,E-7
356,E-7
357,E-7
358,E-7
359,E-7
360,E-7
361,E-7
362,E-7
363,E-7
364,E-7
365,E-7
366,E-7
367,E-7
368,E-7
369,E-7
370,E-7
371,E-7
372,E-7
373,E-7
374,E-7
375,E-7
376,E-7
377,E-7
378,E-7
379,E-7
380,E-7
381,E-7
382,E-7
383,E-7
384,G#7
385,G#7
386,G#7
387,G#7
388,G#7
389,G#7
390,G#7
391,G#7
392,G#7
393,G#7
394,G#7
395,G#7
396,G#7
397,G#7
398,G#7
399,G#7
400,G#7
401,G#7
402,G#7
403,G#7
404,G#7
405,G#7
406,G#7
407,G#7
408,G#7
409,G#7
410,G#7
411,G#7
412,G#7
413,G#7
414,G#7
415,G#7
416,G#7
417,G#7
418,G#7
419,G#7
420,G#7
421,G#7
422,G#7
423,G#7
424,G#7
425,G#7
426,G#7
427,G#7
428,G#7
429,G#7
430,G#7
431,G#7
432,G#7
433,G#7
434,G#7
435,G#7
436,G#7
437,G#7
438,G#7
439,G#7
440,G#7
441,G#7
442,G#7
443,G#7
444,G#7
445,G#7
446,G#7
447,G#7
448,G#7
449,G#7
450,G#7
451,G#7
452,G#7
453,G#7
454,G#7
455,G#7
456,G#7
457,G#7
458,G#7
459,G#7
460,G#7
461,G#7
462,G#7
463,G#7
464,G#7
465,G#7
466,G#7
467,G#7
468,G#7
469,G#7
470,G#7
471,G#7
472,G#7
473,G#7
474,G#7
475,G#7
476,G#7
477,G#7
478,G#7
479,G#7
480,E-7
481,E-7
482,E-7
483,E-7
484,E-7
485,E-7
486,E-7
487,E-7
488,E-7
489,E-7
490,E-7
491,E-7
492,E-7
493,E-7
494,E-7
495,E-7
496,E-7
497,E-7
498,E-7
499,E-7
500,E-7
501,E-7
502,E-7
503,E-7
504,E-7
505,E-7
506,E-7
507,E-7
508,E-7
509,E-7
510,E-7
511,E-7
512,E-7
513,E-7
514,E-7
515,E-7
516,E-7
517,E-7
518,E-7
519,E-7
520,E-7
521,E-7
522,E-7
523,E-7
524,E-7
525,E-7
526,E-7
527,E-7
528,Gm
529,Gm
530,Gm
531,Gm
532,Gm
533,Gm
534,Gm
535,Gm
536,Gm
537,Gm
538,Gm
539,Gm
540,Gm
541,Gm
542,Gm
543,Gm
544,Gm
545,Gm
546,Gm
547,Gm
548,Gm
549,Gm
550,Gm
551,Gm
552,C7
553,C7
554,C7
555,C7
556,C7
557,C7
558,C7
559,C7
560,C7
561,C7
562,C7
563,C7
564,C7
565,C7
566,C7
567,C7
568,C7
569,C7
570,C7
571,C7
572,C7
573,C7
574,C7
575,C7
576,Fm
577,Fm
578,Fm
579,Fm
580,Fm
581,Fm
582,Fm
583,Fm
584,Fm
585,Fm
586,Fm
587,Fm
588,Fm
589,Fm
590,Fm
591,Fm
592,Fm
593,Fm
594,Fm
595,Fm
596,Fm
597,Fm
598,Fm
599,Fm
600,Fm
601,Fm
602,Fm
603,Fm
604,Fm
605,Fm
606,Fm
607,Fm
608,Fm
609,Fm
610,Fm
611,Fm
612,Fm
613,Fm
614,Fm
615,Fm
616,Fm
617,Fm
618,Fm
619,Fm
620,Fm
621,Fm
622,Fm
623,Fm
624,B-7
625,B-7
626,B-7
627,B-7
628,B-7
629,B-7
630,B-7
631,B-7
632,B-7
633,B-7
634,B-7
635,B-7
636,B-7
637,B-7
638,B-7
639,B-7
640,B-7
641,B-7
642,B-7
643,B-7
644,B-7
645,B-7
646,B-7
647,B-7
648,B-7
649,B-7
650,B-7
651,B-7
652,B-7
653,B-7
654,B-7
655,B-7
656,B-7
657,B-7
658,B-7
659,B-7
660,B-7
661,B-7
662,B-7
663,B-7
664,B-7
665,B-7
666,B-7
667,B-7
668,B-7
669,B-7
670,B-7
671,B-7
672,E-7
673,E-7
674,E-7
675,E-7
676,E-7
677,E-7
678,E-7
679,E-7
680,E-7
681,E-7
682,E-7
683,E-7
684,E-7
685,E-7
686,E-7
687,E-7
688,E-7
689,E-7
690,E-7
691,E-7
692,E-7
693,E-7
694,E-7
695,E-7
696,E-7
697,E-7
698,E-7
699,E-7
700,E-7
701,E-7
702,E-7
703,E-7
704,E-7
705,E-7
706,E-7
707,E-7
708,E-7
709,E-7
710,E-7
711,E-7
712,E-7
713,E-7
714,E-7
715,E-7
716,E-7
717,E-7
718,E-7
719,E-7
720,Fm
721,Fm
722,Fm
723,Fm
724,Fm
725,Fm
726,Fm
727,Fm
728,Fm
729,Fm
730,Fm
731,Fm
732,Fm
733,Fm
734,Fm
735,Fm
736,Fm
737,Fm
738,Fm
739,Fm
740,Fm
741,Fm
742,Fm
743,Fm
744,B-7
745,B-7
746,B-7
747,B-7
748,B-7
749,B-7
750,B-7
751,B-7
752,B-7
753,B-7
754,B-7
755,B-7
756,B-7
757,B-7
758,B-7
759,B-7
760,B-7
761,B-7
762,B-7
763,B-7
764,B-7
765,B-7
766,B-7
767,B-7
768,E-7
769,E-7
770,E-7
771,E-7
772,E-7
773,E-7
774,E-7
775,E-7
776,E-7
777,E-7
778,E-7
779,E-7
780,E-7
781,E-7
782,E-7
783,E-7
784,E-7
785,E-7
786,E-7
787,E-7
788,E-7
789,E-7
790,E-7
791,E-7
792,E-7
793,E-7
794,E-7
795,E-7
796,E-7
797,E-7
798,E-7
799,E-7
800,E-7
801,E-7
802,E-7
803,E-7
804,E-7
805,E-7
806,E-7
807,E-7
808,E-7
809,E-7
810,E-7
811,E-7
812,E-7
813,E-7
814,E-7
815,E-7
816,E-7
817,E-7
818,E-7
819,E-7
820,E-7
821,E-7
822,E-7
823,E-7
824,E-7
825,E-7
