,0
0,F#
1,F#
2,F#
3,F#
4,F#
5,F#
6,F#
7,F#
8,F#
9,F#
10,F#
11,F#
12,F#
13,F#
14,F#
15,F#
16,F#
17,F#
18,F#
19,F#
20,F#
21,F#
22,F#
23,F#
24,F#
25,F#
26,F#
27,F#
28,F#
29,F#
30,F#
31,F#
32,F#
33,F#
34,F#
35,F#
36,F#
37,F#
38,F#
39,F#
40,F#
41,F#
42,F#
43,F#
44,F#
45,F#
46,F#
47,F#
48,G#m
49,G#m
50,G#m
51,G#m
52,G#m
53,G#m
54,G#m
55,G#m
56,G#m
57,G#m
58,G#m
59,G#m
60,G#m
61,G#m
62,G#m
63,G#m
64,G#m
65,G#m
66,G#m
67,G#m
68,G#m
69,G#m
70,G#m
71,G#m
72,C#7
73,C#7
74,C#7
75,C#7
76,C#7
77,C#7
78,C#7
79,C#7
80,C#7
81,C#7
82,C#7
83,C#7
84,C#7
85,C#7
86,C#7
87,C#7
88,C#7
89,C#7
90,C#7
91,C#7
92,C#7
93,C#7
94,C#7
95,C#7
96,B-m
97,B-m
98,B-m
99,B-m
100,B-m
101,B-m
102,B-m
103,B-m
104,B-m
105,B-m
106,B-m
107,B-m
108,B-m
109,B-m
110,B-m
111,B-m
112,B-m
113,B-m
114,B-m
115,B-m
116,B-m
117,B-m
118,B-m
119,B-m
120,E-7
121,E-7
122,E-7
123,E-7
124,E-7
125,E-7
126,E-7
127,E-7
128,E-7
129,E-7
130,E-7
131,E-7
132,E-7
133,E-7
134,E-7
135,E-7
136,E-7
137,E-7
138,E-7
139,E-7
140,E-7
141,E-7
142,E-7
143,E-7
144,G#m
145,G#m
146,G#m
147,G#m
148,G#m
149,G#m
150,G#m
151,G#m
152,G#m
153,G#m
154,G#m
155,G#m
156,G#m
157,G#m
158,G#m
159,G#m
160,G#m
161,G#m
162,G#m
163,G#m
164,G#m
165,G#m
166,G#m
167,G#m
168,C#7
169,C#7
170,C#7
171,C#7
172,C#7
173,C#7
174,C#7
175,C#7
176,C#7
177,C#7
178,C#7
179,C#7
180,C#7
181,C#7
182,C#7
183,C#7
184,C#7
185,C#7
186,C#7
187,C#7
188,C#7
189,C#7
190,C#7
191,C#7
192,F#7
193,F#7
194,F#7
195,F#7
196,F#7
197,F#7
198,F#7
199,F#7
200,F#7
201,F#7
202,F#7
203,F#7
204,F#7
205,F#7
206,F#7
207,F#7
208,F#7
209,F#7
210,F#7
211,F#7
212,F#7
213,F#7
214,F#7
215,F#7
216,F#7
217,F#7
218,F#7
219,F#7
220,F#7
221,F#7
222,F#7
223,F#7
224,F#7
225,F#7
226,F#7
227,F#7
228,F#7
229,F#7
230,F#7
231,F#7
232,F#7
233,F#7
234,F#7
235,F#7
236,F#7
237,F#7
238,F#7
239,F#7
240,F#7
241,F#7
242,F#7
243,F#7
244,F#7
245,F#7
246,F#7
247,F#7
248,F#7
249,F#7
250,F#7
251,F#7
252,F#7
253,F#7
254,F#7
255,F#7
256,F#7
257,F#7
258,F#7
259,F#7
260,F#7
261,F#7
262,F#7
263,F#7
264,F#7
265,F#7
266,F#7
267,F#7
268,F#7
269,F#7
270,F#7
271,F#7
272,F#7
273,F#7
274,F#7
275,F#7
276,F#7
277,F#7
278,F#7
279,F#7
280,F#7
281,F#7
282,F#7
283,F#7
284,F#7
285,F#7
286,F#7
287,F#7
288,F#7
289,F#7
290,F#7
291,F#7
292,F#7
293,F#7
294,F#7
295,F#7
296,F#7
297,F#7
298,F#7
299,F#7
300,F#7
301,F#7
302,F#7
303,F#7
304,F#7
305,F#7
306,F#7
307,F#7
308,F#7
309,F#7
310,F#7
311,F#7
312,F#7
313,F#7
314,F#7
315,F#7
316,F#7
317,F#7
318,F#7
319,F#7
320,F#7
321,F#7
322,F#7
323,F#7
324,F#7
325,F#7
326,F#7
327,F#7
328,F#7
329,F#7
330,F#7
331,F#7
332,F#7
333,F#7
334,F#7
335,F#7
336,F#7
337,F#7
338,F#7
339,F#7
340,F#7
341,F#7
342,F#7
343,F#7
344,F#7
345,F#7
346,F#7
347,F#7
348,F#7
349,F#7
350,F#7
351,F#7
352,F#7
353,F#7
354,F#7
355,F#7
356,F#7
357,F#7
358,F#7
359,F#7
360,F#7
361,F#7
362,F#7
363,F#7
364,F#7
365,F#7
366,F#7
367,F#7
368,F#7
369,F#7
370,F#7
371,F#7
372,F#7
373,F#7
374,F#7
375,F#7
376,F#7
377,F#7
378,F#7
379,F#7
380,F#7
381,F#7
382,F#7
383,F#7
384,B7
385,B7
386,B7
387,B7
388,B7
389,B7
390,B7
391,B7
392,B7
393,B7
394,B7
395,B7
396,B7
397,B7
398,B7
399,B7
400,B7
401,B7
402,B7
403,B7
404,B7
405,B7
406,B7
407,B7
408,B7
409,B7
410,B7
411,B7
412,B7
413,B7
414,B7
415,B7
416,B7
417,B7
418,B7
419,B7
420,B7
421,B7
422,B7
423,B7
424,B7
425,B7
426,B7
427,B7
428,B7
429,B7
430,B7
431,B7
432,B7
433,B7
434,B7
435,B7
436,B7
437,B7
438,B7
439,B7
440,B7
441,B7
442,B7
443,B7
444,B7
445,B7
446,B7
447,B7
448,B7
449,B7
450,B7
451,B7
452,B7
453,B7
454,B7
455,B7
456,B7
457,B7
458,B7
459,B7
460,B7
461,B7
462,B7
463,B7
464,B7
465,B7
466,B7
467,B7
468,B7
469,B7
470,B7
471,B7
472,B7
473,B7
474,B7
475,B7
476,B7
477,B7
478,B7
479,B7
480,F#7
481,F#7
482,F#7
483,F#7
484,F#7
485,F#7
486,F#7
487,F#7
488,F#7
489,F#7
490,F#7
491,F#7
492,F#7
493,F#7
494,F#7
495,F#7
496,F#7
497,F#7
498,F#7
499,F#7
500,F#7
501,F#7
502,F#7
503,F#7
504,F#7
505,F#7
506,F#7
507,F#7
508,F#7
509,F#7
510,F#7
511,F#7
512,F#7
513,F#7
514,F#7
515,F#7
516,F#7
517,F#7
518,F#7
519,F#7
520,F#7
521,F#7
522,F#7
523,F#7
524,F#7
525,F#7
526,F#7
527,F#7
528,B-m
529,B-m
530,B-m
531,B-m
532,B-m
533,B-m
534,B-m
535,B-m
536,B-m
537,B-m
538,B-m
539,B-m
540,B-m
541,B-m
542,B-m
543,B-m
544,B-m
545,B-m
546,B-m
547,B-m
548,B-m
549,B-m
550,B-m
551,B-m
552,E-7
553,E-7
554,E-7
555,E-7
556,E-7
557,E-7
558,E-7
559,E-7
560,E-7
561,E-7
562,E-7
563,E-7
564,E-7
565,E-7
566,E-7
567,E-7
568,E-7
569,E-7
570,E-7
571,E-7
572,E-7
573,E-7
574,E-7
575,E-7
576,G#m
577,G#m
578,G#m
579,G#m
580,G#m
581,G#m
582,G#m
583,G#m
584,G#m
585,G#m
586,G#m
587,G#m
588,G#m
589,G#m
590,G#m
591,G#m
592,G#m
593,G#m
594,G#m
595,G#m
596,G#m
597,G#m
598,G#m
599,G#m
600,G#m
601,G#m
602,G#m
603,G#m
604,G#m
605,G#m
606,G#m
607,G#m
608,G#m
609,G#m
610,G#m
611,G#m
612,G#m
613,G#m
614,G#m
615,G#m
616,G#m
617,G#m
618,G#m
619,G#m
620,G#m
621,G#m
622,G#m
623,G#m
624,C#7
625,C#7
626,C#7
627,C#7
628,C#7
629,C#7
630,C#7
631,C#7
632,C#7
633,C#7
634,C#7
635,C#7
636,C#7
637,C#7
638,C#7
639,C#7
640,C#7
641,C#7
642,C#7
643,C#7
644,C#7
645,C#7
646,C#7
647,C#7
648,C#7
649,C#7
650,C#7
651,C#7
652,C#7
653,C#7
654,C#7
655,C#7
656,C#7
657,C#7
658,C#7
659,C#7
660,C#7
661,C#7
662,C#7
663,C#7
664,C#7
665,C#7
666,C#7
667,C#7
668,C#7
669,C#7
670,C#7
671,C#7
672,F#7
673,F#7
674,F#7
675,F#7
676,F#7
677,F#7
678,F#7
679,F#7
680,F#7
681,F#7
682,F#7
683,F#7
684,F#7
685,F#7
686,F#7
687,F#7
688,F#7
689,F#7
690,F#7
691,F#7
692,F#7
693,F#7
694,F#7
695,F#7
696,F#7
697,F#7
698,F#7
699,F#7
700,F#7
701,F#7
702,F#7
703,F#7
704,F#7
705,F#7
706,F#7
707,F#7
708,F#7
709,F#7
710,F#7
711,F#7
712,F#7
713,F#7
714,F#7
715,F#7
716,F#7
717,F#7
718,F#7
719,F#7
720,G#m
721,G#m
722,G#m
723,G#m
724,G#m
725,G#m
726,G#m
727,G#m
728,G#m
729,G#m
730,G#m
731,G#m
732,G#m
733,G#m
734,G#m
735,G#m
736,G#m
737,G#m
738,G#m
739,G#m
740,G#m
741,G#m
742,G#m
743,G#m
744,C#7
745,C#7
746,C#7
747,C#7
748,C#7
749,C#7
750,C#7
751,C#7
752,C#7
753,C#7
754,C#7
755,C#7
756,C#7
757,C#7
758,C#7
759,C#7
760,C#7
761,C#7
762,C#7
763,C#7
764,C#7
765,C#7
766,C#7
767,C#7
768,F#7
769,F#7
770,F#7
771,F#7
772,F#7
773,F#7
774,F#7
775,F#7
776,F#7
777,F#7
778,F#7
779,F#7
780,F#7
781,F#7
782,F#7
783,F#7
784,F#7
785,F#7
786,F#7
787,F#7
788,F#7
789,F#7
790,F#7
791,F#7
792,F#7
793,F#7
794,F#7
795,F#7
796,F#7
797,F#7
798,F#7
799,F#7
800,F#7
801,F#7
802,F#7
803,F#7
804,F#7
805,F#7
806,F#7
807,F#7
808,F#7
809,F#7
810,F#7
811,F#7
812,F#7
813,F#7
814,F#7
815,F#7
816,F#7
817,F#7
818,F#7
819,F#7
820,F#7
821,F#7
822,F#7
823,F#7
824,F#7
825,F#7
826,F#7
827,F#7
828,F#7
829,F#7
830,F#7
831,F#7
832,F#7
833,F#7
834,F#7
835,F#7
836,F#7
837,F#7
838,F#7
839,F#7
840,F#7
841,F#7
842,F#7
843,F#7
844,F#7
845,F#7
846,F#7
847,F#7
848,F#7
849,F#7
850,F#7
851,F#7
852,F#7
853,F#7
854,F#7
855,F#7
856,F#7
857,F#7
858,F#7
859,F#7
860,F#7
861,F#7
862,F#7
863,F#7
864,F#7
865,F#7
866,F#7
867,F#7
868,F#7
869,F#7
870,F#7
871,F#7
872,F#7
873,F#7
874,F#7
