,0
0,Em
1,Em
2,Em
3,Em
4,Em
5,Em
6,Em
7,Em
8,Em
9,Em
10,Em
11,Em
12,Em
13,Em
14,Em
15,Em
16,Em
17,Em
18,Em
19,Em
20,Em
21,Em
22,Em
23,Em
24,A7
25,A7
26,A7
27,A7
28,A7
29,A7
30,A7
31,A7
32,A7
33,A7
34,A7
35,A7
36,A7
37,A7
38,A7
39,A7
40,A7
41,A7
42,A7
43,A7
44,A7
45,A7
46,A7
47,A7
48,D
49,D
50,D
51,D
52,D
53,D
54,D
55,D
56,D
57,D
58,D
59,D
60,D
61,D
62,D
63,D
64,D
65,D
66,D
67,D
68,D
69,D
70,D
71,D
72,D
73,D
74,D
75,D
76,D
77,D
78,D
79,D
80,D
81,D
82,D
83,D
84,D
85,D
86,D
87,D
88,D
89,D
90,D
91,D
92,D
93,D
94,D
95,D
96,Fdim
97,Fdim
98,Fdim
99,Fdim
100,Fdim
101,Fdim
102,Fdim
103,Fdim
104,Fdim
105,Fdim
106,Fdim
107,Fdim
108,Fdim
109,Fdim
110,Fdim
111,Fdim
112,Fdim
113,Fdim
114,Fdim
115,Fdim
116,Fdim
117,Fdim
118,Fdim
119,Fdim
120,Fdim
121,Fdim
122,Fdim
123,Fdim
124,Fdim
125,Fdim
126,Fdim
127,Fdim
128,Fdim
129,Fdim
130,Fdim
131,Fdim
132,Fdim
133,Fdim
134,Fdim
135,Fdim
136,Fdim
137,Fdim
138,Fdim
139,Fdim
140,Fdim
141,Fdim
142,Fdim
143,Fdim
144,Em
145,Em
146,Em
147,Em
148,Em
149,Em
150,Em
151,Em
152,Em
153,Em
154,Em
155,Em
156,Em
157,Em
158,Em
159,Em
160,Em
161,Em
162,Em
163,Em
164,Em
165,Em
166,Em
167,Em
168,Em
169,Em
170,Em
171,Em
172,Em
173,Em
174,Em
175,Em
176,Em
177,Em
178,Em
179,Em
180,Em
181,Em
182,Em
183,Em
184,Em
185,Em
186,Em
187,Em
188,Em
189,Em
190,Em
191,Em
192,Em
193,Em
194,Em
195,Em
196,Em
197,Em
198,Em
199,Em
200,Em
201,Em
202,Em
203,Em
204,Em
205,Em
206,Em
207,Em
208,Em
209,Em
210,Em
211,Em
212,Em
213,Em
214,Em
215,Em
216,Em
217,Em
218,Em
219,Em
220,Em
221,Em
222,Em
223,Em
224,Em
225,Em
226,Em
227,Em
228,Em
229,Em
230,Em
231,Em
232,Em
233,Em
234,Em
235,Em
236,Em
237,Em
238,Em
239,Em
240,Em
241,Em
242,Em
243,Em
244,Em
245,Em
246,Em
247,Em
248,Em
249,Em
250,Em
251,Em
252,Em
253,Em
254,Em
255,Em
256,Em
257,Em
258,Em
259,Em
260,Em
261,Em
262,Em
263,Em
264,E7
265,E7
266,E7
267,E7
268,E7
269,E7
270,E7
271,E7
272,E7
273,E7
274,E7
275,E7
276,E7
277,E7
278,E7
279,E7
280,E7
281,E7
282,E7
283,E7
284,E7
285,E7
286,E7
287,E7
288,A7
289,A7
290,A7
291,A7
292,A7
293,A7
294,A7
295,A7
296,A7
297,A7
298,A7
299,A7
300,A7
301,A7
302,A7
303,A7
304,A7
305,A7
306,A7
307,A7
308,A7
309,A7
310,A7
311,A7
312,A7
313,A7
314,A7
315,A7
316,A7
317,A7
318,A7
319,A7
320,A7
321,A7
322,A7
323,A7
324,A7
325,A7
326,A7
327,A7
328,A7
329,A7
330,A7
331,A7
332,A7
333,A7
334,A7
335,A7
336,D
337,D
338,D
339,D
340,D
341,D
342,D
343,D
344,D
345,D
346,D
347,D
348,D
349,D
350,D
351,D
352,D
353,D
354,D
355,D
356,D
357,D
358,D
359,D
360,D
361,D
362,D
363,D
364,D
365,D
366,D
367,D
368,D
369,D
370,D
371,D
372,D
373,D
374,D
375,D
376,D
377,D
378,D
379,D
380,D
381,D
382,D
383,D
384,Em
385,Em
386,Em
387,Em
388,Em
389,Em
390,Em
391,Em
392,Em
393,Em
394,Em
395,Em
396,Em
397,Em
398,Em
399,Em
400,Em
401,Em
402,Em
403,Em
404,Em
405,Em
406,Em
407,Em
408,A7
409,A7
410,A7
411,A7
412,A7
413,A7
414,A7
415,A7
416,A7
417,A7
418,A7
419,A7
420,A7
421,A7
422,A7
423,A7
424,A7
425,A7
426,A7
427,A7
428,A7
429,A7
430,A7
431,A7
432,D
433,D
434,D
435,D
436,D
437,D
438,D
439,D
440,D
441,D
442,D
443,D
444,D
445,D
446,D
447,D
448,D
449,D
450,D
451,D
452,D
453,D
454,D
455,D
456,D
457,D
458,D
459,D
460,D
461,D
462,D
463,D
464,D
465,D
466,D
467,D
468,D
469,D
470,D
471,D
472,D
473,D
474,D
475,D
476,D
477,D
478,D
479,D
480,Fdim
481,Fdim
482,Fdim
483,Fdim
484,Fdim
485,Fdim
486,Fdim
487,Fdim
488,Fdim
489,Fdim
490,Fdim
491,Fdim
492,Fdim
493,Fdim
494,Fdim
495,Fdim
496,Fdim
497,Fdim
498,Fdim
499,Fdim
500,Fdim
501,Fdim
502,Fdim
503,Fdim
504,Fdim
505,Fdim
506,Fdim
507,Fdim
508,Fdim
509,Fdim
510,Fdim
511,Fdim
512,Fdim
513,Fdim
514,Fdim
515,Fdim
516,Fdim
517,Fdim
518,Fdim
519,Fdim
520,Fdim
521,Fdim
522,Fdim
523,Fdim
524,Fdim
525,Fdim
526,Fdim
527,Fdim
528,Em
529,Em
530,Em
531,Em
532,Em
533,Em
534,Em
535,Em
536,Em
537,Em
538,Em
539,Em
540,Em
541,Em
542,Em
543,Em
544,Em
545,Em
546,Em
547,Em
548,Em
549,Em
550,Em
551,Em
552,Em
553,Em
554,Em
555,Em
556,Em
557,Em
558,Em
559,Em
560,Em
561,Em
562,Em
563,Em
564,Em
565,Em
566,Em
567,Em
568,Em
569,Em
570,Em
571,Em
572,Em
573,Em
574,Em
575,Em
576,A7
577,A7
578,A7
579,A7
580,A7
581,A7
582,A7
583,A7
584,A7
585,A7
586,A7
587,A7
588,A7
589,A7
590,A7
591,A7
592,A7
593,A7
594,A7
595,A7
596,A7
597,A7
598,A7
599,A7
600,A7
601,A7
602,A7
603,A7
604,A7
605,A7
606,A7
607,A7
608,A7
609,A7
610,A7
611,A7
612,A7
613,A7
614,A7
615,A7
616,A7
617,A7
618,A7
619,A7
620,A7
621,A7
622,A7
623,A7
624,Em
625,Em
626,Em
627,Em
628,Em
629,Em
630,Em
631,Em
632,Em
633,Em
634,Em
635,Em
636,Em
637,Em
638,Em
639,Em
640,Em
641,Em
642,Em
643,Em
644,Em
645,Em
646,Em
647,Em
648,Em
649,Em
650,Em
651,Em
652,Em
653,Em
654,Em
655,Em
656,Em
657,Em
658,Em
659,Em
660,Em
661,Em
662,Em
663,Em
664,Em
665,Em
666,Em
667,Em
668,Em
669,Em
670,Em
671,Em
672,A7
673,A7
674,A7
675,A7
676,A7
677,A7
678,A7
679,A7
680,A7
681,A7
682,A7
683,A7
684,A7
685,A7
686,A7
687,A7
688,A7
689,A7
690,A7
691,A7
692,A7
693,A7
694,A7
695,A7
696,A7
697,A7
698,A7
699,A7
700,A7
701,A7
702,A7
703,A7
704,A7
705,A7
706,A7
707,A7
708,A7
709,A7
710,A7
711,A7
712,A7
713,A7
714,A7
715,A7
716,A7
717,A7
718,A7
719,A7
720,D
721,D
722,D
723,D
724,D
725,D
726,D
727,D
728,D
729,D
730,D
731,D
732,D
733,D
734,D
735,D
736,D
737,D
738,D
739,D
740,D
741,D
742,D
743,D
744,Fdim
745,Fdim
746,Fdim
747,Fdim
748,Fdim
749,Fdim
750,Fdim
751,Fdim
752,Fdim
753,Fdim
754,Fdim
755,Fdim
756,Fdim
757,Fdim
758,Fdim
759,Fdim
760,Fdim
761,Fdim
762,Fdim
763,Fdim
764,Fdim
765,Fdim
766,Fdim
767,Fdim
768,Em
769,Em
770,Em
771,Em
772,Em
773,Em
774,Em
775,Em
776,Em
777,Em
778,Em
779,Em
780,Em
781,Em
782,Em
783,Em
784,Em
785,Em
786,Em
787,Em
788,Em
789,Em
790,Em
791,Em
792,A7
793,A7
794,A7
795,A7
796,A7
797,A7
798,A7
799,A7
800,A7
801,A7
802,A7
803,A7
804,A7
805,A7
806,A7
807,A7
808,A7
809,A7
810,A7
811,A7
812,A7
813,A7
814,A7
815,A7
816,D
817,D
818,D
819,D
820,D
821,D
822,D
823,D
824,D
825,D
826,D
827,D
828,D
829,D
830,D
831,D
832,D
833,D
834,D
835,D
836,D
837,D
838,D
839,D
840,D
841,D
842,D
843,D
844,D
845,D
846,D
847,D
848,D
849,D
850,D
851,D
852,D
853,D
854,D
855,D
856,D
857,D
858,D
859,D
860,D
861,D
862,D
863,D
864,Fdim
865,Fdim
866,Fdim
867,Fdim
868,Fdim
869,Fdim
870,Fdim
871,Fdim
872,Fdim
873,Fdim
874,Fdim
875,Fdim
876,Fdim
877,Fdim
878,Fdim
879,Fdim
880,Fdim
881,Fdim
882,Fdim
883,Fdim
884,Fdim
885,Fdim
886,Fdim
887,Fdim
888,Fdim
889,Fdim
890,Fdim
891,Fdim
892,Fdim
893,Fdim
894,Fdim
895,Fdim
896,Fdim
897,Fdim
898,Fdim
899,Fdim
900,Fdim
901,Fdim
902,Fdim
903,Fdim
904,Fdim
905,Fdim
906,Fdim
907,Fdim
908,Fdim
909,Fdim
910,Fdim
911,Fdim
912,Em
913,Em
914,Em
915,Em
916,Em
917,Em
918,Em
919,Em
920,Em
921,Em
922,Em
923,Em
924,Em
925,Em
926,Em
927,Em
928,Em
929,Em
930,Em
931,Em
932,Em
933,Em
934,Em
935,Em
936,Em
937,Em
938,Em
939,Em
940,Em
941,Em
942,Em
943,Em
944,Em
945,Em
946,Em
947,Em
948,Em
949,Em
950,Em
951,Em
952,Em
953,Em
954,Em
955,Em
956,Em
957,Em
958,Em
959,Em
960,A7
961,A7
962,A7
963,A7
964,A7
965,A7
966,A7
967,A7
968,A7
969,A7
970,A7
971,A7
972,A7
973,A7
974,A7
975,A7
976,A7
977,A7
978,A7
979,A7
980,A7
981,A7
982,A7
983,A7
984,A7
985,A7
986,A7
987,A7
988,A7
989,A7
990,A7
991,A7
992,A7
993,A7
994,A7
995,A7
996,A7
997,A7
998,A7
999,A7
1000,A7
1001,A7
1002,A7
1003,A7
1004,A7
1005,A7
1006,A7
1007,A7
1008,Em
1009,Em
1010,Em
1011,Em
1012,Em
1013,Em
1014,Em
1015,Em
1016,Em
1017,Em
1018,Em
1019,Em
1020,Em
1021,Em
1022,Em
1023,Em
1024,Em
1025,Em
1026,Em
1027,Em
1028,Em
1029,Em
1030,Em
1031,Em
1032,E7
1033,E7
1034,E7
1035,E7
1036,E7
1037,E7
1038,E7
1039,E7
1040,E7
1041,E7
1042,E7
1043,E7
1044,E7
1045,E7
1046,E7
1047,E7
1048,E7
1049,E7
1050,E7
1051,E7
1052,E7
1053,E7
1054,E7
1055,E7
1056,A7
1057,A7
1058,A7
1059,A7
1060,A7
1061,A7
1062,A7
1063,A7
1064,A7
1065,A7
1066,A7
1067,A7
1068,A7
1069,A7
1070,A7
1071,A7
1072,A7
1073,A7
1074,A7
1075,A7
1076,A7
1077,A7
1078,A7
1079,A7
1080,A7
1081,A7
1082,A7
1083,A7
1084,A7
1085,A7
1086,A7
1087,A7
1088,A7
1089,A7
1090,A7
1091,A7
1092,A7
1093,A7
1094,A7
1095,A7
1096,A7
1097,A7
1098,A7
1099,A7
1100,A7
1101,A7
1102,A7
1103,A7
1104,D
1105,D
1106,D
1107,D
1108,D
1109,D
1110,D
1111,D
1112,D
1113,D
1114,D
1115,D
1116,D
1117,D
1118,D
1119,D
1120,D
1121,D
1122,D
1123,D
1124,D
1125,D
1126,D
1127,D
1128,D
1129,D
1130,D
1131,D
1132,D
1133,D
1134,D
1135,D
1136,D
1137,D
1138,D
1139,D
1140,D
1141,D
1142,D
1143,D
1144,D
1145,D
1146,D
1147,D
1148,D
1149,D
1150,D
1151,D
1152,Am
1153,Am
1154,Am
1155,Am
1156,Am
1157,Am
1158,Am
1159,Am
1160,Am
1161,Am
1162,Am
1163,Am
1164,Am
1165,Am
1166,Am
1167,Am
1168,Am
1169,Am
1170,Am
1171,Am
1172,Am
1173,Am
1174,Am
1175,Am
1176,D7
1177,D7
1178,D7
1179,D7
1180,D7
1181,D7
1182,D7
1183,D7
1184,D7
1185,D7
1186,D7
1187,D7
1188,D7
1189,D7
1190,D7
1191,D7
1192,D7
1193,D7
1194,D7
1195,D7
1196,D7
1197,D7
1198,D7
1199,D7
1200,G
1201,G
1202,G
1203,G
1204,G
1205,G
1206,G
1207,G
1208,G
1209,G
1210,G
1211,G
1212,G
1213,G
1214,G
1215,G
1216,G
