,0
0,F#m
1,F#m
2,F#m
3,F#m
4,F#m
5,F#m
6,F#m
7,F#m
8,F#m
9,F#m
10,F#m
11,F#m
12,F#m
13,F#m
14,F#m
15,F#m
16,F#m
17,F#m
18,F#m
19,F#m
20,F#m
21,F#m
22,F#m
23,F#m
24,B7
25,B7
26,B7
27,B7
28,B7
29,B7
30,B7
31,B7
32,B7
33,B7
34,B7
35,B7
36,B7
37,B7
38,B7
39,B7
40,B7
41,B7
42,B7
43,B7
44,B7
45,B7
46,B7
47,B7
48,E
49,E
50,E
51,E
52,E
53,E
54,E
55,E
56,E
57,E
58,E
59,E
60,E
61,E
62,E
63,E
64,E
65,E
66,E
67,E
68,E
69,E
70,E
71,E
72,E
73,E
74,E
75,E
76,E
77,E
78,E
79,E
80,E
81,E
82,E
83,E
84,E
85,E
86,E
87,E
88,E
89,E
90,E
91,E
92,E
93,E
94,E
95,E
96,Gdim
97,Gdim
98,Gdim
99,Gdim
100,Gdim
101,Gdim
102,Gdim
103,Gdim
104,Gdim
105,Gdim
106,Gdim
107,Gdim
108,Gdim
109,Gdim
110,Gdim
111,Gdim
112,Gdim
113,Gdim
114,Gdim
115,Gdim
116,Gdim
117,Gdim
118,Gdim
119,Gdim
120,Gdim
121,Gdim
122,Gdim
123,Gdim
124,Gdim
125,Gdim
126,Gdim
127,Gdim
128,Gdim
129,Gdim
130,Gdim
131,Gdim
132,Gdim
133,Gdim
134,Gdim
135,Gdim
136,Gdim
137,Gdim
138,Gdim
139,Gdim
140,Gdim
141,Gdim
142,Gdim
143,Gdim
144,F#m
145,F#m
146,F#m
147,F#m
148,F#m
149,F#m
150,F#m
151,F#m
152,F#m
153,F#m
154,F#m
155,F#m
156,F#m
157,F#m
158,F#m
159,F#m
160,F#m
161,F#m
162,F#m
163,F#m
164,F#m
165,F#m
166,F#m
167,F#m
168,F#m
169,F#m
170,F#m
171,F#m
172,F#m
173,F#m
174,F#m
175,F#m
176,F#m
177,F#m
178,F#m
179,F#m
180,F#m
181,F#m
182,F#m
183,F#m
184,F#m
185,F#m
186,F#m
187,F#m
188,F#m
189,F#m
190,F#m
191,F#m
192,F#m
193,F#m
194,F#m
195,F#m
196,F#m
197,F#m
198,F#m
199,F#m
200,F#m
201,F#m
202,F#m
203,F#m
204,F#m
205,F#m
206,F#m
207,F#m
208,F#m
209,F#m
210,F#m
211,F#m
212,F#m
213,F#m
214,F#m
215,F#m
216,F#m
217,F#m
218,F#m
219,F#m
220,F#m
221,F#m
222,F#m
223,F#m
224,F#m
225,F#m
226,F#m
227,F#m
228,F#m
229,F#m
230,F#m
