,0
0,Am
1,Am
2,Am
3,Am
4,Am
5,Am
6,Am
7,Am
8,Am
9,Am
10,Am
11,Am
12,Am
13,Am
14,Am
15,Am
16,Am
17,Am
18,Am
19,Am
20,Am
21,Am
22,Am
23,Am
24,D7
25,D7
26,D7
27,D7
28,D7
29,D7
30,D7
31,D7
32,D7
33,D7
34,D7
35,D7
36,D7
37,D7
38,D7
39,D7
40,D7
41,D7
42,D7
43,D7
44,D7
45,D7
46,D7
47,D7
48,G
49,G
50,G
51,G
52,G
53,G
54,G
55,G
56,G
57,G
58,G
59,G
60,G
61,G
62,G
63,G
64,G
65,G
66,G
67,G
68,G
69,G
70,G
71,G
72,G
73,G
74,G
75,G
76,G
77,G
78,G
79,G
80,G
81,G
82,G
83,G
84,G
85,G
86,G
87,G
88,G
89,G
90,G
91,G
92,G
93,G
94,G
95,G
96,B-dim
97,B-dim
98,B-dim
99,B-dim
100,B-dim
101,B-dim
102,B-dim
103,B-dim
104,B-dim
105,B-dim
106,B-dim
107,B-dim
108,B-dim
109,B-dim
110,B-dim
111,B-dim
112,B-dim
113,B-dim
114,B-dim
115,B-dim
116,B-dim
117,B-dim
118,B-dim
119,B-dim
120,B-dim
121,B-dim
122,B-dim
123,B-dim
124,B-dim
125,B-dim
126,B-dim
127,B-dim
128,B-dim
129,B-dim
130,B-dim
131,B-dim
132,B-dim
133,B-dim
134,B-dim
135,B-dim
136,B-dim
137,B-dim
138,B-dim
139,B-dim
140,B-dim
141,B-dim
142,B-dim
143,B-dim
144,Am
145,Am
146,Am
147,Am
148,Am
149,Am
150,Am
151,Am
152,Am
153,Am
154,Am
155,Am
156,Am
157,Am
158,Am
159,Am
160,Am
161,Am
162,Am
163,Am
164,Am
165,Am
166,Am
167,Am
168,Am
169,Am
170,Am
171,Am
172,Am
173,Am
174,Am
175,Am
176,Am
177,Am
178,Am
179,Am
180,Am
181,Am
182,Am
183,Am
184,Am
185,Am
186,Am
187,Am
188,Am
189,Am
190,Am
191,Am
192,Am
193,Am
194,Am
195,Am
196,Am
197,Am
198,Am
199,Am
200,Am
201,Am
202,Am
203,Am
204,Am
205,Am
206,Am
207,Am
208,Am
209,Am
210,Am
211,Am
212,Am
213,Am
214,Am
215,Am
216,Am
217,Am
218,Am
219,Am
220,Am
221,Am
222,Am
223,Am
224,Am
225,Am
226,Am
227,Am
228,Am
229,Am
230,Am
231,Am
232,Am
233,Am
234,Am
235,Am
236,Am
237,Am
238,Am
239,Am
240,Am
241,Am
242,Am
243,Am
244,Am
245,Am
246,Am
247,Am
248,Am
249,Am
250,Am
251,Am
252,Am
253,Am
254,Am
255,Am
256,Am
257,Am
258,Am
259,Am
260,Am
261,Am
262,Am
263,Am
264,A7
265,A7
266,A7
267,A7
268,A7
269,A7
270,A7
271,A7
272,A7
273,A7
274,A7
275,A7
276,A7
277,A7
278,A7
279,A7
280,A7
281,A7
282,A7
283,A7
284,A7
285,A7
286,A7
287,A7
288,D7
289,D7
290,D7
291,D7
292,D7
293,D7
294,D7
295,D7
296,D7
297,D7
298,D7
299,D7
300,D7
301,D7
302,D7
303,D7
304,D7
305,D7
306,D7
307,D7
308,D7
309,D7
310,D7
311,D7
312,D7
313,D7
314,D7
315,D7
316,D7
317,D7
318,D7
319,D7
320,D7
321,D7
322,D7
323,D7
324,D7
325,D7
326,D7
327,D7
328,D7
329,D7
330,D7
331,D7
332,D7
333,D7
334,D7
335,D7
336,G
337,G
338,G
339,G
340,G
341,G
342,G
343,G
344,G
345,G
346,G
347,G
348,G
349,G
350,G
351,G
352,G
353,G
354,G
355,G
356,G
357,G
358,G
359,G
360,G
361,G
362,G
363,G
364,G
365,G
366,G
367,G
368,G
369,G
370,G
371,G
372,G
373,G
