,0
0,F
1,F
2,F
3,F
4,F
5,F
6,F
7,F
8,F
9,F
10,F
11,F
12,F
13,F
14,F
15,F
16,F
17,F
18,F
19,F
20,F
21,F
22,F
23,F
24,F
25,F
26,F
27,F
28,F
29,F
30,F
31,F
32,F
33,F
34,F
35,F
36,F
37,F
38,F
39,F
40,F
41,F
42,F
43,F
44,F
45,F
46,F
47,F
48,E/o7
49,E/o7
50,E/o7
51,E/o7
52,E/o7
53,E/o7
54,E/o7
55,E/o7
56,E/o7
57,E/o7
58,E/o7
59,E/o7
60,E/o7
61,E/o7
62,E/o7
63,E/o7
64,E/o7
65,E/o7
66,E/o7
67,E/o7
68,E/o7
69,E/o7
70,E/o7
71,E/o7
72,A7
73,A7
74,A7
75,A7
76,A7
77,A7
78,A7
79,A7
80,A7
81,A7
82,A7
83,A7
84,A7
85,A7
86,A7
87,A7
88,A7
89,A7
90,A7
91,A7
92,A7
93,A7
94,A7
95,A7
96,Dm
97,Dm
98,Dm
99,Dm
100,Dm
101,Dm
102,Dm
103,Dm
104,Dm
105,Dm
106,Dm
107,Dm
108,Dm
109,Dm
110,Dm
111,Dm
112,Dm
113,Dm
114,Dm
115,Dm
116,Dm
117,Dm
118,Dm
119,Dm
120,G7
121,G7
122,G7
123,G7
124,G7
125,G7
126,G7
127,G7
128,G7
129,G7
130,G7
131,G7
132,G7
133,G7
134,G7
135,G7
136,G7
137,G7
138,G7
139,G7
140,G7
141,G7
142,G7
143,G7
144,Cm
145,Cm
146,Cm
147,Cm
148,Cm
149,Cm
150,Cm
151,Cm
152,Cm
153,Cm
154,Cm
155,Cm
156,Cm
157,Cm
158,Cm
159,Cm
160,Cm
161,Cm
162,Cm
163,Cm
164,Cm
165,Cm
166,Cm
167,Cm
168,F7
169,F7
170,F7
171,F7
172,F7
173,F7
174,F7
175,F7
176,F7
177,F7
178,F7
179,F7
180,F7
181,F7
182,F7
183,F7
184,F7
185,F7
186,F7
187,F7
188,F7
189,F7
190,F7
191,F7
192,B-7
193,B-7
194,B-7
195,B-7
196,B-7
197,B-7
198,B-7
199,B-7
200,B-7
201,B-7
202,B-7
203,B-7
204,B-7
205,B-7
206,B-7
207,B-7
208,B-7
209,B-7
210,B-7
211,B-7
212,B-7
213,B-7
214,B-7
215,B-7
216,B-7
217,B-7
218,B-7
219,B-7
220,B-7
221,B-7
222,B-7
223,B-7
224,B-7
225,B-7
226,B-7
227,B-7
228,B-7
229,B-7
230,B-7
231,B-7
232,B-7
233,B-7
234,B-7
235,B-7
236,B-7
237,B-7
238,B-7
239,B-7
240,Am
241,Am
242,Am
243,Am
244,Am
245,Am
246,Am
247,Am
248,Am
249,Am
250,Am
251,Am
252,Am
253,Am
254,Am
255,Am
256,Am
257,Am
258,Am
259,Am
260,Am
261,Am
262,Am
263,Am
264,D7
265,D7
266,D7
267,D7
268,D7
269,D7
270,D7
271,D7
272,D7
273,D7
274,D7
275,D7
276,D7
277,D7
278,D7
279,D7
280,D7
281,D7
282,D7
283,D7
284,D7
285,D7
286,D7
287,D7
288,G7
289,G7
290,G7
291,G7
292,G7
293,G7
294,G7
295,G7
296,G7
297,G7
298,G7
299,G7
300,G7
301,G7
302,G7
303,G7
304,G7
305,G7
306,G7
307,G7
308,G7
309,G7
310,G7
311,G7
312,G7
313,G7
314,G7
315,G7
316,G7
317,G7
318,G7
319,G7
320,G7
321,G7
322,G7
323,G7
324,G7
325,G7
326,G7
327,G7
328,G7
329,G7
330,G7
331,G7
332,G7
333,G7
334,G7
335,G7
336,Gm
337,Gm
338,Gm
339,Gm
340,Gm
341,Gm
342,Gm
343,Gm
344,Gm
345,Gm
346,Gm
347,Gm
348,Gm
349,Gm
350,Gm
351,Gm
352,Gm
353,Gm
354,Gm
355,Gm
356,Gm
357,Gm
358,Gm
359,Gm
360,C7
361,C7
362,C7
363,C7
364,C7
365,C7
366,C7
367,C7
368,C7
369,C7
370,C7
371,C7
372,C7
373,C7
374,C7
375,C7
376,C7
377,C7
378,C7
379,C7
380,C7
381,C7
382,C7
383,C7
384,F
385,F
386,F
387,F
388,F
389,F
390,F
391,F
392,F
393,F
394,F
395,F
396,F
397,F
398,F
399,F
400,F
401,F
402,F
403,F
404,F
405,F
406,F
407,F
408,F
409,F
410,F
411,F
412,F
413,F
414,F
415,F
416,F
417,F
418,F
419,F
420,F
421,F
422,F
423,F
424,F
425,F
426,F
427,F
428,F
429,F
430,F
431,F
432,E/o7
433,E/o7
434,E/o7
435,E/o7
436,E/o7
437,E/o7
438,E/o7
439,E/o7
440,E/o7
441,E/o7
442,E/o7
443,E/o7
444,E/o7
445,E/o7
446,E/o7
447,E/o7
448,E/o7
449,E/o7
450,E/o7
451,E/o7
452,E/o7
453,E/o7
454,E/o7
455,E/o7
456,A7
457,A7
458,A7
459,A7
460,A7
461,A7
462,A7
463,A7
464,A7
465,A7
466,A7
467,A7
468,A7
469,A7
470,A7
471,A7
472,A7
473,A7
474,A7
475,A7
476,A7
477,A7
478,A7
479,A7
480,Dm
481,Dm
482,Dm
483,Dm
484,Dm
485,Dm
486,Dm
487,Dm
488,Dm
489,Dm
490,Dm
491,Dm
492,Dm
493,Dm
494,Dm
495,Dm
496,Dm
497,Dm
498,Dm
499,Dm
500,Dm
501,Dm
502,Dm
503,Dm
504,G7
505,G7
506,G7
507,G7
508,G7
509,G7
510,G7
511,G7
512,G7
513,G7
514,G7
515,G7
516,G7
517,G7
518,G7
519,G7
520,G7
521,G7
522,G7
523,G7
524,G7
525,G7
526,G7
527,G7
528,Cm
529,Cm
530,Cm
531,Cm
532,Cm
533,Cm
534,Cm
535,Cm
536,Cm
537,Cm
538,Cm
539,Cm
540,Cm
541,Cm
542,Cm
543,Cm
544,Cm
545,Cm
546,Cm
547,Cm
548,Cm
549,Cm
550,Cm
551,Cm
552,F7
553,F7
554,F7
555,F7
556,F7
557,F7
558,F7
559,F7
560,F7
561,F7
562,F7
563,F7
564,F7
565,F7
566,F7
567,F7
568,F7
569,F7
570,F7
571,F7
572,F7
573,F7
574,F7
575,F7
576,B-7
577,B-7
578,B-7
579,B-7
580,B-7
581,B-7
582,B-7
583,B-7
584,B-7
585,B-7
586,B-7
587,B-7
588,B-7
589,B-7
590,B-7
591,B-7
592,B-7
593,B-7
594,B-7
595,B-7
596,B-7
597,B-7
598,B-7
599,B-7
600,B-7
601,B-7
602,B-7
603,B-7
604,B-7
605,B-7
606,B-7
607,B-7
608,B-7
609,B-7
610,B-7
611,B-7
612,B-7
613,B-7
614,B-7
615,B-7
616,B-7
617,B-7
618,B-7
619,B-7
620,B-7
621,B-7
622,B-7
623,B-7
624,Am
625,Am
626,Am
627,Am
628,Am
629,Am
630,Am
631,Am
632,Am
633,Am
634,Am
635,Am
636,Am
637,Am
638,Am
639,Am
640,Am
641,Am
642,Am
643,Am
644,Am
645,Am
646,Am
647,Am
648,D7
649,D7
650,D7
651,D7
652,D7
653,D7
654,D7
655,D7
656,D7
657,D7
658,D7
659,D7
660,D7
661,D7
662,D7
663,D7
664,D7
665,D7
666,D7
667,D7
668,D7
669,D7
670,D7
671,D7
672,Gm
673,Gm
674,Gm
675,Gm
676,Gm
677,Gm
678,Gm
679,Gm
680,Gm
681,Gm
682,Gm
683,Gm
684,Gm
685,Gm
686,Gm
687,Gm
688,Gm
689,Gm
690,Gm
691,Gm
692,Gm
693,Gm
694,Gm
695,Gm
696,C7
697,C7
698,C7
699,C7
700,C7
701,C7
702,C7
703,C7
704,C7
705,C7
706,C7
707,C7
708,C7
709,C7
710,C7
711,C7
712,C7
713,C7
714,C7
715,C7
716,C7
717,C7
718,C7
719,C7
720,F
721,F
722,F
723,F
724,F
725,F
726,F
727,F
728,F
729,F
730,F
731,F
732,F
733,F
734,F
735,F
736,F
737,F
738,F
739,F
740,F
741,F
742,F
743,F
744,F
745,F
746,F
747,F
748,F
749,F
750,F
751,F
752,F
753,F
754,F
755,F
756,F
757,F
758,F
759,F
760,F
761,F
762,F
763,F
764,F
765,F
766,F
767,F
768,Cm
769,Cm
770,Cm
771,Cm
772,Cm
773,Cm
774,Cm
775,Cm
776,Cm
777,Cm
778,Cm
779,Cm
780,Cm
781,Cm
782,Cm
783,Cm
784,Cm
785,Cm
786,Cm
787,Cm
788,Cm
789,Cm
790,Cm
791,Cm
792,Cm
793,Cm
794,Cm
795,Cm
796,Cm
797,Cm
798,Cm
799,Cm
800,Cm
801,Cm
802,Cm
803,Cm
804,Cm
805,Cm
806,Cm
807,Cm
808,Cm
809,Cm
810,Cm
811,Cm
812,Cm
813,Cm
814,Cm
815,Cm
816,Cm
817,Cm
818,Cm
819,Cm
820,Cm
821,Cm
822,Cm
823,Cm
824,Cm
825,Cm
826,Cm
827,Cm
828,Cm
829,Cm
830,Cm
831,Cm
832,Cm
833,Cm
834,Cm
835,Cm
836,Cm
837,Cm
838,Cm
839,Cm
840,F7
841,F7
842,F7
843,F7
844,F7
845,F7
846,F7
847,F7
848,F7
849,F7
850,F7
851,F7
852,F7
853,F7
854,F7
855,F7
856,F7
857,F7
858,F7
859,F7
860,F7
861,F7
862,F7
863,F7
864,B-
865,B-
866,B-
867,B-
868,B-
869,B-
870,B-
871,B-
872,B-
873,B-
874,B-
875,B-
876,B-
877,B-
878,B-
879,B-
880,B-
881,B-
882,B-
883,B-
884,B-
885,B-
886,B-
887,B-
888,B-
889,B-
890,B-
891,B-
892,B-
893,B-
894,B-
895,B-
896,B-
897,B-
898,B-
899,B-
900,B-
901,B-
902,B-
903,B-
904,B-
905,B-
906,B-
907,B-
908,B-
909,B-
910,B-
911,B-
912,B-
913,B-
914,B-
915,B-
916,B-
917,B-
918,B-
919,B-
920,B-
921,B-
922,B-
923,B-
924,B-
925,B-
926,B-
927,B-
928,B-
929,B-
930,B-
931,B-
932,B-
933,B-
934,B-
935,B-
936,B-
937,B-
938,B-
939,B-
940,B-
941,B-
942,B-
943,B-
944,B-
945,B-
946,B-
947,B-
948,B-
949,B-
950,B-
951,B-
952,B-
953,B-
954,B-
955,B-
956,B-
957,B-
958,B-
959,B-
960,E-m
961,E-m
962,E-m
963,E-m
964,E-m
965,E-m
966,E-m
