,0
0,C
1,C
2,C
3,C
4,C
5,C
6,C
7,C
8,C
9,C
10,C
11,C
12,C
13,C
14,C
15,C
16,C
17,C
18,C
19,C
20,C
21,C
22,C
23,C
24,C
25,C
26,C
27,C
28,C
29,C
30,C
31,C
32,C
33,C
34,C
35,C
36,C
37,C
38,C
39,C
40,C
41,C
42,C
43,C
44,C
45,C
46,C
47,C
48,F7
49,F7
50,F7
51,F7
52,F7
53,F7
54,F7
55,F7
56,F7
57,F7
58,F7
59,F7
60,F7
61,F7
62,F7
63,F7
64,F7
65,F7
66,F7
67,F7
68,F7
69,F7
70,F7
71,F7
72,F7
73,F7
74,F7
75,F7
76,F7
77,F7
78,F7
79,F7
80,F7
81,F7
82,F7
83,F7
84,F7
85,F7
86,F7
87,F7
88,F7
89,F7
90,F7
91,F7
92,F7
93,F7
94,F7
95,F7
96,C7
97,C7
98,C7
99,C7
100,C7
101,C7
102,C7
103,C7
104,C7
105,C7
106,C7
107,C7
108,C7
109,C7
110,C7
111,C7
112,C7
113,C7
114,C7
115,C7
116,C7
117,C7
118,C7
119,C7
120,C7
121,C7
122,C7
123,C7
124,C7
125,C7
126,C7
127,C7
128,C7
129,C7
130,C7
131,C7
132,C7
133,C7
134,C7
135,C7
136,C7
137,C7
138,C7
139,C7
140,C7
141,C7
142,C7
143,C7
144,Gm
145,Gm
146,Gm
147,Gm
148,Gm
149,Gm
150,Gm
151,Gm
152,Gm
153,Gm
154,Gm
155,Gm
156,Gm
157,Gm
158,Gm
159,Gm
160,Gm
161,Gm
162,Gm
163,Gm
164,Gm
165,Gm
166,Gm
167,Gm
168,C7
169,C7
170,C7
171,C7
172,C7
173,C7
174,C7
175,C7
176,C7
177,C7
178,C7
179,C7
180,C7
181,C7
182,C7
183,C7
184,C7
185,C7
186,C7
187,C7
188,C7
189,C7
190,C7
191,C7
192,F
193,F
194,F
195,F
196,F
197,F
198,F
199,F
200,F
201,F
202,F
203,F
204,F
205,F
206,F
207,F
208,F
209,F
210,F
211,F
212,F
213,F
214,F
215,F
216,F
217,F
218,F
219,F
220,F
221,F
222,F
223,F
224,F
225,F
226,F
227,F
228,F
229,F
230,F
231,F
232,F
233,F
234,F
235,F
236,F
237,F
238,F
239,F
240,Fm
241,Fm
242,Fm
243,Fm
244,Fm
245,Fm
246,Fm
247,Fm
248,Fm
249,Fm
250,Fm
251,Fm
252,Fm
253,Fm
254,Fm
255,Fm
256,Fm
257,Fm
258,Fm
259,Fm
260,Fm
261,Fm
262,Fm
263,Fm
264,Fm
265,Fm
266,Fm
267,Fm
268,Fm
269,Fm
270,Fm
271,Fm
272,Fm
273,Fm
274,Fm
275,Fm
276,Fm
277,Fm
278,Fm
279,Fm
280,Fm
281,Fm
282,Fm
283,Fm
284,Fm
285,Fm
286,Fm
287,Fm
288,Em
289,Em
