,0
0,E-
1,E-
2,E-
3,E-
4,E-
5,E-
6,E-
7,E-
8,E-
9,E-
10,E-
11,E-
12,E-
13,E-
14,E-
15,E-
16,E-
17,E-
18,E-
19,E-
20,E-
21,E-
22,E-
23,E-
24,E-
25,E-
26,E-
27,E-
28,E-
29,E-
30,E-
31,E-
32,E-
33,E-
34,E-
35,E-
36,E-
37,E-
38,E-
39,E-
40,E-
41,E-
42,E-
43,E-
44,E-
45,E-
46,E-
47,E-
48,G#7
49,G#7
50,G#7
51,G#7
52,G#7
53,G#7
54,G#7
55,G#7
56,G#7
57,G#7
58,G#7
59,G#7
60,G#7
61,G#7
62,G#7
63,G#7
64,G#7
65,G#7
66,G#7
67,G#7
68,G#7
69,G#7
70,G#7
71,G#7
72,G#7
73,G#7
74,G#7
75,G#7
76,G#7
77,G#7
78,G#7
79,G#7
80,G#7
81,G#7
82,G#7
83,G#7
84,G#7
85,G#7
86,G#7
87,G#7
88,G#7
89,G#7
90,G#7
91,G#7
92,G#7
93,G#7
94,G#7
95,G#7
96,E-7
97,E-7
98,E-7
99,E-7
100,E-7
101,E-7
102,E-7
103,E-7
104,E-7
105,E-7
106,E-7
107,E-7
108,E-7
109,E-7
110,E-7
111,E-7
112,E-7
113,E-7
114,E-7
115,E-7
116,E-7
117,E-7
118,E-7
119,E-7
120,E-7
121,E-7
122,E-7
123,E-7
124,E-7
125,E-7
126,E-7
127,E-7
128,E-7
129,E-7
130,E-7
131,E-7
132,E-7
133,E-7
134,E-7
135,E-7
136,E-7
137,E-7
138,E-7
139,E-7
140,E-7
141,E-7
142,E-7
143,E-7
144,B-m
145,B-m
146,B-m
147,B-m
148,B-m
149,B-m
150,B-m
151,B-m
152,B-m
153,B-m
154,B-m
155,B-m
156,B-m
157,B-m
158,B-m
159,B-m
160,B-m
161,B-m
162,B-m
163,B-m
164,B-m
165,B-m
166,B-m
167,B-m
168,E-7
169,E-7
170,E-7
171,E-7
172,E-7
173,E-7
174,E-7
175,E-7
176,E-7
177,E-7
178,E-7
179,E-7
180,E-7
181,E-7
182,E-7
183,E-7
184,E-7
185,E-7
186,E-7
187,E-7
188,E-7
189,E-7
190,E-7
191,E-7
192,G#
193,G#
194,G#
195,G#
196,G#
197,G#
198,G#
199,G#
200,G#
201,G#
202,G#
203,G#
204,G#
205,G#
206,G#
207,G#
208,G#
209,G#
210,G#
211,G#
212,G#
213,G#
214,G#
215,G#
216,G#
217,G#
218,G#
219,G#
220,G#
221,G#
222,G#
223,G#
224,G#
225,G#
226,G#
227,G#
228,G#
229,G#
230,G#
231,G#
232,G#
233,G#
234,G#
235,G#
236,G#
237,G#
238,G#
239,G#
240,G#m
241,G#m
242,G#m
243,G#m
244,G#m
245,G#m
246,G#m
247,G#m
248,G#m
249,G#m
250,G#m
251,G#m
252,G#m
253,G#m
254,G#m
255,G#m
256,G#m
257,G#m
258,G#m
259,G#m
260,G#m
261,G#m
262,G#m
263,G#m
264,G#m
265,G#m
266,G#m
267,G#m
268,G#m
269,G#m
270,G#m
271,G#m
272,G#m
273,G#m
274,G#m
275,G#m
276,G#m
277,G#m
278,G#m
279,G#m
280,G#m
281,G#m
282,G#m
283,G#m
284,G#m
285,G#m
286,G#m
287,G#m
288,Gm
289,Gm
290,Gm
291,Gm
292,Gm
293,Gm
294,Gm
295,Gm
296,Gm
297,Gm
298,Gm
299,Gm
300,Gm
301,Gm
302,Gm
303,Gm
304,Gm
305,Gm
306,Gm
307,Gm
308,Gm
309,Gm
310,Gm
311,Gm
312,Gm
313,Gm
314,Gm
315,Gm
316,Gm
317,Gm
318,Gm
319,Gm
320,Gm
321,Gm
322,Gm
323,Gm
324,Gm
325,Gm
326,Gm
327,Gm
328,Gm
329,Gm
330,Gm
331,Gm
332,Gm
333,Gm
334,Gm
335,Gm
336,Gm
337,Gm
338,Gm
339,Gm
340,Gm
341,Gm
342,Gm
343,Gm
344,Gm
345,Gm
346,Gm
347,Gm
348,Gm
349,Gm
350,Gm
351,Gm
352,Gm
353,Gm
354,Gm
355,Gm
356,Gm
357,Gm
358,Gm
359,Gm
360,C7
361,C7
362,C7
363,C7
364,C7
365,C7
366,C7
367,C7
368,C7
369,C7
370,C7
371,C7
372,C7
373,C7
374,C7
375,C7
376,C7
377,C7
378,C7
379,C7
380,C7
381,C7
382,C7
383,C7
384,Fm
385,Fm
386,Fm
387,Fm
388,Fm
389,Fm
390,Fm
391,Fm
392,Fm
393,Fm
394,Fm
395,Fm
396,Fm
397,Fm
398,Fm
399,Fm
400,Fm
401,Fm
402,Fm
403,Fm
404,Fm
405,Fm
406,Fm
407,Fm
408,Fm
409,Fm
410,Fm
411,Fm
412,Fm
413,Fm
414,Fm
415,Fm
416,Fm
417,Fm
418,Fm
419,Fm
420,Fm
421,Fm
422,Fm
423,Fm
424,Fm
425,Fm
426,Fm
427,Fm
428,Fm
429,Fm
430,Fm
431,Fm
432,B-7
433,B-7
434,B-7
435,B-7
436,B-7
437,B-7
438,B-7
439,B-7
440,B-7
441,B-7
442,B-7
443,B-7
444,B-7
445,B-7
446,B-7
447,B-7
448,B-7
449,B-7
450,B-7
451,B-7
452,B-7
453,B-7
454,B-7
455,B-7
456,B-7
457,B-7
458,B-7
459,B-7
460,B-7
461,B-7
462,B-7
463,B-7
464,B-7
465,B-7
466,B-7
467,B-7
468,B-7
469,B-7
470,B-7
471,B-7
472,B-7
473,B-7
474,B-7
475,B-7
476,B-7
477,B-7
478,B-7
479,B-7
480,C
481,C
482,C
483,C
484,C
485,C
486,C
487,C
488,C
489,C
490,C
491,C
492,C
493,C
494,C
495,C
496,C
497,C
498,C
499,C
500,C
501,C
502,C
503,C
504,C
505,C
506,C
507,C
508,C
509,C
510,C
511,C
512,C
513,C
514,C
515,C
516,C
517,C
518,C
519,C
520,C
521,C
522,C
523,C
524,C
525,C
526,C
527,C
528,Fm
529,Fm
530,Fm
531,Fm
532,Fm
533,Fm
534,Fm
535,Fm
536,Fm
537,Fm
538,Fm
539,Fm
540,Fm
541,Fm
542,Fm
543,Fm
544,Fm
545,Fm
546,Fm
547,Fm
548,Fm
549,Fm
550,Fm
551,Fm
552,B-7
553,B-7
554,B-7
555,B-7
556,B-7
557,B-7
558,B-7
559,B-7
560,B-7
561,B-7
562,B-7
563,B-7
564,B-7
565,B-7
566,B-7
567,B-7
568,B-7
569,B-7
570,B-7
571,B-7
572,B-7
573,B-7
574,B-7
575,B-7
576,E-7
577,E-7
578,E-7
579,E-7
580,E-7
581,E-7
582,E-7
583,E-7
584,E-7
585,E-7
586,E-7
587,E-7
588,E-7
589,E-7
590,E-7
591,E-7
592,E-7
593,E-7
594,E-7
595,E-7
596,E-7
597,E-7
598,E-7
599,E-7
600,E-7
601,E-7
602,E-7
603,E-7
604,E-7
605,E-7
606,E-7
607,E-7
608,E-7
609,E-7
610,E-7
611,E-7
612,E-7
613,E-7
614,E-7
615,E-7
616,E-7
617,E-7
618,E-7
619,E-7
620,E-7
621,E-7
622,E-7
623,E-7
624,G#7
625,G#7
626,G#7
627,G#7
628,G#7
629,G#7
630,G#7
631,G#7
632,G#7
633,G#7
634,G#7
635,G#7
636,G#7
637,G#7
638,G#7
639,G#7
640,G#7
641,G#7
642,G#7
643,G#7
644,G#7
645,G#7
646,G#7
647,G#7
648,G#7
649,G#7
650,G#7
651,G#7
652,G#7
653,G#7
654,G#7
655,G#7
656,G#7
657,G#7
658,G#7
659,G#7
660,G#7
661,G#7
662,G#7
663,G#7
664,G#7
665,G#7
666,G#7
667,G#7
668,G#7
669,G#7
670,G#7
671,G#7
672,E-7
673,E-7
674,E-7
675,E-7
676,E-7
677,E-7
678,E-7
679,E-7
680,E-7
681,E-7
682,E-7
683,E-7
684,E-7
685,E-7
686,E-7
687,E-7
688,E-7
689,E-7
690,E-7
691,E-7
692,E-7
693,E-7
694,E-7
695,E-7
696,E-7
697,E-7
698,E-7
699,E-7
700,E-7
701,E-7
702,E-7
703,E-7
704,E-7
705,E-7
706,E-7
707,E-7
708,E-7
709,E-7
710,E-7
711,E-7
712,E-7
713,E-7
714,E-7
715,E-7
716,E-7
717,E-7
718,E-7
719,E-7
720,B-m
721,B-m
722,B-m
723,B-m
724,B-m
725,B-m
726,B-m
727,B-m
728,B-m
729,B-m
730,B-m
731,B-m
732,B-m
733,B-m
734,B-m
735,B-m
736,B-m
737,B-m
738,B-m
739,B-m
740,B-m
741,B-m
742,B-m
743,B-m
744,E-7
745,E-7
746,E-7
747,E-7
748,E-7
749,E-7
750,E-7
751,E-7
752,E-7
753,E-7
754,E-7
755,E-7
756,E-7
757,E-7
758,E-7
759,E-7
760,E-7
761,E-7
762,E-7
763,E-7
764,E-7
765,E-7
766,E-7
767,E-7
768,G#7
769,G#7
770,G#7
771,G#7
772,G#7
773,G#7
774,G#7
775,G#7
776,G#7
777,G#7
778,G#7
779,G#7
780,G#7
781,G#7
782,G#7
783,G#7
784,G#7
785,G#7
786,G#7
787,G#7
788,G#7
789,G#7
790,G#7
791,G#7
792,G#7
793,G#7
794,G#7
795,G#7
796,G#7
797,G#7
798,G#7
799,G#7
800,G#7
801,G#7
802,G#7
803,G#7
804,G#7
805,G#7
806,G#7
807,G#7
808,G#7
809,G#7
810,G#7
811,G#7
812,G#7
813,G#7
814,G#7
815,G#7
816,G#7
817,G#7
818,G#7
819,G#7
820,G#7
821,G#7
822,G#7
823,G#7
824,G#7
825,G#7
826,G#7
827,G#7
828,G#7
829,G#7
830,G#7
831,G#7
832,G#7
833,G#7
834,G#7
835,G#7
836,G#7
837,G#7
838,G#7
839,G#7
840,Adim
841,Adim
842,Adim
843,Adim
844,Adim
845,Adim
