,0
0,F#
1,F#
2,F#
3,F#
4,F#
5,F#
6,F#
7,F#
8,F#
9,F#
10,F#
11,F#
12,F#
13,F#
14,F#
15,F#
16,F#
17,F#
18,F#
19,F#
20,F#
21,F#
22,F#
23,F#
24,F#
25,F#
26,F#
27,F#
28,F#
29,F#
30,F#
31,F#
32,F#
33,F#
34,F#
35,F#
36,F#
37,F#
38,F#
39,F#
40,F#
41,F#
42,F#
43,F#
44,F#
45,F#
46,F#
47,F#
48,B7
49,B7
50,B7
51,B7
52,B7
53,B7
54,B7
55,B7
56,B7
57,B7
58,B7
59,B7
60,B7
61,B7
62,B7
63,B7
64,B7
65,B7
66,B7
67,B7
68,B7
69,B7
70,B7
71,B7
72,B7
73,B7
74,B7
75,B7
76,B7
77,B7
78,B7
79,B7
80,B7
81,B7
82,B7
83,B7
84,B7
85,B7
86,B7
87,B7
88,B7
89,B7
90,B7
91,B7
92,B7
93,B7
94,B7
95,B7
96,F#7
97,F#7
98,F#7
99,F#7
100,F#7
101,F#7
102,F#7
103,F#7
104,F#7
105,F#7
106,F#7
107,F#7
108,F#7
109,F#7
110,F#7
111,F#7
112,F#7
113,F#7
114,F#7
115,F#7
116,F#7
117,F#7
118,F#7
119,F#7
120,F#7
121,F#7
122,F#7
123,F#7
124,F#7
125,F#7
126,F#7
127,F#7
128,F#7
129,F#7
130,F#7
131,F#7
132,F#7
133,F#7
134,F#7
135,F#7
136,F#7
137,F#7
138,F#7
139,F#7
140,F#7
141,F#7
142,F#7
143,F#7
144,C#m
145,C#m
146,C#m
147,C#m
148,C#m
149,C#m
150,C#m
151,C#m
152,C#m
153,C#m
154,C#m
155,C#m
156,C#m
157,C#m
158,C#m
159,C#m
160,C#m
161,C#m
162,C#m
163,C#m
164,C#m
165,C#m
166,C#m
167,C#m
168,F#7
169,F#7
170,F#7
171,F#7
172,F#7
173,F#7
174,F#7
175,F#7
176,F#7
177,F#7
178,F#7
179,F#7
180,F#7
181,F#7
182,F#7
183,F#7
184,F#7
185,F#7
186,F#7
187,F#7
188,F#7
189,F#7
190,F#7
191,F#7
192,B
193,B
194,B
195,B
196,B
197,B
198,B
199,B
200,B
201,B
202,B
203,B
204,B
205,B
206,B
207,B
208,B
209,B
210,B
211,B
212,B
213,B
214,B
215,B
216,B
217,B
218,B
219,B
220,B
221,B
222,B
223,B
224,B
225,B
226,B
227,B
228,B
229,B
230,B
231,B
232,B
233,B
234,B
235,B
236,B
237,B
238,B
239,B
240,Bm
241,Bm
242,Bm
243,Bm
244,Bm
245,Bm
246,Bm
247,Bm
248,Bm
249,Bm
250,Bm
251,Bm
252,Bm
253,Bm
254,Bm
255,Bm
256,Bm
257,Bm
258,Bm
259,Bm
260,Bm
261,Bm
262,Bm
263,Bm
264,Bm
265,Bm
266,Bm
267,Bm
268,Bm
269,Bm
270,Bm
271,Bm
272,Bm
273,Bm
274,Bm
275,Bm
276,Bm
277,Bm
278,Bm
279,Bm
280,Bm
281,Bm
282,Bm
283,Bm
284,Bm
285,Bm
286,Bm
287,Bm
288,B-m
289,B-m
290,B-m
291,B-m
292,B-m
293,B-m
294,B-m
295,B-m
296,B-m
297,B-m
298,B-m
299,B-m
300,B-m
301,B-m
302,B-m
303,B-m
304,B-m
305,B-m
306,B-m
307,B-m
308,B-m
309,B-m
310,B-m
311,B-m
312,B-m
313,B-m
314,B-m
315,B-m
316,B-m
317,B-m
318,B-m
319,B-m
320,B-m
321,B-m
322,B-m
323,B-m
324,B-m
325,B-m
326,B-m
327,B-m
328,B-m
329,B-m
330,B-m
331,B-m
332,B-m
333,B-m
334,B-m
335,B-m
336,B-m
337,B-m
338,B-m
339,B-m
340,B-m
341,B-m
342,B-m
343,B-m
344,B-m
345,B-m
346,B-m
347,B-m
348,B-m
349,B-m
350,B-m
351,B-m
352,B-m
353,B-m
354,B-m
355,B-m
356,B-m
357,B-m
358,B-m
359,B-m
360,E-7
361,E-7
362,E-7
363,E-7
364,E-7
365,E-7
366,E-7
367,E-7
368,E-7
369,E-7
370,E-7
371,E-7
372,E-7
373,E-7
374,E-7
375,E-7
376,E-7
377,E-7
378,E-7
379,E-7
380,E-7
381,E-7
382,E-7
383,E-7
384,G#m
385,G#m
386,G#m
387,G#m
388,G#m
389,G#m
390,G#m
391,G#m
392,G#m
393,G#m
394,G#m
395,G#m
396,G#m
397,G#m
398,G#m
399,G#m
400,G#m
401,G#m
402,G#m
403,G#m
404,G#m
405,G#m
406,G#m
407,G#m
408,G#m
409,G#m
410,G#m
411,G#m
412,G#m
413,G#m
414,G#m
415,G#m
416,G#m
417,G#m
418,G#m
419,G#m
420,G#m
421,G#m
422,G#m
423,G#m
424,G#m
425,G#m
426,G#m
427,G#m
428,G#m
429,G#m
430,G#m
431,G#m
432,C#7
433,C#7
434,C#7
435,C#7
436,C#7
437,C#7
438,C#7
439,C#7
440,C#7
441,C#7
442,C#7
443,C#7
444,C#7
445,C#7
446,C#7
447,C#7
448,C#7
449,C#7
450,C#7
451,C#7
452,C#7
453,C#7
454,C#7
455,C#7
456,C#7
457,C#7
458,C#7
459,C#7
460,C#7
461,C#7
462,C#7
463,C#7
464,C#7
465,C#7
466,C#7
467,C#7
468,C#7
469,C#7
470,C#7
471,C#7
472,C#7
473,C#7
474,C#7
475,C#7
476,C#7
477,C#7
478,C#7
479,C#7
480,E-
481,E-
482,E-
483,E-
484,E-
485,E-
486,E-
487,E-
488,E-
489,E-
490,E-
491,E-
492,E-
493,E-
494,E-
495,E-
496,E-
497,E-
498,E-
499,E-
500,E-
501,E-
502,E-
503,E-
504,E-
505,E-
506,E-
507,E-
508,E-
509,E-
510,E-
511,E-
512,E-
513,E-
514,E-
515,E-
516,E-
517,E-
518,E-
519,E-
520,E-
521,E-
522,E-
523,E-
524,E-
525,E-
526,E-
527,E-
528,G#m
529,G#m
530,G#m
531,G#m
532,G#m
533,G#m
534,G#m
535,G#m
536,G#m
537,G#m
538,G#m
539,G#m
540,G#m
541,G#m
542,G#m
543,G#m
544,G#m
545,G#m
546,G#m
547,G#m
548,G#m
549,G#m
550,G#m
551,G#m
552,C#7
553,C#7
554,C#7
555,C#7
556,C#7
557,C#7
558,C#7
559,C#7
560,C#7
561,C#7
562,C#7
563,C#7
564,C#7
565,C#7
566,C#7
567,C#7
568,C#7
569,C#7
570,C#7
571,C#7
572,C#7
573,C#7
574,C#7
575,C#7
576,F#7
577,F#7
578,F#7
579,F#7
580,F#7
581,F#7
582,F#7
583,F#7
584,F#7
585,F#7
586,F#7
587,F#7
588,F#7
589,F#7
590,F#7
591,F#7
592,F#7
593,F#7
594,F#7
595,F#7
596,F#7
597,F#7
598,F#7
599,F#7
600,F#7
601,F#7
602,F#7
603,F#7
604,F#7
605,F#7
606,F#7
607,F#7
608,F#7
609,F#7
610,F#7
611,F#7
612,F#7
613,F#7
614,F#7
615,F#7
616,F#7
617,F#7
618,F#7
619,F#7
620,F#7
621,F#7
622,F#7
623,F#7
624,B7
625,B7
626,B7
627,B7
628,B7
629,B7
630,B7
631,B7
632,B7
633,B7
634,B7
635,B7
636,B7
637,B7
638,B7
639,B7
640,B7
641,B7
642,B7
643,B7
644,B7
645,B7
646,B7
647,B7
648,B7
649,B7
650,B7
651,B7
652,B7
653,B7
654,B7
655,B7
656,B7
657,B7
658,B7
659,B7
660,B7
661,B7
662,B7
663,B7
664,B7
665,B7
666,B7
667,B7
668,B7
669,B7
670,B7
671,B7
672,F#7
673,F#7
674,F#7
675,F#7
676,F#7
677,F#7
678,F#7
679,F#7
680,F#7
681,F#7
682,F#7
683,F#7
684,F#7
685,F#7
686,F#7
687,F#7
688,F#7
689,F#7
690,F#7
691,F#7
692,F#7
693,F#7
694,F#7
695,F#7
696,F#7
697,F#7
698,F#7
699,F#7
700,F#7
701,F#7
702,F#7
703,F#7
704,F#7
705,F#7
706,F#7
707,F#7
708,F#7
709,F#7
710,F#7
711,F#7
712,F#7
713,F#7
714,F#7
715,F#7
716,F#7
717,F#7
718,F#7
719,F#7
720,C#m
721,C#m
722,C#m
723,C#m
724,C#m
725,C#m
726,C#m
727,C#m
728,C#m
729,C#m
730,C#m
731,C#m
732,C#m
733,C#m
734,C#m
735,C#m
736,C#m
737,C#m
738,C#m
739,C#m
740,C#m
741,C#m
742,C#m
743,C#m
744,F#7
745,F#7
746,F#7
747,F#7
748,F#7
749,F#7
750,F#7
751,F#7
752,F#7
753,F#7
754,F#7
755,F#7
756,F#7
757,F#7
758,F#7
759,F#7
760,F#7
761,F#7
762,F#7
763,F#7
764,F#7
765,F#7
766,F#7
767,F#7
768,B7
769,B7
770,B7
771,B7
772,B7
773,B7
774,B7
775,B7
776,B7
777,B7
778,B7
779,B7
780,B7
781,B7
782,B7
783,B7
784,B7
785,B7
786,B7
787,B7
788,B7
789,B7
790,B7
791,B7
792,B7
793,B7
794,B7
795,B7
796,B7
797,B7
798,B7
799,B7
800,B7
801,B7
802,B7
803,B7
804,B7
805,B7
806,B7
807,B7
808,B7
809,B7
810,B7
811,B7
812,B7
813,B7
814,B7
815,B7
816,B7
817,B7
818,B7
819,B7
820,B7
821,B7
822,B7
823,B7
824,B7
825,B7
826,B7
827,B7
828,B7
829,B7
830,B7
831,B7
832,B7
833,B7
834,B7
835,B7
836,B7
837,B7
838,B7
839,B7
840,Cdim
841,Cdim
842,Cdim
843,Cdim
844,Cdim
845,Cdim
846,Cdim
847,Cdim
848,Cdim
849,Cdim
850,Cdim
851,Cdim
852,Cdim
853,Cdim
854,Cdim
855,Cdim
856,Cdim
857,Cdim
858,Cdim
859,Cdim
860,Cdim
861,Cdim
862,Cdim
863,Cdim
864,F#/C#
865,F#/C#
866,F#/C#
867,F#/C#
868,F#/C#
869,F#/C#
870,F#/C#
871,F#/C#
872,F#/C#
873,F#/C#
874,F#/C#
875,F#/C#
876,F#/C#
877,F#/C#
878,F#/C#
879,F#/C#
880,F#/C#
881,F#/C#
882,F#/C#
883,F#/C#
884,F#/C#
885,F#/C#
886,F#/C#
887,F#/C#
888,F#/C#
889,F#/C#
890,F#/C#
891,F#/C#
892,F#/C#
893,F#/C#
894,F#/C#
895,F#/C#
