,0
0,E
1,E
2,E
3,E
4,E
5,E
6,E
7,E
8,E
9,E
10,E
11,E
12,E
13,E
14,E
15,E
16,E
17,E
18,E
19,E
20,E
21,E
22,E
23,E
24,E
25,E
26,E
27,E
28,E
29,E
30,E
31,E
32,E
33,E
34,E
35,E
36,E
37,E
38,E
39,E
40,E
41,E
42,E
43,E
44,E
45,E
46,E
47,E
48,Am
49,Am
50,Am
51,Am
52,Am
53,Am
54,Am
55,Am
56,Am
57,Am
58,Am
59,Am
60,Am
61,Am
62,Am
63,Am
64,Am
65,Am
66,Am
67,Am
68,Am
69,Am
70,Am
71,Am
72,Am
73,Am
74,Am
75,Am
76,Am
77,Am
78,Am
79,Am
80,Am
81,Am
82,Am
83,Am
84,Am
85,Am
86,Am
87,Am
88,Am
89,Am
90,Am
91,Am
92,Am
93,Am
94,Am
95,Am
96,E7
97,E7
98,E7
99,E7
100,E7
101,E7
102,E7
103,E7
104,E7
105,E7
106,E7
107,E7
108,E7
109,E7
110,E7
111,E7
112,E7
113,E7
114,E7
115,E7
116,E7
117,E7
118,E7
119,E7
120,D7
121,D7
122,D7
123,D7
124,D7
125,D7
126,D7
127,D7
128,D7
129,D7
130,D7
131,D7
132,D7
133,D7
134,D7
135,D7
136,D7
137,D7
138,D7
139,D7
140,D7
141,D7
142,D7
143,D7
144,C#7
145,C#7
146,C#7
147,C#7
148,C#7
149,C#7
150,C#7
151,C#7
152,C#7
153,C#7
154,C#7
155,C#7
156,C#7
157,C#7
158,C#7
159,C#7
160,C#7
161,C#7
162,C#7
163,C#7
164,C#7
165,C#7
166,C#7
167,C#7
168,C#7
169,C#7
170,C#7
171,C#7
172,C#7
173,C#7
174,C#7
175,C#7
176,C#7
177,C#7
178,C#7
179,C#7
180,C#7
181,C#7
182,C#7
183,C#7
184,C#7
185,C#7
186,C#7
187,C#7
188,C#7
189,C#7
190,C#7
191,C#7
192,F#7
193,F#7
194,F#7
195,F#7
196,F#7
197,F#7
198,F#7
199,F#7
200,F#7
201,F#7
202,F#7
203,F#7
204,F#7
205,F#7
206,F#7
207,F#7
208,F#7
209,F#7
210,F#7
211,F#7
212,F#7
213,F#7
214,F#7
215,F#7
216,F#7
217,F#7
218,F#7
219,F#7
220,F#7
221,F#7
222,F#7
223,F#7
224,F#7
225,F#7
226,F#7
227,F#7
228,F#7
229,F#7
230,F#7
231,F#7
232,F#7
233,F#7
234,F#7
235,F#7
236,F#7
237,F#7
238,F#7
239,F#7
240,F#m
241,F#m
242,F#m
243,F#m
244,F#m
245,F#m
246,F#m
247,F#m
248,F#m
249,F#m
250,F#m
251,F#m
252,F#m
253,F#m
254,F#m
255,F#m
256,F#m
257,F#m
258,F#m
259,F#m
260,F#m
261,F#m
262,F#m
263,F#m
264,B7
265,B7
266,B7
267,B7
268,B7
269,B7
270,B7
271,B7
272,B7
273,B7
274,B7
275,B7
276,B7
277,B7
278,B7
279,B7
280,B7
281,B7
282,B7
283,B7
284,B7
285,B7
286,B7
287,B7
288,E
289,E
290,E
291,E
292,E
293,E
294,E
295,E
296,E
297,E
298,E
299,E
300,E
301,E
302,E
303,E
304,E
305,E
306,E
307,E
308,E
309,E
310,E
311,E
312,C#7
313,C#7
314,C#7
315,C#7
316,C#7
317,C#7
318,C#7
319,C#7
320,C#7
321,C#7
322,C#7
323,C#7
324,C#7
325,C#7
326,C#7
327,C#7
328,C#7
329,C#7
330,C#7
331,C#7
332,C#7
333,C#7
334,C#7
335,C#7
336,F#m
337,F#m
338,F#m
339,F#m
340,F#m
341,F#m
342,F#m
343,F#m
344,F#m
345,F#m
346,F#m
347,F#m
348,F#m
349,F#m
350,F#m
351,F#m
352,F#m
353,F#m
354,F#m
355,F#m
356,F#m
357,F#m
358,F#m
359,F#m
360,B7
361,B7
362,B7
363,B7
364,B7
365,B7
366,B7
367,B7
368,B7
369,B7
370,B7
371,B7
372,B7
373,B7
374,B7
375,B7
376,B7
377,B7
378,B7
379,B7
380,B7
381,B7
382,B7
383,B7
384,E
385,E
386,E
387,E
388,E
389,E
390,E
391,E
392,E
393,E
394,E
395,E
396,E
397,E
398,E
399,E
400,E
401,E
402,E
403,E
404,E
405,E
406,E
407,E
408,E
409,E
410,E
411,E
412,E
413,E
414,E
415,E
416,E
417,E
418,E
419,E
420,E
421,E
422,E
423,E
424,E
425,E
426,E
427,E
428,E
429,E
430,E
431,E
432,Am
433,Am
434,Am
435,Am
436,Am
437,Am
438,Am
439,Am
440,Am
441,Am
442,Am
443,Am
444,Am
445,Am
446,Am
447,Am
448,Am
449,Am
450,Am
451,Am
452,Am
453,Am
454,Am
455,Am
456,Am
457,Am
458,Am
459,Am
460,Am
461,Am
462,Am
463,Am
464,Am
465,Am
466,Am
467,Am
468,Am
469,Am
470,Am
471,Am
472,Am
473,Am
474,Am
475,Am
476,Am
477,Am
478,Am
479,Am
480,E7
481,E7
482,E7
483,E7
484,E7
485,E7
486,E7
487,E7
488,E7
489,E7
490,E7
491,E7
492,E7
493,E7
494,E7
495,E7
496,E7
497,E7
498,E7
499,E7
500,E7
501,E7
502,E7
503,E7
504,D7
505,D7
506,D7
507,D7
508,D7
509,D7
510,D7
511,D7
512,D7
513,D7
514,D7
515,D7
516,D7
517,D7
518,D7
519,D7
520,D7
521,D7
522,D7
523,D7
524,D7
525,D7
526,D7
527,D7
528,C#7
529,C#7
530,C#7
531,C#7
532,C#7
533,C#7
534,C#7
535,C#7
536,C#7
537,C#7
538,C#7
539,C#7
540,C#7
541,C#7
542,C#7
543,C#7
544,C#7
545,C#7
546,C#7
547,C#7
548,C#7
549,C#7
550,C#7
551,C#7
552,C#7
553,C#7
554,C#7
555,C#7
556,C#7
557,C#7
558,C#7
559,C#7
560,C#7
561,C#7
562,C#7
563,C#7
564,C#7
565,C#7
566,C#7
567,C#7
568,C#7
569,C#7
570,C#7
571,C#7
572,C#7
573,C#7
574,C#7
575,C#7
576,F#7
577,F#7
578,F#7
579,F#7
580,F#7
581,F#7
582,F#7
583,F#7
584,F#7
585,F#7
586,F#7
587,F#7
588,F#7
589,F#7
590,F#7
591,F#7
592,F#7
593,F#7
594,F#7
595,F#7
596,F#7
597,F#7
598,F#7
599,F#7
600,F#7
601,F#7
602,F#7
603,F#7
604,F#7
605,F#7
606,F#7
607,F#7
608,F#7
609,F#7
610,F#7
611,F#7
612,F#7
613,F#7
614,F#7
615,F#7
616,F#7
617,F#7
618,F#7
619,F#7
620,F#7
621,F#7
622,F#7
623,F#7
624,F#m
625,F#m
626,F#m
627,F#m
628,F#m
629,F#m
630,F#m
631,F#m
632,F#m
633,F#m
634,F#m
635,F#m
636,F#m
637,F#m
638,F#m
639,F#m
640,F#m
641,F#m
642,F#m
643,F#m
644,F#m
645,F#m
646,F#m
647,F#m
648,B7
649,B7
650,B7
651,B7
652,B7
653,B7
654,B7
655,B7
656,B7
657,B7
658,B7
659,B7
660,B7
661,B7
662,B7
663,B7
664,B7
665,B7
666,B7
667,B7
668,B7
669,B7
670,B7
671,B7
672,E
673,E
674,E
675,E
676,E
677,E
678,E
679,E
680,E
681,E
682,E
683,E
684,E
685,E
686,E
687,E
688,E
689,E
690,E
691,E
692,E
693,E
694,E
695,E
696,E
697,E
698,E
699,E
700,E
701,E
702,E
703,E
704,E
705,E
706,E
707,E
708,E
709,E
710,E
711,E
712,E
713,E
714,E
715,E
716,E
717,E
718,E
719,E
720,E7
721,E7
722,E7
723,E7
724,E7
725,E7
726,E7
727,E7
728,E7
729,E7
730,E7
731,E7
732,E7
733,E7
734,E7
735,E7
736,E7
737,E7
738,E7
739,E7
740,E7
741,E7
742,E7
743,E7
744,E7
745,E7
746,E7
747,E7
748,E7
749,E7
750,E7
751,E7
752,E7
753,E7
754,E7
755,E7
756,E7
757,E7
758,E7
759,E7
760,E7
761,E7
762,E7
763,E7
764,E7
765,E7
766,E7
767,E7
768,A
769,A
770,A
771,A
772,A
773,A
774,A
775,A
776,A
777,A
778,A
779,A
780,A
781,A
782,A
783,A
784,A
785,A
786,A
787,A
788,A
789,A
790,A
791,A
792,A
793,A
794,A
795,A
796,A
797,A
798,A
799,A
800,A
801,A
802,A
803,A
804,A
805,A
806,A
807,A
808,A
809,A
810,A
811,A
812,A
813,A
814,A
815,A
816,Am
817,Am
818,Am
819,Am
820,Am
821,Am
822,Am
823,Am
824,Am
825,Am
826,Am
827,Am
828,Am
829,Am
830,Am
831,Am
832,Am
833,Am
834,Am
835,Am
836,Am
837,Am
838,Am
839,Am
840,D7
841,D7
842,D7
843,D7
844,D7
845,D7
846,D7
847,D7
848,D7
849,D7
850,D7
851,D7
852,D7
853,D7
854,D7
855,D7
856,D7
857,D7
858,D7
859,D7
860,D7
861,D7
862,D7
863,D7
864,E
865,E
866,E
867,E
868,E
869,E
870,E
871,E
872,E
873,E
874,E
875,E
876,E
877,E
878,E
879,E
880,E
881,E
882,E
883,E
884,E
885,E
886,E
887,E
888,E
889,E
890,E
891,E
892,E
893,E
894,E
895,E
896,E
897,E
898,E
899,E
900,E
901,E
902,E
903,E
904,E
905,E
906,E
907,E
908,E
909,E
910,E
911,E
912,E
913,E
914,E
915,E
916,E
917,E
918,E
919,E
920,E
921,E
922,E
923,E
924,E
925,E
926,E
927,E
928,E
929,E
930,E
931,E
932,E
933,E
934,E
935,E
936,C#7
937,C#7
938,C#7
939,C#7
940,C#7
941,C#7
942,C#7
943,C#7
944,C#7
945,C#7
946,C#7
947,C#7
948,C#7
949,C#7
950,C#7
951,C#7
952,C#7
953,C#7
954,C#7
955,C#7
956,C#7
957,C#7
958,C#7
959,C#7
960,F#7
961,F#7
962,F#7
963,F#7
964,F#7
965,F#7
