,0
0,E-
1,E-
2,E-
3,E-
4,E-
5,E-
6,E-
7,E-
8,E-
9,E-
10,E-
11,E-
12,E-
13,E-
14,E-
15,E-
16,E-
17,E-
18,E-
19,E-
20,E-
21,E-
22,E-
23,E-
24,E-
25,E-
26,E-
27,E-
28,E-
29,E-
30,E-
31,E-
32,E-
33,E-
34,E-
35,E-
36,E-
37,E-
38,E-
39,E-
40,E-
41,E-
42,E-
43,E-
44,E-
45,E-
46,E-
47,E-
48,C7
49,C7
50,C7
51,C7
52,C7
53,C7
54,C7
55,C7
56,C7
57,C7
58,C7
59,C7
60,C7
61,C7
62,C7
63,C7
64,C7
65,C7
66,C7
67,C7
68,C7
69,C7
70,C7
71,C7
72,C7
73,C7
74,C7
75,C7
76,C7
77,C7
78,C7
79,C7
80,C7
81,C7
82,C7
83,C7
84,C7
85,C7
86,C7
87,C7
88,C7
89,C7
90,C7
91,C7
92,C7
93,C7
94,C7
95,C7
96,F7
97,F7
98,F7
99,F7
100,F7
101,F7
102,F7
103,F7
104,F7
105,F7
106,F7
107,F7
108,F7
109,F7
110,F7
111,F7
112,F7
113,F7
114,F7
115,F7
116,F7
117,F7
118,F7
119,F7
120,F7
121,F7
122,F7
123,F7
124,F7
125,F7
126,F7
127,F7
128,F7
129,F7
130,F7
131,F7
132,F7
133,F7
134,F7
135,F7
136,F7
137,F7
138,F7
139,F7
140,F7
141,F7
142,F7
143,F7
144,F7
145,F7
146,F7
147,F7
148,F7
149,F7
150,F7
151,F7
152,F7
153,F7
154,F7
155,F7
156,F7
157,F7
158,F7
159,F7
160,F7
161,F7
162,F7
163,F7
164,F7
165,F7
166,F7
167,F7
168,F7
169,F7
170,F7
171,F7
172,F7
173,F7
174,F7
175,F7
176,F7
177,F7
178,F7
179,F7
180,F7
181,F7
182,F7
183,F7
184,F7
185,F7
186,F7
187,F7
188,F7
189,F7
190,F7
191,F7
192,Fm
193,Fm
194,Fm
195,Fm
196,Fm
197,Fm
198,Fm
199,Fm
200,Fm
201,Fm
202,Fm
203,Fm
204,Fm
205,Fm
206,Fm
207,Fm
208,Fm
209,Fm
210,Fm
211,Fm
212,Fm
213,Fm
214,Fm
215,Fm
216,Fm
217,Fm
218,Fm
219,Fm
220,Fm
221,Fm
222,Fm
223,Fm
224,Fm
225,Fm
226,Fm
227,Fm
228,Fm
229,Fm
230,Fm
231,Fm
232,Fm
233,Fm
234,Fm
235,Fm
236,Fm
237,Fm
238,Fm
239,Fm
240,B-7
241,B-7
242,B-7
243,B-7
244,B-7
245,B-7
246,B-7
247,B-7
248,B-7
249,B-7
250,B-7
251,B-7
252,B-7
253,B-7
254,B-7
255,B-7
256,B-7
257,B-7
258,B-7
259,B-7
260,B-7
261,B-7
262,B-7
263,B-7
264,B-7
265,B-7
266,B-7
267,B-7
268,B-7
269,B-7
270,B-7
271,B-7
272,B-7
273,B-7
274,B-7
275,B-7
276,B-7
277,B-7
278,B-7
279,B-7
280,B-7
281,B-7
282,B-7
283,B-7
284,B-7
285,B-7
286,B-7
287,B-7
288,E-
289,E-
290,E-
291,E-
292,E-
293,E-
294,E-
295,E-
296,E-
297,E-
298,E-
299,E-
300,E-
301,E-
302,E-
303,E-
304,E-
305,E-
306,E-
307,E-
308,E-
309,E-
310,E-
311,E-
312,E-
313,E-
314,E-
315,E-
316,E-
317,E-
318,E-
319,E-
320,E-
321,E-
322,E-
323,E-
324,E-
325,E-
326,E-
327,E-
328,E-
329,E-
330,E-
331,E-
332,E-
333,E-
334,E-
335,E-
336,B-m
337,B-m
338,B-m
339,B-m
340,B-m
341,B-m
342,B-m
343,B-m
344,B-m
345,B-m
346,B-m
347,B-m
348,B-m
349,B-m
350,B-m
351,B-m
352,B-m
353,B-m
354,B-m
355,B-m
356,B-m
357,B-m
358,B-m
359,B-m
360,E-7
361,E-7
362,E-7
363,E-7
364,E-7
365,E-7
366,E-7
367,E-7
368,E-7
369,E-7
370,E-7
371,E-7
372,E-7
373,E-7
374,E-7
375,E-7
376,E-7
377,E-7
378,E-7
379,E-7
380,E-7
381,E-7
382,E-7
383,E-7
384,G#
385,G#
386,G#
387,G#
388,G#
389,G#
390,G#
391,G#
392,G#
393,G#
394,G#
395,G#
396,G#
397,G#
398,G#
399,G#
400,G#
401,G#
402,G#
403,G#
404,G#
405,G#
406,G#
407,G#
408,G#
409,G#
410,G#
411,G#
412,G#
413,G#
414,G#
415,G#
416,G#
417,G#
418,G#
419,G#
420,G#
421,G#
422,G#
423,G#
424,G#
425,G#
426,G#
427,G#
428,G#
429,G#
430,G#
431,G#
432,C#7
433,C#7
434,C#7
435,C#7
436,C#7
437,C#7
438,C#7
439,C#7
440,C#7
441,C#7
442,C#7
443,C#7
444,C#7
445,C#7
446,C#7
447,C#7
448,C#7
449,C#7
450,C#7
451,C#7
452,C#7
453,C#7
454,C#7
455,C#7
456,C#7
457,C#7
458,C#7
459,C#7
460,C#7
461,C#7
462,C#7
463,C#7
464,C#7
465,C#7
466,C#7
467,C#7
468,C#7
469,C#7
470,C#7
471,C#7
472,C#7
473,C#7
474,C#7
475,C#7
476,C#7
477,C#7
478,C#7
479,C#7
480,E-
481,E-
482,E-
483,E-
484,E-
485,E-
486,E-
487,E-
488,E-
489,E-
490,E-
491,E-
492,E-
493,E-
494,E-
495,E-
496,E-
497,E-
498,E-
499,E-
500,E-
501,E-
502,E-
503,E-
504,E-
505,E-
506,E-
507,E-
508,E-
509,E-
510,E-
511,E-
512,E-
513,E-
514,E-
515,E-
516,E-
517,E-
518,E-
519,E-
520,E-
521,E-
522,E-
523,E-
524,E-
525,E-
526,E-
527,E-
528,C7
529,C7
530,C7
531,C7
532,C7
533,C7
534,C7
535,C7
536,C7
537,C7
538,C7
539,C7
540,C7
541,C7
542,C7
543,C7
544,C7
545,C7
546,C7
547,C7
548,C7
549,C7
550,C7
551,C7
552,C7
553,C7
554,C7
555,C7
556,C7
557,C7
558,C7
559,C7
560,C7
561,C7
562,C7
563,C7
564,C7
565,C7
566,C7
567,C7
568,C7
569,C7
570,C7
571,C7
572,C7
573,C7
574,C7
575,C7
576,F7
577,F7
578,F7
579,F7
580,F7
581,F7
582,F7
583,F7
584,F7
585,F7
586,F7
587,F7
588,F7
589,F7
590,F7
591,F7
592,F7
593,F7
594,F7
595,F7
596,F7
597,F7
598,F7
599,F7
600,F7
601,F7
602,F7
603,F7
604,F7
605,F7
606,F7
607,F7
608,F7
609,F7
610,F7
611,F7
612,F7
613,F7
614,F7
615,F7
616,F7
617,F7
618,F7
619,F7
620,F7
621,F7
622,F7
623,F7
624,F7
625,F7
626,F7
627,F7
628,F7
629,F7
630,F7
631,F7
632,F7
633,F7
634,F7
635,F7
636,F7
637,F7
638,F7
639,F7
640,F7
641,F7
642,F7
643,F7
644,F7
645,F7
646,F7
647,F7
648,F7
649,F7
650,F7
651,F7
652,F7
653,F7
654,F7
655,F7
656,F7
657,F7
658,F7
659,F7
660,F7
661,F7
662,F7
663,F7
664,F7
665,F7
666,F7
667,F7
668,F7
669,F7
670,F7
671,F7
672,Fm
673,Fm
674,Fm
675,Fm
676,Fm
677,Fm
678,Fm
679,Fm
680,Fm
681,Fm
682,Fm
683,Fm
684,Fm
685,Fm
686,Fm
687,Fm
688,Fm
689,Fm
690,Fm
691,Fm
692,Fm
693,Fm
694,Fm
695,Fm
696,Fm
697,Fm
698,Fm
699,Fm
700,Fm
701,Fm
702,Fm
703,Fm
704,Fm
705,Fm
706,Fm
707,Fm
708,Fm
709,Fm
710,Fm
711,Fm
712,Fm
713,Fm
714,Fm
715,Fm
716,Fm
717,Fm
718,Fm
719,Fm
720,B-7
721,B-7
722,B-7
723,B-7
724,B-7
725,B-7
726,B-7
727,B-7
728,B-7
729,B-7
730,B-7
731,B-7
732,B-7
733,B-7
734,B-7
735,B-7
736,B-7
737,B-7
738,B-7
739,B-7
740,B-7
741,B-7
742,B-7
743,B-7
744,B-7
745,B-7
746,B-7
747,B-7
748,B-7
749,B-7
750,B-7
751,B-7
752,B-7
753,B-7
754,B-7
755,B-7
756,B-7
757,B-7
758,B-7
759,B-7
760,B-7
761,B-7
762,B-7
763,B-7
764,B-7
765,B-7
766,B-7
767,B-7
768,E-
769,E-
770,E-
771,E-
772,E-
773,E-
774,E-
775,E-
776,E-
777,E-
778,E-
779,E-
780,E-
781,E-
782,E-
783,E-
784,E-
785,E-
786,E-
787,E-
788,E-
789,E-
790,E-
791,E-
792,E-
793,E-
794,E-
795,E-
796,E-
797,E-
798,E-
799,E-
800,E-
801,E-
802,E-
803,E-
804,E-
805,E-
806,E-
807,E-
808,E-
809,E-
810,E-
811,E-
812,E-
813,E-
814,E-
815,E-
816,C7
817,C7
818,C7
819,C7
820,C7
821,C7
822,C7
823,C7
824,C7
825,C7
826,C7
827,C7
828,C7
829,C7
830,C7
831,C7
832,C7
833,C7
834,C7
835,C7
836,C7
837,C7
838,C7
839,C7
840,C7
841,C7
842,C7
843,C7
844,C7
845,C7
846,C7
847,C7
848,C7
849,C7
850,C7
851,C7
852,C7
853,C7
854,C7
855,C7
856,C7
857,C7
858,C7
859,C7
860,C7
861,C7
862,C7
863,C7
864,F7
865,F7
866,F7
867,F7
868,F7
869,F7
870,F7
871,F7
872,F7
873,F7
874,F7
875,F7
876,F7
877,F7
878,F7
879,F7
880,F7
881,F7
882,F7
883,F7
884,F7
885,F7
886,F7
887,F7
888,F7
889,F7
890,F7
891,F7
892,F7
893,F7
894,F7
895,F7
896,F7
897,F7
898,F7
899,F7
900,F7
901,F7
902,F7
903,F7
904,F7
905,F7
906,F7
907,F7
908,F7
909,F7
910,F7
911,F7
912,F7
913,F7
