,0
0,F7
1,F7
2,F7
3,F7
4,F7
5,F7
6,F7
7,F7
8,F7
9,F7
10,F7
11,F7
12,F7
13,F7
14,F7
15,F7
16,F7
17,F7
18,F7
19,F7
20,F7
21,F7
22,F7
23,F7
24,F7
25,F7
26,F7
27,F7
28,F7
29,F7
30,F7
31,F7
32,F7
33,F7
34,F7
35,F7
36,F7
37,F7
38,F7
39,F7
40,F7
41,F7
42,F7
43,F7
44,F7
45,F7
46,F7
47,F7
48,B-7
49,B-7
50,B-7
51,B-7
52,B-7
53,B-7
54,B-7
55,B-7
56,B-7
57,B-7
58,B-7
59,B-7
60,B-7
61,B-7
62,B-7
63,B-7
64,B-7
65,B-7
66,B-7
67,B-7
68,B-7
69,B-7
70,B-7
71,B-7
72,B-7
73,B-7
74,B-7
75,B-7
76,B-7
77,B-7
78,B-7
79,B-7
80,B-7
81,B-7
82,B-7
83,B-7
84,B-7
85,B-7
86,B-7
87,B-7
88,B-7
89,B-7
90,B-7
91,B-7
92,B-7
93,B-7
94,B-7
95,B-7
96,B-7
97,B-7
98,B-7
99,B-7
100,B-7
101,B-7
102,B-7
103,B-7
104,B-7
105,B-7
106,B-7
107,B-7
108,B-7
109,B-7
110,B-7
111,B-7
112,B-7
113,B-7
114,B-7
115,B-7
116,B-7
117,B-7
118,B-7
119,B-7
120,B-7
121,B-7
122,B-7
123,B-7
124,B-7
125,B-7
126,B-7
127,B-7
128,B-7
129,B-7
130,B-7
131,B-7
132,B-7
133,B-7
134,B-7
135,B-7
136,B-7
137,B-7
138,B-7
139,B-7
140,B-7
141,B-7
142,B-7
143,B-7
144,B-7
145,B-7
146,B-7
147,B-7
148,B-7
149,B-7
150,B-7
151,B-7
152,B-7
153,B-7
154,B-7
155,B-7
156,B-7
157,B-7
158,B-7
159,B-7
160,B-7
161,B-7
162,B-7
163,B-7
164,B-7
165,B-7
166,B-7
167,B-7
168,B-7
169,B-7
170,B-7
171,B-7
172,B-7
173,B-7
174,B-7
175,B-7
176,B-7
177,B-7
178,B-7
179,B-7
180,B-7
181,B-7
182,B-7
183,B-7
184,B-7
185,B-7
186,B-7
187,B-7
188,B-7
189,B-7
190,B-7
191,B-7
192,B-7
193,B-7
194,B-7
195,B-7
196,B-7
197,B-7
198,B-7
199,B-7
200,B-7
201,B-7
202,B-7
203,B-7
204,B-7
205,B-7
206,B-7
207,B-7
208,B-7
209,B-7
210,B-7
211,B-7
212,B-7
213,B-7
214,B-7
215,B-7
216,B-7
217,B-7
218,B-7
219,B-7
220,B-7
221,B-7
222,B-7
223,B-7
224,B-7
225,B-7
226,B-7
227,B-7
228,B-7
229,B-7
230,B-7
231,B-7
232,B-7
233,B-7
234,B-7
235,B-7
236,B-7
237,B-7
238,B-7
239,B-7
240,E-7
241,E-7
242,E-7
243,E-7
244,E-7
245,E-7
246,E-7
247,E-7
248,E-7
249,E-7
250,E-7
251,E-7
252,E-7
253,E-7
254,E-7
255,E-7
256,E-7
257,E-7
258,E-7
259,E-7
260,E-7
261,E-7
262,E-7
263,E-7
264,E-7
265,E-7
266,E-7
267,E-7
268,E-7
269,E-7
270,E-7
271,E-7
272,E-7
273,E-7
274,E-7
275,E-7
276,E-7
277,E-7
278,E-7
279,E-7
280,E-7
281,E-7
282,E-7
283,E-7
284,E-7
285,E-7
286,E-7
287,E-7
288,E-7
289,E-7
290,E-7
291,E-7
292,E-7
293,E-7
294,E-7
295,E-7
296,E-7
297,E-7
298,E-7
299,E-7
300,E-7
301,E-7
302,E-7
303,E-7
304,E-7
305,E-7
306,E-7
307,E-7
308,E-7
309,E-7
310,E-7
311,E-7
312,E-7
313,E-7
314,E-7
315,E-7
316,E-7
317,E-7
318,E-7
319,E-7
320,E-7
321,E-7
322,E-7
323,E-7
324,E-7
325,E-7
326,E-7
327,E-7
328,E-7
329,E-7
330,E-7
331,E-7
332,E-7
333,E-7
334,E-7
335,E-7
336,B-7
337,B-7
338,B-7
339,B-7
340,B-7
341,B-7
342,B-7
343,B-7
344,B-7
345,B-7
346,B-7
347,B-7
348,B-7
349,B-7
350,B-7
351,B-7
352,B-7
353,B-7
354,B-7
355,B-7
356,B-7
357,B-7
358,B-7
359,B-7
360,B-7
361,B-7
362,B-7
363,B-7
364,B-7
365,B-7
366,B-7
367,B-7
368,B-7
369,B-7
370,B-7
371,B-7
372,B-7
373,B-7
374,B-7
375,B-7
376,B-7
377,B-7
378,B-7
379,B-7
380,B-7
381,B-7
382,B-7
383,B-7
384,B-7
385,B-7
386,B-7
387,B-7
388,B-7
389,B-7
390,B-7
391,B-7
392,B-7
393,B-7
394,B-7
395,B-7
396,B-7
397,B-7
398,B-7
399,B-7
400,B-7
401,B-7
402,B-7
403,B-7
404,B-7
405,B-7
406,B-7
407,B-7
408,B-7
409,B-7
410,B-7
411,B-7
412,B-7
413,B-7
414,B-7
415,B-7
416,B-7
417,B-7
418,B-7
419,B-7
420,B-7
421,B-7
422,B-7
423,B-7
424,B-7
425,B-7
426,B-7
427,B-7
428,B-7
429,B-7
430,B-7
431,B-7
432,Cm
433,Cm
434,Cm
435,Cm
436,Cm
437,Cm
438,Cm
439,Cm
440,Cm
441,Cm
442,Cm
443,Cm
444,Cm
445,Cm
446,Cm
447,Cm
448,Cm
449,Cm
450,Cm
451,Cm
452,Cm
453,Cm
454,Cm
455,Cm
456,Cm
457,Cm
458,Cm
459,Cm
460,Cm
461,Cm
462,Cm
463,Cm
464,Cm
465,Cm
466,Cm
467,Cm
468,Cm
469,Cm
470,Cm
471,Cm
472,Cm
473,Cm
474,Cm
475,Cm
476,Cm
477,Cm
478,Cm
479,Cm
480,F7
481,F7
482,F7
483,F7
484,F7
485,F7
486,F7
487,F7
488,F7
489,F7
490,F7
491,F7
492,F7
493,F7
494,F7
495,F7
496,F7
497,F7
498,F7
499,F7
500,F7
501,F7
502,F7
503,F7
504,F7
505,F7
506,F7
507,F7
508,F7
509,F7
510,F7
511,F7
512,F7
513,F7
514,F7
515,F7
516,F7
517,F7
518,F7
519,F7
520,F7
521,F7
522,F7
523,F7
524,F7
525,F7
526,F7
527,F7
528,B-7
529,B-7
530,B-7
531,B-7
532,B-7
533,B-7
534,B-7
535,B-7
536,B-7
537,B-7
538,B-7
539,B-7
540,B-7
541,B-7
542,B-7
543,B-7
544,B-7
545,B-7
546,B-7
547,B-7
548,B-7
549,B-7
550,B-7
551,B-7
552,B-7
553,B-7
554,B-7
555,B-7
556,B-7
557,B-7
558,B-7
559,B-7
560,B-7
561,B-7
562,B-7
563,B-7
564,B-7
565,B-7
566,B-7
567,B-7
568,B-7
569,B-7
570,B-7
571,B-7
572,B-7
573,B-7
574,B-7
575,B-7
576,F7
577,F7
578,F7
579,F7
580,F7
581,F7
582,F7
583,F7
584,F7
585,F7
586,F7
587,F7
588,F7
589,F7
590,F7
591,F7
592,F7
593,F7
594,F7
595,F7
596,F7
597,F7
598,F7
599,F7
600,F7
601,F7
602,F7
603,F7
604,F7
605,F7
606,F7
607,F7
608,F7
609,F7
610,F7
611,F7
612,F7
613,F7
614,F7
615,F7
616,F7
617,F7
618,F7
619,F7
620,F7
621,F7
622,F7
623,F7
624,B-7
625,B-7
626,B-7
627,B-7
628,B-7
629,B-7
630,B-7
631,B-7
632,B-7
633,B-7
634,B-7
635,B-7
636,B-7
637,B-7
638,B-7
639,B-7
640,B-7
641,B-7
642,B-7
643,B-7
644,B-7
645,B-7
646,B-7
647,B-7
648,B-7
649,B-7
650,B-7
651,B-7
652,B-7
653,B-7
654,B-7
655,B-7
656,B-7
657,B-7
658,B-7
659,B-7
660,B-7
661,B-7
662,B-7
663,B-7
664,B-7
665,B-7
666,B-7
667,B-7
668,B-7
669,B-7
670,B-7
671,B-7
672,E-7
673,E-7
674,E-7
675,E-7
676,E-7
677,E-7
678,E-7
679,E-7
680,E-7
681,E-7
682,E-7
683,E-7
684,E-7
685,E-7
686,E-7
687,E-7
688,E-7
689,E-7
690,E-7
691,E-7
692,E-7
693,E-7
694,E-7
695,E-7
696,E-7
697,E-7
698,E-7
699,E-7
700,E-7
701,E-7
702,E-7
703,E-7
704,E-7
705,E-7
706,E-7
707,E-7
708,E-7
709,E-7
710,E-7
711,E-7
712,E-7
713,E-7
714,E-7
715,E-7
716,E-7
717,E-7
718,E-7
719,E-7
720,B-7
721,B-7
722,B-7
723,B-7
724,B-7
725,B-7
726,B-7
727,B-7
728,B-7
729,B-7
730,B-7
731,B-7
732,B-7
733,B-7
734,B-7
735,B-7
736,B-7
737,B-7
738,B-7
739,B-7
740,B-7
741,B-7
742,B-7
743,B-7
744,B-7
745,B-7
746,B-7
747,B-7
748,B-7
749,B-7
750,B-7
751,B-7
752,B-7
753,B-7
754,B-7
755,B-7
756,B-7
757,B-7
758,B-7
759,B-7
760,B-7
761,B-7
762,B-7
763,B-7
764,B-7
765,B-7
766,B-7
767,B-7
768,Fm
769,Fm
770,Fm
771,Fm
772,Fm
773,Fm
774,Fm
775,Fm
776,Fm
777,Fm
778,Fm
779,Fm
780,Fm
781,Fm
782,Fm
783,Fm
784,Fm
785,Fm
786,Fm
787,Fm
788,Fm
789,Fm
790,Fm
791,Fm
792,B-7
793,B-7
794,B-7
795,B-7
796,B-7
797,B-7
798,B-7
799,B-7
800,B-7
801,B-7
802,B-7
803,B-7
804,B-7
805,B-7
806,B-7
807,B-7
808,B-7
809,B-7
810,B-7
811,B-7
812,B-7
813,B-7
814,B-7
815,B-7
816,E-7
817,E-7
818,E-7
819,E-7
820,E-7
821,E-7
822,E-7
823,E-7
824,E-7
825,E-7
826,E-7
827,E-7
828,E-7
829,E-7
830,E-7
831,E-7
832,E-7
833,E-7
834,E-7
835,E-7
836,E-7
837,E-7
838,E-7
839,E-7
840,E-7
841,E-7
842,E-7
843,E-7
844,E-7
845,E-7
846,E-7
847,E-7
848,E-7
849,E-7
850,E-7
851,E-7
852,E-7
853,E-7
854,E-7
855,E-7
856,E-7
857,E-7
858,E-7
859,E-7
860,E-7
861,E-7
862,E-7
863,E-7
864,E-7
865,E-7
866,E-7
867,E-7
868,E-7
869,E-7
870,E-7
871,E-7
872,E-7
873,E-7
874,E-7
875,E-7
876,E-7
877,E-7
878,E-7
879,E-7
880,E-7
881,E-7
882,E-7
883,E-7
884,E-7
885,E-7
886,E-7
887,E-7
888,E-7
889,E-7
890,E-7
891,E-7
892,E-7
893,E-7
894,E-7
895,E-7
896,E-7
897,E-7
898,E-7
899,E-7
900,E-7
901,E-7
902,E-7
903,E-7
904,E-7
905,E-7
906,E-7
907,E-7
908,E-7
909,E-7
910,E-7
911,E-7
912,B-7
913,B-7
914,B-7
915,B-7
916,B-7
917,B-7
918,B-7
919,B-7
920,B-7
921,B-7
922,B-7
923,B-7
924,B-7
925,B-7
926,B-7
927,B-7
928,B-7
929,B-7
930,B-7
931,B-7
932,B-7
933,B-7
934,B-7
935,B-7
936,B-7
937,B-7
938,B-7
939,B-7
940,B-7
941,B-7
942,B-7
943,B-7
944,B-7
945,B-7
946,B-7
947,B-7
948,B-7
949,B-7
950,B-7
951,B-7
952,B-7
953,B-7
954,B-7
955,B-7
956,B-7
957,B-7
958,B-7
959,B-7
960,B-7
961,B-7
962,B-7
963,B-7
964,B-7
965,B-7
966,B-7
967,B-7
968,B-7
969,B-7
970,B-7
971,B-7
972,B-7
973,B-7
974,B-7
975,B-7
976,B-7
977,B-7
978,B-7
979,B-7
980,B-7
981,B-7
982,B-7
983,B-7
984,B-7
985,B-7
986,B-7
987,B-7
988,B-7
989,B-7
990,B-7
991,B-7
992,B-7
993,B-7
994,B-7
995,B-7
996,B-7
997,B-7
998,B-7
999,B-7
1000,B-7
1001,B-7
1002,B-7
1003,B-7
1004,B-7
1005,B-7
1006,B-7
1007,B-7
1008,Cm
1009,Cm
1010,Cm
1011,Cm
1012,Cm
1013,Cm
1014,Cm
1015,Cm
1016,Cm
1017,Cm
1018,Cm
1019,Cm
1020,Cm
1021,Cm
1022,Cm
1023,Cm
1024,Cm
1025,Cm
1026,Cm
1027,Cm
1028,Cm
1029,Cm
1030,Cm
1031,Cm
1032,Cm
1033,Cm
1034,Cm
1035,Cm
1036,Cm
1037,Cm
1038,Cm
1039,Cm
1040,Cm
1041,Cm
1042,Cm
1043,Cm
1044,Cm
1045,Cm
1046,Cm
1047,Cm
1048,Cm
1049,Cm
1050,Cm
1051,Cm
1052,Cm
1053,Cm
1054,Cm
1055,Cm
1056,F7
1057,F7
1058,F7
1059,F7
1060,F7
1061,F7
1062,F7
1063,F7
1064,F7
1065,F7
1066,F7
1067,F7
1068,F7
1069,F7
1070,F7
1071,F7
1072,F7
1073,F7
1074,F7
1075,F7
1076,F7
1077,F7
1078,F7
1079,F7
1080,F7
1081,F7
1082,F7
1083,F7
1084,F7
1085,F7
1086,F7
