,0
0,G7
1,G7
2,G7
3,G7
4,G7
5,G7
6,G7
7,G7
8,G7
9,G7
10,G7
11,G7
12,G7
13,G7
14,G7
15,G7
16,G7
17,G7
18,G7
19,G7
20,G7
21,G7
22,G7
23,G7
24,G7
25,G7
26,G7
27,G7
28,G7
29,G7
30,G7
31,G7
32,G7
33,G7
34,G7
35,G7
36,G7
37,G7
38,G7
39,G7
40,G7
41,G7
42,G7
43,G7
44,G7
45,G7
46,G7
47,G7
48,C7
49,C7
50,C7
51,C7
52,C7
53,C7
54,C7
55,C7
56,C7
57,C7
58,C7
59,C7
60,C7
61,C7
62,C7
63,C7
64,C7
65,C7
66,C7
67,C7
68,C7
69,C7
70,C7
71,C7
72,C7
73,C7
74,C7
75,C7
76,C7
77,C7
78,C7
79,C7
80,C7
81,C7
82,C7
83,C7
84,C7
85,C7
86,C7
87,C7
88,C7
89,C7
90,C7
91,C7
92,C7
93,C7
94,C7
95,C7
96,C7
97,C7
98,C7
99,C7
100,C7
101,C7
102,C7
103,C7
104,C7
105,C7
106,C7
107,C7
108,C7
109,C7
110,C7
111,C7
112,C7
113,C7
114,C7
115,C7
116,C7
117,C7
118,C7
119,C7
120,C7
121,C7
122,C7
123,C7
124,C7
125,C7
126,C7
127,C7
128,C7
129,C7
130,C7
131,C7
132,C7
133,C7
134,C7
135,C7
136,C7
137,C7
138,C7
139,C7
140,C7
141,C7
142,C7
143,C7
144,C7
145,C7
146,C7
147,C7
148,C7
149,C7
150,C7
151,C7
152,C7
153,C7
154,C7
155,C7
156,C7
157,C7
158,C7
159,C7
160,C7
161,C7
162,C7
163,C7
164,C7
165,C7
166,C7
167,C7
168,C7
169,C7
170,C7
171,C7
172,C7
173,C7
174,C7
175,C7
176,C7
177,C7
178,C7
179,C7
180,C7
181,C7
182,C7
183,C7
184,C7
185,C7
186,C7
187,C7
188,C7
189,C7
190,C7
191,C7
192,C7
193,C7
194,C7
195,C7
196,C7
197,C7
198,C7
199,C7
200,C7
201,C7
202,C7
203,C7
204,C7
205,C7
206,C7
207,C7
208,C7
209,C7
210,C7
211,C7
212,C7
213,C7
214,C7
215,C7
216,C7
217,C7
218,C7
219,C7
220,C7
221,C7
222,C7
223,C7
224,C7
225,C7
226,C7
227,C7
228,C7
229,C7
230,C7
231,C7
232,C7
233,C7
234,C7
235,C7
236,C7
237,C7
238,C7
239,C7
240,F7
241,F7
242,F7
243,F7
244,F7
245,F7
246,F7
247,F7
248,F7
249,F7
250,F7
251,F7
252,F7
253,F7
254,F7
255,F7
256,F7
257,F7
258,F7
259,F7
260,F7
261,F7
262,F7
263,F7
264,F7
265,F7
266,F7
267,F7
268,F7
269,F7
270,F7
271,F7
272,F7
273,F7
274,F7
275,F7
276,F7
277,F7
278,F7
279,F7
280,F7
281,F7
282,F7
283,F7
284,F7
285,F7
286,F7
287,F7
288,F7
289,F7
290,F7
291,F7
292,F7
293,F7
294,F7
295,F7
296,F7
297,F7
298,F7
299,F7
300,F7
301,F7
302,F7
303,F7
304,F7
305,F7
306,F7
307,F7
308,F7
309,F7
310,F7
311,F7
312,F7
313,F7
314,F7
315,F7
316,F7
317,F7
318,F7
319,F7
320,F7
321,F7
322,F7
323,F7
324,F7
325,F7
326,F7
327,F7
328,F7
329,F7
330,F7
331,F7
332,F7
333,F7
334,F7
335,F7
336,C7
337,C7
338,C7
339,C7
340,C7
341,C7
342,C7
343,C7
344,C7
345,C7
346,C7
347,C7
348,C7
349,C7
350,C7
351,C7
352,C7
353,C7
354,C7
355,C7
356,C7
357,C7
358,C7
359,C7
360,C7
361,C7
362,C7
363,C7
364,C7
365,C7
366,C7
367,C7
368,C7
369,C7
370,C7
371,C7
372,C7
373,C7
374,C7
375,C7
376,C7
377,C7
378,C7
379,C7
380,C7
381,C7
382,C7
383,C7
384,C7
385,C7
386,C7
387,C7
388,C7
389,C7
390,C7
391,C7
392,C7
393,C7
394,C7
395,C7
396,C7
397,C7
398,C7
399,C7
400,C7
401,C7
402,C7
403,C7
404,C7
405,C7
406,C7
407,C7
408,C7
409,C7
410,C7
411,C7
412,C7
413,C7
414,C7
415,C7
416,C7
417,C7
418,C7
419,C7
420,C7
421,C7
422,C7
423,C7
424,C7
425,C7
426,C7
427,C7
428,C7
429,C7
430,C7
431,C7
432,Dm
433,Dm
434,Dm
435,Dm
436,Dm
437,Dm
438,Dm
439,Dm
440,Dm
441,Dm
442,Dm
443,Dm
444,Dm
445,Dm
446,Dm
447,Dm
448,Dm
449,Dm
450,Dm
451,Dm
452,Dm
453,Dm
454,Dm
455,Dm
456,Dm
457,Dm
458,Dm
459,Dm
460,Dm
461,Dm
462,Dm
463,Dm
464,Dm
465,Dm
466,Dm
467,Dm
468,Dm
469,Dm
470,Dm
471,Dm
472,Dm
473,Dm
474,Dm
475,Dm
476,Dm
477,Dm
478,Dm
479,Dm
480,G7
481,G7
482,G7
483,G7
484,G7
485,G7
486,G7
487,G7
488,G7
489,G7
490,G7
491,G7
492,G7
493,G7
494,G7
495,G7
496,G7
497,G7
498,G7
499,G7
500,G7
501,G7
502,G7
503,G7
504,G7
505,G7
