,0
0,Gm
1,Gm
2,Gm
3,Gm
4,Gm
5,Gm
6,Gm
7,Gm
8,Gm
9,Gm
10,Gm
11,Gm
12,Gm
13,Gm
14,Gm
15,Gm
16,Gm
17,Gm
18,Gm
19,Gm
20,Gm
21,Gm
22,Gm
23,Gm
24,C7
25,C7
26,C7
27,C7
28,C7
29,C7
30,C7
31,C7
32,C7
33,C7
34,C7
35,C7
36,C7
37,C7
38,C7
39,C7
40,C7
41,C7
42,C7
43,C7
44,C7
45,C7
46,C7
47,C7
48,F7
49,F7
50,F7
51,F7
52,F7
53,F7
54,F7
55,F7
56,F7
57,F7
58,F7
59,F7
60,F7
61,F7
62,F7
63,F7
64,F7
65,F7
66,F7
67,F7
68,F7
69,F7
70,F7
71,F7
72,F7
73,F7
74,F7
75,F7
76,F7
77,F7
78,F7
79,F7
80,F7
81,F7
82,F7
83,F7
84,F7
85,F7
86,F7
87,F7
88,F7
89,F7
90,F7
91,F7
92,F7
93,F7
94,F7
95,F7
96,Gm
97,Gm
98,Gm
99,Gm
100,Gm
101,Gm
102,Gm
103,Gm
104,Gm
105,Gm
106,Gm
107,Gm
108,Gm
109,Gm
110,Gm
111,Gm
112,Gm
113,Gm
114,Gm
115,Gm
116,Gm
117,Gm
118,Gm
119,Gm
120,C7
121,C7
122,C7
123,C7
124,C7
125,C7
126,C7
127,C7
128,C7
129,C7
130,C7
131,C7
132,C7
133,C7
134,C7
135,C7
136,C7
137,C7
138,C7
139,C7
140,C7
141,C7
142,C7
143,C7
144,Am
145,Am
146,Am
147,Am
148,Am
149,Am
150,Am
151,Am
152,Am
153,Am
154,Am
155,Am
156,Am
157,Am
158,Am
159,Am
160,Am
161,Am
162,Am
163,Am
164,Am
165,Am
166,Am
167,Am
168,D7
169,D7
170,D7
171,D7
172,D7
173,D7
174,D7
175,D7
176,D7
177,D7
178,D7
179,D7
180,D7
181,D7
182,D7
183,D7
184,D7
185,D7
186,D7
187,D7
188,D7
189,D7
190,D7
191,D7
192,Gm
193,Gm
194,Gm
195,Gm
196,Gm
197,Gm
198,Gm
199,Gm
200,Gm
201,Gm
202,Gm
203,Gm
204,Gm
205,Gm
206,Gm
207,Gm
208,Gm
209,Gm
210,Gm
211,Gm
212,Gm
213,Gm
214,Gm
215,Gm
216,C7
217,C7
218,C7
219,C7
220,C7
221,C7
222,C7
223,C7
224,C7
225,C7
226,C7
227,C7
228,C7
229,C7
230,C7
231,C7
232,C7
233,C7
234,C7
235,C7
236,C7
237,C7
238,C7
239,C7
240,Cm
241,Cm
242,Cm
243,Cm
244,Cm
245,Cm
246,Cm
247,Cm
248,Cm
249,Cm
250,Cm
251,Cm
252,Cm
253,Cm
254,Cm
255,Cm
256,Cm
257,Cm
258,Cm
259,Cm
260,Cm
261,Cm
262,Cm
263,Cm
264,F7
265,F7
266,F7
267,F7
268,F7
269,F7
270,F7
271,F7
272,F7
273,F7
274,F7
275,F7
276,F7
277,F7
278,F7
279,F7
280,F7
281,F7
282,F7
283,F7
284,F7
285,F7
286,F7
287,F7
288,B-7
289,B-7
290,B-7
291,B-7
292,B-7
293,B-7
294,B-7
295,B-7
296,B-7
297,B-7
298,B-7
299,B-7
300,B-7
301,B-7
302,B-7
303,B-7
304,B-7
305,B-7
306,B-7
307,B-7
308,B-7
309,B-7
310,B-7
311,B-7
312,F#
313,F#
314,F#
315,F#
316,F#
317,F#
318,F#
319,F#
320,F#
321,F#
322,F#
323,F#
324,F#
325,F#
326,F#
327,F#
328,F#
329,F#
330,F#
331,F#
332,F#
333,F#
334,F#
335,F#
336,Am
337,Am
338,Am
339,Am
340,Am
341,Am
342,Am
343,Am
344,Am
345,Am
346,Am
347,Am
348,Am
349,Am
350,Am
351,Am
352,Am
353,Am
354,Am
355,Am
356,Am
357,Am
358,Am
359,Am
360,D7
361,D7
362,D7
363,D7
364,D7
365,D7
366,D7
367,D7
368,D7
369,D7
370,D7
371,D7
372,D7
373,D7
374,D7
375,D7
376,D7
377,D7
378,D7
379,D7
380,D7
381,D7
382,D7
383,D7
384,Gm
385,Gm
386,Gm
387,Gm
388,Gm
389,Gm
390,Gm
391,Gm
392,Gm
393,Gm
394,Gm
395,Gm
396,Gm
397,Gm
398,Gm
399,Gm
400,Gm
