,0
0,G#
1,G#
2,G#
3,G#
4,G#
5,G#
6,G#
7,G#
8,G#
9,G#
10,G#
11,G#
12,G#
13,G#
14,G#
15,G#
16,G#
17,G#
18,G#
19,G#
20,G#
21,G#
22,G#
23,G#
24,G#
25,G#
26,G#
27,G#
28,G#
29,G#
30,G#
31,G#
32,G#
33,G#
34,G#
35,G#
36,G#
37,G#
38,G#
39,G#
40,G#
41,G#
42,G#
43,G#
44,G#
45,G#
46,G#
47,G#
48,G#
49,G#
50,G#
51,G#
52,G#
53,G#
54,G#
55,G#
56,G#
57,G#
58,G#
59,G#
60,G#
61,G#
62,G#
63,G#
64,G#
65,G#
66,G#
67,G#
68,G#
69,G#
70,G#
71,G#
72,G#
73,G#
74,G#
75,G#
76,G#
77,G#
78,G#
79,G#
80,G#
81,G#
82,G#
83,G#
84,G#
85,G#
86,G#
87,G#
88,G#
89,G#
90,G#
91,G#
92,G#
93,G#
94,G#
95,G#
96,E-m
97,E-m
98,E-m
99,E-m
100,E-m
101,E-m
102,E-m
103,E-m
104,E-m
105,E-m
106,E-m
107,E-m
108,E-m
109,E-m
110,E-m
111,E-m
112,E-m
113,E-m
114,E-m
115,E-m
116,E-m
117,E-m
118,E-m
119,E-m
120,E-m
121,E-m
122,E-m
123,E-m
124,E-m
125,E-m
126,E-m
127,E-m
128,E-m
129,E-m
130,E-m
131,E-m
132,E-m
133,E-m
134,E-m
135,E-m
136,E-m
137,E-m
138,E-m
139,E-m
140,E-m
141,E-m
142,E-m
143,E-m
144,G#7
145,G#7
146,G#7
147,G#7
148,G#7
149,G#7
150,G#7
151,G#7
152,G#7
153,G#7
154,G#7
155,G#7
156,G#7
157,G#7
158,G#7
159,G#7
160,G#7
161,G#7
162,G#7
163,G#7
164,G#7
165,G#7
166,G#7
167,G#7
168,G#7
169,G#7
170,G#7
171,G#7
172,G#7
173,G#7
174,G#7
175,G#7
176,G#7
177,G#7
178,G#7
179,G#7
180,G#7
181,G#7
182,G#7
183,G#7
184,G#7
185,G#7
186,G#7
187,G#7
188,G#7
189,G#7
190,G#7
191,G#7
192,C#
193,C#
194,C#
195,C#
196,C#
197,C#
198,C#
199,C#
200,C#
201,C#
202,C#
203,C#
204,C#
205,C#
206,C#
207,C#
208,C#
209,C#
210,C#
211,C#
212,C#
213,C#
214,C#
215,C#
216,C#
217,C#
218,C#
219,C#
220,C#
221,C#
222,C#
223,C#
224,C#
225,C#
226,C#
227,C#
228,C#
229,C#
230,C#
231,C#
232,C#
233,C#
234,C#
235,C#
236,C#
237,C#
238,C#
239,C#
240,C#
241,C#
242,C#
243,C#
244,C#
245,C#
246,C#
247,C#
248,C#
249,C#
250,C#
251,C#
252,C#
253,C#
254,C#
255,C#
256,C#
257,C#
258,C#
259,C#
260,C#
261,C#
262,C#
263,C#
264,C#
265,C#
266,C#
267,C#
268,C#
269,C#
270,C#
271,C#
272,C#
273,C#
274,C#
275,C#
276,C#
277,C#
278,C#
279,C#
280,C#
281,C#
282,C#
283,C#
284,C#
285,C#
286,C#
287,C#
288,F#7
289,F#7
290,F#7
291,F#7
292,F#7
293,F#7
294,F#7
295,F#7
296,F#7
297,F#7
298,F#7
299,F#7
300,F#7
301,F#7
302,F#7
303,F#7
304,F#7
305,F#7
306,F#7
307,F#7
308,F#7
309,F#7
310,F#7
311,F#7
312,F#7
313,F#7
314,F#7
315,F#7
316,F#7
317,F#7
318,F#7
319,F#7
320,F#7
321,F#7
322,F#7
323,F#7
324,F#7
325,F#7
326,F#7
327,F#7
328,F#7
329,F#7
330,F#7
331,F#7
332,F#7
333,F#7
334,F#7
335,F#7
336,F#7
337,F#7
338,F#7
339,F#7
340,F#7
341,F#7
342,F#7
343,F#7
344,F#7
345,F#7
346,F#7
347,F#7
348,F#7
349,F#7
350,F#7
351,F#7
352,F#7
353,F#7
354,F#7
355,F#7
356,F#7
357,F#7
358,F#7
359,F#7
360,F#7
361,F#7
362,F#7
363,F#7
364,F#7
365,F#7
366,F#7
367,F#7
368,F#7
369,F#7
370,F#7
371,F#7
372,F#7
373,F#7
374,F#7
375,F#7
376,F#7
377,F#7
378,F#7
379,F#7
380,F#7
381,F#7
382,F#7
383,F#7
384,G#
385,G#
386,G#
387,G#
388,G#
389,G#
