,0
0,F#
1,F#
2,F#
3,F#
4,F#
5,F#
6,F#
7,F#
8,F#
9,F#
10,F#
11,F#
12,F#
13,F#
14,F#
15,F#
16,F#
17,F#
18,F#
19,F#
20,F#
21,F#
22,F#
23,F#
24,F#
25,F#
26,F#
27,F#
28,F#
29,F#
30,F#
31,F#
32,F#
33,F#
34,F#
35,F#
36,F#
37,F#
38,F#
39,F#
40,F#
41,F#
42,F#
43,F#
44,F#
45,F#
46,F#
47,F#
48,F#
49,F#
50,F#
51,F#
52,F#
53,F#
54,F#
55,F#
56,F#
57,F#
58,F#
59,F#
60,F#
61,F#
62,F#
63,F#
64,F#
65,F#
66,F#
67,F#
68,F#
69,F#
70,F#
71,F#
72,F#
73,F#
74,F#
75,F#
76,F#
77,F#
78,F#
79,F#
80,F#
81,F#
82,F#
83,F#
84,F#
85,F#
86,F#
87,F#
88,F#
89,F#
90,F#
91,F#
92,F#
93,F#
94,F#
95,F#
96,C#m
97,C#m
98,C#m
99,C#m
100,C#m
101,C#m
102,C#m
103,C#m
104,C#m
105,C#m
106,C#m
107,C#m
108,C#m
109,C#m
110,C#m
111,C#m
112,C#m
113,C#m
114,C#m
115,C#m
116,C#m
117,C#m
118,C#m
119,C#m
120,C#m
121,C#m
122,C#m
123,C#m
124,C#m
125,C#m
126,C#m
127,C#m
128,C#m
129,C#m
130,C#m
131,C#m
132,C#m
133,C#m
134,C#m
135,C#m
136,C#m
137,C#m
138,C#m
139,C#m
140,C#m
141,C#m
142,C#m
143,C#m
144,F#7
145,F#7
146,F#7
147,F#7
148,F#7
149,F#7
150,F#7
151,F#7
152,F#7
153,F#7
154,F#7
155,F#7
156,F#7
157,F#7
158,F#7
159,F#7
160,F#7
161,F#7
162,F#7
163,F#7
164,F#7
165,F#7
166,F#7
167,F#7
168,F#7
169,F#7
170,F#7
171,F#7
172,F#7
173,F#7
174,F#7
175,F#7
176,F#7
177,F#7
178,F#7
179,F#7
180,F#7
181,F#7
182,F#7
183,F#7
184,F#7
185,F#7
186,F#7
187,F#7
188,F#7
189,F#7
190,F#7
191,F#7
192,B
193,B
194,B
195,B
196,B
197,B
198,B
199,B
200,B
201,B
202,B
203,B
204,B
205,B
206,B
207,B
208,B
209,B
210,B
211,B
212,B
213,B
214,B
215,B
216,B
217,B
218,B
219,B
220,B
221,B
222,B
223,B
224,B
225,B
226,B
227,B
228,B
229,B
230,B
231,B
232,B
233,B
234,B
235,B
236,B
237,B
238,B
239,B
240,B
241,B
242,B
243,B
244,B
245,B
246,B
247,B
248,B
249,B
250,B
251,B
252,B
253,B
254,B
255,B
256,B
257,B
258,B
259,B
260,B
261,B
262,B
263,B
264,B
265,B
266,B
267,B
268,B
269,B
270,B
271,B
272,B
273,B
274,B
275,B
276,B
277,B
278,B
279,B
280,B
281,B
282,B
283,B
284,B
285,B
286,B
287,B
288,E7
289,E7
290,E7
291,E7
292,E7
293,E7
294,E7
295,E7
296,E7
297,E7
298,E7
299,E7
300,E7
301,E7
302,E7
303,E7
304,E7
305,E7
306,E7
307,E7
308,E7
309,E7
310,E7
311,E7
312,E7
313,E7
314,E7
315,E7
316,E7
317,E7
318,E7
319,E7
320,E7
321,E7
322,E7
323,E7
324,E7
325,E7
326,E7
327,E7
328,E7
329,E7
330,E7
331,E7
332,E7
333,E7
334,E7
335,E7
336,E7
337,E7
338,E7
339,E7
340,E7
341,E7
342,E7
343,E7
344,E7
345,E7
346,E7
347,E7
348,E7
349,E7
350,E7
351,E7
352,E7
353,E7
354,E7
355,E7
356,E7
357,E7
358,E7
359,E7
360,E7
361,E7
362,E7
363,E7
364,E7
365,E7
366,E7
367,E7
368,E7
369,E7
370,E7
371,E7
372,E7
373,E7
374,E7
375,E7
376,E7
377,E7
378,E7
379,E7
380,E7
381,E7
382,E7
383,E7
384,F#
385,F#
386,F#
387,F#
388,F#
389,F#
390,F#
391,F#
392,F#
393,F#
394,F#
395,F#
396,F#
397,F#
398,F#
399,F#
400,F#
401,F#
402,F#
403,F#
404,F#
405,F#
406,F#
407,F#
408,F#
409,F#
410,F#
411,F#
412,F#
413,F#
414,F#
415,F#
416,F#
417,F#
418,F#
419,F#
420,F#
421,F#
422,F#
423,F#
424,F#
425,F#
426,F#
427,F#
428,F#
429,F#
430,F#
431,F#
432,F#
433,F#
434,F#
435,F#
436,F#
437,F#
438,F#
439,F#
440,F#
441,F#
442,F#
443,F#
444,F#
445,F#
446,F#
447,F#
448,F#
449,F#
450,F#
451,F#
452,F#
453,F#
454,F#
455,F#
456,F#
457,F#
458,F#
459,F#
460,F#
461,F#
462,F#
463,F#
464,F#
465,F#
466,F#
467,F#
468,F#
469,F#
470,F#
471,F#
472,F#
473,F#
474,F#
475,F#
476,F#
477,F#
478,F#
479,F#
480,G#7
481,G#7
482,G#7
483,G#7
484,G#7
485,G#7
486,G#7
487,G#7
488,G#7
489,G#7
490,G#7
491,G#7
492,G#7
493,G#7
494,G#7
495,G#7
496,G#7
497,G#7
498,G#7
499,G#7
500,G#7
501,G#7
502,G#7
503,G#7
504,G#7
505,G#7
506,G#7
507,G#7
508,G#7
509,G#7
510,G#7
511,G#7
512,G#7
513,G#7
514,G#7
515,G#7
516,G#7
517,G#7
518,G#7
519,G#7
520,G#7
521,G#7
522,G#7
523,G#7
524,G#7
525,G#7
526,G#7
527,G#7
528,G#7
529,G#7
530,G#7
531,G#7
532,G#7
533,G#7
534,G#7
535,G#7
536,G#7
537,G#7
538,G#7
539,G#7
540,G#7
541,G#7
542,G#7
543,G#7
544,G#7
545,G#7
546,G#7
547,G#7
548,G#7
549,G#7
550,G#7
551,G#7
552,G#7
553,G#7
554,G#7
555,G#7
556,G#7
557,G#7
558,G#7
559,G#7
560,G#7
561,G#7
562,G#7
563,G#7
564,G#7
565,G#7
566,G#7
567,G#7
568,G#7
569,G#7
570,G#7
571,G#7
572,G#7
573,G#7
574,G#7
575,G#7
576,G#m
577,G#m
578,G#m
579,G#m
580,G#m
581,G#m
582,G#m
583,G#m
584,G#m
585,G#m
586,G#m
587,G#m
588,G#m
589,G#m
590,G#m
591,G#m
592,G#m
593,G#m
594,G#m
595,G#m
596,G#m
597,G#m
598,G#m
599,G#m
600,G#m
601,G#m
602,G#m
603,G#m
604,G#m
605,G#m
606,G#m
607,G#m
608,G#m
609,G#m
610,G#m
611,G#m
612,G#m
613,G#m
614,G#m
615,G#m
616,G#m
617,G#m
618,G#m
619,G#m
620,G#m
621,G#m
622,G#m
623,G#m
624,E-7
625,E-7
626,E-7
627,E-7
628,E-7
629,E-7
630,E-7
631,E-7
632,E-7
633,E-7
634,E-7
635,E-7
636,E-7
637,E-7
638,E-7
639,E-7
640,E-7
641,E-7
642,E-7
643,E-7
644,E-7
645,E-7
646,E-7
647,E-7
648,E-7
649,E-7
650,E-7
651,E-7
652,E-7
653,E-7
654,E-7
655,E-7
656,E-7
657,E-7
658,E-7
659,E-7
660,E-7
661,E-7
662,E-7
663,E-7
664,E-7
665,E-7
666,E-7
667,E-7
668,E-7
669,E-7
670,E-7
671,E-7
672,G#m
673,G#m
674,G#m
675,G#m
676,G#m
677,G#m
678,G#m
679,G#m
680,G#m
681,G#m
682,G#m
683,G#m
684,G#m
685,G#m
686,G#m
687,G#m
688,G#m
689,G#m
690,G#m
691,G#m
692,G#m
693,G#m
694,G#m
695,G#m
696,G#m
697,G#m
698,G#m
699,G#m
700,G#m
701,G#m
702,G#m
703,G#m
704,G#m
705,G#m
706,G#m
707,G#m
708,G#m
709,G#m
710,G#m
711,G#m
712,G#m
713,G#m
714,G#m
715,G#m
716,G#m
717,G#m
718,G#m
719,G#m
720,C#7
721,C#7
722,C#7
723,C#7
724,C#7
725,C#7
726,C#7
727,C#7
728,C#7
729,C#7
730,C#7
731,C#7
732,C#7
733,C#7
734,C#7
735,C#7
736,C#7
737,C#7
738,C#7
739,C#7
740,C#7
741,C#7
742,C#7
743,C#7
744,C#7
745,C#7
746,C#7
747,C#7
748,C#7
749,C#7
750,C#7
751,C#7
752,C#7
753,C#7
754,C#7
755,C#7
756,C#7
757,C#7
758,C#7
759,C#7
760,C#7
761,C#7
762,C#7
763,C#7
764,C#7
765,C#7
766,C#7
767,C#7
768,F#
769,F#
770,F#
771,F#
772,F#
773,F#
774,F#
775,F#
776,F#
777,F#
778,F#
779,F#
780,F#
781,F#
782,F#
783,F#
784,F#
785,F#
786,F#
787,F#
788,F#
789,F#
790,F#
791,F#
792,F#
793,F#
794,F#
795,F#
796,F#
797,F#
798,F#
799,F#
800,F#
801,F#
802,F#
803,F#
804,F#
805,F#
806,F#
807,F#
808,F#
809,F#
810,F#
811,F#
812,F#
813,F#
814,F#
815,F#
816,F#
817,F#
818,F#
819,F#
820,F#
821,F#
822,F#
823,F#
824,F#
825,F#
826,F#
827,F#
828,F#
829,F#
830,F#
831,F#
832,F#
833,F#
834,F#
835,F#
836,F#
837,F#
838,F#
839,F#
840,F#
841,F#
842,F#
843,F#
844,F#
845,F#
846,F#
847,F#
848,F#
849,F#
850,F#
851,F#
852,F#
853,F#
854,F#
855,F#
856,F#
857,F#
858,F#
859,F#
860,F#
861,F#
862,F#
863,F#
864,C#m
865,C#m
866,C#m
867,C#m
868,C#m
869,C#m
870,C#m
871,C#m
872,C#m
873,C#m
874,C#m
875,C#m
876,C#m
877,C#m
878,C#m
879,C#m
880,C#m
881,C#m
882,C#m
883,C#m
884,C#m
885,C#m
886,C#m
887,C#m
888,C#m
889,C#m
890,C#m
891,C#m
892,C#m
893,C#m
894,C#m
895,C#m
896,C#m
897,C#m
898,C#m
899,C#m
900,C#m
901,C#m
902,C#m
903,C#m
904,C#m
905,C#m
906,C#m
907,C#m
908,C#m
909,C#m
910,C#m
911,C#m
912,F#7
913,F#7
914,F#7
915,F#7
916,F#7
917,F#7
918,F#7
919,F#7
920,F#7
921,F#7
922,F#7
923,F#7
924,F#7
925,F#7
926,F#7
927,F#7
928,F#7
929,F#7
930,F#7
931,F#7
932,F#7
933,F#7
934,F#7
935,F#7
936,F#7
937,F#7
938,F#7
939,F#7
940,F#7
941,F#7
942,F#7
943,F#7
944,F#7
945,F#7
946,F#7
