,0
0,F
1,F
2,F
3,F
4,F
5,F
6,F
7,F
8,F
9,F
10,F
11,F
12,F
13,F
14,F
15,F
16,F
17,F
18,F
19,F
20,F
21,F
22,F
23,F
24,F
25,F
26,F
27,F
28,F
29,F
30,F
31,F
32,F
33,F
34,F
35,F
36,F
37,F
38,F
39,F
40,F
41,F
42,F
43,F
44,F
45,F
46,F
47,F
48,F
49,F
50,F
51,F
52,F
53,F
54,F
55,F
56,F
57,F
58,F
59,F
60,F
61,F
62,F
63,F
64,F
65,F
66,F
67,F
68,F
69,F
70,F
71,F
72,F
73,F
74,F
75,F
76,F
77,F
78,F
79,F
80,F
81,F
82,F
83,F
84,F
85,F
86,F
87,F
88,F
89,F
90,F
91,F
92,F
93,F
94,F
95,F
96,Cm
97,Cm
98,Cm
99,Cm
100,Cm
101,Cm
102,Cm
103,Cm
104,Cm
105,Cm
106,Cm
107,Cm
108,Cm
109,Cm
110,Cm
111,Cm
112,Cm
113,Cm
114,Cm
115,Cm
116,Cm
117,Cm
118,Cm
119,Cm
120,Cm
121,Cm
122,Cm
123,Cm
124,Cm
125,Cm
126,Cm
127,Cm
128,Cm
129,Cm
130,Cm
131,Cm
132,Cm
133,Cm
134,Cm
135,Cm
136,Cm
137,Cm
138,Cm
139,Cm
140,Cm
141,Cm
142,Cm
143,Cm
144,F7
145,F7
146,F7
147,F7
148,F7
149,F7
150,F7
151,F7
152,F7
153,F7
154,F7
155,F7
156,F7
157,F7
158,F7
159,F7
160,F7
161,F7
162,F7
163,F7
164,F7
165,F7
166,F7
167,F7
168,F7
169,F7
170,F7
171,F7
172,F7
173,F7
174,F7
175,F7
176,F7
177,F7
178,F7
179,F7
180,F7
181,F7
182,F7
183,F7
184,F7
185,F7
186,F7
187,F7
188,F7
189,F7
190,F7
191,F7
192,B-
193,B-
194,B-
195,B-
196,B-
197,B-
198,B-
199,B-
200,B-
201,B-
202,B-
203,B-
204,B-
205,B-
206,B-
207,B-
208,B-
209,B-
210,B-
211,B-
212,B-
213,B-
214,B-
215,B-
216,B-
217,B-
218,B-
219,B-
220,B-
221,B-
222,B-
223,B-
224,B-
225,B-
226,B-
227,B-
228,B-
229,B-
230,B-
231,B-
232,B-
233,B-
234,B-
235,B-
236,B-
237,B-
238,B-
239,B-
240,B-
241,B-
242,B-
243,B-
244,B-
245,B-
246,B-
247,B-
248,B-
249,B-
250,B-
251,B-
252,B-
253,B-
254,B-
255,B-
256,B-
257,B-
258,B-
259,B-
260,B-
261,B-
262,B-
263,B-
264,B-
265,B-
266,B-
267,B-
268,B-
269,B-
270,B-
271,B-
272,B-
273,B-
274,B-
275,B-
276,B-
277,B-
278,B-
279,B-
280,B-
281,B-
282,B-
283,B-
284,B-
285,B-
286,B-
287,B-
288,E-7
289,E-7
290,E-7
291,E-7
292,E-7
293,E-7
294,E-7
295,E-7
296,E-7
297,E-7
298,E-7
299,E-7
300,E-7
301,E-7
302,E-7
303,E-7
304,E-7
305,E-7
306,E-7
307,E-7
308,E-7
309,E-7
310,E-7
311,E-7
312,E-7
313,E-7
314,E-7
315,E-7
316,E-7
317,E-7
318,E-7
319,E-7
320,E-7
321,E-7
322,E-7
323,E-7
324,E-7
325,E-7
326,E-7
327,E-7
328,E-7
329,E-7
330,E-7
331,E-7
332,E-7
333,E-7
334,E-7
335,E-7
336,E-7
337,E-7
338,E-7
339,E-7
340,E-7
341,E-7
342,E-7
343,E-7
344,E-7
345,E-7
346,E-7
347,E-7
348,E-7
349,E-7
350,E-7
351,E-7
352,E-7
353,E-7
354,E-7
355,E-7
356,E-7
357,E-7
358,E-7
359,E-7
360,E-7
361,E-7
362,E-7
363,E-7
364,E-7
365,E-7
366,E-7
367,E-7
368,E-7
369,E-7
370,E-7
371,E-7
372,E-7
373,E-7
374,E-7
375,E-7
376,E-7
377,E-7
378,E-7
379,E-7
380,E-7
381,E-7
382,E-7
383,E-7
384,F
385,F
386,F
387,F
388,F
389,F
390,F
391,F
392,F
393,F
394,F
395,F
396,F
397,F
398,F
399,F
400,F
401,F
402,F
403,F
404,F
405,F
406,F
407,F
408,F
409,F
410,F
411,F
412,F
413,F
414,F
415,F
416,F
417,F
418,F
419,F
420,F
421,F
422,F
423,F
424,F
425,F
426,F
427,F
428,F
429,F
430,F
431,F
432,F
433,F
434,F
435,F
436,F
437,F
438,F
439,F
440,F
441,F
442,F
443,F
444,F
445,F
446,F
447,F
448,F
449,F
450,F
451,F
452,F
453,F
454,F
455,F
456,F
457,F
458,F
459,F
460,F
461,F
462,F
463,F
464,F
465,F
466,F
467,F
468,F
469,F
470,F
471,F
472,F
473,F
474,F
475,F
476,F
477,F
478,F
479,F
480,G7
481,G7
482,G7
483,G7
484,G7
485,G7
486,G7
487,G7
488,G7
489,G7
490,G7
491,G7
492,G7
493,G7
494,G7
495,G7
496,G7
497,G7
498,G7
499,G7
500,G7
501,G7
502,G7
503,G7
504,G7
505,G7
506,G7
507,G7
508,G7
509,G7
510,G7
511,G7
512,G7
513,G7
514,G7
515,G7
516,G7
517,G7
518,G7
519,G7
520,G7
521,G7
522,G7
523,G7
524,G7
525,G7
526,G7
527,G7
528,G7
529,G7
530,G7
531,G7
532,G7
533,G7
534,G7
535,G7
536,G7
537,G7
538,G7
539,G7
540,G7
541,G7
542,G7
543,G7
544,G7
545,G7
546,G7
547,G7
548,G7
549,G7
550,G7
551,G7
552,G7
553,G7
554,G7
555,G7
556,G7
557,G7
558,G7
559,G7
560,G7
561,G7
562,G7
563,G7
564,G7
565,G7
566,G7
567,G7
568,G7
569,G7
570,G7
571,G7
572,G7
573,G7
574,G7
575,G7
576,Gm
577,Gm
578,Gm
579,Gm
580,Gm
581,Gm
582,Gm
583,Gm
584,Gm
585,Gm
586,Gm
587,Gm
588,Gm
589,Gm
590,Gm
591,Gm
592,Gm
593,Gm
594,Gm
595,Gm
596,Gm
597,Gm
598,Gm
599,Gm
600,Gm
601,Gm
602,Gm
603,Gm
604,Gm
605,Gm
606,Gm
607,Gm
608,Gm
609,Gm
610,Gm
611,Gm
612,Gm
613,Gm
614,Gm
615,Gm
616,Gm
617,Gm
618,Gm
619,Gm
620,Gm
621,Gm
622,Gm
623,Gm
624,D7
625,D7
626,D7
627,D7
628,D7
629,D7
630,D7
631,D7
632,D7
633,D7
634,D7
635,D7
636,D7
637,D7
638,D7
639,D7
640,D7
641,D7
642,D7
643,D7
644,D7
645,D7
646,D7
647,D7
648,D7
649,D7
650,D7
651,D7
652,D7
653,D7
654,D7
655,D7
656,D7
657,D7
658,D7
659,D7
660,D7
661,D7
662,D7
663,D7
664,D7
665,D7
666,D7
667,D7
668,D7
669,D7
670,D7
671,D7
672,Gm
673,Gm
674,Gm
675,Gm
676,Gm
677,Gm
678,Gm
679,Gm
680,Gm
681,Gm
682,Gm
683,Gm
684,Gm
685,Gm
686,Gm
687,Gm
688,Gm
689,Gm
690,Gm
691,Gm
692,Gm
693,Gm
694,Gm
695,Gm
696,Gm
697,Gm
698,Gm
699,Gm
700,Gm
701,Gm
702,Gm
703,Gm
704,Gm
705,Gm
706,Gm
707,Gm
708,Gm
709,Gm
710,Gm
711,Gm
712,Gm
713,Gm
714,Gm
715,Gm
716,Gm
717,Gm
718,Gm
719,Gm
720,C7
721,C7
722,C7
723,C7
724,C7
725,C7
726,C7
727,C7
728,C7
729,C7
730,C7
731,C7
732,C7
733,C7
734,C7
735,C7
736,C7
737,C7
738,C7
739,C7
740,C7
741,C7
742,C7
743,C7
744,C7
745,C7
746,C7
747,C7
748,C7
749,C7
750,C7
751,C7
752,C7
753,C7
754,C7
755,C7
756,C7
757,C7
758,C7
759,C7
760,C7
761,C7
762,C7
763,C7
764,C7
765,C7
766,C7
767,C7
768,F
769,F
770,F
771,F
772,F
773,F
774,F
775,F
776,F
777,F
778,F
779,F
780,F
781,F
782,F
783,F
784,F
785,F
786,F
787,F
788,F
789,F
790,F
791,F
792,F
793,F
794,F
795,F
796,F
797,F
798,F
799,F
800,F
801,F
802,F
803,F
804,F
805,F
806,F
807,F
808,F
809,F
810,F
811,F
812,F
813,F
814,F
815,F
816,F
817,F
818,F
819,F
820,F
821,F
822,F
823,F
824,F
825,F
826,F
827,F
828,F
829,F
830,F
831,F
832,F
833,F
834,F
835,F
836,F
837,F
838,F
839,F
840,F
841,F
842,F
843,F
844,F
845,F
846,F
847,F
848,F
849,F
850,F
851,F
852,F
853,F
854,F
855,F
856,F
857,F
858,F
859,F
860,F
861,F
862,F
863,F
864,Cm
865,Cm
866,Cm
867,Cm
868,Cm
869,Cm
870,Cm
871,Cm
872,Cm
873,Cm
874,Cm
875,Cm
876,Cm
877,Cm
878,Cm
879,Cm
880,Cm
881,Cm
882,Cm
883,Cm
884,Cm
885,Cm
886,Cm
887,Cm
888,Cm
889,Cm
890,Cm
891,Cm
892,Cm
893,Cm
894,Cm
895,Cm
896,Cm
897,Cm
898,Cm
899,Cm
900,Cm
901,Cm
902,Cm
903,Cm
904,Cm
905,Cm
906,Cm
907,Cm
908,Cm
909,Cm
910,Cm
911,Cm
912,F7
913,F7
914,F7
915,F7
916,F7
917,F7
918,F7
919,F7
920,F7
921,F7
922,F7
923,F7
924,F7
925,F7
926,F7
927,F7
928,F7
929,F7
930,F7
931,F7
932,F7
933,F7
934,F7
935,F7
936,F7
937,F7
938,F7
939,F7
940,F7
941,F7
942,F7
943,F7
944,F7
945,F7
946,F7
947,F7
948,F7
949,F7
950,F7
951,F7
952,F7
953,F7
954,F7
955,F7
956,F7
957,F7
958,F7
959,F7
960,B-
961,B-
962,B-
963,B-
964,B-
965,B-
966,B-
967,B-
968,B-
969,B-
970,B-
971,B-
972,B-
973,B-
974,B-
975,B-
976,B-
977,B-
978,B-
979,B-
980,B-
981,B-
982,B-
983,B-
984,B-
985,B-
986,B-
987,B-
988,B-
989,B-
990,B-
991,B-
992,B-
993,B-
994,B-
995,B-
996,B-
997,B-
998,B-
999,B-
1000,B-
1001,B-
1002,B-
1003,B-
1004,B-
1005,B-
1006,B-
1007,B-
1008,B-
1009,B-
1010,B-
1011,B-
1012,B-
1013,B-
1014,B-
1015,B-
1016,B-
1017,B-
