,0
0,Cm
1,Cm
2,Cm
3,Cm
4,Cm
5,Cm
6,Cm
7,Cm
8,Cm
9,Cm
10,Cm
11,Cm
12,Cm
13,Cm
14,Cm
15,Cm
16,Cm
17,Cm
18,Cm
19,Cm
20,Cm
21,Cm
22,Cm
23,Cm
24,F7
25,F7
26,F7
27,F7
28,F7
29,F7
30,F7
31,F7
32,F7
33,F7
34,F7
35,F7
36,F7
37,F7
38,F7
39,F7
40,F7
41,F7
42,F7
43,F7
44,F7
45,F7
46,F7
47,F7
48,B-
49,B-
50,B-
51,B-
52,B-
53,B-
54,B-
55,B-
56,B-
57,B-
58,B-
59,B-
60,B-
61,B-
62,B-
63,B-
64,B-
65,B-
66,B-
67,B-
68,B-
69,B-
70,B-
71,B-
72,B-
73,B-
74,B-
75,B-
76,B-
77,B-
78,B-
79,B-
80,B-
81,B-
82,B-
83,B-
84,B-
85,B-
86,B-
87,B-
88,B-
89,B-
90,B-
91,B-
92,B-
93,B-
94,B-
95,B-
96,A/o7
97,A/o7
98,A/o7
99,A/o7
100,A/o7
101,A/o7
102,A/o7
103,A/o7
104,A/o7
105,A/o7
106,A/o7
107,A/o7
108,A/o7
109,A/o7
110,A/o7
111,A/o7
112,A/o7
113,A/o7
114,A/o7
115,A/o7
116,A/o7
117,A/o7
118,A/o7
119,A/o7
120,D7
121,D7
122,D7
123,D7
124,D7
125,D7
126,D7
127,D7
128,D7
129,D7
130,D7
131,D7
132,D7
133,D7
134,D7
135,D7
136,D7
137,D7
138,D7
139,D7
140,D7
141,D7
142,D7
143,D7
144,Gm
145,Gm
146,Gm
147,Gm
148,Gm
149,Gm
150,Gm
151,Gm
152,Gm
153,Gm
154,Gm
155,Gm
156,Gm
157,Gm
158,Gm
159,Gm
160,Gm
161,Gm
162,Gm
163,Gm
164,Gm
165,Gm
166,Gm
167,Gm
168,C7
169,C7
170,C7
171,C7
172,C7
173,C7
174,C7
175,C7
176,C7
177,C7
178,C7
179,C7
180,C7
181,C7
182,C7
183,C7
184,C7
185,C7
186,C7
187,C7
188,C7
189,C7
190,C7
191,C7
192,Fm
193,Fm
194,Fm
195,Fm
196,Fm
197,Fm
198,Fm
199,Fm
200,Fm
201,Fm
202,Fm
203,Fm
204,Fm
205,Fm
206,Fm
207,Fm
208,Fm
209,Fm
210,Fm
211,Fm
212,Fm
213,Fm
214,Fm
215,Fm
216,B-7
217,B-7
218,B-7
219,B-7
220,B-7
221,B-7
222,B-7
223,B-7
224,B-7
225,B-7
226,B-7
227,B-7
228,B-7
229,B-7
230,B-7
231,B-7
232,B-7
233,B-7
234,B-7
235,B-7
236,B-7
237,B-7
238,B-7
239,B-7
240,E-7
241,E-7
242,E-7
243,E-7
244,E-7
245,E-7
246,E-7
247,E-7
248,E-7
249,E-7
250,E-7
251,E-7
252,E-7
253,E-7
254,E-7
255,E-7
256,E-7
257,E-7
258,E-7
259,E-7
260,E-7
261,E-7
262,E-7
263,E-7
264,E-7
265,E-7
266,E-7
267,E-7
268,E-7
269,E-7
270,E-7
271,E-7
272,E-7
273,E-7
274,E-7
275,E-7
276,E-7
277,E-7
278,E-7
279,E-7
280,E-7
281,E-7
282,E-7
283,E-7
284,E-7
285,E-7
286,E-7
287,E-7
288,E-m
289,E-m
290,E-m
291,E-m
292,E-m
293,E-m
294,E-m
295,E-m
296,E-m
297,E-m
298,E-m
299,E-m
300,E-m
301,E-m
302,E-m
303,E-m
304,E-m
305,E-m
306,E-m
307,E-m
308,E-m
309,E-m
310,E-m
311,E-m
312,E-m
313,E-m
314,E-m
315,E-m
316,E-m
317,E-m
318,E-m
319,E-m
320,E-m
321,E-m
322,E-m
323,E-m
324,E-m
325,E-m
326,E-m
327,E-m
328,E-m
329,E-m
330,E-m
331,E-m
332,E-m
333,E-m
334,E-m
335,E-m
336,Dm
337,Dm
338,Dm
339,Dm
340,Dm
341,Dm
342,Dm
343,Dm
344,Dm
345,Dm
346,Dm
347,Dm
348,Dm
349,Dm
350,Dm
351,Dm
352,Dm
353,Dm
354,Dm
355,Dm
356,Dm
357,Dm
358,Dm
359,Dm
360,Dm
361,Dm
362,Dm
363,Dm
364,Dm
365,Dm
366,Dm
367,Dm
368,Dm
369,Dm
370,Dm
371,Dm
372,Dm
373,Dm
374,Dm
375,Dm
376,Dm
377,Dm
378,Dm
379,Dm
380,Dm
381,Dm
382,Dm
383,Dm
384,C#m
385,C#m
386,C#m
387,C#m
388,C#m
389,C#m
390,C#m
391,C#m
392,C#m
393,C#m
394,C#m
395,C#m
396,C#m
397,C#m
398,C#m
399,C#m
400,C#m
401,C#m
402,C#m
403,C#m
404,C#m
405,C#m
406,C#m
407,C#m
408,C#m
409,C#m
410,C#m
411,C#m
412,C#m
413,C#m
414,C#m
415,C#m
416,C#m
417,C#m
418,C#m
419,C#m
420,C#m
421,C#m
422,C#m
423,C#m
424,C#m
425,C#m
426,C#m
427,C#m
428,C#m
429,C#m
430,C#m
431,C#m
432,Cm
433,Cm
434,Cm
435,Cm
436,Cm
