,0
0,E-m
1,E-m
2,E-m
3,E-m
4,E-m
5,E-m
6,E-m
7,E-m
8,E-m
9,E-m
10,E-m
11,E-m
12,E-m
13,E-m
14,E-m
15,E-m
16,E-m
17,E-m
18,E-m
19,E-m
20,E-m
21,E-m
22,E-m
23,E-m
24,G#7
25,G#7
26,G#7
27,G#7
28,G#7
29,G#7
30,G#7
31,G#7
32,G#7
33,G#7
34,G#7
35,G#7
36,G#7
37,G#7
38,G#7
39,G#7
40,G#7
41,G#7
42,G#7
43,G#7
44,G#7
45,G#7
46,G#7
47,G#7
48,C#
49,C#
50,C#
51,C#
52,C#
53,C#
54,C#
55,C#
56,C#
57,C#
58,C#
59,C#
60,C#
61,C#
62,C#
63,C#
64,C#
65,C#
66,C#
67,C#
68,C#
69,C#
70,C#
71,C#
72,C#
73,C#
74,C#
75,C#
76,C#
77,C#
78,C#
79,C#
80,C#
81,C#
82,C#
83,C#
84,C#
85,C#
86,C#
87,C#
88,C#
89,C#
90,C#
91,C#
92,C#
93,C#
94,C#
95,C#
96,C/o7
97,C/o7
98,C/o7
99,C/o7
100,C/o7
101,C/o7
102,C/o7
103,C/o7
104,C/o7
105,C/o7
106,C/o7
107,C/o7
108,C/o7
109,C/o7
110,C/o7
111,C/o7
112,C/o7
113,C/o7
114,C/o7
115,C/o7
116,C/o7
117,C/o7
118,C/o7
119,C/o7
120,F7
121,F7
122,F7
123,F7
124,F7
125,F7
126,F7
127,F7
128,F7
129,F7
130,F7
131,F7
132,F7
133,F7
134,F7
135,F7
136,F7
137,F7
138,F7
139,F7
140,F7
141,F7
142,F7
143,F7
144,B-m
145,B-m
146,B-m
147,B-m
148,B-m
149,B-m
150,B-m
151,B-m
152,B-m
153,B-m
154,B-m
155,B-m
156,B-m
157,B-m
158,B-m
159,B-m
160,B-m
161,B-m
162,B-m
163,B-m
164,B-m
165,B-m
166,B-m
167,B-m
168,E-7
169,E-7
170,E-7
171,E-7
172,E-7
173,E-7
174,E-7
175,E-7
176,E-7
177,E-7
178,E-7
179,E-7
180,E-7
181,E-7
182,E-7
183,E-7
184,E-7
185,E-7
186,E-7
187,E-7
188,E-7
189,E-7
190,E-7
191,E-7
192,G#m
193,G#m
194,G#m
195,G#m
196,G#m
197,G#m
198,G#m
199,G#m
200,G#m
201,G#m
202,G#m
203,G#m
204,G#m
205,G#m
206,G#m
207,G#m
208,G#m
209,G#m
210,G#m
211,G#m
212,G#m
213,G#m
214,G#m
215,G#m
216,C#7
217,C#7
218,C#7
219,C#7
220,C#7
221,C#7
222,C#7
223,C#7
224,C#7
225,C#7
226,C#7
227,C#7
228,C#7
229,C#7
230,C#7
231,C#7
232,C#7
233,C#7
234,C#7
235,C#7
236,C#7
237,C#7
238,C#7
239,C#7
240,F#7
241,F#7
242,F#7
243,F#7
244,F#7
245,F#7
246,F#7
247,F#7
248,F#7
249,F#7
250,F#7
251,F#7
252,F#7
253,F#7
254,F#7
255,F#7
256,F#7
257,F#7
258,F#7
259,F#7
260,F#7
261,F#7
262,F#7
263,F#7
264,F#7
265,F#7
266,F#7
267,F#7
268,F#7
269,F#7
270,F#7
271,F#7
272,F#7
273,F#7
274,F#7
275,F#7
276,F#7
277,F#7
278,F#7
279,F#7
280,F#7
281,F#7
282,F#7
283,F#7
284,F#7
285,F#7
286,F#7
287,F#7
288,F#m
289,F#m
290,F#m
291,F#m
292,F#m
293,F#m
294,F#m
295,F#m
296,F#m
297,F#m
298,F#m
299,F#m
300,F#m
301,F#m
302,F#m
303,F#m
304,F#m
305,F#m
306,F#m
307,F#m
308,F#m
309,F#m
310,F#m
311,F#m
312,F#m
313,F#m
314,F#m
315,F#m
316,F#m
317,F#m
318,F#m
319,F#m
320,F#m
321,F#m
322,F#m
323,F#m
324,F#m
325,F#m
326,F#m
327,F#m
328,F#m
329,F#m
330,F#m
331,F#m
332,F#m
333,F#m
334,F#m
335,F#m
336,Fm
337,Fm
338,Fm
339,Fm
340,Fm
341,Fm
342,Fm
343,Fm
344,Fm
345,Fm
346,Fm
347,Fm
348,Fm
349,Fm
350,Fm
351,Fm
352,Fm
353,Fm
354,Fm
355,Fm
356,Fm
357,Fm
358,Fm
359,Fm
360,Fm
361,Fm
362,Fm
363,Fm
364,Fm
365,Fm
366,Fm
367,Fm
368,Fm
369,Fm
370,Fm
371,Fm
372,Fm
373,Fm
374,Fm
375,Fm
376,Fm
377,Fm
378,Fm
379,Fm
380,Fm
381,Fm
382,Fm
383,Fm
384,Em
385,Em
386,Em
387,Em
388,Em
389,Em
390,Em
391,Em
392,Em
393,Em
394,Em
395,Em
396,Em
397,Em
398,Em
399,Em
400,Em
401,Em
402,Em
403,Em
404,Em
405,Em
406,Em
407,Em
408,Em
409,Em
410,Em
411,Em
412,Em
413,Em
414,Em
415,Em
416,Em
417,Em
418,Em
419,Em
420,Em
421,Em
422,Em
423,Em
424,Em
425,Em
426,Em
427,Em
428,Em
429,Em
430,Em
431,Em
432,E-m
433,E-m
434,E-m
435,E-m
436,E-m
437,E-m
438,E-m
439,E-m
440,E-m
441,E-m
442,E-m
443,E-m
444,E-m
445,E-m
446,E-m
447,E-m
448,E-m
449,E-m
450,E-m
451,E-m
452,E-m
453,E-m
454,E-m
455,E-m
456,E-m
457,E-m
458,E-m
459,E-m
460,E-m
461,E-m
462,E-m
463,E-m
464,E-m
465,E-m
466,E-m
467,E-m
468,E-m
469,E-m
470,E-m
471,E-m
472,E-m
473,E-m
474,E-m
475,E-m
476,E-m
477,E-m
478,E-m
479,E-m
480,G#7
481,G#7
482,G#7
483,G#7
484,G#7
485,G#7
486,G#7
487,G#7
488,G#7
489,G#7
490,G#7
491,G#7
492,G#7
493,G#7
494,G#7
495,G#7
496,G#7
497,G#7
498,G#7
499,G#7
500,G#7
501,G#7
502,G#7
503,G#7
504,G#7
505,G#7
506,G#7
507,G#7
508,G#7
509,G#7
510,G#7
511,G#7
512,G#7
513,G#7
514,G#7
515,G#7
516,G#7
517,G#7
518,G#7
519,G#7
520,G#7
521,G#7
522,G#7
523,G#7
524,G#7
525,G#7
526,G#7
527,G#7
528,C#
529,C#
530,C#
531,C#
532,C#
533,C#
534,C#
535,C#
536,C#
537,C#
538,C#
539,C#
540,C#
541,C#
542,C#
543,C#
544,C#
545,C#
546,C#
547,C#
548,C#
549,C#
550,C#
551,C#
552,B-7
553,B-7
554,B-7
555,B-7
556,B-7
557,B-7
558,B-7
559,B-7
560,B-7
561,B-7
562,B-7
563,B-7
564,B-7
565,B-7
566,B-7
567,B-7
568,B-7
569,B-7
570,B-7
571,B-7
572,B-7
573,B-7
574,B-7
575,B-7
576,E-m
577,E-m
578,E-m
579,E-m
580,E-m
581,E-m
582,E-m
583,E-m
584,E-m
585,E-m
586,E-m
587,E-m
588,E-m
589,E-m
590,E-m
591,E-m
592,E-m
593,E-m
594,E-m
595,E-m
596,E-m
597,E-m
598,E-m
599,E-m
600,G#7
601,G#7
602,G#7
603,G#7
604,G#7
605,G#7
606,G#7
607,G#7
608,G#7
609,G#7
610,G#7
611,G#7
612,G#7
613,G#7
614,G#7
615,G#7
616,G#7
617,G#7
618,G#7
619,G#7
620,G#7
621,G#7
622,G#7
623,G#7
624,C#
625,C#
626,C#
627,C#
628,C#
629,C#
630,C#
631,C#
632,C#
633,C#
634,C#
635,C#
636,C#
637,C#
638,C#
639,C#
640,C#
641,C#
642,C#
643,C#
644,C#
645,C#
646,C#
647,C#
648,C#
649,C#
650,C#
651,C#
652,C#
653,C#
654,C#
655,C#
656,C#
657,C#
658,C#
659,C#
660,C#
661,C#
662,C#
663,C#
664,C#
665,C#
666,C#
667,C#
668,C#
669,C#
670,C#
671,C#
672,C/o7
673,C/o7
674,C/o7
675,C/o7
676,C/o7
677,C/o7
678,C/o7
679,C/o7
680,C/o7
681,C/o7
682,C/o7
683,C/o7
684,C/o7
685,C/o7
686,C/o7
687,C/o7
688,C/o7
689,C/o7
690,C/o7
691,C/o7
692,C/o7
693,C/o7
694,C/o7
695,C/o7
696,F7
697,F7
698,F7
699,F7
700,F7
701,F7
702,F7
703,F7
704,F7
705,F7
706,F7
707,F7
708,F7
709,F7
710,F7
711,F7
712,F7
713,F7
714,F7
715,F7
716,F7
717,F7
718,F7
719,F7
720,B-m
721,B-m
722,B-m
723,B-m
724,B-m
725,B-m
726,B-m
727,B-m
728,B-m
729,B-m
730,B-m
731,B-m
732,B-m
733,B-m
734,B-m
735,B-m
736,B-m
737,B-m
738,B-m
739,B-m
740,B-m
741,B-m
742,B-m
743,B-m
744,E-7
745,E-7
746,E-7
747,E-7
748,E-7
749,E-7
750,E-7
751,E-7
752,E-7
753,E-7
754,E-7
755,E-7
756,E-7
757,E-7
758,E-7
759,E-7
760,E-7
761,E-7
762,E-7
763,E-7
764,E-7
765,E-7
766,E-7
767,E-7
768,G#m
769,G#m
770,G#m
771,G#m
772,G#m
773,G#m
774,G#m
775,G#m
776,G#m
777,G#m
778,G#m
779,G#m
780,G#m
781,G#m
782,G#m
783,G#m
784,G#m
785,G#m
786,G#m
787,G#m
788,G#m
789,G#m
790,G#m
791,G#m
792,C#7
793,C#7
794,C#7
795,C#7
796,C#7
797,C#7
798,C#7
799,C#7
800,C#7
801,C#7
802,C#7
803,C#7
804,C#7
805,C#7
806,C#7
807,C#7
808,C#7
809,C#7
810,C#7
811,C#7
812,C#7
813,C#7
814,C#7
815,C#7
816,F#7
817,F#7
818,F#7
819,F#7
820,F#7
821,F#7
822,F#7
823,F#7
824,F#7
825,F#7
826,F#7
827,F#7
828,F#7
829,F#7
830,F#7
831,F#7
832,F#7
833,F#7
834,F#7
835,F#7
836,F#7
837,F#7
838,F#7
839,F#7
840,F#7
841,F#7
842,F#7
843,F#7
844,F#7
845,F#7
846,F#7
847,F#7
848,F#7
849,F#7
850,F#7
851,F#7
852,F#7
853,F#7
854,F#7
855,F#7
856,F#7
857,F#7
858,F#7
859,F#7
860,F#7
861,F#7
862,F#7
863,F#7
864,F#m
865,F#m
866,F#m
867,F#m
868,F#m
869,F#m
870,F#m
871,F#m
872,F#m
873,F#m
874,F#m
875,F#m
876,F#m
877,F#m
878,F#m
879,F#m
880,F#m
881,F#m
882,F#m
883,F#m
884,F#m
885,F#m
886,F#m
887,F#m
888,F#m
889,F#m
890,F#m
891,F#m
892,F#m
893,F#m
894,F#m
895,F#m
896,F#m
897,F#m
898,F#m
899,F#m
900,F#m
901,F#m
902,F#m
903,F#m
904,F#m
905,F#m
906,F#m
907,F#m
908,F#m
909,F#m
910,F#m
911,F#m
912,Fm
913,Fm
914,Fm
915,Fm
916,Fm
917,Fm
918,Fm
919,Fm
920,Fm
921,Fm
922,Fm
923,Fm
924,Fm
925,Fm
926,Fm
927,Fm
928,Fm
929,Fm
930,Fm
931,Fm
932,Fm
933,Fm
934,Fm
935,Fm
936,Fm
937,Fm
938,Fm
939,Fm
940,Fm
941,Fm
942,Fm
943,Fm
944,Fm
945,Fm
946,Fm
947,Fm
948,Fm
949,Fm
950,Fm
951,Fm
952,Fm
953,Fm
954,Fm
955,Fm
956,Fm
957,Fm
958,Fm
959,Fm
960,Em
961,Em
962,Em
963,Em
964,Em
965,Em
966,Em
967,Em
968,Em
969,Em
970,Em
971,Em
972,Em
973,Em
974,Em
975,Em
976,Em
977,Em
978,Em
979,Em
980,Em
981,Em
982,Em
983,Em
984,Em
985,Em
986,Em
987,Em
988,Em
989,Em
990,Em
991,Em
992,Em
993,Em
994,Em
995,Em
996,Em
997,Em
998,Em
999,Em
1000,Em
1001,Em
1002,Em
1003,Em
1004,Em
1005,Em
1006,Em
1007,Em
1008,E-m
1009,E-m
1010,E-m
1011,E-m
1012,E-m
1013,E-m
1014,E-m
1015,E-m
1016,E-m
1017,E-m
1018,E-m
1019,E-m
1020,E-m
1021,E-m
1022,E-m
1023,E-m
1024,E-m
1025,E-m
1026,E-m
1027,E-m
1028,E-m
1029,E-m
1030,E-m
1031,E-m
1032,E-m
1033,E-m
1034,E-m
1035,E-m
1036,E-m
1037,E-m
1038,E-m
1039,E-m
1040,E-m
1041,E-m
1042,E-m
1043,E-m
1044,E-m
1045,E-m
1046,E-m
1047,E-m
1048,E-m
1049,E-m
1050,E-m
1051,E-m
1052,E-m
1053,E-m
1054,E-m
1055,E-m
1056,G#7
1057,G#7
1058,G#7
1059,G#7
1060,G#7
1061,G#7
1062,G#7
1063,G#7
1064,G#7
1065,G#7
1066,G#7
1067,G#7
1068,G#7
1069,G#7
1070,G#7
1071,G#7
1072,G#7
1073,G#7
1074,G#7
1075,G#7
1076,G#7
1077,G#7
1078,G#7
1079,G#7
1080,G#7
