,0
0,Dm
1,Dm
2,Dm
3,Dm
4,Dm
5,Dm
6,Dm
7,Dm
8,Dm
9,Dm
10,Dm
11,Dm
12,Dm
13,Dm
14,Dm
15,Dm
16,Dm
17,Dm
18,Dm
19,Dm
20,Dm
21,Dm
22,Dm
23,Dm
24,G7
25,G7
26,G7
27,G7
28,G7
29,G7
30,G7
31,G7
32,G7
33,G7
34,G7
35,G7
36,G7
37,G7
38,G7
39,G7
40,G7
41,G7
42,G7
43,G7
44,G7
45,G7
46,G7
47,G7
48,C
49,C
50,C
51,C
52,C
53,C
54,C
55,C
56,C
57,C
58,C
59,C
60,C
61,C
62,C
63,C
64,C
65,C
66,C
67,C
68,C
69,C
70,C
71,C
72,C
73,C
74,C
75,C
76,C
77,C
78,C
79,C
80,C
81,C
82,C
83,C
84,C
85,C
86,C
87,C
88,C
89,C
90,C
91,C
92,C
93,C
94,C
95,C
96,B/o7
97,B/o7
98,B/o7
99,B/o7
100,B/o7
101,B/o7
102,B/o7
103,B/o7
104,B/o7
105,B/o7
106,B/o7
107,B/o7
108,B/o7
109,B/o7
110,B/o7
111,B/o7
112,B/o7
113,B/o7
114,B/o7
115,B/o7
116,B/o7
117,B/o7
118,B/o7
119,B/o7
120,E7
121,E7
122,E7
123,E7
124,E7
125,E7
126,E7
127,E7
128,E7
129,E7
130,E7
131,E7
132,E7
133,E7
134,E7
135,E7
136,E7
137,E7
138,E7
139,E7
140,E7
141,E7
142,E7
143,E7
144,Am
145,Am
146,Am
147,Am
148,Am
149,Am
150,Am
151,Am
152,Am
153,Am
154,Am
155,Am
156,Am
157,Am
158,Am
159,Am
160,Am
161,Am
162,Am
163,Am
164,Am
165,Am
166,Am
167,Am
168,D7
169,D7
170,D7
171,D7
172,D7
173,D7
174,D7
175,D7
176,D7
177,D7
178,D7
179,D7
180,D7
181,D7
182,D7
183,D7
184,D7
185,D7
186,D7
187,D7
188,D7
189,D7
190,D7
191,D7
192,Gm
193,Gm
194,Gm
195,Gm
196,Gm
197,Gm
198,Gm
199,Gm
200,Gm
201,Gm
202,Gm
203,Gm
204,Gm
205,Gm
206,Gm
207,Gm
208,Gm
209,Gm
210,Gm
211,Gm
212,Gm
213,Gm
214,Gm
215,Gm
216,C7
217,C7
218,C7
219,C7
220,C7
221,C7
222,C7
223,C7
224,C7
225,C7
226,C7
227,C7
228,C7
229,C7
230,C7
231,C7
232,C7
233,C7
234,C7
235,C7
236,C7
237,C7
238,C7
239,C7
240,F7
241,F7
242,F7
243,F7
244,F7
245,F7
246,F7
247,F7
248,F7
249,F7
250,F7
251,F7
252,F7
253,F7
254,F7
255,F7
256,F7
257,F7
258,F7
259,F7
260,F7
261,F7
262,F7
263,F7
264,F7
265,F7
266,F7
267,F7
268,F7
269,F7
270,F7
271,F7
272,F7
273,F7
274,F7
275,F7
276,F7
277,F7
278,F7
279,F7
280,F7
281,F7
282,F7
283,F7
284,F7
285,F7
286,F7
287,F7
288,Fm
289,Fm
290,Fm
291,Fm
292,Fm
293,Fm
294,Fm
295,Fm
296,Fm
297,Fm
298,Fm
299,Fm
300,Fm
301,Fm
302,Fm
303,Fm
304,Fm
305,Fm
306,Fm
307,Fm
308,Fm
309,Fm
310,Fm
311,Fm
312,Fm
313,Fm
314,Fm
315,Fm
316,Fm
317,Fm
318,Fm
319,Fm
320,Fm
321,Fm
322,Fm
323,Fm
324,Fm
325,Fm
326,Fm
327,Fm
328,Fm
329,Fm
330,Fm
331,Fm
332,Fm
333,Fm
334,Fm
335,Fm
336,Em
337,Em
338,Em
339,Em
340,Em
341,Em
342,Em
343,Em
344,Em
345,Em
346,Em
347,Em
348,Em
349,Em
350,Em
351,Em
352,Em
353,Em
354,Em
355,Em
356,Em
357,Em
358,Em
359,Em
360,Em
361,Em
362,Em
363,Em
364,Em
365,Em
366,Em
367,Em
368,Em
369,Em
370,Em
371,Em
372,Em
373,Em
374,Em
375,Em
376,Em
377,Em
378,Em
379,Em
380,Em
381,Em
382,Em
383,Em
384,E-m
385,E-m
386,E-m
387,E-m
388,E-m
389,E-m
390,E-m
391,E-m
392,E-m
393,E-m
394,E-m
395,E-m
396,E-m
397,E-m
398,E-m
399,E-m
400,E-m
401,E-m
402,E-m
403,E-m
404,E-m
405,E-m
406,E-m
407,E-m
408,E-m
409,E-m
410,E-m
411,E-m
412,E-m
413,E-m
414,E-m
415,E-m
416,E-m
417,E-m
418,E-m
419,E-m
420,E-m
421,E-m
422,E-m
423,E-m
424,E-m
425,E-m
426,E-m
427,E-m
428,E-m
429,E-m
430,E-m
431,E-m
432,Dm
433,Dm
434,Dm
435,Dm
436,Dm
437,Dm
438,Dm
439,Dm
440,Dm
441,Dm
