,0
0,Gm
1,Gm
2,Gm
3,Gm
4,Gm
5,Gm
6,Gm
7,Gm
8,Gm
9,Gm
10,Gm
11,Gm
12,Gm
13,Gm
14,Gm
15,Gm
16,Gm
17,Gm
18,Gm
19,Gm
20,Gm
21,Gm
22,Gm
23,Gm
24,C7
25,C7
26,C7
27,C7
28,C7
29,C7
30,C7
31,C7
32,C7
33,C7
34,C7
35,C7
36,C7
37,C7
38,C7
39,C7
40,C7
41,C7
42,C7
43,C7
44,C7
45,C7
46,C7
47,C7
48,Fm
49,Fm
50,Fm
51,Fm
52,Fm
53,Fm
54,Fm
55,Fm
56,Fm
57,Fm
58,Fm
59,Fm
60,Fm
61,Fm
62,Fm
63,Fm
64,Fm
65,Fm
66,Fm
67,Fm
68,Fm
69,Fm
70,Fm
71,Fm
72,Fm
73,Fm
74,Fm
75,Fm
76,Fm
77,Fm
78,Fm
79,Fm
80,Fm
81,Fm
82,Fm
83,Fm
84,Fm
85,Fm
86,Fm
87,Fm
88,Fm
89,Fm
90,Fm
91,Fm
92,Fm
93,Fm
94,Fm
95,Fm
96,Fm
97,Fm
98,Fm
99,Fm
100,Fm
101,Fm
102,Fm
103,Fm
104,Fm
105,Fm
106,Fm
107,Fm
108,Fm
109,Fm
110,Fm
111,Fm
112,Fm
113,Fm
114,Fm
115,Fm
116,Fm
117,Fm
118,Fm
119,Fm
120,Fm
121,Fm
122,Fm
123,Fm
124,Fm
125,Fm
126,Fm
127,Fm
128,Fm
129,Fm
130,Fm
131,Fm
132,Fm
133,Fm
134,Fm
135,Fm
136,Fm
137,Fm
138,Fm
139,Fm
140,Fm
141,Fm
142,Fm
143,Fm
144,Fm
145,Fm
146,Fm
147,Fm
148,Fm
149,Fm
150,Fm
151,Fm
152,Fm
153,Fm
154,Fm
155,Fm
156,Fm
157,Fm
158,Fm
159,Fm
160,Fm
161,Fm
162,Fm
163,Fm
164,Fm
165,Fm
166,Fm
167,Fm
168,Fm
169,Fm
170,Fm
171,Fm
172,Fm
173,Fm
174,Fm
175,Fm
176,Fm
177,Fm
178,Fm
179,Fm
180,Fm
181,Fm
182,Fm
183,Fm
184,Fm
185,Fm
186,Fm
187,Fm
188,Fm
189,Fm
190,Fm
191,Fm
192,Fm
193,Fm
194,Fm
195,Fm
196,Fm
197,Fm
198,Fm
199,Fm
200,Fm
201,Fm
202,Fm
203,Fm
204,Fm
205,Fm
206,Fm
207,Fm
208,Fm
209,Fm
210,Fm
211,Fm
212,Fm
213,Fm
214,Fm
215,Fm
216,B-7
217,B-7
218,B-7
219,B-7
220,B-7
221,B-7
222,B-7
223,B-7
224,B-7
225,B-7
226,B-7
227,B-7
228,B-7
229,B-7
230,B-7
231,B-7
232,B-7
233,B-7
234,B-7
235,B-7
236,B-7
237,B-7
238,B-7
239,B-7
240,E-
241,E-
242,E-
243,E-
244,E-
245,E-
246,E-
247,E-
248,E-
249,E-
250,E-
251,E-
252,E-
253,E-
254,E-
255,E-
256,E-
257,E-
258,E-
259,E-
260,E-
261,E-
262,E-
263,E-
264,E-
265,E-
266,E-
267,E-
268,E-
269,E-
270,E-
271,E-
272,E-
273,E-
274,E-
275,E-
276,E-
277,E-
278,E-
279,E-
280,E-
281,E-
282,E-
283,E-
284,E-
285,E-
286,E-
287,E-
288,Fm
289,Fm
290,Fm
291,Fm
292,Fm
293,Fm
294,Fm
295,Fm
296,Fm
297,Fm
298,Fm
299,Fm
300,Fm
301,Fm
302,Fm
303,Fm
304,Fm
305,Fm
306,Fm
307,Fm
308,Fm
309,Fm
310,Fm
311,Fm
312,B-7
313,B-7
314,B-7
315,B-7
316,B-7
317,B-7
318,B-7
319,B-7
320,B-7
321,B-7
322,B-7
323,B-7
324,B-7
325,B-7
326,B-7
327,B-7
328,B-7
329,B-7
330,B-7
331,B-7
332,B-7
333,B-7
334,B-7
335,B-7
336,E-
337,E-
338,E-
339,E-
340,E-
341,E-
342,E-
343,E-
344,E-
345,E-
346,E-
347,E-
348,E-
349,E-
350,E-
351,E-
352,E-
353,E-
354,E-
355,E-
356,E-
357,E-
358,E-
359,E-
360,E-
361,E-
362,E-
363,E-
364,E-
365,E-
366,E-
367,E-
368,E-
369,E-
370,E-
371,E-
372,E-
373,E-
374,E-
375,E-
