,0
0,B-7
1,B-7
2,B-7
3,B-7
4,B-7
5,B-7
6,B-7
7,B-7
8,B-7
9,B-7
10,B-7
11,B-7
12,B-7
13,B-7
14,B-7
15,B-7
16,B-7
17,B-7
18,B-7
19,B-7
20,B-7
21,B-7
22,B-7
23,B-7
24,B-7
25,B-7
26,B-7
27,B-7
28,B-7
29,B-7
30,B-7
31,B-7
32,B-7
33,B-7
34,B-7
35,B-7
36,B-7
37,B-7
38,B-7
39,B-7
40,B-7
41,B-7
42,B-7
43,B-7
44,B-7
45,B-7
46,B-7
47,B-7
48,B-7
49,B-7
50,B-7
51,B-7
52,B-7
53,B-7
54,B-7
55,B-7
56,B-7
57,B-7
58,B-7
59,B-7
60,B-7
61,B-7
62,B-7
63,B-7
64,B-7
65,B-7
66,B-7
67,B-7
68,B-7
69,B-7
70,B-7
71,B-7
72,B-7
73,B-7
74,B-7
75,B-7
76,B-7
77,B-7
78,B-7
79,B-7
80,B-7
81,B-7
82,B-7
83,B-7
84,B-7
85,B-7
86,B-7
87,B-7
88,B-7
89,B-7
90,B-7
91,B-7
92,B-7
93,B-7
94,B-7
95,B-7
96,E-7
97,E-7
98,E-7
99,E-7
100,E-7
101,E-7
102,E-7
103,E-7
104,E-7
105,E-7
106,E-7
107,E-7
108,E-7
109,E-7
110,E-7
111,E-7
112,E-7
113,E-7
114,E-7
115,E-7
116,E-7
117,E-7
118,E-7
119,E-7
120,E-7
121,E-7
122,E-7
123,E-7
124,E-7
125,E-7
126,E-7
127,E-7
128,E-7
129,E-7
130,E-7
131,E-7
132,E-7
133,E-7
134,E-7
135,E-7
136,E-7
137,E-7
138,E-7
139,E-7
140,E-7
141,E-7
142,E-7
143,E-7
144,B-
145,B-
146,B-
147,B-
148,B-
149,B-
150,B-
151,B-
152,B-
153,B-
154,B-
155,B-
156,B-
157,B-
158,B-
159,B-
160,B-
161,B-
162,B-
163,B-
164,B-
165,B-
166,B-
167,B-
168,B-
169,B-
170,B-
171,B-
172,B-
173,B-
174,B-
175,B-
176,B-
177,B-
178,B-
179,B-
180,B-
181,B-
182,B-
183,B-
184,B-
