,0
0,E7
1,E7
2,E7
3,E7
4,E7
5,E7
6,E7
7,E7
8,E7
9,E7
10,E7
11,E7
12,E7
13,E7
14,E7
15,E7
16,E7
17,E7
18,E7
19,E7
20,E7
21,E7
22,E7
23,E7
24,E7
25,E7
26,E7
27,E7
28,E7
29,E7
30,E7
31,E7
32,E7
33,E7
34,E7
35,E7
36,E7
37,E7
38,E7
39,E7
40,E7
41,E7
42,E7
43,E7
44,E7
45,E7
46,E7
47,E7
48,E7
49,E7
50,E7
51,E7
52,E7
53,E7
54,E7
55,E7
56,E7
57,E7
58,E7
59,E7
60,E7
61,E7
62,E7
63,E7
64,E7
65,E7
66,E7
67,E7
68,E7
69,E7
70,E7
71,E7
72,E7
73,E7
74,E7
75,E7
76,E7
77,E7
78,E7
79,E7
80,E7
81,E7
82,E7
83,E7
84,E7
85,E7
86,E7
87,E7
88,E7
89,E7
90,E7
91,E7
92,E7
93,E7
94,E7
95,E7
96,A7
97,A7
98,A7
99,A7
100,A7
101,A7
102,A7
103,A7
104,A7
105,A7
106,A7
107,A7
108,A7
109,A7
110,A7
111,A7
112,A7
113,A7
114,A7
115,A7
116,A7
117,A7
118,A7
119,A7
120,A7
121,A7
122,A7
123,A7
124,A7
125,A7
126,A7
127,A7
128,A7
129,A7
130,A7
131,A7
132,A7
133,A7
134,A7
135,A7
136,A7
137,A7
138,A7
139,A7
140,A7
141,A7
142,A7
143,A7
144,E7
145,E7
146,E7
147,E7
148,E7
149,E7
150,E7
151,E7
152,E7
153,E7
154,E7
155,E7
156,E7
157,E7
158,E7
159,E7
160,E7
161,E7
162,E7
163,E7
164,E7
165,E7
166,E7
167,E7
168,E7
169,E7
170,E7
171,E7
172,E7
173,E7
174,E7
175,E7
176,E7
177,E7
178,E7
179,E7
180,E7
181,E7
182,E7
183,E7
184,E7
185,E7
186,E7
187,E7
188,E7
189,E7
190,E7
191,E7
192,E7
193,E7
194,E7
195,E7
196,E7
197,E7
198,E7
199,E7
200,E7
201,E7
202,E7
203,E7
204,E7
205,E7
206,E7
207,E7
208,E7
209,E7
210,E7
211,E7
212,E7
213,E7
214,E7
215,E7
216,E7
217,E7
218,E7
219,E7
220,E7
221,E7
222,E7
223,E7
224,E7
225,E7
226,E7
227,E7
228,E7
229,E7
230,E7
231,E7
232,E7
233,E7
234,E7
235,E7
236,E7
237,E7
238,E7
239,E7
240,A7
241,A7
242,A7
243,A7
244,A7
245,A7
246,A7
247,A7
248,A7
249,A7
250,A7
251,A7
252,A7
253,A7
254,A7
255,A7
256,A7
257,A7
258,A7
259,A7
260,A7
261,A7
262,A7
263,A7
264,A7
265,A7
266,A7
267,A7
268,A7
269,A7
270,A7
271,A7
272,A7
273,A7
274,A7
275,A7
276,A7
277,A7
278,A7
279,A7
280,A7
281,A7
282,A7
283,A7
284,A7
285,A7
286,A7
287,A7
288,A7
289,A7
290,A7
291,A7
292,A7
293,A7
294,A7
295,A7
296,A7
297,A7
298,A7
299,A7
300,A7
301,A7
302,A7
303,A7
304,A7
305,A7
306,A7
307,A7
308,A7
309,A7
310,A7
311,A7
312,A7
313,A7
314,A7
315,A7
316,A7
317,A7
318,A7
319,A7
320,A7
321,A7
322,A7
323,A7
324,A7
325,A7
326,A7
327,A7
328,A7
329,A7
330,A7
331,A7
332,A7
333,A7
334,A7
335,A7
336,E7
337,E7
338,E7
339,E7
340,E7
341,E7
342,E7
343,E7
344,E7
345,E7
346,E7
347,E7
348,E7
349,E7
350,E7
351,E7
352,E7
353,E7
354,E7
355,E7
356,E7
357,E7
358,E7
359,E7
360,E7
361,E7
362,E7
363,E7
364,E7
365,E7
366,E7
367,E7
368,E7
369,E7
370,E7
371,E7
372,E7
373,E7
374,E7
375,E7
376,E7
377,E7
378,E7
379,E7
380,E7
381,E7
382,E7
383,E7
384,C#7
385,C#7
386,C#7
387,C#7
388,C#7
389,C#7
390,C#7
391,C#7
392,C#7
393,C#7
394,C#7
395,C#7
396,C#7
397,C#7
398,C#7
399,C#7
400,C#7
401,C#7
402,C#7
403,C#7
404,C#7
405,C#7
406,C#7
407,C#7
408,C#7
409,C#7
410,C#7
411,C#7
412,C#7
413,C#7
414,C#7
415,C#7
416,C#7
417,C#7
418,C#7
419,C#7
420,C#7
421,C#7
422,C#7
423,C#7
424,C#7
425,C#7
426,C#7
427,C#7
428,C#7
429,C#7
430,C#7
431,C#7
432,F#m
433,F#m
434,F#m
435,F#m
436,F#m
437,F#m
438,F#m
439,F#m
440,F#m
441,F#m
442,F#m
443,F#m
444,F#m
445,F#m
446,F#m
447,F#m
448,F#m
449,F#m
450,F#m
451,F#m
452,F#m
453,F#m
454,F#m
455,F#m
456,F#m
457,F#m
458,F#m
459,F#m
460,F#m
461,F#m
462,F#m
463,F#m
464,F#m
465,F#m
466,F#m
467,F#m
468,F#m
469,F#m
470,F#m
471,F#m
472,F#m
473,F#m
474,F#m
475,F#m
476,F#m
477,F#m
478,F#m
479,F#m
480,B7
481,B7
482,B7
483,B7
484,B7
485,B7
486,B7
487,B7
488,B7
489,B7
490,B7
491,B7
492,B7
493,B7
494,B7
495,B7
496,B7
497,B7
498,B7
499,B7
500,B7
501,B7
502,B7
503,B7
504,B7
505,B7
506,B7
507,B7
508,B7
509,B7
510,B7
511,B7
512,B7
513,B7
514,B7
515,B7
516,B7
517,B7
518,B7
519,B7
520,B7
521,B7
522,B7
523,B7
524,B7
525,B7
526,B7
527,B7
528,E7
529,E7
530,E7
531,E7
532,E7
533,E7
534,E7
535,E7
536,E7
537,E7
538,E7
539,E7
540,E7
541,E7
542,E7
543,E7
544,E7
545,E7
546,E7
547,E7
548,E7
549,E7
550,E7
551,E7
552,E7
553,E7
554,E7
555,E7
556,E7
557,E7
558,E7
559,E7
560,E7
561,E7
562,E7
563,E7
564,E7
565,E7
566,E7
567,E7
568,E7
569,E7
570,E7
571,E7
572,E7
573,E7
574,E7
575,E7
576,F#m
577,F#m
578,F#m
579,F#m
580,F#m
581,F#m
582,F#m
583,F#m
584,F#m
585,F#m
586,F#m
587,F#m
588,F#m
589,F#m
590,F#m
591,F#m
592,F#m
593,F#m
594,F#m
595,F#m
596,F#m
597,F#m
598,F#m
599,F#m
600,B7
601,B7
602,B7
603,B7
604,B7
605,B7
606,B7
607,B7
608,B7
609,B7
610,B7
611,B7
612,B7
