,0
0,E
1,E
2,E
3,E
4,E
5,E
6,E
7,E
8,E
9,E
10,E
11,E
12,E
13,E
14,E
15,E
16,E
17,E
18,E
19,E
20,E
21,E
22,E
23,E
24,E
25,E
26,E
27,E
28,E
29,E
30,E
31,E
32,E
33,E
34,E
35,E
36,E
37,E
38,E
39,E
40,E
41,E
42,E
43,E
44,E
45,E
46,E
47,E
48,F#m
49,F#m
50,F#m
51,F#m
52,F#m
53,F#m
54,F#m
55,F#m
56,F#m
57,F#m
58,F#m
59,F#m
60,F#m
61,F#m
62,F#m
63,F#m
64,F#m
65,F#m
66,F#m
67,F#m
68,F#m
69,F#m
70,F#m
71,F#m
72,B7
73,B7
74,B7
75,B7
76,B7
77,B7
78,B7
79,B7
80,B7
81,B7
82,B7
83,B7
84,B7
85,B7
86,B7
87,B7
88,B7
89,B7
90,B7
91,B7
92,B7
93,B7
94,B7
95,B7
96,E
97,E
98,E
99,E
100,E
101,E
102,E
103,E
104,E
105,E
106,E
107,E
108,E
109,E
110,E
111,E
112,E
113,E
114,E
115,E
116,E
117,E
118,E
119,E
120,E
121,E
122,E
123,E
124,E
125,E
126,E
127,E
128,E
129,E
130,E
131,E
132,E
133,E
134,E
135,E
136,E
137,E
138,E
139,E
140,E
141,E
142,E
143,E
144,F#m
145,F#m
146,F#m
147,F#m
148,F#m
149,F#m
150,F#m
151,F#m
152,F#m
153,F#m
154,F#m
155,F#m
156,F#m
157,F#m
158,F#m
159,F#m
160,F#m
161,F#m
162,F#m
163,F#m
164,F#m
165,F#m
166,F#m
167,F#m
168,B7
169,B7
170,B7
171,B7
172,B7
173,B7
174,B7
175,B7
176,B7
177,B7
178,B7
179,B7
180,B7
181,B7
182,B7
183,B7
184,B7
185,B7
186,B7
187,B7
188,B7
189,B7
190,B7
191,B7
192,Bm
193,Bm
194,Bm
195,Bm
196,Bm
197,Bm
198,Bm
199,Bm
200,Bm
201,Bm
202,Bm
203,Bm
204,Bm
205,Bm
206,Bm
207,Bm
208,Bm
209,Bm
210,Bm
211,Bm
212,Bm
213,Bm
214,Bm
215,Bm
216,E7
217,E7
218,E7
219,E7
220,E7
221,E7
222,E7
223,E7
224,E7
225,E7
226,E7
227,E7
228,E7
229,E7
230,E7
231,E7
232,E7
233,E7
234,E7
235,E7
236,E7
237,E7
238,E7
239,E7
240,A7
241,A7
242,A7
243,A7
244,A7
245,A7
246,A7
247,A7
248,A7
249,A7
250,A7
251,A7
252,A7
253,A7
254,A7
255,A7
256,A7
257,A7
258,A7
259,A7
260,A7
261,A7
262,A7
263,A7
264,A7
265,A7
266,A7
267,A7
268,A7
269,A7
270,A7
271,A7
272,A7
273,A7
274,A7
275,A7
276,A7
277,A7
278,A7
279,A7
280,A7
281,A7
282,A7
283,A7
284,A7
285,A7
286,A7
287,A7
288,E
289,E
290,E
291,E
292,E
293,E
294,E
295,E
296,E
297,E
298,E
299,E
300,E
301,E
302,E
303,E
304,E
305,E
306,E
307,E
308,E
309,E
310,E
311,E
312,E
313,E
314,E
315,E
316,E
317,E
318,E
319,E
320,E
321,E
322,E
323,E
324,E
325,E
326,E
327,E
328,E
329,E
330,E
331,E
332,E
333,E
334,E
335,E
336,F#m
337,F#m
338,F#m
339,F#m
340,F#m
341,F#m
342,F#m
343,F#m
344,F#m
345,F#m
346,F#m
347,F#m
348,F#m
349,F#m
350,F#m
351,F#m
352,F#m
353,F#m
354,F#m
355,F#m
356,F#m
357,F#m
358,F#m
359,F#m
360,B7
361,B7
362,B7
363,B7
364,B7
365,B7
366,B7
367,B7
368,B7
369,B7
370,B7
371,B7
372,B7
373,B7
374,B7
375,B7
376,B7
377,B7
378,B7
379,B7
380,B7
381,B7
382,B7
383,B7
384,E
385,E
386,E
387,E
388,E
389,E
390,E
391,E
392,E
393,E
394,E
395,E
396,E
397,E
398,E
399,E
400,E
401,E
402,E
403,E
404,E
405,E
406,E
407,E
408,E
409,E
410,E
411,E
412,E
413,E
414,E
415,E
416,E
417,E
418,E
419,E
420,E
421,E
422,E
423,E
424,E
425,E
426,E
427,E
428,E
429,E
430,E
431,E
432,F#m
433,F#m
434,F#m
435,F#m
436,F#m
437,F#m
438,F#m
439,F#m
440,F#m
441,F#m
442,F#m
443,F#m
444,F#m
445,F#m
446,F#m
447,F#m
448,F#m
449,F#m
450,F#m
451,F#m
452,F#m
453,F#m
454,F#m
455,F#m
456,B7
457,B7
458,B7
459,B7
460,B7
461,B7
462,B7
463,B7
464,B7
465,B7
466,B7
467,B7
468,B7
469,B7
470,B7
471,B7
472,B7
473,B7
474,B7
475,B7
476,B7
477,B7
478,B7
479,B7
480,E
481,E
482,E
483,E
484,E
485,E
486,E
487,E
488,E
489,E
490,E
491,E
492,E
493,E
494,E
495,E
496,E
497,E
498,E
499,E
500,E
501,E
502,E
503,E
504,E
505,E
506,E
507,E
508,E
509,E
510,E
511,E
512,E
513,E
514,E
515,E
516,E
517,E
518,E
519,E
520,E
521,E
522,E
523,E
524,E
525,E
526,E
527,E
528,F#m
529,F#m
530,F#m
531,F#m
532,F#m
533,F#m
534,F#m
535,F#m
536,F#m
537,F#m
538,F#m
539,F#m
540,F#m
541,F#m
542,F#m
543,F#m
544,F#m
545,F#m
546,F#m
547,F#m
548,F#m
549,F#m
550,F#m
551,F#m
552,B7
553,B7
554,B7
555,B7
556,B7
557,B7
558,B7
559,B7
560,B7
561,B7
562,B7
563,B7
564,B7
565,B7
566,B7
567,B7
568,B7
569,B7
570,B7
571,B7
572,B7
573,B7
574,B7
575,B7
576,E7
577,E7
578,E7
579,E7
580,E7
581,E7
582,E7
583,E7
584,E7
585,E7
586,E7
587,E7
588,E7
589,E7
590,E7
591,E7
592,E7
593,E7
594,E7
595,E7
596,E7
597,E7
598,E7
599,E7
600,E7
601,E7
602,E7
603,E7
604,E7
605,E7
606,E7
607,E7
608,E7
609,E7
610,E7
611,E7
612,E7
613,E7
614,E7
615,E7
616,E7
617,E7
618,E7
619,E7
620,E7
621,E7
622,E7
623,E7
624,A
625,A
626,A
627,A
628,A
629,A
630,A
631,A
632,A
633,A
634,A
635,A
636,A
637,A
638,A
639,A
640,A
641,A
642,A
643,A
644,A
645,A
646,A
647,A
648,D7
649,D7
650,D7
651,D7
652,D7
653,D7
654,D7
655,D7
656,D7
657,D7
658,D7
659,D7
660,D7
661,D7
662,D7
663,D7
664,D7
665,D7
666,D7
667,D7
668,D7
669,D7
670,D7
671,D7
672,E
673,E
674,E
675,E
676,E
677,E
678,E
679,E
680,E
681,E
682,E
683,E
684,E
685,E
686,E
687,E
688,E
689,E
690,E
691,E
692,E
693,E
694,E
695,E
696,E
697,E
698,E
699,E
700,E
701,E
702,E
703,E
704,E
705,E
706,E
707,E
708,E
709,E
710,E
711,E
712,E
713,E
714,E
715,E
716,E
717,E
718,E
719,E
720,E
721,E
722,E
723,E
724,E
725,E
726,E
727,E
728,E
729,E
730,E
731,E
732,E
733,E
734,E
735,E
736,E
737,E
738,E
739,E
740,E
741,E
742,E
743,E
744,E
745,E
746,E
747,E
748,E
749,E
750,E
751,E
752,E
753,E
754,E
755,E
756,E
757,E
758,E
759,E
760,E
761,E
762,E
763,E
764,E
765,E
766,E
767,E
768,E-m
769,E-m
770,E-m
771,E-m
772,E-m
773,E-m
774,E-m
775,E-m
776,E-m
777,E-m
778,E-m
779,E-m
780,E-m
781,E-m
782,E-m
783,E-m
784,E-m
785,E-m
786,E-m
787,E-m
788,E-m
789,E-m
790,E-m
791,E-m
792,E-m
793,E-m
794,E-m
795,E-m
796,E-m
797,E-m
798,E-m
799,E-m
800,E-m
801,E-m
802,E-m
803,E-m
804,E-m
805,E-m
806,E-m
807,E-m
808,E-m
809,E-m
810,E-m
811,E-m
812,E-m
813,E-m
814,E-m
815,E-m
816,G#7
817,G#7
818,G#7
819,G#7
820,G#7
821,G#7
822,G#7
823,G#7
824,G#7
825,G#7
826,G#7
827,G#7
828,G#7
829,G#7
830,G#7
831,G#7
832,G#7
833,G#7
834,G#7
835,G#7
836,G#7
837,G#7
838,G#7
839,G#7
840,G#7
841,G#7
842,G#7
843,G#7
844,G#7
845,G#7
846,G#7
847,G#7
848,G#7
849,G#7
850,G#7
851,G#7
852,G#7
853,G#7
854,G#7
855,G#7
856,G#7
857,G#7
858,G#7
859,G#7
860,G#7
861,G#7
862,G#7
863,G#7
864,G#m
865,G#m
866,G#m
867,G#m
868,G#m
869,G#m
870,G#m
871,G#m
872,G#m
873,G#m
874,G#m
875,G#m
876,G#m
877,G#m
878,G#m
879,G#m
880,G#m
881,G#m
882,G#m
883,G#m
884,G#m
885,G#m
886,G#m
887,G#m
888,G#m
889,G#m
890,G#m
891,G#m
892,G#m
893,G#m
894,G#m
895,G#m
896,G#m
897,G#m
898,G#m
899,G#m
900,G#m
901,G#m
902,G#m
903,G#m
904,G#m
905,G#m
906,G#m
907,G#m
908,G#m
909,G#m
910,G#m
911,G#m
912,C#7
913,C#7
914,C#7
915,C#7
916,C#7
917,C#7
918,C#7
919,C#7
920,C#7
921,C#7
922,C#7
923,C#7
924,C#7
925,C#7
926,C#7
927,C#7
928,C#7
929,C#7
930,C#7
931,C#7
932,C#7
933,C#7
934,C#7
935,C#7
936,C#7
937,C#7
938,C#7
939,C#7
940,C#7
941,C#7
942,C#7
943,C#7
944,C#7
945,C#7
946,C#7
947,C#7
948,C#7
949,C#7
950,C#7
951,C#7
952,C#7
953,C#7
954,C#7
955,C#7
956,C#7
957,C#7
958,C#7
959,C#7
960,C#m
961,C#m
962,C#m
963,C#m
964,C#m
965,C#m
966,C#m
967,C#m
968,C#m
969,C#m
970,C#m
971,C#m
972,C#m
973,C#m
