,0
0,G#
1,G#
2,G#
3,G#
4,G#
5,G#
6,G#
7,G#
8,G#
9,G#
10,G#
11,G#
12,G#
13,G#
14,G#
15,G#
16,G#
17,G#
18,G#
19,G#
20,G#
21,G#
22,G#
23,G#
24,G#
25,G#
26,G#
27,G#
28,G#
29,G#
30,G#
31,G#
32,G#
33,G#
34,G#
35,G#
36,G#
37,G#
38,G#
39,G#
40,G#
41,G#
42,G#
43,G#
44,G#
45,G#
46,G#
47,G#
48,B-m
49,B-m
50,B-m
51,B-m
52,B-m
53,B-m
54,B-m
55,B-m
56,B-m
57,B-m
58,B-m
59,B-m
60,B-m
61,B-m
62,B-m
63,B-m
64,B-m
65,B-m
66,B-m
67,B-m
68,B-m
69,B-m
70,B-m
71,B-m
72,E-7
73,E-7
74,E-7
75,E-7
76,E-7
77,E-7
78,E-7
79,E-7
80,E-7
81,E-7
82,E-7
83,E-7
84,E-7
85,E-7
86,E-7
87,E-7
88,E-7
89,E-7
90,E-7
91,E-7
92,E-7
93,E-7
94,E-7
95,E-7
96,G#
97,G#
98,G#
99,G#
100,G#
101,G#
102,G#
103,G#
104,G#
105,G#
106,G#
107,G#
108,G#
109,G#
110,G#
111,G#
112,G#
113,G#
114,G#
115,G#
116,G#
117,G#
118,G#
119,G#
120,G#
121,G#
122,G#
123,G#
124,G#
125,G#
126,G#
127,G#
128,G#
129,G#
130,G#
131,G#
132,G#
133,G#
134,G#
135,G#
136,G#
137,G#
138,G#
139,G#
140,G#
141,G#
142,G#
143,G#
144,B-m
145,B-m
146,B-m
147,B-m
148,B-m
149,B-m
150,B-m
151,B-m
152,B-m
153,B-m
154,B-m
155,B-m
156,B-m
157,B-m
158,B-m
159,B-m
160,B-m
161,B-m
162,B-m
163,B-m
164,B-m
165,B-m
166,B-m
167,B-m
168,E-7
169,E-7
170,E-7
171,E-7
172,E-7
173,E-7
174,E-7
175,E-7
176,E-7
177,E-7
178,E-7
179,E-7
180,E-7
181,E-7
182,E-7
183,E-7
184,E-7
185,E-7
186,E-7
187,E-7
188,E-7
189,E-7
190,E-7
191,E-7
192,G#
193,G#
194,G#
195,G#
196,G#
197,G#
198,G#
199,G#
200,G#
201,G#
202,G#
203,G#
204,G#
205,G#
206,G#
207,G#
208,G#
209,G#
210,G#
211,G#
212,G#
213,G#
214,G#
215,G#
216,G#
217,G#
218,G#
219,G#
220,G#
221,G#
222,G#
223,G#
224,G#
225,G#
226,G#
227,G#
228,G#
229,G#
230,G#
231,G#
232,G#
233,G#
234,G#
235,G#
236,G#
237,G#
238,G#
239,G#
240,B-m
241,B-m
242,B-m
243,B-m
244,B-m
245,B-m
246,B-m
247,B-m
248,B-m
249,B-m
250,B-m
251,B-m
252,B-m
253,B-m
254,B-m
255,B-m
256,B-m
257,B-m
258,B-m
259,B-m
260,B-m
261,B-m
262,B-m
263,B-m
264,E-7
265,E-7
266,E-7
267,E-7
268,E-7
269,E-7
270,E-7
271,E-7
272,E-7
273,E-7
274,E-7
275,E-7
276,E-7
277,E-7
278,E-7
279,E-7
280,E-7
281,E-7
282,E-7
283,E-7
284,E-7
285,E-7
286,E-7
287,E-7
288,Cm
289,Cm
290,Cm
291,Cm
292,Cm
293,Cm
294,Cm
295,Cm
296,Cm
297,Cm
298,Cm
299,Cm
300,Cm
301,Cm
302,Cm
303,Cm
304,Cm
305,Cm
306,Cm
307,Cm
308,Cm
309,Cm
310,Cm
311,Cm
312,F7
313,F7
314,F7
315,F7
316,F7
317,F7
318,F7
319,F7
320,F7
321,F7
322,F7
323,F7
324,F7
325,F7
326,F7
327,F7
328,F7
329,F7
330,F7
331,F7
332,F7
333,F7
334,F7
335,F7
336,B-m
337,B-m
338,B-m
339,B-m
340,B-m
341,B-m
342,B-m
343,B-m
344,B-m
345,B-m
346,B-m
347,B-m
348,B-m
349,B-m
350,B-m
351,B-m
352,B-m
353,B-m
354,B-m
355,B-m
356,B-m
357,B-m
358,B-m
359,B-m
360,E-7
361,E-7
362,E-7
363,E-7
364,E-7
365,E-7
366,E-7
367,E-7
368,E-7
369,E-7
370,E-7
371,E-7
372,E-7
373,E-7
374,E-7
375,E-7
376,E-7
377,E-7
378,E-7
379,E-7
380,E-7
381,E-7
382,E-7
383,E-7
384,G#
