,0
0,E
1,E
2,E
3,E
4,E
5,E
6,E
7,E
8,E
9,E
10,E
11,E
12,E
13,E
14,E
15,E
16,E
17,E
18,E
19,E
20,E
21,E
22,E
23,E
24,E
25,E
26,E
27,E
28,E
29,E
30,E
31,E
32,E
33,E
34,E
35,E
36,E
37,E
38,E
39,E
40,E
41,E
42,E
43,E
44,E
45,E
46,E
47,E
48,F#m
49,F#m
50,F#m
51,F#m
52,F#m
53,F#m
54,F#m
55,F#m
56,F#m
57,F#m
58,F#m
59,F#m
60,F#m
61,F#m
62,F#m
63,F#m
64,F#m
65,F#m
66,F#m
67,F#m
68,F#m
69,F#m
70,F#m
71,F#m
72,B7
73,B7
74,B7
75,B7
76,B7
77,B7
78,B7
79,B7
80,B7
81,B7
82,B7
83,B7
84,B7
85,B7
86,B7
87,B7
88,B7
89,B7
90,B7
91,B7
92,B7
93,B7
94,B7
95,B7
96,E
97,E
98,E
99,E
100,E
101,E
102,E
103,E
104,E
105,E
106,E
107,E
108,E
109,E
110,E
111,E
112,E
113,E
114,E
115,E
116,E
117,E
118,E
119,E
120,E
121,E
122,E
123,E
124,E
125,E
126,E
127,E
128,E
129,E
130,E
131,E
132,E
133,E
134,E
135,E
136,E
137,E
138,E
139,E
140,E
141,E
142,E
143,E
144,F#m
145,F#m
146,F#m
147,F#m
148,F#m
149,F#m
150,F#m
151,F#m
152,F#m
153,F#m
154,F#m
155,F#m
156,F#m
157,F#m
158,F#m
159,F#m
160,F#m
161,F#m
162,F#m
163,F#m
164,F#m
165,F#m
166,F#m
167,F#m
168,B7
169,B7
170,B7
171,B7
172,B7
173,B7
174,B7
175,B7
176,B7
177,B7
178,B7
179,B7
180,B7
181,B7
182,B7
183,B7
184,B7
185,B7
186,B7
187,B7
188,B7
189,B7
190,B7
191,B7
192,E
193,E
194,E
195,E
196,E
197,E
198,E
199,E
200,E
201,E
202,E
203,E
204,E
205,E
206,E
207,E
208,E
209,E
210,E
211,E
212,E
213,E
214,E
215,E
216,E
217,E
218,E
219,E
220,E
221,E
222,E
223,E
224,E
225,E
226,E
227,E
228,E
229,E
230,E
231,E
232,E
233,E
234,E
235,E
236,E
237,E
238,E
239,E
240,F#m
241,F#m
242,F#m
243,F#m
244,F#m
245,F#m
246,F#m
247,F#m
248,F#m
249,F#m
250,F#m
251,F#m
252,F#m
253,F#m
254,F#m
255,F#m
256,F#m
257,F#m
258,F#m
259,F#m
260,F#m
261,F#m
262,F#m
263,F#m
264,B7
265,B7
266,B7
267,B7
268,B7
269,B7
270,B7
271,B7
272,B7
273,B7
274,B7
275,B7
276,B7
277,B7
278,B7
279,B7
280,B7
281,B7
282,B7
283,B7
284,B7
285,B7
286,B7
287,B7
288,G#m
289,G#m
290,G#m
291,G#m
292,G#m
293,G#m
294,G#m
295,G#m
296,G#m
297,G#m
298,G#m
299,G#m
300,G#m
301,G#m
302,G#m
303,G#m
304,G#m
305,G#m
306,G#m
307,G#m
308,G#m
309,G#m
310,G#m
311,G#m
312,C#7
313,C#7
314,C#7
315,C#7
316,C#7
317,C#7
318,C#7
319,C#7
320,C#7
321,C#7
322,C#7
323,C#7
324,C#7
325,C#7
326,C#7
327,C#7
328,C#7
329,C#7
330,C#7
331,C#7
332,C#7
333,C#7
334,C#7
335,C#7
336,F#m
337,F#m
338,F#m
339,F#m
340,F#m
341,F#m
342,F#m
343,F#m
344,F#m
345,F#m
346,F#m
347,F#m
348,F#m
349,F#m
350,F#m
351,F#m
352,F#m
353,F#m
354,F#m
355,F#m
356,F#m
357,F#m
358,F#m
359,F#m
360,B7
361,B7
362,B7
363,B7
364,B7
365,B7
366,B7
367,B7
368,B7
369,B7
370,B7
371,B7
372,B7
373,B7
374,B7
375,B7
376,B7
377,B7
378,B7
379,B7
380,B7
381,B7
382,B7
383,B7
384,E
385,E
386,E
387,E
388,E
389,E
390,E
391,E
392,E
393,E
394,E
395,E
396,E
397,E
398,E
399,E
400,E
401,E
402,E
403,E
404,E
405,E
406,E
407,E
408,E
409,E
410,E
411,E
412,E
413,E
414,E
415,E
416,E
417,E
418,E
419,E
420,E
421,E
422,E
423,E
424,E
425,E
426,E
427,E
428,E
429,E
430,E
431,E
432,F#m
433,F#m
434,F#m
435,F#m
436,F#m
437,F#m
438,F#m
439,F#m
440,F#m
441,F#m
442,F#m
443,F#m
444,F#m
445,F#m
446,F#m
447,F#m
448,F#m
449,F#m
450,F#m
451,F#m
452,F#m
453,F#m
454,F#m
455,F#m
456,B7
457,B7
458,B7
459,B7
460,B7
461,B7
462,B7
463,B7
464,B7
465,B7
466,B7
467,B7
468,B7
469,B7
470,B7
471,B7
472,B7
473,B7
474,B7
475,B7
476,B7
477,B7
478,B7
479,B7
480,E
481,E
482,E
483,E
484,E
485,E
486,E
487,E
488,E
489,E
490,E
491,E
492,E
493,E
494,E
495,E
496,E
497,E
498,E
499,E
500,E
501,E
502,E
503,E
504,E
505,E
506,E
507,E
508,E
509,E
510,E
511,E
512,E
513,E
514,E
515,E
516,E
517,E
518,E
519,E
520,E
521,E
522,E
523,E
524,E
525,E
526,E
527,E
528,F#m
529,F#m
530,F#m
531,F#m
532,F#m
533,F#m
534,F#m
535,F#m
536,F#m
537,F#m
538,F#m
539,F#m
540,F#m
541,F#m
542,F#m
543,F#m
544,F#m
545,F#m
546,F#m
547,F#m
548,F#m
549,F#m
550,F#m
551,F#m
552,B7
553,B7
554,B7
555,B7
556,B7
557,B7
558,B7
559,B7
560,B7
561,B7
562,B7
563,B7
564,B7
565,B7
566,B7
567,B7
568,B7
569,B7
570,B7
571,B7
572,B7
573,B7
574,B7
575,B7
576,E
577,E
578,E
579,E
580,E
581,E
582,E
583,E
584,E
585,E
586,E
587,E
588,E
589,E
590,E
591,E
592,E
593,E
594,E
595,E
596,E
597,E
598,E
599,E
600,E
601,E
602,E
603,E
604,E
605,E
606,E
607,E
608,E
609,E
610,E
611,E
612,E
613,E
614,E
615,E
616,E
617,E
618,E
619,E
620,E
621,E
622,E
623,E
624,F#m
625,F#m
626,F#m
627,F#m
628,F#m
629,F#m
630,F#m
631,F#m
632,F#m
633,F#m
634,F#m
635,F#m
636,F#m
637,F#m
638,F#m
639,F#m
640,F#m
641,F#m
642,F#m
643,F#m
644,F#m
645,F#m
646,F#m
647,F#m
648,B7
649,B7
650,B7
651,B7
652,B7
653,B7
654,B7
655,B7
656,B7
657,B7
658,B7
659,B7
660,B7
661,B7
662,B7
663,B7
664,B7
665,B7
666,B7
667,B7
668,B7
669,B7
670,B7
671,B7
672,G#m
673,G#m
674,G#m
675,G#m
676,G#m
677,G#m
678,G#m
679,G#m
680,G#m
681,G#m
682,G#m
683,G#m
684,G#m
685,G#m
686,G#m
687,G#m
688,G#m
689,G#m
690,G#m
691,G#m
692,G#m
693,G#m
694,G#m
695,G#m
696,C#7
697,C#7
698,C#7
699,C#7
700,C#7
701,C#7
702,C#7
703,C#7
704,C#7
705,C#7
706,C#7
707,C#7
708,C#7
709,C#7
710,C#7
711,C#7
712,C#7
713,C#7
714,C#7
715,C#7
716,C#7
717,C#7
718,C#7
719,C#7
720,F#m
721,F#m
722,F#m
723,F#m
724,F#m
725,F#m
726,F#m
727,F#m
728,F#m
729,F#m
730,F#m
731,F#m
732,F#m
733,F#m
734,F#m
735,F#m
736,F#m
737,F#m
738,F#m
739,F#m
740,F#m
741,F#m
742,F#m
743,F#m
744,B7
745,B7
746,B7
747,B7
748,B7
749,B7
750,B7
751,B7
752,B7
753,B7
754,B7
755,B7
756,B7
757,B7
758,B7
759,B7
760,B7
761,B7
762,B7
763,B7
764,B7
765,B7
766,B7
767,B7
768,E
769,E
770,E
771,E
772,E
773,E
774,E
775,E
776,E
777,E
778,E
779,E
780,E
781,E
782,E
783,E
784,E
785,E
786,E
787,E
788,E
789,E
790,E
791,E
792,E
793,E
794,E
795,E
796,E
797,E
798,E
799,E
800,E
801,E
802,E
803,E
804,E
805,E
806,E
807,E
808,E
809,E
810,E
811,E
812,E
813,E
814,E
815,E
816,A
817,A
818,A
819,A
820,A
821,A
822,A
823,A
824,A
825,A
826,A
827,A
828,A
829,A
830,A
831,A
832,A
833,A
834,A
835,A
836,A
837,A
838,A
839,A
840,A
841,A
842,A
843,A
844,A
845,A
846,A
847,A
848,A
849,A
850,A
851,A
852,A
853,A
854,A
855,A
856,A
857,A
858,A
859,A
860,A
861,A
862,A
863,A
864,G#m
865,G#m
866,G#m
867,G#m
868,G#m
869,G#m
870,G#m
871,G#m
872,G#m
873,G#m
874,G#m
875,G#m
876,G#m
877,G#m
878,G#m
879,G#m
880,G#m
881,G#m
882,G#m
883,G#m
884,G#m
885,G#m
886,G#m
887,G#m
888,G#m
889,G#m
890,G#m
891,G#m
892,G#m
893,G#m
894,G#m
895,G#m
896,G#m
897,G#m
898,G#m
899,G#m
900,G#m
901,G#m
902,G#m
903,G#m
904,G#m
905,G#m
906,G#m
907,G#m
908,G#m
909,G#m
910,G#m
911,G#m
912,F#m
913,F#m
914,F#m
915,F#m
916,F#m
917,F#m
918,F#m
919,F#m
920,F#m
921,F#m
922,F#m
923,F#m
924,F#m
925,F#m
926,F#m
927,F#m
928,F#m
929,F#m
930,F#m
931,F#m
932,F#m
933,F#m
934,F#m
935,F#m
936,F#m
937,F#m
938,F#m
939,F#m
940,F#m
941,F#m
942,F#m
943,F#m
944,F#m
945,F#m
946,F#m
947,F#m
948,F#m
949,F#m
950,F#m
951,F#m
952,F#m
953,F#m
954,F#m
955,F#m
956,F#m
957,F#m
958,F#m
959,F#m
960,E
961,E
962,E
963,E
964,E
965,E
966,E
967,E
968,E
969,E
970,E
971,E
972,E
973,E
974,E
