,0
0,E7
1,E7
2,E7
3,E7
4,E7
5,E7
6,E7
7,E7
8,E7
9,E7
10,E7
11,E7
12,E7
13,E7
14,E7
15,E7
16,E7
17,E7
18,E7
19,E7
20,E7
21,E7
22,E7
23,E7
24,E7
25,E7
26,E7
27,E7
28,E7
29,E7
30,E7
31,E7
32,E7
33,E7
34,E7
35,E7
36,E7
37,E7
38,E7
39,E7
40,E7
41,E7
42,E7
43,E7
44,E7
45,E7
46,E7
47,E7
48,A
49,A
50,A
51,A
52,A
53,A
54,A
55,A
56,A
57,A
58,A
59,A
60,A
61,A
62,A
63,A
64,A
65,A
66,A
67,A
68,A
69,A
70,A
71,A
72,A
73,A
74,A
75,A
76,A
77,A
78,A
79,A
80,A
81,A
82,A
83,A
84,A
85,A
86,A
87,A
88,A
89,A
90,A
91,A
92,A
93,A
94,A
95,A
96,A
97,A
98,A
99,A
100,A
101,A
102,A
103,A
104,A
105,A
106,A
107,A
108,A
109,A
110,A
111,A
112,A
113,A
114,A
115,A
116,A
117,A
118,A
119,A
120,A
121,A
122,A
123,A
124,A
125,A
126,A
127,A
128,A
129,A
130,A
131,A
132,A
133,A
134,A
135,A
136,A
137,A
138,A
139,A
140,A
141,A
142,A
143,A
144,Am
145,Am
146,Am
147,Am
148,Am
149,Am
150,Am
151,Am
152,Am
153,Am
154,Am
155,Am
156,Am
157,Am
158,Am
159,Am
160,Am
161,Am
162,Am
163,Am
164,Am
165,Am
166,Am
167,Am
168,Am
169,Am
170,Am
171,Am
172,Am
173,Am
174,Am
175,Am
176,Am
177,Am
178,Am
179,Am
180,Am
181,Am
182,Am
183,Am
184,Am
185,Am
186,Am
187,Am
188,Am
189,Am
190,Am
191,Am
192,D7
193,D7
194,D7
195,D7
196,D7
197,D7
198,D7
199,D7
200,D7
201,D7
202,D7
203,D7
204,D7
205,D7
206,D7
207,D7
208,D7
209,D7
210,D7
211,D7
212,D7
213,D7
214,D7
215,D7
216,D7
217,D7
218,D7
219,D7
220,D7
221,D7
222,D7
223,D7
224,D7
225,D7
226,D7
227,D7
228,D7
229,D7
230,D7
231,D7
232,D7
233,D7
234,D7
235,D7
236,D7
237,D7
238,D7
239,D7
240,G
241,G
242,G
243,G
244,G
245,G
246,G
247,G
248,G
249,G
250,G
251,G
252,G
253,G
254,G
255,G
256,G
257,G
258,G
259,G
260,G
261,G
262,G
263,G
264,G
265,G
266,G
267,G
268,G
269,G
270,G
271,G
272,G
273,G
274,G
275,G
276,G
277,G
278,G
279,G
280,G
281,G
282,G
283,G
284,G
285,G
286,G
287,G
288,G
289,G
290,G
291,G
292,G
293,G
294,G
295,G
296,G
297,G
298,G
299,G
300,G
301,G
302,G
303,G
304,G
305,G
306,G
307,G
308,G
309,G
310,G
311,G
312,G
313,G
314,G
315,G
316,G
317,G
318,G
319,G
320,G
321,G
322,G
323,G
324,G
325,G
326,G
327,G
328,G
329,G
330,G
331,G
332,G
333,G
334,G
335,G
336,Gm
337,Gm
338,Gm
339,Gm
340,Gm
341,Gm
342,Gm
343,Gm
344,Gm
345,Gm
346,Gm
347,Gm
348,Gm
349,Gm
350,Gm
351,Gm
352,Gm
353,Gm
354,Gm
355,Gm
356,Gm
357,Gm
358,Gm
359,Gm
360,Gm
361,Gm
362,Gm
363,Gm
364,Gm
365,Gm
366,Gm
367,Gm
368,Gm
369,Gm
370,Gm
371,Gm
372,Gm
373,Gm
374,Gm
375,Gm
376,Gm
377,Gm
378,Gm
379,Gm
380,Gm
381,Gm
382,Gm
383,Gm
384,C7
385,C7
386,C7
387,C7
388,C7
389,C7
390,C7
391,C7
392,C7
393,C7
394,C7
395,C7
396,C7
397,C7
398,C7
399,C7
400,C7
401,C7
402,C7
403,C7
404,C7
405,C7
406,C7
407,C7
408,C7
409,C7
410,C7
411,C7
412,C7
413,C7
414,C7
415,C7
416,C7
417,C7
418,C7
419,C7
420,C7
421,C7
422,C7
423,C7
424,C7
425,C7
426,C7
427,C7
428,C7
429,C7
430,C7
431,C7
432,F7
433,F7
434,F7
435,F7
436,F7
437,F7
438,F7
439,F7
440,F7
441,F7
442,F7
443,F7
444,F7
445,F7
446,F7
447,F7
448,F7
449,F7
450,F7
451,F7
452,F7
453,F7
454,F7
455,F7
456,F7
457,F7
458,F7
459,F7
460,F7
461,F7
462,F7
463,F7
464,F7
465,F7
466,F7
467,F7
468,F7
469,F7
470,F7
471,F7
472,F7
473,F7
474,F7
475,F7
476,F7
477,F7
478,F7
479,F7
480,B/o7
481,B/o7
482,B/o7
483,B/o7
484,B/o7
485,B/o7
486,B/o7
487,B/o7
488,B/o7
489,B/o7
490,B/o7
491,B/o7
492,B/o7
493,B/o7
494,B/o7
495,B/o7
496,B/o7
497,B/o7
498,B/o7
499,B/o7
500,B/o7
501,B/o7
502,B/o7
503,B/o7
504,E7
505,E7
506,E7
507,E7
508,E7
509,E7
510,E7
511,E7
512,E7
513,E7
514,E7
515,E7
516,E7
517,E7
518,E7
519,E7
520,E7
521,E7
522,E7
523,E7
524,E7
525,E7
526,E7
527,E7
528,Am
529,Am
530,Am
531,Am
532,Am
533,Am
534,Am
535,Am
536,Am
537,Am
538,Am
539,Am
540,Am
541,Am
542,Am
543,Am
544,Am
545,Am
546,Am
547,Am
548,Am
549,Am
550,Am
551,Am
552,Am
553,Am
554,Am
555,Am
556,Am
557,Am
558,Am
559,Am
560,Am
561,Am
562,Am
563,Am
564,Am
565,Am
566,Am
567,Am
568,Am
569,Am
570,Am
571,Am
572,Am
573,Am
574,Am
575,Am
576,E7
577,E7
578,E7
579,E7
580,E7
581,E7
582,E7
583,E7
584,E7
585,E7
586,E7
587,E7
588,E7
589,E7
590,E7
591,E7
592,E7
593,E7
594,E7
595,E7
596,E7
597,E7
598,E7
599,E7
600,E7
601,E7
602,E7
603,E7
604,E7
605,E7
606,E7
607,E7
608,E7
609,E7
610,E7
611,E7
612,E7
613,E7
614,E7
615,E7
616,E7
617,E7
618,E7
619,E7
620,E7
621,E7
622,E7
623,E7
624,C#m
625,C#m
626,C#m
627,C#m
628,C#m
629,C#m
630,C#m
631,C#m
632,C#m
633,C#m
634,C#m
635,C#m
636,C#m
637,C#m
638,C#m
639,C#m
640,C#m
641,C#m
642,C#m
643,C#m
644,C#m
645,C#m
646,C#m
647,C#m
648,C#m
649,C#m
650,C#m
