,0
0,F7
1,F7
2,F7
3,F7
4,F7
5,F7
6,F7
7,F7
8,F7
9,F7
10,F7
11,F7
12,F7
13,F7
14,F7
15,F7
16,F7
17,F7
18,F7
19,F7
20,F7
21,F7
22,F7
23,F7
24,F7
25,F7
26,F7
27,F7
28,F7
29,F7
30,F7
31,F7
32,F7
33,F7
34,F7
35,F7
36,F7
37,F7
38,F7
39,F7
40,F7
41,F7
42,F7
43,F7
44,F7
45,F7
46,F7
47,F7
48,B-
49,B-
50,B-
51,B-
52,B-
53,B-
54,B-
55,B-
56,B-
57,B-
58,B-
59,B-
60,B-
61,B-
62,B-
63,B-
64,B-
65,B-
66,B-
67,B-
68,B-
69,B-
70,B-
71,B-
72,B-
73,B-
74,B-
75,B-
76,B-
77,B-
78,B-
79,B-
80,B-
81,B-
82,B-
83,B-
84,B-
85,B-
86,B-
87,B-
88,B-
89,B-
90,B-
91,B-
92,B-
93,B-
94,B-
95,B-
96,B-
97,B-
98,B-
99,B-
100,B-
101,B-
102,B-
103,B-
104,B-
105,B-
106,B-
107,B-
108,B-
109,B-
110,B-
111,B-
112,B-
113,B-
114,B-
115,B-
116,B-
117,B-
118,B-
119,B-
120,B-
121,B-
122,B-
123,B-
124,B-
125,B-
126,B-
127,B-
128,B-
129,B-
130,B-
131,B-
132,B-
133,B-
134,B-
135,B-
136,B-
137,B-
138,B-
139,B-
140,B-
141,B-
142,B-
143,B-
144,B-m
145,B-m
146,B-m
147,B-m
148,B-m
149,B-m
150,B-m
151,B-m
152,B-m
153,B-m
154,B-m
155,B-m
156,B-m
157,B-m
158,B-m
159,B-m
160,B-m
161,B-m
162,B-m
163,B-m
164,B-m
165,B-m
166,B-m
167,B-m
168,B-m
169,B-m
170,B-m
171,B-m
172,B-m
173,B-m
174,B-m
175,B-m
176,B-m
177,B-m
178,B-m
179,B-m
180,B-m
181,B-m
182,B-m
183,B-m
184,B-m
185,B-m
186,B-m
187,B-m
188,B-m
189,B-m
190,B-m
191,B-m
192,E-7
193,E-7
194,E-7
195,E-7
196,E-7
197,E-7
198,E-7
199,E-7
200,E-7
201,E-7
202,E-7
203,E-7
204,E-7
205,E-7
206,E-7
207,E-7
208,E-7
209,E-7
210,E-7
211,E-7
212,E-7
213,E-7
214,E-7
215,E-7
216,E-7
217,E-7
218,E-7
219,E-7
220,E-7
221,E-7
222,E-7
223,E-7
224,E-7
225,E-7
226,E-7
227,E-7
228,E-7
229,E-7
230,E-7
231,E-7
232,E-7
233,E-7
234,E-7
235,E-7
236,E-7
237,E-7
238,E-7
239,E-7
240,G#
241,G#
242,G#
243,G#
244,G#
245,G#
246,G#
247,G#
248,G#
249,G#
250,G#
251,G#
252,G#
253,G#
254,G#
255,G#
256,G#
257,G#
258,G#
259,G#
260,G#
261,G#
262,G#
263,G#
264,G#
265,G#
266,G#
267,G#
268,G#
269,G#
270,G#
271,G#
272,G#
273,G#
274,G#
275,G#
276,G#
277,G#
278,G#
279,G#
280,G#
281,G#
282,G#
283,G#
284,G#
285,G#
286,G#
287,G#
288,G#
289,G#
290,G#
291,G#
292,G#
293,G#
294,G#
295,G#
296,G#
297,G#
298,G#
299,G#
300,G#
301,G#
302,G#
303,G#
304,G#
305,G#
306,G#
307,G#
308,G#
309,G#
310,G#
311,G#
312,G#
313,G#
314,G#
315,G#
316,G#
317,G#
318,G#
319,G#
320,G#
321,G#
322,G#
323,G#
324,G#
325,G#
326,G#
327,G#
328,G#
329,G#
330,G#
331,G#
332,G#
333,G#
334,G#
335,G#
336,G#m
337,G#m
338,G#m
339,G#m
340,G#m
341,G#m
342,G#m
343,G#m
344,G#m
345,G#m
346,G#m
347,G#m
348,G#m
349,G#m
350,G#m
351,G#m
352,G#m
353,G#m
354,G#m
355,G#m
356,G#m
357,G#m
358,G#m
359,G#m
360,G#m
361,G#m
362,G#m
363,G#m
364,G#m
365,G#m
366,G#m
367,G#m
368,G#m
369,G#m
370,G#m
371,G#m
372,G#m
373,G#m
374,G#m
375,G#m
376,G#m
377,G#m
378,G#m
379,G#m
380,G#m
381,G#m
382,G#m
383,G#m
384,C#7
385,C#7
386,C#7
387,C#7
388,C#7
389,C#7
390,C#7
391,C#7
392,C#7
393,C#7
394,C#7
395,C#7
396,C#7
397,C#7
398,C#7
399,C#7
400,C#7
401,C#7
402,C#7
403,C#7
404,C#7
405,C#7
406,C#7
407,C#7
408,C#7
409,C#7
410,C#7
411,C#7
412,C#7
413,C#7
414,C#7
415,C#7
416,C#7
417,C#7
418,C#7
419,C#7
420,C#7
421,C#7
422,C#7
423,C#7
424,C#7
425,C#7
426,C#7
427,C#7
428,C#7
429,C#7
430,C#7
431,C#7
432,F#7
433,F#7
434,F#7
435,F#7
436,F#7
437,F#7
438,F#7
439,F#7
440,F#7
441,F#7
442,F#7
443,F#7
444,F#7
445,F#7
446,F#7
447,F#7
448,F#7
449,F#7
450,F#7
451,F#7
452,F#7
453,F#7
454,F#7
455,F#7
456,F#7
457,F#7
458,F#7
459,F#7
460,F#7
461,F#7
462,F#7
463,F#7
464,F#7
465,F#7
466,F#7
467,F#7
468,F#7
469,F#7
470,F#7
471,F#7
472,F#7
473,F#7
474,F#7
475,F#7
476,F#7
477,F#7
478,F#7
479,F#7
480,C/o7
481,C/o7
482,C/o7
483,C/o7
484,C/o7
485,C/o7
486,C/o7
487,C/o7
488,C/o7
489,C/o7
490,C/o7
491,C/o7
492,C/o7
493,C/o7
494,C/o7
495,C/o7
496,C/o7
497,C/o7
498,C/o7
499,C/o7
500,C/o7
501,C/o7
502,C/o7
503,C/o7
504,F7
505,F7
506,F7
507,F7
508,F7
509,F7
510,F7
511,F7
512,F7
513,F7
514,F7
515,F7
516,F7
517,F7
518,F7
519,F7
520,F7
521,F7
522,F7
523,F7
524,F7
525,F7
526,F7
527,F7
528,B-m
529,B-m
530,B-m
531,B-m
532,B-m
533,B-m
534,B-m
535,B-m
536,B-m
537,B-m
538,B-m
539,B-m
540,B-m
541,B-m
542,B-m
543,B-m
544,B-m
545,B-m
546,B-m
547,B-m
548,B-m
549,B-m
550,B-m
551,B-m
552,B-m
553,B-m
554,B-m
555,B-m
556,B-m
557,B-m
558,B-m
559,B-m
560,B-m
561,B-m
562,B-m
563,B-m
564,B-m
565,B-m
566,B-m
567,B-m
568,B-m
569,B-m
570,B-m
571,B-m
572,B-m
573,B-m
574,B-m
575,B-m
576,F7
577,F7
578,F7
579,F7
580,F7
581,F7
582,F7
583,F7
584,F7
585,F7
586,F7
587,F7
588,F7
589,F7
590,F7
591,F7
592,F7
593,F7
594,F7
595,F7
596,F7
597,F7
598,F7
599,F7
600,F7
601,F7
602,F7
603,F7
604,F7
605,F7
606,F7
607,F7
608,F7
609,F7
610,F7
611,F7
612,F7
613,F7
614,F7
615,F7
616,F7
617,F7
618,F7
619,F7
620,F7
621,F7
622,F7
623,F7
624,Dm
625,Dm
626,Dm
627,Dm
628,Dm
629,Dm
630,Dm
631,Dm
632,Dm
633,Dm
634,Dm
635,Dm
636,Dm
637,Dm
638,Dm
639,Dm
640,Dm
641,Dm
642,Dm
643,Dm
644,Dm
645,Dm
646,Dm
647,Dm
648,Dm
649,Dm
650,Dm
651,Dm
652,Dm
653,Dm
654,Dm
655,Dm
656,Dm
657,Dm
658,Dm
659,Dm
660,Dm
661,Dm
662,Dm
663,Dm
664,Dm
665,Dm
666,Dm
667,Dm
668,Dm
669,Dm
670,Dm
671,Dm
672,G7
673,G7
674,G7
675,G7
676,G7
677,G7
678,G7
679,G7
680,G7
681,G7
682,G7
683,G7
684,G7
685,G7
686,G7
687,G7
688,G7
689,G7
690,G7
691,G7
692,G7
693,G7
694,G7
695,G7
696,G7
697,G7
698,G7
699,G7
700,G7
701,G7
702,G7
703,G7
704,G7
705,G7
706,G7
707,G7
708,G7
709,G7
710,G7
711,G7
712,G7
713,G7
714,G7
715,G7
716,G7
717,G7
718,G7
719,G7
720,Cm
721,Cm
722,Cm
723,Cm
724,Cm
725,Cm
726,Cm
727,Cm
728,Cm
729,Cm
730,Cm
731,Cm
732,Cm
733,Cm
734,Cm
735,Cm
736,Cm
737,Cm
738,Cm
739,Cm
740,Cm
741,Cm
742,Cm
743,Cm
744,Cm
745,Cm
746,Cm
747,Cm
748,Cm
749,Cm
750,Cm
751,Cm
752,Cm
753,Cm
754,Cm
755,Cm
756,Cm
757,Cm
758,Cm
759,Cm
760,Cm
761,Cm
762,Cm
763,Cm
764,Cm
765,Cm
766,Cm
767,Cm
768,F7
769,F7
770,F7
771,F7
772,F7
773,F7
774,F7
775,F7
776,F7
777,F7
778,F7
779,F7
780,F7
781,F7
782,F7
783,F7
784,F7
785,F7
786,F7
787,F7
788,F7
789,F7
790,F7
791,F7
792,F7
793,F7
794,F7
795,F7
796,F7
797,F7
798,F7
799,F7
800,F7
801,F7
802,F7
803,F7
804,F7
805,F7
806,F7
807,F7
808,F7
809,F7
810,F7
811,F7
812,F7
813,F7
814,F7
815,F7
816,B-
817,B-
818,B-
819,B-
820,B-
821,B-
822,B-
823,B-
824,B-
825,B-
826,B-
827,B-
828,B-
829,B-
830,B-
831,B-
832,B-
833,B-
834,B-
835,B-
836,B-
837,B-
838,B-
839,B-
840,B-
841,B-
842,B-
843,B-
844,B-
845,B-
846,B-
847,B-
848,B-
849,B-
850,B-
851,B-
852,B-
853,B-
854,B-
855,B-
856,B-
857,B-
858,B-
859,B-
860,B-
861,B-
862,B-
863,B-
864,B-
865,B-
866,B-
867,B-
868,B-
869,B-
870,B-
871,B-
872,B-
873,B-
874,B-
875,B-
876,B-
877,B-
878,B-
879,B-
880,B-
881,B-
882,B-
883,B-
884,B-
885,B-
886,B-
887,B-
888,B-
889,B-
890,B-
891,B-
892,B-
893,B-
894,B-
895,B-
896,B-
897,B-
898,B-
899,B-
900,B-
901,B-
902,B-
903,B-
904,B-
905,B-
906,B-
907,B-
908,B-
909,B-
910,B-
911,B-
912,B-m
913,B-m
914,B-m
915,B-m
916,B-m
917,B-m
918,B-m
919,B-m
920,B-m
921,B-m
922,B-m
923,B-m
924,B-m
925,B-m
926,B-m
927,B-m
928,B-m
929,B-m
930,B-m
931,B-m
932,B-m
933,B-m
934,B-m
935,B-m
936,B-m
937,B-m
938,B-m
939,B-m
940,B-m
941,B-m
942,B-m
943,B-m
944,B-m
945,B-m
946,B-m
947,B-m
948,B-m
949,B-m
950,B-m
951,B-m
952,B-m
953,B-m
954,B-m
955,B-m
956,B-m
957,B-m
958,B-m
959,B-m
960,E-7
961,E-7
962,E-7
963,E-7
964,E-7
965,E-7
966,E-7
967,E-7
968,E-7
969,E-7
970,E-7
971,E-7
972,E-7
973,E-7
974,E-7
975,E-7
976,E-7
977,E-7
978,E-7
979,E-7
980,E-7
981,E-7
982,E-7
983,E-7
984,E-7
985,E-7
986,E-7
987,E-7
988,E-7
989,E-7
990,E-7
991,E-7
992,E-7
993,E-7
994,E-7
995,E-7
996,E-7
997,E-7
998,E-7
999,E-7
1000,E-7
1001,E-7
1002,E-7
1003,E-7
1004,E-7
1005,E-7
1006,E-7
1007,E-7
1008,G#
1009,G#
1010,G#
1011,G#
1012,G#
1013,G#
1014,G#
1015,G#
1016,G#
1017,G#
1018,G#
1019,G#
1020,G#
1021,G#
1022,G#
1023,G#
1024,G#
1025,G#
1026,G#
1027,G#
1028,G#
1029,G#
1030,G#
1031,G#
1032,G#
1033,G#
1034,G#
1035,G#
1036,G#
1037,G#
1038,G#
1039,G#
1040,G#
1041,G#
1042,G#
1043,G#
1044,G#
1045,G#
1046,G#
1047,G#
1048,G#
1049,G#
1050,G#
1051,G#
1052,G#
1053,G#
1054,G#
1055,G#
1056,G#
1057,G#
1058,G#
1059,G#
1060,G#
1061,G#
1062,G#
1063,G#
1064,G#
1065,G#
1066,G#
1067,G#
1068,G#
1069,G#
1070,G#
1071,G#
1072,G#
1073,G#
1074,G#
1075,G#
1076,G#
1077,G#
1078,G#
1079,G#
1080,G#
1081,G#
1082,G#
1083,G#
1084,G#
1085,G#
1086,G#
1087,G#
1088,G#
1089,G#
1090,G#
1091,G#
1092,G#
1093,G#
1094,G#
1095,G#
1096,G#
1097,G#
1098,G#
1099,G#
1100,G#
1101,G#
1102,G#
1103,G#
1104,G#m
1105,G#m
1106,G#m
1107,G#m
1108,G#m
1109,G#m
1110,G#m
1111,G#m
1112,G#m
1113,G#m
1114,G#m
1115,G#m
1116,G#m
1117,G#m
1118,G#m
1119,G#m
1120,G#m
1121,G#m
1122,G#m
1123,G#m
1124,G#m
1125,G#m
1126,G#m
1127,G#m
1128,G#m
1129,G#m
1130,G#m
1131,G#m
1132,G#m
1133,G#m
1134,G#m
1135,G#m
1136,G#m
1137,G#m
1138,G#m
1139,G#m
1140,G#m
1141,G#m
1142,G#m
1143,G#m
