,0
0,G7
1,G7
2,G7
3,G7
4,G7
5,G7
6,G7
7,G7
8,G7
9,G7
10,G7
11,G7
12,G7
13,G7
14,G7
15,G7
16,G7
17,G7
18,G7
19,G7
20,G7
21,G7
22,G7
23,G7
24,G7
25,G7
26,G7
27,G7
28,G7
29,G7
30,G7
31,G7
32,G7
33,G7
34,G7
35,G7
36,G7
37,G7
38,G7
39,G7
40,G7
41,G7
42,G7
43,G7
44,G7
45,G7
46,G7
47,G7
48,C
49,C
50,C
51,C
52,C
53,C
54,C
55,C
56,C
57,C
58,C
59,C
60,C
61,C
62,C
63,C
64,C
65,C
66,C
67,C
68,C
69,C
70,C
71,C
72,C
73,C
74,C
75,C
76,C
77,C
78,C
79,C
80,C
81,C
82,C
83,C
84,C
85,C
86,C
87,C
88,C
89,C
90,C
91,C
92,C
93,C
94,C
95,C
96,C
97,C
98,C
99,C
100,C
101,C
102,C
103,C
104,C
105,C
106,C
107,C
108,C
109,C
110,C
111,C
112,C
113,C
114,C
115,C
116,C
117,C
118,C
119,C
120,C
121,C
122,C
123,C
124,C
125,C
126,C
127,C
128,C
129,C
130,C
131,C
132,C
133,C
134,C
135,C
136,C
137,C
138,C
139,C
140,C
141,C
142,C
143,C
144,Cm
145,Cm
146,Cm
147,Cm
148,Cm
149,Cm
150,Cm
151,Cm
152,Cm
153,Cm
154,Cm
155,Cm
156,Cm
157,Cm
158,Cm
159,Cm
160,Cm
161,Cm
162,Cm
163,Cm
164,Cm
165,Cm
166,Cm
167,Cm
168,Cm
169,Cm
170,Cm
171,Cm
172,Cm
173,Cm
174,Cm
175,Cm
176,Cm
177,Cm
178,Cm
179,Cm
180,Cm
181,Cm
182,Cm
183,Cm
184,Cm
185,Cm
186,Cm
187,Cm
188,Cm
189,Cm
190,Cm
191,Cm
192,F7
193,F7
194,F7
195,F7
196,F7
197,F7
198,F7
199,F7
200,F7
201,F7
202,F7
203,F7
204,F7
205,F7
206,F7
207,F7
208,F7
209,F7
210,F7
211,F7
212,F7
213,F7
214,F7
215,F7
216,F7
217,F7
218,F7
219,F7
220,F7
221,F7
222,F7
223,F7
224,F7
225,F7
226,F7
227,F7
228,F7
229,F7
230,F7
231,F7
232,F7
233,F7
234,F7
235,F7
236,F7
237,F7
238,F7
239,F7
240,B-
241,B-
242,B-
243,B-
244,B-
245,B-
246,B-
247,B-
248,B-
249,B-
250,B-
251,B-
252,B-
253,B-
254,B-
255,B-
256,B-
257,B-
258,B-
259,B-
260,B-
261,B-
262,B-
263,B-
264,B-
265,B-
266,B-
267,B-
268,B-
269,B-
270,B-
271,B-
272,B-
273,B-
274,B-
275,B-
276,B-
277,B-
278,B-
279,B-
280,B-
281,B-
282,B-
283,B-
284,B-
285,B-
286,B-
287,B-
288,B-
289,B-
290,B-
291,B-
292,B-
293,B-
294,B-
295,B-
296,B-
297,B-
298,B-
299,B-
300,B-
301,B-
302,B-
303,B-
304,B-
305,B-
306,B-
307,B-
308,B-
309,B-
310,B-
311,B-
312,B-
313,B-
314,B-
315,B-
316,B-
317,B-
318,B-
319,B-
320,B-
321,B-
322,B-
323,B-
324,B-
325,B-
326,B-
327,B-
328,B-
329,B-
330,B-
331,B-
332,B-
333,B-
334,B-
335,B-
336,B-m
337,B-m
338,B-m
339,B-m
340,B-m
341,B-m
342,B-m
343,B-m
344,B-m
345,B-m
346,B-m
347,B-m
348,B-m
349,B-m
350,B-m
351,B-m
352,B-m
353,B-m
354,B-m
355,B-m
356,B-m
357,B-m
358,B-m
359,B-m
360,B-m
361,B-m
362,B-m
363,B-m
364,B-m
365,B-m
366,B-m
367,B-m
368,B-m
369,B-m
370,B-m
371,B-m
372,B-m
373,B-m
374,B-m
375,B-m
376,B-m
377,B-m
378,B-m
379,B-m
380,B-m
381,B-m
382,B-m
383,B-m
384,E-7
385,E-7
386,E-7
387,E-7
388,E-7
389,E-7
390,E-7
391,E-7
392,E-7
393,E-7
394,E-7
395,E-7
396,E-7
397,E-7
398,E-7
399,E-7
400,E-7
401,E-7
402,E-7
403,E-7
404,E-7
405,E-7
406,E-7
407,E-7
408,E-7
409,E-7
410,E-7
411,E-7
412,E-7
413,E-7
414,E-7
415,E-7
416,E-7
417,E-7
418,E-7
419,E-7
420,E-7
421,E-7
422,E-7
423,E-7
424,E-7
425,E-7
426,E-7
427,E-7
428,E-7
429,E-7
430,E-7
431,E-7
432,G#7
433,G#7
434,G#7
435,G#7
436,G#7
437,G#7
438,G#7
439,G#7
440,G#7
441,G#7
442,G#7
443,G#7
444,G#7
445,G#7
446,G#7
447,G#7
448,G#7
449,G#7
450,G#7
451,G#7
452,G#7
453,G#7
454,G#7
455,G#7
456,G#7
457,G#7
458,G#7
459,G#7
460,G#7
461,G#7
462,G#7
463,G#7
464,G#7
465,G#7
466,G#7
467,G#7
468,G#7
469,G#7
470,G#7
471,G#7
472,G#7
473,G#7
474,G#7
475,G#7
476,G#7
477,G#7
478,G#7
479,G#7
480,D/o7
481,D/o7
482,D/o7
483,D/o7
484,D/o7
485,D/o7
486,D/o7
487,D/o7
488,D/o7
489,D/o7
490,D/o7
