,0
0,C#7
1,C#7
2,C#7
3,C#7
4,C#7
5,C#7
6,C#7
7,C#7
8,C#7
9,C#7
10,C#7
11,C#7
12,C#7
13,C#7
14,C#7
15,C#7
16,C#7
17,C#7
18,C#7
19,C#7
20,C#7
21,C#7
22,C#7
23,C#7
24,C#7
25,C#7
26,C#7
27,C#7
28,C#7
29,C#7
30,C#7
31,C#7
32,C#7
33,C#7
34,C#7
35,C#7
36,C#7
37,C#7
38,C#7
39,C#7
40,C#7
41,C#7
42,C#7
43,C#7
44,C#7
45,C#7
46,C#7
47,C#7
48,F#
49,F#
50,F#
51,F#
52,F#
53,F#
54,F#
55,F#
56,F#
57,F#
58,F#
59,F#
60,F#
61,F#
62,F#
63,F#
64,F#
65,F#
66,F#
67,F#
68,F#
69,F#
70,F#
71,F#
72,F#
73,F#
74,F#
75,F#
76,F#
77,F#
78,F#
79,F#
80,F#
81,F#
82,F#
83,F#
84,F#
85,F#
86,F#
87,F#
88,F#
89,F#
90,F#
91,F#
92,F#
93,F#
94,F#
95,F#
96,F#
97,F#
98,F#
99,F#
100,F#
101,F#
102,F#
103,F#
104,F#
105,F#
106,F#
107,F#
108,F#
109,F#
110,F#
111,F#
112,F#
113,F#
114,F#
115,F#
116,F#
117,F#
118,F#
119,F#
120,F#
121,F#
122,F#
123,F#
124,F#
125,F#
126,F#
127,F#
128,F#
129,F#
130,F#
131,F#
132,F#
133,F#
134,F#
135,F#
136,F#
137,F#
138,F#
139,F#
140,F#
141,F#
142,F#
143,F#
144,F#m
145,F#m
146,F#m
147,F#m
148,F#m
149,F#m
150,F#m
151,F#m
152,F#m
153,F#m
154,F#m
155,F#m
156,F#m
157,F#m
158,F#m
159,F#m
160,F#m
161,F#m
162,F#m
163,F#m
164,F#m
165,F#m
166,F#m
167,F#m
168,F#m
169,F#m
170,F#m
171,F#m
172,F#m
173,F#m
174,F#m
175,F#m
176,F#m
177,F#m
178,F#m
179,F#m
180,F#m
181,F#m
182,F#m
183,F#m
184,F#m
185,F#m
186,F#m
187,F#m
188,F#m
189,F#m
190,F#m
191,F#m
192,B7
193,B7
194,B7
195,B7
196,B7
