,0
0,E-7
1,E-7
2,E-7
3,E-7
4,E-7
5,E-7
6,E-7
7,E-7
8,E-7
9,E-7
10,E-7
11,E-7
12,E-7
13,E-7
14,E-7
15,E-7
16,E-7
17,E-7
18,E-7
19,E-7
20,E-7
21,E-7
22,E-7
23,E-7
24,E-7
25,E-7
26,E-7
27,E-7
28,E-7
29,E-7
30,E-7
31,E-7
32,E-7
33,E-7
34,E-7
35,E-7
36,E-7
37,E-7
38,E-7
39,E-7
40,E-7
41,E-7
42,E-7
43,E-7
44,E-7
45,E-7
46,E-7
47,E-7
48,G#
49,G#
50,G#
51,G#
52,G#
53,G#
54,G#
55,G#
56,G#
57,G#
58,G#
59,G#
60,G#
61,G#
62,G#
63,G#
64,G#
65,G#
66,G#
67,G#
68,G#
69,G#
70,G#
71,G#
72,G#
73,G#
74,G#
75,G#
76,G#
77,G#
78,G#
79,G#
80,G#
81,G#
82,G#
83,G#
84,G#
85,G#
86,G#
87,G#
88,G#
89,G#
90,G#
91,G#
92,G#
93,G#
94,G#
95,G#
96,G#
97,G#
98,G#
99,G#
100,G#
101,G#
102,G#
103,G#
104,G#
105,G#
106,G#
107,G#
108,G#
109,G#
110,G#
111,G#
112,G#
113,G#
114,G#
115,G#
116,G#
117,G#
118,G#
119,G#
120,G#
121,G#
122,G#
123,G#
124,G#
125,G#
126,G#
127,G#
128,G#
129,G#
130,G#
131,G#
132,G#
133,G#
134,G#
135,G#
136,G#
137,G#
138,G#
139,G#
140,G#
141,G#
142,G#
143,G#
144,G#m
145,G#m
146,G#m
147,G#m
148,G#m
149,G#m
150,G#m
151,G#m
152,G#m
153,G#m
154,G#m
155,G#m
156,G#m
157,G#m
158,G#m
159,G#m
160,G#m
161,G#m
162,G#m
163,G#m
164,G#m
165,G#m
166,G#m
167,G#m
168,G#m
169,G#m
170,G#m
171,G#m
172,G#m
173,G#m
174,G#m
175,G#m
176,G#m
177,G#m
178,G#m
179,G#m
180,G#m
181,G#m
182,G#m
183,G#m
184,G#m
185,G#m
186,G#m
187,G#m
188,G#m
189,G#m
190,G#m
191,G#m
192,C#7
193,C#7
194,C#7
195,C#7
196,C#7
197,C#7
198,C#7
199,C#7
200,C#7
201,C#7
202,C#7
203,C#7
204,C#7
205,C#7
206,C#7
207,C#7
208,C#7
209,C#7
210,C#7
211,C#7
212,C#7
213,C#7
214,C#7
215,C#7
216,C#7
217,C#7
218,C#7
219,C#7
220,C#7
221,C#7
222,C#7
223,C#7
224,C#7
225,C#7
226,C#7
227,C#7
228,C#7
229,C#7
230,C#7
231,C#7
232,C#7
233,C#7
234,C#7
235,C#7
236,C#7
237,C#7
238,C#7
239,C#7
240,F#
241,F#
242,F#
243,F#
244,F#
245,F#
246,F#
247,F#
248,F#
249,F#
250,F#
251,F#
252,F#
253,F#
254,F#
255,F#
256,F#
257,F#
258,F#
259,F#
260,F#
261,F#
262,F#
263,F#
264,F#
265,F#
266,F#
267,F#
268,F#
269,F#
270,F#
271,F#
272,F#
273,F#
274,F#
275,F#
276,F#
277,F#
278,F#
279,F#
280,F#
281,F#
282,F#
283,F#
284,F#
285,F#
286,F#
287,F#
288,F#
289,F#
290,F#
291,F#
292,F#
293,F#
294,F#
295,F#
296,F#
297,F#
298,F#
299,F#
300,F#
301,F#
302,F#
303,F#
304,F#
305,F#
306,F#
307,F#
308,F#
309,F#
310,F#
311,F#
312,F#
313,F#
314,F#
315,F#
316,F#
317,F#
318,F#
319,F#
320,F#
321,F#
322,F#
323,F#
324,F#
325,F#
326,F#
327,F#
328,F#
329,F#
330,F#
331,F#
332,F#
333,F#
334,F#
335,F#
336,F#m
337,F#m
338,F#m
339,F#m
340,F#m
341,F#m
342,F#m
343,F#m
344,F#m
345,F#m
346,F#m
347,F#m
348,F#m
349,F#m
350,F#m
351,F#m
352,F#m
353,F#m
354,F#m
355,F#m
356,F#m
357,F#m
358,F#m
359,F#m
360,F#m
361,F#m
362,F#m
363,F#m
364,F#m
365,F#m
366,F#m
367,F#m
368,F#m
369,F#m
370,F#m
371,F#m
372,F#m
373,F#m
374,F#m
375,F#m
376,F#m
377,F#m
378,F#m
379,F#m
380,F#m
381,F#m
382,F#m
383,F#m
384,B7
385,B7
386,B7
387,B7
388,B7
389,B7
390,B7
391,B7
392,B7
393,B7
394,B7
395,B7
396,B7
397,B7
398,B7
399,B7
400,B7
401,B7
402,B7
403,B7
404,B7
405,B7
406,B7
407,B7
408,B7
409,B7
410,B7
411,B7
412,B7
413,B7
414,B7
415,B7
416,B7
417,B7
418,B7
419,B7
420,B7
421,B7
422,B7
423,B7
424,B7
425,B7
426,B7
427,B7
428,B7
429,B7
430,B7
431,B7
432,E7
433,E7
434,E7
435,E7
436,E7
437,E7
438,E7
439,E7
440,E7
441,E7
442,E7
443,E7
444,E7
445,E7
446,E7
447,E7
448,E7
449,E7
450,E7
451,E7
452,E7
453,E7
454,E7
455,E7
456,E7
457,E7
458,E7
459,E7
460,E7
461,E7
462,E7
463,E7
464,E7
465,E7
466,E7
467,E7
468,E7
469,E7
470,E7
471,E7
472,E7
473,E7
474,E7
475,E7
476,E7
477,E7
478,E7
479,E7
480,B-/o7
481,B-/o7
482,B-/o7
483,B-/o7
484,B-/o7
485,B-/o7
486,B-/o7
487,B-/o7
488,B-/o7
489,B-/o7
490,B-/o7
491,B-/o7
492,B-/o7
493,B-/o7
494,B-/o7
495,B-/o7
496,B-/o7
497,B-/o7
498,B-/o7
499,B-/o7
500,B-/o7
501,B-/o7
502,B-/o7
503,B-/o7
504,E-7
505,E-7
506,E-7
507,E-7
508,E-7
509,E-7
510,E-7
511,E-7
512,E-7
513,E-7
514,E-7
515,E-7
516,E-7
517,E-7
518,E-7
519,E-7
520,E-7
521,E-7
522,E-7
523,E-7
524,E-7
525,E-7
526,E-7
527,E-7
528,G#m
529,G#m
530,G#m
531,G#m
532,G#m
533,G#m
534,G#m
535,G#m
536,G#m
537,G#m
538,G#m
539,G#m
540,G#m
541,G#m
542,G#m
543,G#m
544,G#m
545,G#m
546,G#m
547,G#m
548,G#m
549,G#m
550,G#m
551,G#m
552,G#m
553,G#m
554,G#m
555,G#m
556,G#m
557,G#m
558,G#m
559,G#m
560,G#m
561,G#m
562,G#m
563,G#m
564,G#m
565,G#m
566,G#m
567,G#m
568,G#m
569,G#m
570,G#m
