,0
0,E
1,E
2,E
3,E
4,E
5,E
6,E
7,E
8,E
9,E
10,E
11,E
12,E
13,E
14,E
15,E
16,E
17,E
18,E
19,E
20,E
21,E
22,E
23,E
24,E
25,E
26,E
27,E
28,E
29,E
30,E
31,E
32,E
33,E
34,E
35,E
36,E
37,E
38,E
39,E
40,E
41,E
42,E
43,E
44,E
45,E
46,E
47,E
48,E
49,E
50,E
51,E
52,E
53,E
54,E
55,E
56,E
57,E
58,E
59,E
60,E
61,E
62,E
63,E
64,E
65,E
66,E
67,E
68,E
69,E
70,E
71,E
72,E
73,E
74,E
75,E
76,E
77,E
78,E
79,E
80,E
81,E
82,E
83,E
84,E
85,E
86,E
87,E
88,E
89,E
90,E
91,E
92,E
93,E
94,E
95,E
96,E
97,E
98,E
99,E
100,E
101,E
102,E
103,E
104,E
105,E
106,E
107,E
108,E
109,E
110,E
111,E
112,E
113,E
114,E
115,E
116,E
117,E
118,E
119,E
120,E
121,E
122,E
123,E
124,E
125,E
126,E
127,E
128,E
129,E
130,E
131,E
132,E
133,E
134,E
135,E
136,E
137,E
138,E
139,E
140,E
141,E
142,E
143,E
144,E
145,E
146,E
147,E
148,E
149,E
150,E
151,E
152,E
153,E
154,E
155,E
156,E
157,E
158,E
159,E
160,E
161,E
162,E
163,E
164,E
165,E
166,E
167,E
168,E
169,E
170,E
171,E
172,E
173,E
174,E
175,E
176,E
177,E
178,E
179,E
180,E
181,E
182,E
183,E
184,E
185,E
186,E
187,E
188,E
189,E
190,E
191,E
192,E
193,E
194,E
195,E
196,E
197,E
198,E
199,E
200,E
201,E
202,E
203,E
204,E
205,E
206,E
207,E
208,E
209,E
210,E
211,E
212,E
213,E
214,E
215,E
216,E
217,E
218,E
219,E
220,E
221,E
222,E
223,E
224,E
225,E
226,E
227,E
228,E
229,E
230,E
231,E
232,E
233,E
234,E
235,E
236,E
237,E
238,E
239,E
240,E
241,E
242,E
243,E
244,E
245,E
246,E
247,E
248,E
249,E
250,E
251,E
252,E
253,E
254,E
255,E
256,E
257,E
258,E
259,E
260,E
261,E
262,E
263,E
264,E
265,E
266,E
267,E
268,E
269,E
270,E
271,E
272,E
273,E
274,E
275,E
276,E
277,E
278,E
279,E
280,E
281,E
282,E
283,E
284,E
285,E
286,E
287,E
288,F
289,F
290,F
291,F
292,F
293,F
294,F
295,F
296,F
297,F
298,F
299,F
300,F
301,F
302,F
303,F
304,F
305,F
306,F
307,F
308,F
309,F
310,F
311,F
312,F
313,F
314,F
315,F
316,F
317,F
318,F
319,F
320,F
321,F
322,F
323,F
324,F
325,F
326,F
327,F
328,F
329,F
330,F
331,F
332,F
333,F
334,F
335,F
336,E
337,E
338,E
339,E
340,E
341,E
342,E
343,E
344,E
345,E
346,E
347,E
348,E
349,E
350,E
351,E
352,E
353,E
354,E
355,E
356,E
357,E
358,E
359,E
360,E
361,E
362,E
363,E
364,E
365,E
366,E
367,E
368,E
369,E
370,E
371,E
372,E
373,E
374,E
375,E
376,E
377,E
378,E
379,E
380,E
381,E
382,E
383,E
384,E
385,E
386,E
387,E
388,E
389,E
390,E
391,E
392,E
393,E
394,E
395,E
396,E
397,E
398,E
399,E
400,E
401,E
402,E
403,E
404,E
405,E
406,E
407,E
408,E
409,E
410,E
411,E
412,E
413,E
414,E
415,E
416,E
417,E
418,E
419,E
420,E
421,E
422,E
423,E
424,E
425,E
426,E
427,E
428,E
429,E
430,E
431,E
432,E
433,E
434,E
435,E
436,E
437,E
438,E
439,E
440,E
441,E
442,E
443,E
444,E
445,E
446,E
447,E
448,E
449,E
450,E
451,E
452,E
453,E
454,E
455,E
456,E
457,E
458,E
459,E
460,E
461,E
462,E
463,E
464,E
465,E
466,E
467,E
468,E
469,E
470,E
471,E
472,E
473,E
474,E
475,E
476,E
477,E
478,E
479,E
480,E
481,E
482,E
483,E
484,E
485,E
486,E
487,E
488,E
489,E
490,E
491,E
492,E
493,E
494,E
495,E
496,E
497,E
498,E
499,E
500,E
501,E
502,E
503,E
504,E
505,E
506,E
507,E
508,E
509,E
510,E
511,E
512,E
513,E
514,E
515,E
516,E
517,E
518,E
519,E
520,E
521,E
522,E
523,E
524,E
525,E
526,E
527,E
528,E
529,E
530,E
531,E
532,E
533,E
534,E
535,E
536,E
537,E
538,E
539,E
540,E
541,E
542,E
543,E
544,E
545,E
546,E
547,E
548,E
549,E
550,E
551,E
552,E
553,E
554,E
555,E
556,E
557,E
558,E
559,E
560,E
561,E
562,E
563,E
564,E
565,E
566,E
567,E
568,E
569,E
570,E
571,E
572,E
573,E
574,E
575,E
576,E
577,E
578,E
579,E
580,E
581,E
582,E
583,E
584,E
585,E
586,E
587,E
588,E
589,E
590,E
591,E
592,E
593,E
594,E
595,E
596,E
597,E
598,E
599,E
600,E
601,E
602,E
603,E
604,E
605,E
606,E
607,E
608,E
609,E
610,E
611,E
612,E
613,E
614,E
615,E
616,E
617,E
618,E
619,E
620,E
621,E
622,E
623,E
624,E
625,E
626,E
627,E
628,E
629,E
630,E
631,E
632,E
633,E
634,E
635,E
636,E
637,E
638,E
639,E
640,E
641,E
642,E
643,E
644,E
645,E
646,E
647,E
648,E
649,E
650,E
651,E
652,E
653,E
654,E
655,E
656,E
657,E
658,E
659,E
660,E
661,E
662,E
663,E
664,E
665,E
666,E
667,E
668,E
669,E
670,E
671,E
672,F
673,F
674,F
675,F
676,F
677,F
678,F
679,F
680,F
681,F
682,F
683,F
684,F
685,F
686,F
687,F
688,F
689,F
690,F
691,F
692,F
693,F
694,F
695,F
696,F
697,F
698,F
699,F
700,F
701,F
702,F
703,F
704,F
705,F
706,F
707,F
708,F
709,F
710,F
711,F
712,F
713,F
714,F
715,F
716,F
717,F
718,F
719,F
720,E
721,E
722,E
723,E
724,E
725,E
726,E
727,E
728,E
729,E
730,E
731,E
732,E
733,E
734,E
735,E
736,E
737,E
738,E
739,E
740,E
741,E
742,E
743,E
744,E
745,E
746,E
747,E
748,E
749,E
750,E
751,E
752,E
753,E
754,E
755,E
756,E
757,E
758,E
759,E
760,E
761,E
762,E
763,E
764,E
765,E
766,E
767,E
768,E
769,E
770,E
771,E
772,E
773,E
774,E
775,E
776,E
777,E
778,E
779,E
780,E
781,E
782,E
783,E
784,E
785,E
786,E
787,E
788,E
789,E
790,E
791,E
792,E
793,E
794,E
795,E
796,E
797,E
798,E
799,E
800,E
801,E
802,E
803,E
804,E
805,E
806,E
807,E
808,E
809,E
810,E
811,E
812,E
813,E
814,E
815,E
816,G#7
817,G#7
818,G#7
819,G#7
820,G#7
821,G#7
822,G#7
823,G#7
824,G#7
825,G#7
826,G#7
827,G#7
828,G#7
829,G#7
830,G#7
831,G#7
832,G#7
833,G#7
834,G#7
835,G#7
836,G#7
837,G#7
838,G#7
839,G#7
840,G#7
841,G#7
842,G#7
843,G#7
844,G#7
845,G#7
846,G#7
847,G#7
848,G#7
849,G#7
850,G#7
851,G#7
852,G#7
853,G#7
854,G#7
855,G#7
856,G#7
857,G#7
858,G#7
859,G#7
860,G#7
861,G#7
862,G#7
863,G#7
864,G#7
865,G#7
866,G#7
867,G#7
868,G#7
869,G#7
870,G#7
871,G#7
872,G#7
873,G#7
874,G#7
875,G#7
876,G#7
877,G#7
878,G#7
879,G#7
880,G#7
881,G#7
882,G#7
883,G#7
884,G#7
885,G#7
886,G#7
887,G#7
888,G#7
889,G#7
890,G#7
891,G#7
892,G#7
893,G#7
894,G#7
895,G#7
896,G#7
897,G#7
898,G#7
899,G#7
900,G#7
901,G#7
902,G#7
903,G#7
904,G#7
905,G#7
906,G#7
907,G#7
908,G#7
909,G#7
910,G#7
911,G#7
912,C#7
913,C#7
914,C#7
915,C#7
916,C#7
917,C#7
918,C#7
919,C#7
920,C#7
921,C#7
922,C#7
923,C#7
924,C#7
925,C#7
926,C#7
927,C#7
928,C#7
929,C#7
930,C#7
931,C#7
932,C#7
933,C#7
934,C#7
935,C#7
936,C#7
937,C#7
938,C#7
939,C#7
940,C#7
941,C#7
942,C#7
943,C#7
944,C#7
945,C#7
946,C#7
947,C#7
948,C#7
949,C#7
950,C#7
951,C#7
952,C#7
953,C#7
954,C#7
955,C#7
956,C#7
957,C#7
958,C#7
959,C#7
960,C#7
961,C#7
962,C#7
963,C#7
964,C#7
965,C#7
966,C#7
967,C#7
968,C#7
969,C#7
970,C#7
971,C#7
972,C#7
973,C#7
974,C#7
975,C#7
976,C#7
977,C#7
978,C#7
979,C#7
980,C#7
981,C#7
982,C#7
983,C#7
984,C#7
985,C#7
986,C#7
987,C#7
988,C#7
989,C#7
990,C#7
991,C#7
992,C#7
993,C#7
994,C#7
995,C#7
996,C#7
997,C#7
998,C#7
999,C#7
1000,C#7
1001,C#7
1002,C#7
1003,C#7
1004,C#7
1005,C#7
1006,C#7
1007,C#7
1008,F#7
1009,F#7
1010,F#7
1011,F#7
1012,F#7
1013,F#7
1014,F#7
1015,F#7
1016,F#7
1017,F#7
1018,F#7
1019,F#7
1020,F#7
1021,F#7
1022,F#7
1023,F#7
1024,F#7
1025,F#7
1026,F#7
1027,F#7
1028,F#7
1029,F#7
1030,F#7
1031,F#7
1032,F#7
1033,F#7
1034,F#7
1035,F#7
1036,F#7
1037,F#7
1038,F#7
1039,F#7
1040,F#7
1041,F#7
1042,F#7
1043,F#7
1044,F#7
1045,F#7
1046,F#7
1047,F#7
1048,F#7
1049,F#7
1050,F#7
1051,F#7
1052,F#7
1053,F#7
1054,F#7
1055,F#7
1056,F#7
1057,F#7
1058,F#7
1059,F#7
1060,F#7
1061,F#7
1062,F#7
1063,F#7
1064,F#7
1065,F#7
1066,F#7
1067,F#7
1068,F#7
1069,F#7
