,0
0,F
1,F
2,F
3,F
4,F
5,F
6,F
7,F
8,F
9,F
10,F
11,F
12,F
13,F
14,F
15,F
16,F
17,F
18,F
19,F
20,F
21,F
22,F
23,F
24,F
25,F
26,F
27,F
28,F
29,F
30,F
31,F
32,F
33,F
34,F
35,F
36,F
37,F
38,F
39,F
40,F
41,F
42,F
43,F
44,F
45,F
46,F
47,F
48,F
49,F
50,F
51,F
52,F
53,F
54,F
55,F
56,F
57,F
58,F
59,F
60,F
61,F
62,F
63,F
64,F
65,F
66,F
67,F
68,F
69,F
70,F
71,F
72,F
73,F
74,F
75,F
76,F
77,F
78,F
79,F
80,F
81,F
82,F
83,F
84,F
85,F
86,F
87,F
88,F
89,F
90,F
91,F
92,F
93,F
94,F
95,F
96,F
97,F
98,F
99,F
100,F
101,F
102,F
103,F
104,F
105,F
106,F
107,F
108,F
109,F
110,F
111,F
112,F
113,F
114,F
115,F
116,F
117,F
118,F
119,F
120,F
121,F
122,F
123,F
124,F
125,F
126,F
127,F
128,F
129,F
130,F
131,F
132,F
133,F
134,F
135,F
136,F
137,F
138,F
139,F
140,F
141,F
142,F
143,F
144,F
145,F
146,F
147,F
148,F
149,F
150,F
151,F
152,F
153,F
154,F
155,F
156,F
157,F
158,F
159,F
160,F
161,F
162,F
163,F
164,F
165,F
166,F
167,F
168,F
169,F
170,F
171,F
172,F
173,F
174,F
175,F
176,F
177,F
178,F
179,F
180,F
181,F
182,F
183,F
184,F
185,F
186,F
187,F
188,F
189,F
190,F
191,F
192,F
193,F
194,F
195,F
196,F
197,F
198,F
199,F
200,F
201,F
202,F
203,F
204,F
205,F
206,F
207,F
208,F
209,F
210,F
211,F
212,F
213,F
214,F
215,F
216,F
217,F
218,F
219,F
220,F
221,F
222,F
223,F
224,F
225,F
226,F
227,F
228,F
229,F
230,F
231,F
232,F
233,F
234,F
235,F
236,F
237,F
238,F
239,F
240,F
241,F
242,F
243,F
244,F
245,F
246,F
247,F
248,F
249,F
250,F
251,F
252,F
253,F
254,F
255,F
256,F
257,F
258,F
259,F
260,F
261,F
262,F
263,F
264,F
265,F
266,F
267,F
268,F
269,F
270,F
271,F
272,F
273,F
274,F
275,F
276,F
277,F
278,F
279,F
280,F
281,F
282,F
283,F
284,F
285,F
286,F
287,F
288,F#
289,F#
290,F#
291,F#
292,F#
293,F#
294,F#
295,F#
296,F#
297,F#
298,F#
299,F#
300,F#
301,F#
302,F#
303,F#
304,F#
305,F#
306,F#
307,F#
308,F#
309,F#
310,F#
311,F#
312,F#
313,F#
314,F#
315,F#
316,F#
317,F#
318,F#
319,F#
320,F#
321,F#
322,F#
323,F#
324,F#
325,F#
326,F#
327,F#
328,F#
329,F#
330,F#
331,F#
332,F#
333,F#
334,F#
335,F#
336,F
337,F
338,F
339,F
340,F
341,F
342,F
343,F
344,F
345,F
346,F
347,F
348,F
349,F
350,F
351,F
352,F
353,F
354,F
355,F
356,F
357,F
358,F
359,F
360,F
361,F
362,F
363,F
364,F
365,F
366,F
367,F
368,F
369,F
370,F
371,F
372,F
373,F
374,F
375,F
376,F
377,F
378,F
379,F
380,F
381,F
382,F
383,F
384,F
385,F
386,F
387,F
388,F
389,F
390,F
391,F
392,F
393,F
394,F
395,F
396,F
397,F
398,F
399,F
400,F
401,F
402,F
403,F
404,F
405,F
406,F
407,F
408,F
409,F
410,F
411,F
412,F
413,F
414,F
415,F
416,F
417,F
418,F
419,F
420,F
421,F
422,F
423,F
424,F
425,F
426,F
427,F
428,F
429,F
430,F
431,F
432,F
433,F
434,F
435,F
436,F
437,F
438,F
439,F
440,F
441,F
442,F
443,F
444,F
445,F
446,F
447,F
448,F
449,F
450,F
451,F
452,F
453,F
454,F
455,F
456,F
457,F
458,F
459,F
460,F
461,F
462,F
463,F
464,F
465,F
466,F
467,F
468,F
469,F
470,F
471,F
472,F
473,F
474,F
475,F
476,F
477,F
478,F
479,F
480,F
481,F
482,F
483,F
484,F
485,F
486,F
487,F
488,F
489,F
490,F
491,F
492,F
493,F
494,F
495,F
496,F
497,F
498,F
499,F
500,F
501,F
502,F
503,F
504,F
505,F
506,F
507,F
508,F
509,F
510,F
511,F
512,F
513,F
514,F
515,F
516,F
517,F
518,F
519,F
520,F
521,F
522,F
523,F
524,F
525,F
526,F
527,F
528,F
529,F
530,F
531,F
532,F
533,F
534,F
535,F
536,F
537,F
538,F
539,F
540,F
541,F
542,F
543,F
544,F
545,F
546,F
547,F
548,F
549,F
550,F
551,F
552,F
553,F
554,F
555,F
556,F
557,F
558,F
559,F
560,F
561,F
562,F
563,F
564,F
565,F
566,F
567,F
568,F
569,F
570,F
571,F
572,F
573,F
574,F
575,F
576,F
577,F
578,F
579,F
580,F
581,F
582,F
583,F
584,F
585,F
586,F
587,F
588,F
589,F
590,F
591,F
592,F
593,F
594,F
595,F
596,F
597,F
598,F
599,F
600,F
601,F
602,F
603,F
604,F
605,F
606,F
607,F
608,F
609,F
610,F
611,F
612,F
613,F
614,F
615,F
616,F
617,F
618,F
619,F
620,F
621,F
622,F
623,F
624,F
625,F
626,F
627,F
628,F
629,F
630,F
631,F
632,F
633,F
634,F
635,F
636,F
637,F
638,F
639,F
640,F
641,F
642,F
643,F
644,F
645,F
646,F
647,F
648,F
649,F
650,F
651,F
652,F
653,F
654,F
655,F
656,F
657,F
658,F
659,F
660,F
661,F
662,F
663,F
664,F
665,F
666,F
667,F
668,F
669,F
670,F
671,F
672,F#
673,F#
674,F#
675,F#
676,F#
677,F#
678,F#
679,F#
680,F#
681,F#
682,F#
683,F#
684,F#
685,F#
686,F#
687,F#
688,F#
689,F#
690,F#
691,F#
692,F#
693,F#
694,F#
695,F#
696,F#
697,F#
698,F#
699,F#
700,F#
701,F#
702,F#
703,F#
704,F#
705,F#
706,F#
707,F#
708,F#
709,F#
710,F#
711,F#
712,F#
713,F#
714,F#
715,F#
716,F#
717,F#
718,F#
719,F#
720,F
721,F
722,F
723,F
724,F
725,F
726,F
727,F
728,F
729,F
730,F
731,F
732,F
733,F
734,F
735,F
736,F
737,F
738,F
739,F
740,F
741,F
742,F
743,F
744,F
745,F
746,F
747,F
748,F
749,F
750,F
751,F
752,F
753,F
754,F
755,F
756,F
757,F
758,F
759,F
760,F
761,F
762,F
763,F
764,F
765,F
766,F
767,F
768,F
769,F
770,F
771,F
772,F
773,F
774,F
775,F
776,F
777,F
778,F
779,F
780,F
781,F
782,F
783,F
784,F
785,F
786,F
787,F
788,F
789,F
790,F
791,F
792,F
793,F
794,F
795,F
796,F
797,F
798,F
799,F
800,F
801,F
802,F
803,F
804,F
805,F
806,F
807,F
808,F
809,F
810,F
811,F
812,F
813,F
814,F
815,F
816,A7
817,A7
818,A7
819,A7
820,A7
821,A7
822,A7
823,A7
824,A7
825,A7
826,A7
827,A7
828,A7
829,A7
830,A7
831,A7
832,A7
833,A7
834,A7
835,A7
836,A7
837,A7
838,A7
839,A7
840,A7
841,A7
842,A7
843,A7
844,A7
845,A7
846,A7
847,A7
848,A7
849,A7
850,A7
851,A7
852,A7
853,A7
854,A7
855,A7
856,A7
857,A7
858,A7
859,A7
860,A7
861,A7
862,A7
863,A7
864,A7
865,A7
866,A7
867,A7
868,A7
869,A7
870,A7
871,A7
872,A7
873,A7
874,A7
875,A7
876,A7
877,A7
878,A7
879,A7
880,A7
881,A7
882,A7
883,A7
884,A7
885,A7
886,A7
887,A7
888,A7
889,A7
890,A7
891,A7
892,A7
893,A7
894,A7
895,A7
896,A7
897,A7
898,A7
899,A7
900,A7
901,A7
902,A7
903,A7
904,A7
905,A7
906,A7
907,A7
908,A7
909,A7
910,A7
911,A7
912,D7
913,D7
914,D7
915,D7
916,D7
917,D7
918,D7
919,D7
920,D7
921,D7
922,D7
923,D7
924,D7
925,D7
926,D7
927,D7
928,D7
929,D7
930,D7
931,D7
932,D7
933,D7
934,D7
935,D7
936,D7
937,D7
938,D7
939,D7
940,D7
941,D7
942,D7
943,D7
944,D7
945,D7
946,D7
947,D7
948,D7
949,D7
950,D7
951,D7
952,D7
953,D7
954,D7
955,D7
956,D7
957,D7
958,D7
959,D7
960,D7
961,D7
962,D7
963,D7
964,D7
965,D7
966,D7
967,D7
968,D7
969,D7
970,D7
971,D7
972,D7
973,D7
974,D7
975,D7
976,D7
977,D7
978,D7
979,D7
980,D7
981,D7
982,D7
983,D7
984,D7
985,D7
986,D7
987,D7
988,D7
989,D7
990,D7
991,D7
992,D7
993,D7
994,D7
995,D7
996,D7
997,D7
998,D7
999,D7
1000,D7
1001,D7
1002,D7
1003,D7
1004,D7
1005,D7
1006,D7
1007,D7
1008,G7
1009,G7
1010,G7
1011,G7
1012,G7
1013,G7
1014,G7
1015,G7
1016,G7
1017,G7
1018,G7
1019,G7
1020,G7
1021,G7
1022,G7
1023,G7
1024,G7
1025,G7
1026,G7
1027,G7
1028,G7
1029,G7
1030,G7
1031,G7
1032,G7
1033,G7
1034,G7
1035,G7
1036,G7
1037,G7
1038,G7
1039,G7
1040,G7
1041,G7
1042,G7
1043,G7
1044,G7
1045,G7
1046,G7
1047,G7
1048,G7
1049,G7
1050,G7
1051,G7
1052,G7
1053,G7
1054,G7
1055,G7
1056,G7
1057,G7
1058,G7
1059,G7
1060,G7
1061,G7
1062,G7
1063,G7
1064,G7
1065,G7
1066,G7
1067,G7
1068,G7
1069,G7
1070,G7
1071,G7
1072,G7
1073,G7
1074,G7
1075,G7
1076,G7
1077,G7
1078,G7
1079,G7
1080,G7
1081,G7
1082,G7
1083,G7
1084,G7
1085,G7
1086,G7
1087,G7
1088,G7
1089,G7
1090,G7
1091,G7
1092,G7
1093,G7
1094,G7
1095,G7
1096,G7
1097,G7
1098,G7
1099,G7
1100,G7
1101,G7
1102,G7
1103,G7
1104,C7
1105,C7
1106,C7
1107,C7
1108,C7
1109,C7
1110,C7
1111,C7
1112,C7
1113,C7
1114,C7
1115,C7
1116,C7
1117,C7
1118,C7
1119,C7
1120,C7
1121,C7
1122,C7
1123,C7
1124,C7
1125,C7
1126,C7
1127,C7
1128,C7
1129,C7
1130,C7
1131,C7
1132,C7
1133,C7
1134,C7
1135,C7
1136,C7
1137,C7
