,0
0,E-7
1,E-7
2,E-7
3,E-7
4,E-7
5,E-7
6,E-7
7,E-7
8,E-7
9,E-7
10,E-7
11,E-7
12,E-7
13,E-7
14,E-7
15,E-7
16,E-7
17,E-7
18,E-7
19,E-7
20,E-7
21,E-7
22,E-7
23,E-7
24,E-7
25,E-7
26,E-7
27,E-7
28,E-7
29,E-7
30,E-7
31,E-7
32,E-7
33,E-7
34,E-7
35,E-7
36,E-7
37,E-7
38,E-7
39,E-7
40,E-7
41,E-7
42,E-7
43,E-7
44,E-7
45,E-7
46,E-7
47,E-7
48,G#
49,G#
50,G#
51,G#
52,G#
53,G#
54,G#
55,G#
56,G#
57,G#
58,G#
59,G#
60,G#
61,G#
62,G#
63,G#
64,G#
65,G#
66,G#
67,G#
68,G#
69,G#
70,G#
71,G#
72,G#
73,G#
74,G#
75,G#
76,G#
77,G#
78,G#
79,G#
80,G#
81,G#
82,G#
83,G#
84,G#
85,G#
86,G#
87,G#
88,G#
89,G#
90,G#
91,G#
92,G#
93,G#
94,G#
95,G#
96,G#
97,G#
98,G#
99,G#
100,G#
101,G#
102,G#
103,G#
104,G#
105,G#
106,G#
107,G#
108,G#
109,G#
110,G#
111,G#
112,G#
113,G#
114,G#
115,G#
116,G#
117,G#
118,G#
119,G#
120,G#
121,G#
122,G#
123,G#
124,G#
125,G#
126,G#
127,G#
128,G#
129,G#
130,G#
131,G#
132,G#
133,G#
134,G#
135,G#
136,G#
137,G#
138,G#
139,G#
140,G#
141,G#
142,G#
143,G#
144,G#
145,G#
146,G#
147,G#
148,G#
149,G#
150,G#
151,G#
152,G#
153,G#
154,G#
155,G#
156,G#
157,G#
158,G#
159,G#
160,G#
161,G#
162,G#
163,G#
164,G#
165,G#
166,G#
167,G#
168,G#
169,G#
170,G#
171,G#
172,G#
173,G#
174,G#
175,G#
176,G#
177,G#
178,G#
179,G#
180,G#
181,G#
182,G#
183,G#
184,G#
185,G#
186,G#
187,G#
188,G#
189,G#
190,G#
191,G#
192,Cm
193,Cm
194,Cm
195,Cm
196,Cm
197,Cm
198,Cm
199,Cm
200,Cm
201,Cm
202,Cm
203,Cm
204,Cm
205,Cm
206,Cm
207,Cm
208,Cm
209,Cm
210,Cm
211,Cm
212,Cm
213,Cm
214,Cm
215,Cm
216,F7
217,F7
218,F7
219,F7
220,F7
221,F7
222,F7
223,F7
224,F7
225,F7
226,F7
227,F7
228,F7
229,F7
230,F7
231,F7
232,F7
233,F7
234,F7
235,F7
236,F7
237,F7
238,F7
239,F7
240,B-m
241,B-m
242,B-m
243,B-m
244,B-m
245,B-m
246,B-m
247,B-m
248,B-m
249,B-m
250,B-m
251,B-m
252,B-m
253,B-m
254,B-m
255,B-m
256,B-m
257,B-m
258,B-m
259,B-m
260,B-m
261,B-m
262,B-m
263,B-m
264,B-m
265,B-m
266,B-m
267,B-m
268,B-m
269,B-m
270,B-m
271,B-m
272,B-m
273,B-m
274,B-m
275,B-m
276,B-m
277,B-m
278,B-m
279,B-m
280,B-m
281,B-m
282,B-m
283,B-m
284,B-m
285,B-m
286,B-m
287,B-m
288,E-7
289,E-7
290,E-7
291,E-7
292,E-7
293,E-7
294,E-7
295,E-7
296,E-7
297,E-7
298,E-7
299,E-7
300,E-7
301,E-7
302,E-7
303,E-7
304,E-7
305,E-7
306,E-7
307,E-7
308,E-7
309,E-7
310,E-7
311,E-7
312,E-7
313,E-7
314,E-7
315,E-7
316,E-7
317,E-7
318,E-7
319,E-7
320,E-7
321,E-7
322,E-7
323,E-7
324,E-7
325,E-7
326,E-7
327,E-7
328,E-7
329,E-7
330,E-7
331,E-7
332,E-7
333,E-7
334,E-7
335,E-7
336,G#
337,G#
338,G#
339,G#
340,G#
341,G#
342,G#
343,G#
344,G#
345,G#
346,G#
347,G#
348,G#
349,G#
350,G#
351,G#
352,G#
353,G#
354,G#
355,G#
356,G#
357,G#
358,G#
359,G#
360,G#
361,G#
362,G#
363,G#
364,G#
365,G#
366,G#
367,G#
368,G#
369,G#
370,G#
371,G#
372,G#
373,G#
374,G#
375,G#
376,G#
377,G#
378,G#
379,G#
380,G#
381,G#
382,G#
383,G#
384,B-m
385,B-m
386,B-m
387,B-m
388,B-m
389,B-m
390,B-m
391,B-m
392,B-m
393,B-m
394,B-m
395,B-m
396,B-m
397,B-m
398,B-m
399,B-m
400,B-m
401,B-m
402,B-m
403,B-m
404,B-m
405,B-m
406,B-m
407,B-m
408,E-7
409,E-7
410,E-7
411,E-7
412,E-7
413,E-7
414,E-7
415,E-7
416,E-7
417,E-7
418,E-7
419,E-7
420,E-7
421,E-7
422,E-7
423,E-7
424,E-7
425,E-7
426,E-7
427,E-7
428,E-7
429,E-7
430,E-7
431,E-7
432,G#
433,G#
434,G#
435,G#
436,G#
437,G#
438,G#
439,G#
440,G#
441,G#
442,G#
443,G#
444,G#
445,G#
446,G#
447,G#
448,G#
449,G#
450,G#
451,G#
452,G#
453,G#
454,G#
455,G#
456,G#
457,G#
458,G#
459,G#
460,G#
461,G#
462,G#
463,G#
464,G#
465,G#
466,G#
467,G#
468,G#
469,G#
470,G#
471,G#
472,G#
473,G#
474,G#
475,G#
476,G#
477,G#
478,G#
479,G#
480,G#
481,G#
482,G#
483,G#
484,G#
485,G#
486,G#
487,G#
488,G#
489,G#
490,G#
491,G#
492,G#
493,G#
494,G#
495,G#
496,G#
497,G#
498,G#
499,G#
500,G#
501,G#
502,G#
503,G#
504,G#
505,G#
506,G#
507,G#
508,G#
509,G#
510,G#
511,G#
512,G#
513,G#
514,G#
515,G#
516,G#
517,G#
518,G#
519,G#
520,G#
521,G#
522,G#
523,G#
524,G#
525,G#
526,G#
527,G#
528,G#
529,G#
530,G#
531,G#
532,G#
533,G#
534,G#
535,G#
536,G#
537,G#
538,G#
539,G#
540,G#
541,G#
542,G#
543,G#
544,G#
545,G#
546,G#
547,G#
548,G#
549,G#
550,G#
551,G#
552,G#
553,G#
554,G#
555,G#
556,G#
557,G#
558,G#
559,G#
560,G#
561,G#
562,G#
563,G#
564,G#
565,G#
566,G#
567,G#
568,G#
569,G#
570,G#
571,G#
572,G#
573,G#
574,G#
575,G#
576,Cm
577,Cm
578,Cm
579,Cm
580,Cm
581,Cm
582,Cm
583,Cm
584,Cm
585,Cm
586,Cm
587,Cm
588,Cm
589,Cm
590,Cm
