,0
0,G7
1,G7
2,G7
3,G7
4,G7
5,G7
6,G7
7,G7
8,G7
9,G7
10,G7
11,G7
12,G7
13,G7
14,G7
15,G7
16,G7
17,G7
18,G7
19,G7
20,G7
21,G7
22,G7
23,G7
24,G7
25,G7
26,G7
27,G7
28,G7
29,G7
30,G7
31,G7
32,G7
33,G7
34,G7
35,G7
36,G7
37,G7
38,G7
39,G7
40,G7
41,G7
42,G7
43,G7
44,G7
45,G7
46,G7
47,G7
48,C
49,C
50,C
51,C
52,C
53,C
54,C
55,C
56,C
57,C
58,C
59,C
60,C
61,C
62,C
63,C
64,C
65,C
66,C
67,C
68,C
69,C
70,C
71,C
72,C
73,C
74,C
75,C
76,C
77,C
78,C
79,C
80,C
81,C
82,C
83,C
84,C
85,C
86,C
87,C
88,C
89,C
90,C
91,C
92,C
93,C
94,C
95,C
96,C
97,C
98,C
99,C
100,C
101,C
102,C
103,C
104,C
105,C
106,C
107,C
108,C
109,C
110,C
111,C
112,C
113,C
114,C
115,C
116,C
117,C
118,C
119,C
120,C
121,C
122,C
123,C
124,C
125,C
126,C
127,C
128,C
129,C
130,C
131,C
132,C
133,C
134,C
135,C
136,C
137,C
138,C
139,C
140,C
141,C
142,C
143,C
144,C
145,C
146,C
147,C
148,C
149,C
150,C
151,C
152,C
153,C
154,C
155,C
156,C
157,C
158,C
159,C
160,C
161,C
162,C
163,C
164,C
165,C
166,C
167,C
168,C
169,C
170,C
171,C
172,C
173,C
174,C
175,C
176,C
177,C
178,C
179,C
180,C
181,C
182,C
183,C
184,C
185,C
186,C
187,C
188,C
189,C
190,C
191,C
192,Em
193,Em
194,Em
195,Em
196,Em
197,Em
198,Em
199,Em
200,Em
201,Em
202,Em
203,Em
204,Em
205,Em
206,Em
207,Em
208,Em
209,Em
210,Em
211,Em
212,Em
213,Em
214,Em
215,Em
216,A7
217,A7
218,A7
219,A7
220,A7
221,A7
222,A7
223,A7
224,A7
225,A7
226,A7
227,A7
228,A7
229,A7
230,A7
231,A7
232,A7
233,A7
234,A7
235,A7
236,A7
237,A7
238,A7
239,A7
240,Dm
241,Dm
242,Dm
243,Dm
244,Dm
245,Dm
246,Dm
247,Dm
248,Dm
249,Dm
250,Dm
251,Dm
252,Dm
253,Dm
254,Dm
255,Dm
256,Dm
257,Dm
258,Dm
259,Dm
260,Dm
261,Dm
262,Dm
263,Dm
264,Dm
265,Dm
266,Dm
267,Dm
268,Dm
269,Dm
270,Dm
271,Dm
272,Dm
273,Dm
274,Dm
275,Dm
276,Dm
277,Dm
278,Dm
279,Dm
280,Dm
281,Dm
282,Dm
283,Dm
284,Dm
285,Dm
286,Dm
287,Dm
288,G7
289,G7
290,G7
291,G7
292,G7
293,G7
294,G7
295,G7
296,G7
297,G7
298,G7
299,G7
300,G7
301,G7
302,G7
303,G7
304,G7
305,G7
306,G7
307,G7
308,G7
309,G7
310,G7
311,G7
312,G7
313,G7
314,G7
315,G7
316,G7
317,G7
318,G7
319,G7
320,G7
321,G7
322,G7
323,G7
324,G7
325,G7
326,G7
327,G7
328,G7
329,G7
330,G7
331,G7
332,G7
333,G7
334,G7
335,G7
336,C
337,C
338,C
339,C
340,C
341,C
342,C
343,C
344,C
345,C
346,C
347,C
348,C
349,C
350,C
351,C
352,C
353,C
354,C
355,C
356,C
357,C
358,C
359,C
360,C
361,C
362,C
363,C
364,C
365,C
366,C
367,C
368,C
369,C
370,C
371,C
372,C
373,C
374,C
375,C
376,C
377,C
378,C
379,C
380,C
381,C
382,C
383,C
384,Dm
385,Dm
386,Dm
387,Dm
388,Dm
389,Dm
390,Dm
391,Dm
392,Dm
393,Dm
394,Dm
395,Dm
396,Dm
397,Dm
398,Dm
399,Dm
400,Dm
401,Dm
402,Dm
403,Dm
404,Dm
405,Dm
406,Dm
407,Dm
408,G7
409,G7
410,G7
411,G7
412,G7
413,G7
414,G7
415,G7
416,G7
417,G7
418,G7
419,G7
420,G7
421,G7
422,G7
423,G7
424,G7
425,G7
426,G7
427,G7
428,G7
429,G7
430,G7
431,G7
432,C
433,C
434,C
435,C
436,C
437,C
438,C
439,C
440,C
441,C
442,C
443,C
444,C
445,C
446,C
447,C
448,C
449,C
450,C
451,C
452,C
453,C
454,C
455,C
456,C
457,C
458,C
459,C
460,C
461,C
462,C
463,C
464,C
465,C
466,C
467,C
468,C
469,C
470,C
471,C
472,C
473,C
474,C
475,C
476,C
477,C
478,C
479,C
480,C
481,C
482,C
483,C
484,C
485,C
486,C
487,C
488,C
489,C
490,C
491,C
492,C
493,C
494,C
495,C
496,C
497,C
498,C
499,C
500,C
501,C
502,C
503,C
504,C
505,C
506,C
507,C
508,C
509,C
510,C
511,C
512,C
513,C
514,C
515,C
516,C
517,C
518,C
519,C
520,C
521,C
522,C
523,C
524,C
525,C
526,C
527,C
528,C
529,C
530,C
531,C
532,C
533,C
534,C
535,C
536,C
537,C
538,C
539,C
540,C
541,C
542,C
543,C
544,C
545,C
546,C
547,C
548,C
549,C
550,C
551,C
552,C
553,C
554,C
555,C
556,C
557,C
558,C
559,C
560,C
561,C
562,C
563,C
564,C
565,C
