,0
0,Am
1,Am
2,Am
3,Am
4,Am
5,Am
6,Am
7,Am
8,Am
9,Am
10,Am
11,Am
12,Am
13,Am
14,Am
15,Am
16,Am
17,Am
18,Am
19,Am
20,Am
21,Am
22,Am
23,Am
24,Am
25,Am
26,Am
27,Am
28,Am
29,Am
30,Am
31,Am
32,Am
33,Am
34,Am
35,Am
36,Am
37,Am
38,Am
39,Am
40,Am
41,Am
42,Am
43,Am
44,Am
45,Am
46,Am
47,Am
48,D7
49,D7
50,D7
51,D7
52,D7
53,D7
54,D7
55,D7
56,D7
57,D7
58,D7
59,D7
60,D7
61,D7
62,D7
63,D7
64,D7
65,D7
66,D7
67,D7
68,D7
69,D7
70,D7
71,D7
72,D7
73,D7
74,D7
75,D7
76,D7
77,D7
78,D7
79,D7
80,D7
81,D7
82,D7
83,D7
84,D7
85,D7
86,D7
87,D7
88,D7
89,D7
90,D7
91,D7
92,D7
93,D7
94,D7
95,D7
96,Am
97,Am
98,Am
99,Am
100,Am
101,Am
102,Am
103,Am
104,Am
105,Am
106,Am
107,Am
108,Am
109,Am
110,Am
111,Am
112,Am
113,Am
114,Am
115,Am
116,Am
117,Am
118,Am
119,Am
120,Am
121,Am
122,Am
123,Am
124,Am
125,Am
126,Am
127,Am
128,Am
129,Am
130,Am
131,Am
132,Am
133,Am
134,Am
135,Am
136,Am
137,Am
138,Am
139,Am
140,Am
141,Am
142,Am
143,Am
144,D7
145,D7
146,D7
147,D7
148,D7
149,D7
150,D7
151,D7
152,D7
153,D7
154,D7
155,D7
156,D7
157,D7
158,D7
159,D7
160,D7
161,D7
162,D7
163,D7
164,D7
165,D7
166,D7
167,D7
168,D7
169,D7
170,D7
171,D7
172,D7
173,D7
174,D7
175,D7
176,D7
177,D7
178,D7
179,D7
180,D7
181,D7
182,D7
183,D7
184,D7
185,D7
186,D7
187,D7
188,D7
189,D7
190,D7
191,D7
192,G
193,G
194,G
195,G
196,G
197,G
198,G
199,G
200,G
201,G
202,G
203,G
204,G
205,G
206,G
207,G
208,G
209,G
210,G
211,G
212,G
213,G
214,G
215,G
216,G
217,G
218,G
219,G
220,G
221,G
222,G
223,G
224,G
225,G
226,G
227,G
228,G
229,G
230,G
231,G
232,G
233,G
234,G
235,G
236,G
237,G
238,G
239,G
240,C7
241,C7
242,C7
243,C7
244,C7
245,C7
246,C7
247,C7
248,C7
249,C7
250,C7
251,C7
252,C7
253,C7
254,C7
255,C7
256,C7
257,C7
258,C7
259,C7
260,C7
261,C7
262,C7
263,C7
264,C#dim
265,C#dim
266,C#dim
267,C#dim
268,C#dim
269,C#dim
270,C#dim
271,C#dim
272,C#dim
273,C#dim
274,C#dim
275,C#dim
276,C#dim
277,C#dim
278,C#dim
279,C#dim
280,C#dim
281,C#dim
282,C#dim
283,C#dim
284,C#dim
285,C#dim
286,C#dim
287,C#dim
288,G
289,G
290,G
291,G
292,G
293,G
294,G
295,G
296,G
297,G
298,G
299,G
300,G
301,G
302,G
303,G
304,G
305,G
306,G
307,G
308,G
309,G
310,G
311,G
312,G
313,G
314,G
315,G
316,G
317,G
318,G
319,G
320,G
321,G
322,G
323,G
324,G
325,G
326,G
327,G
328,G
329,G
330,G
331,G
332,G
333,G
334,G
335,G
336,G
337,G
338,G
339,G
340,G
341,G
342,G
343,G
344,G
345,G
346,G
347,G
348,G
349,G
350,G
351,G
352,G
353,G
354,G
355,G
356,G
357,G
358,G
359,G
360,G
361,G
362,G
363,G
364,G
365,G
366,G
367,G
368,G
369,G
370,G
371,G
372,G
373,G
374,G
375,G
376,G
377,G
378,G
379,G
380,G
381,G
382,G
383,G
384,Am
385,Am
386,Am
387,Am
388,Am
389,Am
390,Am
391,Am
392,Am
393,Am
394,Am
