,0
0,B-m
1,B-m
2,B-m
3,B-m
4,B-m
5,B-m
6,B-m
7,B-m
8,B-m
9,B-m
10,B-m
11,B-m
12,B-m
13,B-m
14,B-m
15,B-m
16,B-m
17,B-m
18,B-m
19,B-m
20,B-m
21,B-m
22,B-m
23,B-m
24,B-m
25,B-m
26,B-m
27,B-m
28,B-m
29,B-m
30,B-m
31,B-m
32,B-m
33,B-m
34,B-m
35,B-m
36,B-m
37,B-m
38,B-m
39,B-m
40,B-m
41,B-m
42,B-m
43,B-m
44,B-m
45,B-m
46,B-m
47,B-m
48,E-7
49,E-7
50,E-7
51,E-7
52,E-7
53,E-7
54,E-7
55,E-7
56,E-7
57,E-7
58,E-7
59,E-7
60,E-7
61,E-7
62,E-7
63,E-7
64,E-7
65,E-7
66,E-7
67,E-7
68,E-7
69,E-7
70,E-7
71,E-7
72,E-7
73,E-7
74,E-7
75,E-7
76,E-7
77,E-7
78,E-7
79,E-7
80,E-7
81,E-7
82,E-7
83,E-7
84,E-7
85,E-7
86,E-7
87,E-7
88,E-7
89,E-7
90,E-7
91,E-7
92,E-7
93,E-7
94,E-7
95,E-7
96,B-m
97,B-m
98,B-m
99,B-m
100,B-m
101,B-m
102,B-m
103,B-m
104,B-m
105,B-m
106,B-m
107,B-m
108,B-m
109,B-m
110,B-m
111,B-m
112,B-m
113,B-m
114,B-m
115,B-m
116,B-m
117,B-m
118,B-m
119,B-m
120,B-m
121,B-m
122,B-m
123,B-m
124,B-m
125,B-m
126,B-m
127,B-m
128,B-m
129,B-m
130,B-m
131,B-m
132,B-m
133,B-m
134,B-m
135,B-m
136,B-m
137,B-m
138,B-m
139,B-m
140,B-m
141,B-m
142,B-m
143,B-m
144,E-7
145,E-7
146,E-7
147,E-7
148,E-7
149,E-7
150,E-7
151,E-7
152,E-7
153,E-7
154,E-7
155,E-7
156,E-7
157,E-7
158,E-7
159,E-7
160,E-7
161,E-7
162,E-7
163,E-7
164,E-7
165,E-7
166,E-7
167,E-7
168,E-7
169,E-7
170,E-7
171,E-7
172,E-7
173,E-7
174,E-7
175,E-7
176,E-7
177,E-7
178,E-7
179,E-7
180,E-7
181,E-7
182,E-7
183,E-7
184,E-7
185,E-7
186,E-7
187,E-7
188,E-7
189,E-7
190,E-7
191,E-7
192,G#
193,G#
194,G#
195,G#
196,G#
197,G#
198,G#
199,G#
200,G#
201,G#
202,G#
203,G#
204,G#
205,G#
