,0
0,E-m
1,E-m
2,E-m
3,E-m
4,E-m
5,E-m
6,E-m
7,E-m
8,E-m
9,E-m
10,E-m
11,E-m
12,E-m
13,E-m
14,E-m
15,E-m
16,E-m
17,E-m
18,E-m
19,E-m
20,E-m
21,E-m
22,E-m
23,E-m
24,E-m
25,E-m
26,E-m
27,E-m
28,E-m
29,E-m
30,E-m
31,E-m
32,E-m
33,E-m
34,E-m
35,E-m
36,E-m
37,E-m
38,E-m
39,E-m
40,E-m
41,E-m
42,E-m
43,E-m
44,E-m
45,E-m
46,E-m
47,E-m
48,G#7
49,G#7
50,G#7
51,G#7
52,G#7
53,G#7
54,G#7
55,G#7
56,G#7
57,G#7
58,G#7
59,G#7
60,G#7
61,G#7
62,G#7
63,G#7
64,G#7
65,G#7
66,G#7
67,G#7
68,G#7
69,G#7
70,G#7
71,G#7
72,G#7
73,G#7
74,G#7
75,G#7
76,G#7
77,G#7
78,G#7
79,G#7
80,G#7
81,G#7
82,G#7
83,G#7
84,G#7
85,G#7
86,G#7
87,G#7
88,G#7
89,G#7
90,G#7
91,G#7
92,G#7
93,G#7
94,G#7
95,G#7
96,E-m
97,E-m
98,E-m
99,E-m
100,E-m
101,E-m
102,E-m
103,E-m
104,E-m
105,E-m
106,E-m
107,E-m
108,E-m
109,E-m
110,E-m
111,E-m
112,E-m
113,E-m
114,E-m
115,E-m
116,E-m
117,E-m
118,E-m
119,E-m
120,E-m
121,E-m
122,E-m
123,E-m
124,E-m
125,E-m
126,E-m
127,E-m
128,E-m
129,E-m
130,E-m
131,E-m
132,E-m
133,E-m
134,E-m
135,E-m
136,E-m
137,E-m
138,E-m
139,E-m
140,E-m
141,E-m
142,E-m
143,E-m
144,G#7
145,G#7
146,G#7
147,G#7
148,G#7
149,G#7
150,G#7
151,G#7
152,G#7
153,G#7
154,G#7
155,G#7
156,G#7
157,G#7
158,G#7
159,G#7
160,G#7
161,G#7
162,G#7
163,G#7
164,G#7
165,G#7
166,G#7
167,G#7
168,G#7
169,G#7
170,G#7
171,G#7
172,G#7
173,G#7
174,G#7
175,G#7
176,G#7
177,G#7
178,G#7
179,G#7
180,G#7
181,G#7
182,G#7
183,G#7
184,G#7
185,G#7
186,G#7
187,G#7
188,G#7
189,G#7
190,G#7
191,G#7
192,C#
193,C#
194,C#
195,C#
196,C#
197,C#
198,C#
199,C#
200,C#
201,C#
202,C#
203,C#
204,C#
205,C#
206,C#
207,C#
208,C#
209,C#
210,C#
211,C#
212,C#
213,C#
214,C#
215,C#
216,C#
217,C#
218,C#
219,C#
220,C#
221,C#
222,C#
223,C#
224,C#
225,C#
226,C#
227,C#
228,C#
229,C#
230,C#
231,C#
232,C#
233,C#
234,C#
235,C#
236,C#
237,C#
238,C#
239,C#
240,F#7
241,F#7
242,F#7
243,F#7
244,F#7
245,F#7
246,F#7
247,F#7
248,F#7
249,F#7
250,F#7
251,F#7
252,F#7
253,F#7
254,F#7
255,F#7
256,F#7
257,F#7
258,F#7
259,F#7
260,F#7
261,F#7
262,F#7
263,F#7
264,Gdim
265,Gdim
266,Gdim
267,Gdim
268,Gdim
269,Gdim
270,Gdim
271,Gdim
272,Gdim
273,Gdim
274,Gdim
275,Gdim
276,Gdim
277,Gdim
278,Gdim
279,Gdim
280,Gdim
281,Gdim
282,Gdim
283,Gdim
284,Gdim
285,Gdim
286,Gdim
287,Gdim
288,C#
289,C#
290,C#
291,C#
292,C#
293,C#
294,C#
295,C#
296,C#
297,C#
298,C#
299,C#
300,C#
301,C#
302,C#
303,C#
304,C#
305,C#
306,C#
307,C#
308,C#
309,C#
310,C#
311,C#
312,C#
313,C#
314,C#
315,C#
316,C#
317,C#
318,C#
319,C#
320,C#
321,C#
322,C#
323,C#
324,C#
325,C#
326,C#
327,C#
328,C#
329,C#
330,C#
331,C#
332,C#
333,C#
334,C#
335,C#
336,C#
337,C#
338,C#
339,C#
340,C#
341,C#
342,C#
343,C#
344,C#
345,C#
346,C#
347,C#
348,C#
349,C#
350,C#
351,C#
352,C#
353,C#
354,C#
355,C#
356,C#
357,C#
358,C#
359,C#
360,C#
361,C#
362,C#
363,C#
364,C#
365,C#
366,C#
367,C#
368,C#
369,C#
370,C#
371,C#
372,C#
373,C#
374,C#
375,C#
376,C#
377,C#
378,C#
379,C#
380,C#
381,C#
382,C#
383,C#
384,E-m
385,E-m
386,E-m
387,E-m
388,E-m
389,E-m
390,E-m
391,E-m
392,E-m
393,E-m
394,E-m
395,E-m
396,E-m
397,E-m
398,E-m
399,E-m
400,E-m
401,E-m
402,E-m
403,E-m
404,E-m
405,E-m
406,E-m
407,E-m
408,E-m
409,E-m
410,E-m
411,E-m
412,E-m
413,E-m
414,E-m
415,E-m
416,E-m
417,E-m
418,E-m
419,E-m
420,E-m
421,E-m
422,E-m
423,E-m
424,E-m
425,E-m
426,E-m
427,E-m
428,E-m
429,E-m
430,E-m
431,E-m
432,G#7
433,G#7
434,G#7
435,G#7
436,G#7
437,G#7
438,G#7
439,G#7
440,G#7
441,G#7
442,G#7
443,G#7
444,G#7
445,G#7
446,G#7
447,G#7
448,G#7
449,G#7
450,G#7
451,G#7
452,G#7
453,G#7
454,G#7
455,G#7
456,G#7
457,G#7
458,G#7
459,G#7
460,G#7
461,G#7
462,G#7
463,G#7
464,G#7
465,G#7
466,G#7
467,G#7
468,G#7
469,G#7
470,G#7
471,G#7
472,G#7
473,G#7
474,G#7
475,G#7
476,G#7
477,G#7
478,G#7
479,G#7
480,E-m
481,E-m
482,E-m
483,E-m
484,E-m
485,E-m
486,E-m
487,E-m
488,E-m
489,E-m
490,E-m
491,E-m
492,E-m
493,E-m
494,E-m
495,E-m
496,E-m
497,E-m
498,E-m
499,E-m
500,E-m
501,E-m
502,E-m
503,E-m
504,E-m
505,E-m
506,E-m
507,E-m
508,E-m
509,E-m
510,E-m
511,E-m
512,E-m
513,E-m
514,E-m
515,E-m
516,E-m
517,E-m
518,E-m
519,E-m
520,E-m
521,E-m
522,E-m
523,E-m
524,E-m
525,E-m
526,E-m
527,E-m
528,G#7
529,G#7
530,G#7
531,G#7
532,G#7
533,G#7
534,G#7
535,G#7
536,G#7
537,G#7
538,G#7
539,G#7
540,G#7
541,G#7
542,G#7
543,G#7
544,G#7
545,G#7
546,G#7
547,G#7
548,G#7
549,G#7
550,G#7
551,G#7
552,G#7
553,G#7
554,G#7
555,G#7
556,G#7
557,G#7
558,G#7
559,G#7
560,G#7
561,G#7
562,G#7
563,G#7
564,G#7
565,G#7
566,G#7
567,G#7
568,G#7
569,G#7
570,G#7
571,G#7
572,G#7
573,G#7
574,G#7
575,G#7
576,C#
577,C#
578,C#
579,C#
580,C#
581,C#
582,C#
583,C#
584,C#
585,C#
586,C#
587,C#
588,C#
589,C#
590,C#
591,C#
592,C#
593,C#
594,C#
595,C#
596,C#
597,C#
598,C#
599,C#
600,C#
601,C#
602,C#
603,C#
604,C#
605,C#
606,C#
607,C#
608,C#
609,C#
610,C#
611,C#
612,C#
613,C#
614,C#
615,C#
616,C#
617,C#
618,C#
619,C#
620,C#
621,C#
622,C#
623,C#
624,F#7
625,F#7
626,F#7
627,F#7
628,F#7
629,F#7
630,F#7
631,F#7
632,F#7
633,F#7
634,F#7
635,F#7
636,F#7
637,F#7
638,F#7
639,F#7
640,F#7
641,F#7
642,F#7
643,F#7
644,F#7
645,F#7
646,F#7
647,F#7
648,Gdim
649,Gdim
650,Gdim
651,Gdim
652,Gdim
653,Gdim
654,Gdim
655,Gdim
656,Gdim
657,Gdim
658,Gdim
659,Gdim
660,Gdim
661,Gdim
662,Gdim
663,Gdim
664,Gdim
665,Gdim
666,Gdim
667,Gdim
668,Gdim
669,Gdim
670,Gdim
671,Gdim
672,C#
673,C#
674,C#
675,C#
676,C#
677,C#
678,C#
679,C#
680,C#
681,C#
682,C#
683,C#
684,C#
685,C#
686,C#
687,C#
688,C#
689,C#
690,C#
691,C#
692,C#
693,C#
694,C#
695,C#
696,C#
697,C#
698,C#
699,C#
700,C#
701,C#
702,C#
703,C#
704,C#
705,C#
706,C#
707,C#
708,C#
709,C#
710,C#
711,C#
712,C#
713,C#
714,C#
715,C#
716,C#
717,C#
718,C#
719,C#
720,C#
721,C#
722,C#
723,C#
724,C#
725,C#
726,C#
727,C#
728,C#
729,C#
730,C#
731,C#
732,C#
733,C#
734,C#
735,C#
736,C#
737,C#
738,C#
739,C#
740,C#
741,C#
742,C#
743,C#
744,C#
745,C#
746,C#
747,C#
748,C#
749,C#
750,C#
751,C#
752,C#
753,C#
754,C#
755,C#
756,C#
757,C#
758,C#
759,C#
760,C#
761,C#
762,C#
763,C#
764,C#
765,C#
766,C#
767,C#
768,Cm
769,Cm
770,Cm
771,Cm
772,Cm
773,Cm
774,Cm
775,Cm
776,Cm
777,Cm
778,Cm
779,Cm
780,Cm
781,Cm
782,Cm
783,Cm
784,Cm
785,Cm
786,Cm
787,Cm
788,Cm
789,Cm
790,Cm
791,Cm
792,Cm
793,Cm
794,Cm
795,Cm
796,Cm
797,Cm
798,Cm
799,Cm
800,Cm
801,Cm
802,Cm
803,Cm
804,Cm
805,Cm
806,Cm
807,Cm
808,Cm
809,Cm
810,Cm
811,Cm
812,Cm
813,Cm
814,Cm
815,Cm
816,F7
817,F7
818,F7
819,F7
820,F7
821,F7
822,F7
823,F7
824,F7
825,F7
826,F7
827,F7
828,F7
829,F7
830,F7
831,F7
832,F7
833,F7
834,F7
835,F7
836,F7
837,F7
838,F7
839,F7
840,F7
841,F7
842,F7
843,F7
844,F7
845,F7
846,F7
847,F7
848,F7
849,F7
850,F7
851,F7
852,F7
853,F7
854,F7
855,F7
856,F7
857,F7
858,F7
859,F7
860,F7
861,F7
862,F7
863,F7
864,B-7
865,B-7
866,B-7
867,B-7
868,B-7
869,B-7
870,B-7
871,B-7
872,B-7
873,B-7
874,B-7
875,B-7
876,B-7
877,B-7
878,B-7
879,B-7
880,B-7
881,B-7
882,B-7
883,B-7
884,B-7
885,B-7
886,B-7
887,B-7
888,B-7
889,B-7
890,B-7
891,B-7
892,B-7
893,B-7
894,B-7
895,B-7
896,B-7
897,B-7
898,B-7
899,B-7
900,B-7
901,B-7
902,B-7
903,B-7
904,B-7
905,B-7
906,B-7
907,B-7
908,B-7
909,B-7
910,B-7
911,B-7
912,B-7
913,B-7
914,B-7
915,B-7
916,B-7
917,B-7
918,B-7
919,B-7
920,B-7
921,B-7
922,B-7
923,B-7
924,B-7
925,B-7
926,B-7
927,B-7
928,B-7
929,B-7
930,B-7
931,B-7
932,B-7
933,B-7
934,B-7
935,B-7
936,B-7
937,B-7
938,B-7
939,B-7
940,B-7
941,B-7
942,B-7
943,B-7
944,B-7
945,B-7
946,B-7
947,B-7
948,B-7
949,B-7
950,B-7
951,B-7
952,B-7
953,B-7
954,B-7
955,B-7
956,B-7
957,B-7
958,B-7
959,B-7
960,E-7
961,E-7
962,E-7
963,E-7
964,E-7
965,E-7
966,E-7
967,E-7
968,E-7
969,E-7
970,E-7
971,E-7
972,E-7
973,E-7
974,E-7
975,E-7
976,E-7
977,E-7
978,E-7
979,E-7
980,E-7
981,E-7
982,E-7
983,E-7
984,E-7
985,E-7
986,E-7
987,E-7
988,E-7
989,E-7
990,E-7
991,E-7
992,E-7
993,E-7
994,E-7
995,E-7
996,E-7
997,E-7
998,E-7
999,E-7
1000,E-7
1001,E-7
1002,E-7
1003,E-7
1004,E-7
1005,E-7
1006,E-7
1007,E-7
1008,E-7
1009,E-7
1010,E-7
1011,E-7
1012,E-7
1013,E-7
1014,E-7
1015,E-7
1016,E-7
1017,E-7
1018,E-7
1019,E-7
1020,E-7
1021,E-7
1022,E-7
1023,E-7
1024,E-7
1025,E-7
1026,E-7
1027,E-7
1028,E-7
1029,E-7
1030,E-7
1031,E-7
1032,E-7
1033,E-7
1034,E-7
1035,E-7
1036,E-7
1037,E-7
1038,E-7
1039,E-7
1040,E-7
1041,E-7
1042,E-7
1043,E-7
1044,E-7
1045,E-7
1046,E-7
1047,E-7
1048,E-7
1049,E-7
1050,E-7
1051,E-7
1052,E-7
1053,E-7
1054,E-7
1055,E-7
1056,E-m
1057,E-m
1058,E-m
1059,E-m
1060,E-m
1061,E-m
1062,E-m
1063,E-m
1064,E-m
1065,E-m
1066,E-m
1067,E-m
1068,E-m
1069,E-m
1070,E-m
1071,E-m
1072,E-m
1073,E-m
1074,E-m
1075,E-m
1076,E-m
1077,E-m
1078,E-m
1079,E-m
1080,E-m
1081,E-m
1082,E-m
1083,E-m
1084,E-m
1085,E-m
1086,E-m
1087,E-m
1088,E-m
1089,E-m
1090,E-m
1091,E-m
