,0
0,Fm
1,Fm
2,Fm
3,Fm
4,Fm
5,Fm
6,Fm
7,Fm
8,Fm
9,Fm
10,Fm
11,Fm
12,Fm
13,Fm
14,Fm
15,Fm
16,Fm
17,Fm
18,Fm
19,Fm
20,Fm
21,Fm
22,Fm
23,Fm
24,Fm
25,Fm
26,Fm
27,Fm
28,Fm
29,Fm
30,Fm
31,Fm
32,Fm
33,Fm
34,Fm
35,Fm
36,Fm
37,Fm
38,Fm
39,Fm
40,Fm
41,Fm
42,Fm
43,Fm
44,Fm
45,Fm
46,Fm
47,Fm
48,B-7
49,B-7
50,B-7
51,B-7
52,B-7
53,B-7
54,B-7
55,B-7
56,B-7
57,B-7
58,B-7
59,B-7
60,B-7
61,B-7
62,B-7
63,B-7
64,B-7
65,B-7
66,B-7
67,B-7
68,B-7
69,B-7
70,B-7
71,B-7
72,B-7
73,B-7
74,B-7
75,B-7
76,B-7
77,B-7
78,B-7
79,B-7
80,B-7
81,B-7
82,B-7
83,B-7
84,B-7
85,B-7
86,B-7
87,B-7
88,B-7
89,B-7
90,B-7
91,B-7
92,B-7
93,B-7
94,B-7
95,B-7
96,Fm
97,Fm
98,Fm
99,Fm
100,Fm
101,Fm
102,Fm
103,Fm
104,Fm
105,Fm
106,Fm
107,Fm
108,Fm
109,Fm
110,Fm
111,Fm
112,Fm
113,Fm
114,Fm
115,Fm
116,Fm
117,Fm
118,Fm
119,Fm
120,Fm
121,Fm
122,Fm
123,Fm
124,Fm
125,Fm
126,Fm
127,Fm
128,Fm
129,Fm
130,Fm
131,Fm
132,Fm
133,Fm
134,Fm
135,Fm
136,Fm
137,Fm
138,Fm
139,Fm
140,Fm
141,Fm
142,Fm
143,Fm
144,B-7
145,B-7
146,B-7
147,B-7
148,B-7
149,B-7
150,B-7
151,B-7
152,B-7
153,B-7
154,B-7
155,B-7
156,B-7
157,B-7
158,B-7
159,B-7
160,B-7
161,B-7
162,B-7
163,B-7
164,B-7
165,B-7
166,B-7
167,B-7
168,B-7
169,B-7
170,B-7
171,B-7
172,B-7
173,B-7
174,B-7
175,B-7
176,B-7
177,B-7
178,B-7
179,B-7
180,B-7
181,B-7
182,B-7
183,B-7
184,B-7
185,B-7
186,B-7
187,B-7
188,B-7
189,B-7
190,B-7
191,B-7
192,E-
193,E-
194,E-
195,E-
196,E-
197,E-
198,E-
199,E-
200,E-
201,E-
202,E-
203,E-
204,E-
205,E-
206,E-
207,E-
208,E-
209,E-
210,E-
211,E-
212,E-
213,E-
214,E-
215,E-
216,E-
217,E-
218,E-
219,E-
220,E-
221,E-
222,E-
223,E-
