,0
0,G#m
1,G#m
2,G#m
3,G#m
4,G#m
5,G#m
6,G#m
7,G#m
8,G#m
9,G#m
10,G#m
11,G#m
12,G#m
13,G#m
14,G#m
15,G#m
16,G#m
17,G#m
18,G#m
19,G#m
20,G#m
21,G#m
22,G#m
23,G#m
24,G#m
25,G#m
26,G#m
27,G#m
28,G#m
29,G#m
30,G#m
31,G#m
32,G#m
33,G#m
34,G#m
35,G#m
36,G#m
37,G#m
38,G#m
39,G#m
40,G#m
41,G#m
42,G#m
43,G#m
44,G#m
45,G#m
46,G#m
47,G#m
48,C#7
49,C#7
50,C#7
51,C#7
52,C#7
53,C#7
54,C#7
55,C#7
56,C#7
57,C#7
58,C#7
59,C#7
60,C#7
61,C#7
62,C#7
63,C#7
64,C#7
65,C#7
66,C#7
67,C#7
68,C#7
69,C#7
70,C#7
71,C#7
72,C#7
73,C#7
74,C#7
75,C#7
76,C#7
77,C#7
78,C#7
79,C#7
80,C#7
81,C#7
82,C#7
83,C#7
84,C#7
85,C#7
86,C#7
87,C#7
88,C#7
89,C#7
90,C#7
91,C#7
92,C#7
93,C#7
94,C#7
95,C#7
96,G#m
97,G#m
98,G#m
99,G#m
100,G#m
101,G#m
102,G#m
103,G#m
104,G#m
105,G#m
106,G#m
107,G#m
108,G#m
109,G#m
110,G#m
111,G#m
112,G#m
113,G#m
114,G#m
115,G#m
116,G#m
117,G#m
118,G#m
119,G#m
120,G#m
121,G#m
122,G#m
123,G#m
124,G#m
125,G#m
126,G#m
127,G#m
128,G#m
129,G#m
130,G#m
131,G#m
132,G#m
133,G#m
134,G#m
135,G#m
136,G#m
137,G#m
138,G#m
139,G#m
140,G#m
141,G#m
142,G#m
143,G#m
144,C#7
145,C#7
146,C#7
147,C#7
148,C#7
149,C#7
150,C#7
151,C#7
152,C#7
153,C#7
154,C#7
155,C#7
156,C#7
157,C#7
158,C#7
159,C#7
160,C#7
161,C#7
162,C#7
163,C#7
164,C#7
165,C#7
166,C#7
167,C#7
168,C#7
169,C#7
170,C#7
171,C#7
172,C#7
173,C#7
174,C#7
175,C#7
176,C#7
177,C#7
178,C#7
179,C#7
180,C#7
181,C#7
182,C#7
183,C#7
184,C#7
185,C#7
186,C#7
187,C#7
188,C#7
189,C#7
190,C#7
191,C#7
192,F#
193,F#
194,F#
195,F#
196,F#
197,F#
198,F#
199,F#
200,F#
201,F#
202,F#
203,F#
204,F#
205,F#
206,F#
207,F#
208,F#
209,F#
210,F#
211,F#
212,F#
213,F#
214,F#
215,F#
216,F#
217,F#
218,F#
219,F#
220,F#
221,F#
222,F#
223,F#
224,F#
225,F#
226,F#
227,F#
228,F#
229,F#
230,F#
231,F#
232,F#
233,F#
234,F#
235,F#
236,F#
237,F#
238,F#
239,F#
240,B7
241,B7
242,B7
243,B7
244,B7
245,B7
246,B7
247,B7
248,B7
249,B7
250,B7
251,B7
252,B7
253,B7
254,B7
255,B7
256,B7
257,B7
258,B7
259,B7
260,B7
261,B7
262,B7
263,B7
264,Cdim
265,Cdim
266,Cdim
267,Cdim
268,Cdim
269,Cdim
270,Cdim
271,Cdim
272,Cdim
273,Cdim
274,Cdim
275,Cdim
276,Cdim
277,Cdim
278,Cdim
279,Cdim
280,Cdim
281,Cdim
282,Cdim
283,Cdim
284,Cdim
285,Cdim
286,Cdim
287,Cdim
288,F#
289,F#
290,F#
291,F#
292,F#
293,F#
294,F#
295,F#
296,F#
297,F#
298,F#
299,F#
300,F#
301,F#
302,F#
303,F#
304,F#
305,F#
306,F#
307,F#
308,F#
309,F#
310,F#
311,F#
312,F#
313,F#
314,F#
315,F#
316,F#
317,F#
318,F#
319,F#
320,F#
321,F#
322,F#
323,F#
324,F#
325,F#
326,F#
327,F#
328,F#
329,F#
330,F#
331,F#
332,F#
333,F#
334,F#
335,F#
336,F#
337,F#
338,F#
339,F#
340,F#
341,F#
342,F#
343,F#
344,F#
345,F#
346,F#
347,F#
348,F#
349,F#
350,F#
351,F#
352,F#
353,F#
354,F#
355,F#
356,F#
357,F#
358,F#
359,F#
360,F#
361,F#
362,F#
363,F#
364,F#
365,F#
366,F#
367,F#
368,F#
369,F#
370,F#
371,F#
372,F#
373,F#
374,F#
375,F#
376,F#
377,F#
378,F#
379,F#
380,F#
