,0
0,Dm
1,Dm
2,Dm
3,Dm
4,Dm
5,Dm
6,Dm
7,Dm
8,Dm
9,Dm
10,Dm
11,Dm
12,Dm
13,Dm
14,Dm
15,Dm
16,Dm
17,Dm
18,Dm
19,Dm
20,Dm
21,Dm
22,Dm
23,Dm
24,Dm
25,Dm
26,Dm
27,Dm
28,Dm
29,Dm
30,Dm
31,Dm
32,Dm
33,Dm
34,Dm
35,Dm
36,Dm
37,Dm
38,Dm
39,Dm
40,Dm
41,Dm
42,Dm
43,Dm
44,Dm
45,Dm
46,Dm
47,Dm
48,Em
49,Em
50,Em
51,Em
52,Em
53,Em
54,Em
55,Em
56,Em
57,Em
58,Em
59,Em
60,Em
61,Em
62,Em
63,Em
64,Em
65,Em
66,Em
67,Em
68,Em
69,Em
70,Em
71,Em
72,A7
73,A7
74,A7
75,A7
76,A7
77,A7
78,A7
79,A7
80,A7
81,A7
82,A7
83,A7
84,A7
85,A7
86,A7
87,A7
88,A7
89,A7
90,A7
91,A7
92,A7
93,A7
94,A7
95,A7
96,Dm
97,Dm
98,Dm
99,Dm
100,Dm
101,Dm
102,Dm
103,Dm
104,Dm
105,Dm
106,Dm
107,Dm
108,Dm
109,Dm
110,Dm
111,Dm
112,Dm
113,Dm
114,Dm
115,Dm
116,Dm
117,Dm
118,Dm
119,Dm
120,Dm
121,Dm
122,Dm
123,Dm
124,Dm
125,Dm
126,Dm
127,Dm
128,Dm
129,Dm
130,Dm
131,Dm
132,Dm
133,Dm
134,Dm
135,Dm
136,Dm
137,Dm
138,Dm
139,Dm
140,Dm
141,Dm
142,Dm
143,Dm
144,Em
145,Em
146,Em
147,Em
148,Em
149,Em
150,Em
151,Em
152,Em
153,Em
154,Em
155,Em
156,Em
157,Em
158,Em
159,Em
160,Em
161,Em
162,Em
163,Em
164,Em
165,Em
166,Em
167,Em
168,A7
169,A7
170,A7
171,A7
172,A7
173,A7
174,A7
175,A7
176,A7
177,A7
178,A7
179,A7
180,A7
181,A7
182,A7
183,A7
184,A7
185,A7
186,A7
187,A7
188,A7
189,A7
190,A7
191,A7
192,Dm
193,Dm
194,Dm
195,Dm
196,Dm
197,Dm
198,Dm
199,Dm
200,Dm
201,Dm
202,Dm
203,Dm
204,Dm
205,Dm
206,Dm
207,Dm
208,Dm
209,Dm
210,Dm
211,Dm
212,Dm
213,Dm
214,Dm
215,Dm
216,Dm
217,Dm
218,Dm
219,Dm
220,Dm
221,Dm
222,Dm
223,Dm
224,Dm
225,Dm
226,Dm
227,Dm
228,Dm
229,Dm
230,Dm
231,Dm
232,Dm
233,Dm
234,Dm
235,Dm
236,Dm
237,Dm
238,Dm
239,Dm
240,A7
241,A7
242,A7
243,A7
244,A7
245,A7
246,A7
247,A7
248,A7
249,A7
250,A7
251,A7
252,A7
253,A7
254,A7
255,A7
256,A7
257,A7
258,A7
259,A7
260,A7
261,A7
262,A7
263,A7
264,A7
265,A7
266,A7
267,A7
268,A7
269,A7
270,A7
271,A7
272,A7
273,A7
274,A7
275,A7
276,A7
277,A7
278,A7
279,A7
280,A7
281,A7
282,A7
283,A7
284,A7
285,A7
286,A7
287,A7
288,Dm
289,Dm
290,Dm
291,Dm
292,Dm
293,Dm
294,Dm
295,Dm
296,Dm
297,Dm
298,Dm
299,Dm
300,Dm
301,Dm
302,Dm
303,Dm
304,Dm
305,Dm
306,Dm
307,Dm
308,Dm
309,Dm
310,Dm
311,Dm
312,Dm
313,Dm
314,Dm
315,Dm
316,Dm
317,Dm
318,Dm
319,Dm
320,Dm
321,Dm
322,Dm
323,Dm
324,Dm
325,Dm
326,Dm
327,Dm
328,Dm
329,Dm
330,Dm
331,Dm
332,Dm
333,Dm
334,Dm
335,Dm
336,A7
337,A7
338,A7
339,A7
340,A7
341,A7
342,A7
343,A7
344,A7
345,A7
346,A7
347,A7
348,A7
349,A7
350,A7
351,A7
352,A7
353,A7
354,A7
355,A7
356,A7
357,A7
358,A7
359,A7
360,A7
361,A7
362,A7
363,A7
364,A7
365,A7
366,A7
367,A7
368,A7
369,A7
370,A7
371,A7
372,A7
373,A7
374,A7
375,A7
376,A7
377,A7
378,A7
379,A7
380,A7
381,A7
382,A7
383,A7
384,Dm
385,Dm
386,Dm
387,Dm
388,Dm
389,Dm
390,Dm
391,Dm
392,Dm
393,Dm
394,Dm
395,Dm
396,Dm
397,Dm
398,Dm
399,Dm
400,Dm
401,Dm
402,Dm
403,Dm
404,Dm
405,Dm
406,Dm
407,Dm
408,Dm
409,Dm
410,Dm
411,Dm
412,Dm
413,Dm
414,Dm
415,Dm
416,Dm
417,Dm
418,Dm
419,Dm
420,Dm
421,Dm
422,Dm
423,Dm
424,Dm
425,Dm
