,0
0,E-m
1,E-m
2,E-m
3,E-m
4,E-m
5,E-m
6,E-m
7,E-m
8,E-m
9,E-m
10,E-m
11,E-m
12,E-m
13,E-m
14,E-m
15,E-m
16,E-m
17,E-m
18,E-m
19,E-m
20,E-m
21,E-m
22,E-m
23,E-m
24,E-m
25,E-m
26,E-m
27,E-m
28,E-m
29,E-m
30,E-m
31,E-m
32,E-m
33,E-m
34,E-m
35,E-m
36,E-m
37,E-m
38,E-m
39,E-m
40,E-m
41,E-m
42,E-m
43,E-m
44,E-m
45,E-m
46,E-m
47,E-m
48,Fm
49,Fm
50,Fm
51,Fm
52,Fm
53,Fm
54,Fm
55,Fm
56,Fm
57,Fm
58,Fm
59,Fm
60,Fm
61,Fm
62,Fm
63,Fm
64,Fm
65,Fm
66,Fm
67,Fm
68,Fm
69,Fm
70,Fm
71,Fm
72,B-7
73,B-7
74,B-7
75,B-7
76,B-7
77,B-7
78,B-7
79,B-7
80,B-7
81,B-7
82,B-7
83,B-7
84,B-7
85,B-7
86,B-7
87,B-7
88,B-7
89,B-7
90,B-7
91,B-7
92,B-7
93,B-7
94,B-7
95,B-7
96,E-m
97,E-m
98,E-m
99,E-m
100,E-m
101,E-m
102,E-m
103,E-m
104,E-m
105,E-m
106,E-m
107,E-m
108,E-m
109,E-m
110,E-m
111,E-m
112,E-m
113,E-m
114,E-m
115,E-m
116,E-m
117,E-m
118,E-m
119,E-m
120,E-m
121,E-m
122,E-m
123,E-m
124,E-m
125,E-m
126,E-m
127,E-m
128,E-m
129,E-m
130,E-m
131,E-m
132,E-m
133,E-m
134,E-m
135,E-m
136,E-m
137,E-m
138,E-m
139,E-m
140,E-m
141,E-m
142,E-m
143,E-m
144,Fm
145,Fm
146,Fm
147,Fm
148,Fm
149,Fm
150,Fm
151,Fm
152,Fm
153,Fm
154,Fm
155,Fm
156,Fm
157,Fm
158,Fm
159,Fm
160,Fm
161,Fm
162,Fm
163,Fm
164,Fm
165,Fm
166,Fm
167,Fm
168,B-7
169,B-7
170,B-7
171,B-7
172,B-7
173,B-7
174,B-7
175,B-7
176,B-7
177,B-7
178,B-7
179,B-7
180,B-7
181,B-7
182,B-7
183,B-7
184,B-7
185,B-7
186,B-7
187,B-7
188,B-7
189,B-7
190,B-7
191,B-7
192,E-m
193,E-m
194,E-m
195,E-m
196,E-m
197,E-m
198,E-m
199,E-m
200,E-m
201,E-m
202,E-m
203,E-m
204,E-m
205,E-m
206,E-m
207,E-m
208,E-m
209,E-m
210,E-m
211,E-m
212,E-m
213,E-m
214,E-m
215,E-m
216,E-m
217,E-m
218,E-m
219,E-m
220,E-m
221,E-m
222,E-m
223,E-m
224,E-m
225,E-m
226,E-m
227,E-m
228,E-m
229,E-m
230,E-m
231,E-m
232,E-m
233,E-m
234,E-m
235,E-m
236,E-m
237,E-m
238,E-m
239,E-m
240,B-7
241,B-7
242,B-7
243,B-7
244,B-7
245,B-7
246,B-7
247,B-7
248,B-7
249,B-7
250,B-7
251,B-7
252,B-7
253,B-7
254,B-7
255,B-7
256,B-7
257,B-7
258,B-7
259,B-7
260,B-7
261,B-7
262,B-7
263,B-7
264,B-7
265,B-7
266,B-7
267,B-7
268,B-7
269,B-7
270,B-7
271,B-7
272,B-7
273,B-7
274,B-7
275,B-7
276,B-7
277,B-7
278,B-7
279,B-7
280,B-7
281,B-7
282,B-7
283,B-7
284,B-7
285,B-7
286,B-7
287,B-7
288,E-m
289,E-m
290,E-m
291,E-m
292,E-m
293,E-m
294,E-m
295,E-m
296,E-m
297,E-m
298,E-m
299,E-m
300,E-m
301,E-m
302,E-m
303,E-m
304,E-m
305,E-m
306,E-m
307,E-m
308,E-m
309,E-m
310,E-m
311,E-m
312,E-m
313,E-m
314,E-m
315,E-m
316,E-m
317,E-m
318,E-m
319,E-m
320,E-m
321,E-m
322,E-m
323,E-m
324,E-m
325,E-m
326,E-m
327,E-m
328,E-m
329,E-m
330,E-m
331,E-m
332,E-m
333,E-m
334,E-m
335,E-m
336,B-7
337,B-7
338,B-7
339,B-7
340,B-7
341,B-7
342,B-7
343,B-7
344,B-7
345,B-7
346,B-7
347,B-7
348,B-7
349,B-7
350,B-7
351,B-7
352,B-7
353,B-7
354,B-7
355,B-7
356,B-7
357,B-7
358,B-7
359,B-7
360,B-7
361,B-7
362,B-7
363,B-7
364,B-7
365,B-7
366,B-7
367,B-7
368,B-7
369,B-7
370,B-7
371,B-7
372,B-7
373,B-7
374,B-7
375,B-7
376,B-7
377,B-7
378,B-7
379,B-7
380,B-7
381,B-7
382,B-7
383,B-7
384,E-m
385,E-m
386,E-m
387,E-m
388,E-m
389,E-m
390,E-m
391,E-m
392,E-m
393,E-m
394,E-m
395,E-m
396,E-m
397,E-m
398,E-m
399,E-m
400,E-m
401,E-m
402,E-m
403,E-m
404,E-m
405,E-m
406,E-m
407,E-m
408,E-m
409,E-m
410,E-m
411,E-m
412,E-m
413,E-m
414,E-m
415,E-m
416,E-m
417,E-m
418,E-m
419,E-m
420,E-m
421,E-m
422,E-m
423,E-m
424,E-m
425,E-m
426,E-m
427,E-m
428,E-m
429,E-m
430,E-m
431,E-m
432,Fm
433,Fm
434,Fm
435,Fm
436,Fm
437,Fm
438,Fm
439,Fm
440,Fm
441,Fm
442,Fm
443,Fm
444,Fm
445,Fm
446,Fm
447,Fm
448,Fm
449,Fm
450,Fm
451,Fm
452,Fm
453,Fm
454,Fm
455,Fm
456,B-7
457,B-7
458,B-7
459,B-7
460,B-7
461,B-7
462,B-7
463,B-7
464,B-7
465,B-7
466,B-7
467,B-7
468,B-7
469,B-7
470,B-7
471,B-7
472,B-7
473,B-7
474,B-7
475,B-7
476,B-7
477,B-7
478,B-7
479,B-7
480,E-m
481,E-m
482,E-m
483,E-m
484,E-m
485,E-m
486,E-m
487,E-m
488,E-m
489,E-m
490,E-m
491,E-m
492,E-m
493,E-m
494,E-m
495,E-m
496,E-m
497,E-m
498,E-m
499,E-m
500,E-m
501,E-m
502,E-m
503,E-m
504,E-m
505,E-m
506,E-m
507,E-m
508,E-m
509,E-m
510,E-m
511,E-m
512,E-m
513,E-m
514,E-m
515,E-m
516,E-m
517,E-m
518,E-m
519,E-m
520,E-m
521,E-m
522,E-m
523,E-m
524,E-m
525,E-m
526,E-m
527,E-m
528,Fm
529,Fm
530,Fm
531,Fm
532,Fm
533,Fm
534,Fm
535,Fm
536,Fm
537,Fm
538,Fm
539,Fm
540,Fm
541,Fm
542,Fm
543,Fm
544,Fm
545,Fm
546,Fm
547,Fm
548,Fm
549,Fm
550,Fm
551,Fm
552,B-7
553,B-7
554,B-7
555,B-7
556,B-7
557,B-7
558,B-7
559,B-7
560,B-7
561,B-7
562,B-7
563,B-7
564,B-7
565,B-7
566,B-7
567,B-7
568,B-7
569,B-7
570,B-7
571,B-7
572,B-7
573,B-7
574,B-7
575,B-7
576,E-m
577,E-m
578,E-m
579,E-m
580,E-m
581,E-m
582,E-m
583,E-m
584,E-m
585,E-m
586,E-m
587,E-m
588,E-m
589,E-m
590,E-m
591,E-m
592,E-m
593,E-m
594,E-m
595,E-m
596,E-m
597,E-m
598,E-m
599,E-m
600,E-m
601,E-m
602,E-m
603,E-m
604,E-m
605,E-m
606,E-m
607,E-m
608,E-m
609,E-m
610,E-m
611,E-m
612,E-m
613,E-m
614,E-m
615,E-m
616,E-m
617,E-m
618,E-m
619,E-m
620,E-m
621,E-m
622,E-m
623,E-m
624,B-7
625,B-7
626,B-7
627,B-7
628,B-7
629,B-7
630,B-7
631,B-7
632,B-7
633,B-7
634,B-7
635,B-7
636,B-7
637,B-7
638,B-7
639,B-7
640,B-7
641,B-7
642,B-7
643,B-7
644,B-7
645,B-7
646,B-7
647,B-7
648,B-7
649,B-7
650,B-7
651,B-7
652,B-7
653,B-7
654,B-7
655,B-7
656,B-7
657,B-7
658,B-7
659,B-7
660,B-7
661,B-7
662,B-7
663,B-7
664,B-7
665,B-7
666,B-7
667,B-7
668,B-7
669,B-7
670,B-7
671,B-7
672,E-m
673,E-m
674,E-m
675,E-m
676,E-m
677,E-m
678,E-m
679,E-m
680,E-m
681,E-m
682,E-m
683,E-m
684,E-m
685,E-m
686,E-m
687,E-m
688,E-m
689,E-m
690,E-m
691,E-m
692,E-m
693,E-m
694,E-m
695,E-m
696,E-m
697,E-m
698,E-m
699,E-m
700,E-m
701,E-m
702,E-m
703,E-m
704,E-m
705,E-m
706,E-m
707,E-m
708,E-m
709,E-m
710,E-m
711,E-m
712,E-m
713,E-m
714,E-m
715,E-m
716,E-m
717,E-m
718,E-m
719,E-m
720,E-m
721,E-m
722,E-m
723,E-m
724,E-m
725,E-m
726,E-m
727,E-m
728,E-m
729,E-m
730,E-m
731,E-m
732,E-m
733,E-m
734,E-m
735,E-m
736,E-m
737,E-m
738,E-m
739,E-m
740,E-m
741,E-m
742,E-m
743,E-m
744,E-m
745,E-m
746,E-m
747,E-m
748,E-m
749,E-m
750,E-m
751,E-m
752,E-m
753,E-m
754,E-m
755,E-m
756,E-m
757,E-m
758,E-m
759,E-m
760,E-m
761,E-m
762,E-m
763,E-m
764,E-m
765,E-m
766,E-m
767,E-m
768,B-m
769,B-m
770,B-m
771,B-m
772,B-m
773,B-m
774,B-m
775,B-m
776,B-m
777,B-m
778,B-m
779,B-m
780,B-m
781,B-m
782,B-m
783,B-m
784,B-m
785,B-m
786,B-m
787,B-m
788,B-m
789,B-m
790,B-m
791,B-m
792,B-m
793,B-m
794,B-m
795,B-m
796,B-m
797,B-m
798,B-m
799,B-m
800,B-m
801,B-m
802,B-m
803,B-m
804,B-m
805,B-m
806,B-m
807,B-m
808,B-m
809,B-m
810,B-m
811,B-m
812,B-m
813,B-m
814,B-m
815,B-m
816,E-7
817,E-7
818,E-7
819,E-7
820,E-7
821,E-7
822,E-7
823,E-7
824,E-7
825,E-7
826,E-7
827,E-7
828,E-7
829,E-7
830,E-7
831,E-7
832,E-7
833,E-7
834,E-7
835,E-7
836,E-7
837,E-7
838,E-7
839,E-7
840,E-7
841,E-7
842,E-7
843,E-7
844,E-7
845,E-7
846,E-7
847,E-7
848,E-7
849,E-7
850,E-7
851,E-7
852,E-7
853,E-7
854,E-7
855,E-7
856,E-7
857,E-7
858,E-7
859,E-7
860,E-7
861,E-7
862,E-7
863,E-7
864,E-7
865,E-7
866,E-7
867,E-7
868,E-7
869,E-7
870,E-7
871,E-7
872,E-7
873,E-7
874,E-7
875,E-7
876,E-7
877,E-7
878,E-7
879,E-7
880,E-7
881,E-7
882,E-7
883,E-7
884,E-7
885,E-7
886,E-7
887,E-7
888,G#m
889,G#m
890,G#m
891,G#m
892,G#m
893,G#m
894,G#m
895,G#m
896,G#m
897,G#m
898,G#m
899,G#m
900,G#m
901,G#m
902,G#m
903,G#m
904,G#m
905,G#m
906,G#m
907,G#m
908,G#m
909,G#m
910,G#m
911,G#m
912,G#m
913,G#m
914,G#m
915,G#m
916,G#m
917,G#m
918,G#m
919,G#m
920,G#m
921,G#m
922,G#m
923,G#m
924,G#m
925,G#m
926,G#m
927,G#m
928,G#m
929,G#m
930,G#m
931,G#m
932,G#m
933,G#m
934,G#m
935,G#m
936,G#m
937,G#m
938,G#m
939,G#m
940,G#m
941,G#m
942,G#m
943,G#m
944,G#m
945,G#m
946,G#m
947,G#m
948,G#m
949,G#m
950,G#m
951,G#m
952,G#m
953,G#m
954,G#m
955,G#m
956,G#m
957,G#m
958,G#m
959,G#m
960,G#m
961,G#m
962,G#m
963,G#m
964,G#m
965,G#m
966,G#m
967,G#m
968,G#m
969,G#m
970,G#m
971,G#m
972,G#m
973,G#m
974,G#m
975,G#m
976,G#m
977,G#m
978,G#m
979,G#m
980,G#m
981,G#m
982,G#m
983,G#m
984,G#m
985,G#m
986,G#m
987,G#m
988,G#m
989,G#m
990,G#m
991,G#m
992,G#m
993,G#m
994,G#m
995,G#m
996,G#m
997,G#m
998,G#m
999,G#m
1000,G#m
1001,G#m
1002,G#m
1003,G#m
1004,G#m
1005,G#m
1006,G#m
1007,G#m
1008,C#7
1009,C#7
1010,C#7
1011,C#7
1012,C#7
1013,C#7
1014,C#7
1015,C#7
1016,C#7
1017,C#7
1018,C#7
1019,C#7
1020,C#7
1021,C#7
1022,C#7
1023,C#7
1024,C#7
1025,C#7
1026,C#7
1027,C#7
1028,C#7
1029,C#7
1030,C#7
1031,C#7
1032,C#7
1033,C#7
1034,C#7
1035,C#7
1036,C#7
1037,C#7
1038,C#7
1039,C#7
1040,C#7
1041,C#7
1042,C#7
1043,C#7
1044,C#7
1045,C#7
1046,C#7
1047,C#7
1048,C#7
1049,C#7
1050,C#7
