,0
0,B-m
1,B-m
2,B-m
3,B-m
4,B-m
5,B-m
6,B-m
7,B-m
8,B-m
9,B-m
10,B-m
11,B-m
12,B-m
13,B-m
14,B-m
15,B-m
16,B-m
17,B-m
18,B-m
19,B-m
20,B-m
21,B-m
22,B-m
23,B-m
24,B-m
25,B-m
26,B-m
27,B-m
28,B-m
29,B-m
30,B-m
31,B-m
32,B-m
33,B-m
34,B-m
35,B-m
36,B-m
37,B-m
38,B-m
39,B-m
40,B-m
41,B-m
42,B-m
43,B-m
44,B-m
45,B-m
46,B-m
47,B-m
48,C/o7
49,C/o7
50,C/o7
51,C/o7
52,C/o7
53,C/o7
54,C/o7
55,C/o7
56,C/o7
57,C/o7
58,C/o7
59,C/o7
60,C/o7
61,C/o7
62,C/o7
63,C/o7
64,C/o7
65,C/o7
66,C/o7
67,C/o7
68,C/o7
69,C/o7
70,C/o7
71,C/o7
72,F7
73,F7
74,F7
75,F7
76,F7
77,F7
78,F7
79,F7
80,F7
81,F7
82,F7
83,F7
84,F7
85,F7
86,F7
87,F7
88,F7
89,F7
90,F7
91,F7
92,F7
93,F7
94,F7
95,F7
96,B-m
97,B-m
98,B-m
99,B-m
100,B-m
101,B-m
102,B-m
103,B-m
104,B-m
105,B-m
106,B-m
107,B-m
108,B-m
109,B-m
110,B-m
111,B-m
112,B-m
113,B-m
114,B-m
115,B-m
116,B-m
117,B-m
118,B-m
119,B-m
120,B-m
121,B-m
122,B-m
123,B-m
124,B-m
125,B-m
126,B-m
127,B-m
128,B-m
129,B-m
130,B-m
131,B-m
132,B-m
133,B-m
134,B-m
135,B-m
136,B-m
137,B-m
138,B-m
139,B-m
140,B-m
141,B-m
142,B-m
143,B-m
144,C/o7
145,C/o7
146,C/o7
147,C/o7
148,C/o7
149,C/o7
150,C/o7
151,C/o7
152,C/o7
153,C/o7
154,C/o7
155,C/o7
156,C/o7
157,C/o7
158,C/o7
159,C/o7
160,C/o7
161,C/o7
162,C/o7
163,C/o7
164,C/o7
165,C/o7
166,C/o7
167,C/o7
168,F7
169,F7
170,F7
171,F7
172,F7
173,F7
174,F7
175,F7
176,F7
177,F7
178,F7
179,F7
180,F7
181,F7
182,F7
183,F7
184,F7
185,F7
186,F7
187,F7
188,F7
189,F7
190,F7
191,F7
192,B-m
193,B-m
194,B-m
195,B-m
196,B-m
197,B-m
198,B-m
199,B-m
200,B-m
201,B-m
202,B-m
203,B-m
