,0
0,F#m
1,F#m
2,F#m
3,F#m
4,F#m
5,F#m
6,F#m
7,F#m
8,F#m
9,F#m
10,F#m
11,F#m
12,F#m
13,F#m
14,F#m
15,F#m
16,F#m
17,F#m
18,F#m
19,F#m
20,F#m
21,F#m
22,F#m
23,F#m
24,F#m
25,F#m
26,F#m
27,F#m
28,F#m
29,F#m
30,F#m
31,F#m
32,F#m
33,F#m
34,F#m
35,F#m
36,F#m
37,F#m
38,F#m
39,F#m
40,F#m
41,F#m
42,F#m
43,F#m
44,F#m
45,F#m
46,F#m
47,F#m
48,G#/o7
49,G#/o7
50,G#/o7
51,G#/o7
52,G#/o7
53,G#/o7
54,G#/o7
55,G#/o7
56,G#/o7
57,G#/o7
58,G#/o7
59,G#/o7
60,G#/o7
61,G#/o7
62,G#/o7
63,G#/o7
64,G#/o7
65,G#/o7
66,G#/o7
67,G#/o7
68,G#/o7
69,G#/o7
70,G#/o7
71,G#/o7
72,C#7
73,C#7
74,C#7
75,C#7
76,C#7
77,C#7
78,C#7
79,C#7
80,C#7
81,C#7
82,C#7
83,C#7
84,C#7
85,C#7
86,C#7
87,C#7
88,C#7
89,C#7
90,C#7
91,C#7
92,C#7
93,C#7
94,C#7
95,C#7
96,F#m
97,F#m
98,F#m
99,F#m
100,F#m
101,F#m
102,F#m
103,F#m
104,F#m
105,F#m
106,F#m
107,F#m
108,F#m
109,F#m
110,F#m
111,F#m
112,F#m
113,F#m
114,F#m
115,F#m
116,F#m
117,F#m
118,F#m
119,F#m
120,F#m
121,F#m
122,F#m
123,F#m
124,F#m
125,F#m
126,F#m
127,F#m
128,F#m
129,F#m
130,F#m
131,F#m
132,F#m
133,F#m
134,F#m
135,F#m
136,F#m
137,F#m
138,F#m
139,F#m
140,F#m
141,F#m
142,F#m
143,F#m
144,G#/o7
145,G#/o7
146,G#/o7
147,G#/o7
148,G#/o7
149,G#/o7
150,G#/o7
151,G#/o7
152,G#/o7
153,G#/o7
154,G#/o7
155,G#/o7
156,G#/o7
157,G#/o7
158,G#/o7
159,G#/o7
160,G#/o7
161,G#/o7
162,G#/o7
163,G#/o7
164,G#/o7
165,G#/o7
166,G#/o7
167,G#/o7
168,C#7
169,C#7
170,C#7
171,C#7
172,C#7
173,C#7
174,C#7
175,C#7
176,C#7
177,C#7
178,C#7
179,C#7
180,C#7
181,C#7
182,C#7
183,C#7
184,C#7
185,C#7
186,C#7
187,C#7
188,C#7
189,C#7
190,C#7
191,C#7
192,F#m
193,F#m
194,F#m
195,F#m
196,F#m
197,F#m
198,F#m
199,F#m
200,F#m
201,F#m
202,F#m
