,0
0,Gm
1,Gm
2,Gm
3,Gm
4,Gm
5,Gm
6,Gm
7,Gm
8,Gm
9,Gm
10,Gm
11,Gm
12,Gm
13,Gm
14,Gm
15,Gm
16,Gm
17,Gm
18,Gm
19,Gm
20,Gm
21,Gm
22,Gm
23,Gm
24,Gm
25,Gm
26,Gm
27,Gm
28,Gm
29,Gm
30,Gm
31,Gm
32,Gm
33,Gm
34,Gm
35,Gm
36,Gm
37,Gm
38,Gm
39,Gm
40,Gm
41,Gm
42,Gm
43,Gm
44,Gm
45,Gm
46,Gm
47,Gm
48,A/o7
49,A/o7
50,A/o7
51,A/o7
52,A/o7
53,A/o7
54,A/o7
55,A/o7
56,A/o7
57,A/o7
58,A/o7
59,A/o7
60,A/o7
61,A/o7
62,A/o7
63,A/o7
64,A/o7
65,A/o7
66,A/o7
67,A/o7
68,A/o7
69,A/o7
70,A/o7
71,A/o7
72,D7
73,D7
74,D7
75,D7
76,D7
77,D7
78,D7
79,D7
80,D7
81,D7
82,D7
83,D7
84,D7
85,D7
86,D7
87,D7
88,D7
89,D7
90,D7
91,D7
92,D7
93,D7
94,D7
95,D7
96,Gm
97,Gm
98,Gm
99,Gm
100,Gm
101,Gm
102,Gm
103,Gm
104,Gm
105,Gm
106,Gm
107,Gm
108,Gm
109,Gm
110,Gm
111,Gm
112,Gm
113,Gm
114,Gm
115,Gm
116,Gm
117,Gm
118,Gm
119,Gm
120,Gm
121,Gm
122,Gm
123,Gm
124,Gm
125,Gm
126,Gm
127,Gm
128,Gm
129,Gm
130,Gm
131,Gm
132,Gm
133,Gm
134,Gm
135,Gm
136,Gm
137,Gm
138,Gm
139,Gm
140,Gm
141,Gm
142,Gm
143,Gm
144,A/o7
145,A/o7
146,A/o7
147,A/o7
148,A/o7
149,A/o7
150,A/o7
151,A/o7
152,A/o7
153,A/o7
154,A/o7
155,A/o7
156,A/o7
157,A/o7
158,A/o7
159,A/o7
160,A/o7
161,A/o7
162,A/o7
163,A/o7
164,A/o7
165,A/o7
166,A/o7
167,A/o7
168,D7
169,D7
170,D7
171,D7
172,D7
173,D7
174,D7
175,D7
176,D7
177,D7
178,D7
179,D7
180,D7
181,D7
182,D7
183,D7
184,D7
185,D7
186,D7
187,D7
188,D7
189,D7
190,D7
191,D7
192,Gm
193,Gm
194,Gm
195,Gm
196,Gm
197,Gm
198,Gm
199,Gm
200,Gm
201,Gm
202,Gm
203,Gm
204,Gm
205,Gm
206,Gm
207,Gm
208,Gm
209,Gm
210,Gm
211,Gm
212,Gm
213,Gm
214,Gm
215,Gm
216,Gm
217,Gm
218,Gm
219,Gm
220,Gm
221,Gm
222,Gm
223,Gm
224,Gm
225,Gm
226,Gm
227,Gm
228,Gm
229,Gm
230,Gm
231,Gm
232,Gm
233,Gm
234,Gm
235,Gm
236,Gm
237,Gm
238,Gm
239,Gm
240,A/o7
241,A/o7
242,A/o7
243,A/o7
244,A/o7
245,A/o7
246,A/o7
247,A/o7
248,A/o7
249,A/o7
250,A/o7
251,A/o7
252,A/o7
253,A/o7
254,A/o7
255,A/o7
256,A/o7
257,A/o7
258,A/o7
259,A/o7
260,A/o7
261,A/o7
262,A/o7
263,A/o7
264,D7
265,D7
266,D7
267,D7
268,D7
269,D7
270,D7
271,D7
272,D7
273,D7
274,D7
275,D7
276,D7
277,D7
278,D7
279,D7
280,D7
281,D7
282,D7
283,D7
284,D7
285,D7
286,D7
287,D7
288,Gm
289,Gm
290,Gm
291,Gm
292,Gm
293,Gm
294,Gm
295,Gm
296,Gm
297,Gm
298,Gm
299,Gm
300,Gm
301,Gm
302,Gm
303,Gm
304,Gm
305,Gm
306,Gm
307,Gm
308,Gm
309,Gm
310,Gm
311,Gm
312,Gm
313,Gm
314,Gm
315,Gm
316,Gm
317,Gm
318,Gm
319,Gm
320,Gm
321,Gm
322,Gm
323,Gm
324,Gm
325,Gm
326,Gm
327,Gm
328,Gm
329,Gm
330,Gm
331,Gm
332,Gm
333,Gm
334,Gm
335,Gm
336,G7
337,G7
338,G7
339,G7
340,G7
341,G7
342,G7
343,G7
344,G7
345,G7
346,G7
347,G7
348,G7
349,G7
350,G7
351,G7
352,G7
353,G7
354,G7
355,G7
356,G7
357,G7
358,G7
359,G7
360,G7
361,G7
