,0
0,C7
1,C7
2,C7
3,C7
4,C7
5,C7
6,C7
7,C7
8,C7
9,C7
10,C7
11,C7
12,C7
13,C7
14,C7
15,C7
16,C7
17,C7
18,C7
19,C7
20,C7
21,C7
22,C7
23,C7
24,C7
25,C7
26,C7
27,C7
28,C7
29,C7
30,C7
31,C7
32,C7
33,C7
34,C7
35,C7
36,C7
37,C7
38,C7
39,C7
40,C7
41,C7
42,C7
43,C7
44,C7
45,C7
46,C7
47,C7
48,F7
49,F7
50,F7
51,F7
52,F7
53,F7
54,F7
55,F7
56,F7
57,F7
58,F7
59,F7
60,F7
61,F7
62,F7
63,F7
64,F7
65,F7
66,F7
67,F7
68,F7
69,F7
70,F7
71,F7
72,F7
73,F7
74,F7
75,F7
76,F7
77,F7
78,F7
79,F7
80,F7
81,F7
82,F7
83,F7
84,F7
85,F7
86,F7
87,F7
88,F7
89,F7
90,F7
91,F7
92,F7
93,F7
94,F7
95,F7
96,B-7
97,B-7
98,B-7
99,B-7
100,B-7
101,B-7
102,B-7
103,B-7
104,B-7
105,B-7
106,B-7
107,B-7
108,B-7
109,B-7
110,B-7
111,B-7
112,B-7
113,B-7
114,B-7
115,B-7
116,B-7
117,B-7
118,B-7
119,B-7
120,B-7
121,B-7
122,B-7
123,B-7
124,B-7
125,B-7
126,B-7
127,B-7
128,B-7
129,B-7
130,B-7
131,B-7
132,B-7
133,B-7
134,B-7
135,B-7
136,B-7
137,B-7
138,B-7
139,B-7
140,B-7
141,B-7
142,B-7
143,B-7
144,F7
145,F7
146,F7
147,F7
148,F7
149,F7
150,F7
151,F7
152,F7
153,F7
154,F7
155,F7
156,F7
157,F7
158,F7
159,F7
160,F7
161,F7
162,F7
163,F7
164,F7
165,F7
166,F7
167,F7
168,F7
169,F7
170,F7
171,F7
172,F7
173,F7
174,F7
175,F7
176,F7
177,F7
178,F7
179,F7
180,F7
181,F7
182,F7
183,F7
184,F7
185,F7
186,F7
187,F7
188,F7
189,F7
190,F7
191,F7
192,F7
193,F7
194,F7
195,F7
196,F7
197,F7
198,F7
199,F7
200,F7
201,F7
202,F7
203,F7
204,F7
205,F7
