,0
0,E7
1,E7
2,E7
3,E7
4,E7
5,E7
6,E7
7,E7
8,E7
9,E7
10,E7
11,E7
12,E7
13,E7
14,E7
15,E7
16,E7
17,E7
18,E7
19,E7
20,E7
21,E7
22,E7
23,E7
24,E7
25,E7
26,E7
27,E7
28,E7
29,E7
30,E7
31,E7
32,E7
33,E7
34,E7
35,E7
36,E7
37,E7
38,E7
39,E7
40,E7
41,E7
42,E7
43,E7
44,E7
45,E7
46,E7
47,E7
48,A7
49,A7
50,A7
51,A7
52,A7
53,A7
54,A7
55,A7
56,A7
57,A7
58,A7
59,A7
60,A7
61,A7
62,A7
63,A7
64,A7
65,A7
66,A7
67,A7
68,A7
69,A7
70,A7
71,A7
72,A7
73,A7
74,A7
75,A7
76,A7
77,A7
78,A7
79,A7
80,A7
81,A7
82,A7
83,A7
84,A7
85,A7
86,A7
87,A7
88,A7
89,A7
90,A7
91,A7
92,A7
93,A7
94,A7
95,A7
96,D7
97,D7
98,D7
99,D7
100,D7
101,D7
102,D7
103,D7
104,D7
105,D7
106,D7
107,D7
108,D7
109,D7
110,D7
111,D7
112,D7
113,D7
114,D7
115,D7
116,D7
117,D7
118,D7
119,D7
120,D7
121,D7
122,D7
123,D7
124,D7
125,D7
126,D7
127,D7
128,D7
129,D7
130,D7
131,D7
132,D7
133,D7
134,D7
135,D7
136,D7
137,D7
138,D7
139,D7
140,D7
141,D7
142,D7
143,D7
144,A7
145,A7
146,A7
147,A7
148,A7
149,A7
150,A7
151,A7
152,A7
153,A7
154,A7
155,A7
156,A7
157,A7
158,A7
159,A7
160,A7
161,A7
162,A7
163,A7
164,A7
165,A7
166,A7
167,A7
168,A7
169,A7
170,A7
171,A7
172,A7
173,A7
174,A7
175,A7
176,A7
177,A7
178,A7
179,A7
180,A7
181,A7
182,A7
183,A7
184,A7
185,A7
186,A7
187,A7
188,A7
189,A7
190,A7
191,A7
192,A7
193,A7
194,A7
195,A7
196,A7
197,A7
198,A7
199,A7
200,A7
201,A7
202,A7
203,A7
204,A7
205,A7
206,A7
207,A7
208,A7
209,A7
210,A7
211,A7
212,A7
213,A7
214,A7
215,A7
216,A7
217,A7
218,A7
219,A7
220,A7
221,A7
222,A7
223,A7
224,A7
225,A7
226,A7
227,A7
228,A7
229,A7
230,A7
231,A7
232,A7
233,A7
234,A7
235,A7
236,A7
237,A7
238,A7
239,A7
240,D7
241,D7
242,D7
243,D7
244,D7
245,D7
246,D7
247,D7
248,D7
249,D7
250,D7
251,D7
252,D7
253,D7
254,D7
255,D7
256,D7
257,D7
258,D7
259,D7
260,D7
261,D7
262,D7
263,D7
264,D7
265,D7
266,D7
267,D7
268,D7
269,D7
270,D7
271,D7
272,D7
273,D7
274,D7
275,D7
276,D7
277,D7
278,D7
279,D7
280,D7
281,D7
282,D7
283,D7
284,D7
285,D7
286,D7
287,D7
288,D7
289,D7
290,D7
291,D7
292,D7
293,D7
294,D7
295,D7
296,D7
297,D7
298,D7
299,D7
300,D7
301,D7
302,D7
303,D7
304,D7
305,D7
306,D7
307,D7
308,D7
309,D7
310,D7
311,D7
312,D7
313,D7
314,D7
315,D7
316,D7
317,D7
318,D7
319,D7
320,D7
321,D7
322,D7
323,D7
324,D7
325,D7
326,D7
327,D7
328,D7
329,D7
330,D7
331,D7
332,D7
333,D7
334,D7
335,D7
336,A7
337,A7
338,A7
339,A7
340,A7
341,A7
342,A7
343,A7
344,A7
345,A7
346,A7
347,A7
348,A7
349,A7
350,A7
351,A7
352,A7
353,A7
354,A7
355,A7
356,A7
357,A7
358,A7
359,A7
360,A7
361,A7
362,A7
363,A7
364,A7
365,A7
366,A7
367,A7
368,A7
369,A7
370,A7
371,A7
372,A7
373,A7
374,A7
375,A7
376,A7
377,A7
378,A7
379,A7
380,A7
381,A7
382,A7
383,A7
384,F#7
385,F#7
386,F#7
387,F#7
388,F#7
389,F#7
390,F#7
391,F#7
392,F#7
393,F#7
394,F#7
395,F#7
396,F#7
397,F#7
398,F#7
399,F#7
400,F#7
401,F#7
402,F#7
403,F#7
404,F#7
405,F#7
406,F#7
407,F#7
408,F#7
409,F#7
410,F#7
411,F#7
412,F#7
413,F#7
414,F#7
415,F#7
416,F#7
417,F#7
418,F#7
419,F#7
420,F#7
421,F#7
422,F#7
423,F#7
424,F#7
425,F#7
426,F#7
427,F#7
428,F#7
429,F#7
430,F#7
431,F#7
432,Bm
433,Bm
434,Bm
435,Bm
436,Bm
437,Bm
438,Bm
439,Bm
440,Bm
441,Bm
442,Bm
443,Bm
444,Bm
445,Bm
446,Bm
447,Bm
448,Bm
449,Bm
450,Bm
451,Bm
452,Bm
453,Bm
454,Bm
455,Bm
456,Bm
457,Bm
458,Bm
459,Bm
460,Bm
461,Bm
462,Bm
463,Bm
464,Bm
465,Bm
466,Bm
467,Bm
468,Bm
469,Bm
470,Bm
471,Bm
472,Bm
473,Bm
474,Bm
475,Bm
476,Bm
477,Bm
478,Bm
479,Bm
480,Em
481,Em
482,Em
483,Em
484,Em
485,Em
486,Em
487,Em
488,Em
489,Em
490,Em
491,Em
492,Em
493,Em
494,Em
495,Em
496,Em
497,Em
498,Em
499,Em
500,Em
501,Em
502,Em
503,Em
504,Em
505,Em
506,Em
507,Em
508,Em
509,Em
510,Em
511,Em
512,Em
513,Em
514,Em
515,Em
516,Em
517,Em
518,Em
519,Em
520,Em
521,Em
522,Em
523,Em
524,Em
525,Em
526,Em
527,Em
528,A7
529,A7
530,A7
531,A7
532,A7
533,A7
534,A7
535,A7
536,A7
537,A7
538,A7
539,A7
540,A7
541,A7
542,A7
543,A7
544,A7
545,A7
546,A7
547,A7
548,A7
549,A7
550,A7
551,A7
552,A7
553,A7
554,A7
555,A7
556,A7
557,A7
558,A7
559,A7
560,A7
561,A7
562,A7
563,A7
564,A7
565,A7
566,A7
567,A7
568,A7
569,A7
570,A7
571,A7
572,A7
573,A7
574,A7
575,A7
576,E7
577,E7
578,E7
579,E7
580,E7
581,E7
582,E7
583,E7
584,E7
585,E7
586,E7
587,E7
588,E7
589,E7
590,E7
591,E7
592,E7
593,E7
594,E7
595,E7
596,E7
597,E7
598,E7
599,E7
600,E7
601,E7
602,E7
603,E7
604,E7
605,E7
606,E7
607,E7
608,E7
609,E7
610,E7
611,E7
612,E7
613,E7
614,E7
615,E7
616,E7
617,E7
