,0
0,E7
1,E7
2,E7
3,E7
4,E7
5,E7
6,E7
7,E7
8,E7
9,E7
10,E7
11,E7
12,E7
13,E7
14,E7
15,E7
16,E7
17,E7
18,E7
19,E7
20,E7
21,E7
22,E7
23,E7
24,E7
25,E7
26,E7
27,E7
28,E7
29,E7
30,E7
31,E7
32,E7
33,E7
34,E7
35,E7
36,E7
37,E7
38,E7
39,E7
40,E7
41,E7
42,E7
43,E7
44,E7
45,E7
46,E7
47,E7
48,A
49,A
50,A
51,A
52,A
53,A
54,A
55,A
56,A
57,A
58,A
59,A
60,A
61,A
62,A
63,A
64,A
65,A
66,A
67,A
68,A
69,A
70,A
71,A
72,A
73,A
74,A
75,A
76,A
77,A
78,A
79,A
80,A
81,A
82,A
83,A
84,A
85,A
86,A
87,A
88,A
89,A
90,A
91,A
92,A
93,A
94,A
95,A
96,A
97,A
98,A
99,A
100,A
101,A
102,A
103,A
104,A
105,A
106,A
107,A
108,A
109,A
110,A
111,A
112,A
113,A
114,A
115,A
116,A
117,A
118,A
119,A
120,A
121,A
122,A
123,A
124,A
125,A
126,A
127,A
128,A
129,A
130,A
131,A
132,A
133,A
134,A
135,A
136,A
137,A
138,A
139,A
140,A
141,A
142,A
143,A
144,Em
145,Em
146,Em
147,Em
148,Em
149,Em
150,Em
151,Em
152,Em
153,Em
154,Em
155,Em
156,Em
157,Em
158,Em
159,Em
160,Em
161,Em
162,Em
163,Em
164,Em
165,Em
166,Em
167,Em
168,Em
169,Em
170,Em
171,Em
172,Em
173,Em
174,Em
175,Em
176,Em
177,Em
178,Em
179,Em
180,Em
181,Em
182,Em
183,Em
184,Em
185,Em
186,Em
187,Em
188,Em
189,Em
190,Em
191,Em
192,A7
193,A7
194,A7
195,A7
196,A7
197,A7
198,A7
199,A7
200,A7
201,A7
202,A7
203,A7
204,A7
205,A7
206,A7
207,A7
208,A7
209,A7
210,A7
211,A7
212,A7
213,A7
214,A7
215,A7
216,A7
217,A7
218,A7
219,A7
220,A7
221,A7
222,A7
223,A7
224,A7
225,A7
226,A7
227,A7
228,A7
229,A7
230,A7
231,A7
232,A7
233,A7
234,A7
235,A7
236,A7
237,A7
238,A7
239,A7
240,D
241,D
242,D
243,D
244,D
245,D
246,D
247,D
248,D
249,D
250,D
251,D
252,D
253,D
254,D
255,D
256,D
257,D
258,D
259,D
260,D
261,D
262,D
263,D
264,D
265,D
266,D
267,D
268,D
269,D
270,D
271,D
272,D
273,D
274,D
275,D
276,D
277,D
278,D
279,D
280,D
281,D
282,D
283,D
284,D
285,D
286,D
287,D
288,D
289,D
290,D
291,D
292,D
293,D
294,D
295,D
296,D
297,D
298,D
299,D
300,D
301,D
302,D
303,D
304,D
305,D
306,D
307,D
308,D
309,D
310,D
311,D
312,D
313,D
314,D
315,D
316,D
317,D
318,D
319,D
320,D
321,D
322,D
323,D
324,D
325,D
326,D
327,D
328,D
329,D
330,D
331,D
332,D
333,D
334,D
335,D
336,Dm
337,Dm
338,Dm
339,Dm
340,Dm
341,Dm
342,Dm
343,Dm
344,Dm
345,Dm
346,Dm
347,Dm
348,Dm
349,Dm
350,Dm
351,Dm
352,Dm
353,Dm
354,Dm
355,Dm
356,Dm
357,Dm
358,Dm
359,Dm
360,Dm
361,Dm
362,Dm
363,Dm
364,Dm
365,Dm
366,Dm
367,Dm
368,Dm
369,Dm
370,Dm
371,Dm
372,Dm
373,Dm
374,Dm
375,Dm
376,Dm
377,Dm
378,Dm
379,Dm
380,Dm
381,Dm
382,Dm
383,Dm
384,G7
385,G7
386,G7
387,G7
388,G7
389,G7
390,G7
391,G7
392,G7
393,G7
394,G7
395,G7
396,G7
397,G7
398,G7
399,G7
400,G7
401,G7
402,G7
403,G7
404,G7
405,G7
406,G7
407,G7
408,G7
409,G7
410,G7
411,G7
412,G7
413,G7
414,G7
415,G7
416,G7
417,G7
418,G7
419,G7
420,G7
421,G7
422,G7
423,G7
424,G7
425,G7
426,G7
427,G7
428,G7
429,G7
430,G7
431,G7
432,A
433,A
434,A
435,A
436,A
437,A
438,A
439,A
440,A
441,A
442,A
443,A
444,A
445,A
446,A
447,A
448,A
449,A
450,A
451,A
452,A
453,A
454,A
455,A
456,A
457,A
458,A
459,A
460,A
461,A
462,A
463,A
464,A
465,A
466,A
467,A
468,A
469,A
470,A
471,A
472,A
473,A
474,A
475,A
476,A
477,A
478,A
479,A
480,A
481,A
482,A
483,A
484,A
485,A
486,A
487,A
488,A
489,A
490,A
491,A
492,A
493,A
494,A
495,A
496,A
497,A
498,A
499,A
500,A
501,A
502,A
503,A
504,A
505,A
506,A
507,A
508,A
509,A
510,A
511,A
512,A
513,A
514,A
515,A
516,A
517,A
518,A
519,A
520,A
521,A
522,A
523,A
524,A
525,A
526,A
527,A
528,B7
529,B7
530,B7
531,B7
532,B7
533,B7
534,B7
535,B7
536,B7
537,B7
538,B7
539,B7
540,B7
541,B7
542,B7
543,B7
544,B7
545,B7
546,B7
547,B7
548,B7
549,B7
550,B7
551,B7
552,B7
553,B7
554,B7
555,B7
556,B7
557,B7
558,B7
559,B7
560,B7
561,B7
562,B7
563,B7
564,B7
565,B7
566,B7
567,B7
568,B7
569,B7
570,B7
571,B7
572,B7
573,B7
574,B7
575,B7
576,B7
577,B7
578,B7
579,B7
580,B7
581,B7
582,B7
583,B7
584,B7
585,B7
586,B7
587,B7
588,B7
589,B7
590,B7
591,B7
592,B7
593,B7
594,B7
595,B7
596,B7
597,B7
598,B7
599,B7
600,B7
601,B7
602,B7
603,B7
604,B7
605,B7
606,B7
607,B7
608,B7
609,B7
610,B7
611,B7
612,B7
613,B7
614,B7
615,B7
616,B7
617,B7
618,B7
619,B7
620,B7
621,B7
622,B7
623,B7
624,Bm
625,Bm
626,Bm
627,Bm
628,Bm
629,Bm
630,Bm
631,Bm
632,Bm
633,Bm
634,Bm
635,Bm
636,Bm
637,Bm
638,Bm
639,Bm
640,Bm
641,Bm
642,Bm
643,Bm
644,Bm
645,Bm
646,Bm
647,Bm
648,Bm
649,Bm
650,Bm
651,Bm
652,Bm
653,Bm
654,Bm
655,Bm
656,Bm
657,Bm
658,Bm
659,Bm
660,Bm
661,Bm
662,Bm
663,Bm
664,Bm
665,Bm
666,Bm
667,Bm
668,Bm
669,Bm
670,Bm
671,Bm
672,E7
673,E7
674,E7
