,0
0,F7
1,F7
2,F7
3,F7
4,F7
5,F7
6,F7
7,F7
8,F7
9,F7
10,F7
11,F7
12,F7
13,F7
14,F7
15,F7
16,F7
17,F7
18,F7
19,F7
20,F7
21,F7
22,F7
23,F7
24,F7
25,F7
26,F7
27,F7
28,F7
29,F7
30,F7
31,F7
32,F7
33,F7
34,F7
35,F7
36,F7
37,F7
38,F7
39,F7
40,F7
41,F7
42,F7
43,F7
44,F7
45,F7
46,F7
47,F7
48,B-
49,B-
50,B-
51,B-
52,B-
53,B-
54,B-
55,B-
56,B-
57,B-
58,B-
59,B-
60,B-
61,B-
62,B-
63,B-
64,B-
65,B-
66,B-
67,B-
68,B-
69,B-
70,B-
71,B-
72,B-
73,B-
74,B-
75,B-
76,B-
77,B-
78,B-
79,B-
80,B-
81,B-
82,B-
83,B-
84,B-
85,B-
86,B-
87,B-
88,B-
89,B-
90,B-
91,B-
92,B-
93,B-
94,B-
95,B-
96,B-
97,B-
98,B-
99,B-
100,B-
101,B-
102,B-
103,B-
104,B-
105,B-
106,B-
107,B-
108,B-
109,B-
110,B-
111,B-
112,B-
113,B-
114,B-
115,B-
116,B-
117,B-
118,B-
119,B-
120,B-
121,B-
122,B-
123,B-
124,B-
125,B-
126,B-
127,B-
128,B-
129,B-
130,B-
131,B-
132,B-
133,B-
134,B-
135,B-
136,B-
137,B-
138,B-
139,B-
140,B-
141,B-
142,B-
143,B-
144,Fm
145,Fm
146,Fm
147,Fm
148,Fm
149,Fm
150,Fm
151,Fm
152,Fm
153,Fm
154,Fm
155,Fm
156,Fm
157,Fm
158,Fm
159,Fm
160,Fm
161,Fm
162,Fm
163,Fm
164,Fm
165,Fm
166,Fm
167,Fm
168,Fm
169,Fm
170,Fm
171,Fm
172,Fm
173,Fm
174,Fm
175,Fm
176,Fm
177,Fm
178,Fm
179,Fm
180,Fm
181,Fm
182,Fm
183,Fm
184,Fm
185,Fm
186,Fm
187,Fm
188,Fm
189,Fm
190,Fm
191,Fm
192,B-7
193,B-7
194,B-7
195,B-7
196,B-7
197,B-7
198,B-7
199,B-7
200,B-7
201,B-7
202,B-7
203,B-7
204,B-7
205,B-7
206,B-7
207,B-7
208,B-7
209,B-7
210,B-7
211,B-7
212,B-7
213,B-7
214,B-7
215,B-7
216,B-7
217,B-7
218,B-7
219,B-7
220,B-7
221,B-7
222,B-7
223,B-7
224,B-7
225,B-7
226,B-7
227,B-7
228,B-7
229,B-7
230,B-7
231,B-7
232,B-7
233,B-7
234,B-7
235,B-7
236,B-7
237,B-7
238,B-7
239,B-7
240,E-
241,E-
242,E-
243,E-
244,E-
245,E-
246,E-
247,E-
248,E-
249,E-
250,E-
251,E-
252,E-
253,E-
254,E-
255,E-
256,E-
257,E-
258,E-
259,E-
260,E-
261,E-
262,E-
263,E-
264,E-
265,E-
266,E-
267,E-
268,E-
269,E-
270,E-
271,E-
272,E-
273,E-
274,E-
275,E-
276,E-
277,E-
278,E-
279,E-
280,E-
281,E-
282,E-
283,E-
284,E-
285,E-
286,E-
287,E-
288,E-
289,E-
290,E-
291,E-
292,E-
293,E-
294,E-
295,E-
296,E-
297,E-
298,E-
299,E-
300,E-
301,E-
302,E-
303,E-
304,E-
305,E-
306,E-
307,E-
308,E-
309,E-
310,E-
311,E-
312,E-
313,E-
314,E-
315,E-
316,E-
317,E-
318,E-
319,E-
320,E-
321,E-
322,E-
323,E-
324,E-
325,E-
326,E-
327,E-
328,E-
329,E-
330,E-
331,E-
332,E-
333,E-
334,E-
335,E-
336,E-m
337,E-m
338,E-m
339,E-m
340,E-m
341,E-m
342,E-m
343,E-m
344,E-m
345,E-m
346,E-m
347,E-m
348,E-m
349,E-m
350,E-m
351,E-m
352,E-m
353,E-m
354,E-m
355,E-m
356,E-m
357,E-m
358,E-m
359,E-m
360,E-m
361,E-m
362,E-m
363,E-m
364,E-m
365,E-m
366,E-m
367,E-m
368,E-m
369,E-m
370,E-m
371,E-m
372,E-m
373,E-m
374,E-m
375,E-m
376,E-m
377,E-m
378,E-m
379,E-m
380,E-m
381,E-m
382,E-m
383,E-m
384,G#7
385,G#7
386,G#7
387,G#7
388,G#7
389,G#7
390,G#7
391,G#7
392,G#7
393,G#7
394,G#7
395,G#7
396,G#7
397,G#7
398,G#7
399,G#7
400,G#7
401,G#7
402,G#7
403,G#7
404,G#7
405,G#7
406,G#7
407,G#7
408,G#7
409,G#7
410,G#7
411,G#7
412,G#7
413,G#7
414,G#7
415,G#7
416,G#7
417,G#7
418,G#7
419,G#7
420,G#7
421,G#7
422,G#7
423,G#7
424,G#7
425,G#7
426,G#7
427,G#7
428,G#7
429,G#7
430,G#7
431,G#7
432,B-
433,B-
434,B-
435,B-
436,B-
437,B-
438,B-
439,B-
440,B-
441,B-
442,B-
443,B-
444,B-
445,B-
446,B-
447,B-
448,B-
449,B-
450,B-
451,B-
452,B-
453,B-
454,B-
455,B-
456,B-
457,B-
458,B-
459,B-
460,B-
461,B-
462,B-
463,B-
464,B-
465,B-
466,B-
467,B-
468,B-
469,B-
470,B-
471,B-
472,B-
473,B-
474,B-
475,B-
476,B-
477,B-
478,B-
479,B-
480,B-
481,B-
482,B-
483,B-
484,B-
485,B-
486,B-
487,B-
488,B-
489,B-
490,B-
491,B-
492,B-
493,B-
494,B-
495,B-
496,B-
497,B-
498,B-
499,B-
500,B-
501,B-
502,B-
503,B-
504,B-
505,B-
506,B-
507,B-
508,B-
509,B-
510,B-
511,B-
512,B-
513,B-
514,B-
515,B-
516,B-
517,B-
518,B-
519,B-
520,B-
521,B-
522,B-
523,B-
524,B-
525,B-
526,B-
527,B-
528,C7
529,C7
530,C7
531,C7
532,C7
533,C7
534,C7
535,C7
536,C7
537,C7
538,C7
539,C7
540,C7
541,C7
542,C7
543,C7
544,C7
545,C7
546,C7
547,C7
548,C7
549,C7
550,C7
551,C7
552,C7
553,C7
554,C7
555,C7
556,C7
557,C7
558,C7
559,C7
560,C7
561,C7
562,C7
563,C7
564,C7
565,C7
566,C7
567,C7
568,C7
569,C7
570,C7
571,C7
572,C7
573,C7
574,C7
575,C7
576,C7
577,C7
578,C7
579,C7
580,C7
581,C7
582,C7
583,C7
584,C7
585,C7
586,C7
587,C7
588,C7
589,C7
590,C7
591,C7
592,C7
593,C7
594,C7
595,C7
596,C7
597,C7
598,C7
599,C7
600,C7
601,C7
602,C7
603,C7
604,C7
605,C7
606,C7
607,C7
608,C7
609,C7
610,C7
611,C7
612,C7
613,C7
614,C7
615,C7
616,C7
617,C7
618,C7
619,C7
620,C7
621,C7
622,C7
623,C7
624,Cm
625,Cm
626,Cm
627,Cm
628,Cm
629,Cm
630,Cm
631,Cm
632,Cm
633,Cm
634,Cm
635,Cm
636,Cm
637,Cm
638,Cm
639,Cm
640,Cm
641,Cm
642,Cm
643,Cm
644,Cm
645,Cm
646,Cm
647,Cm
648,Cm
649,Cm
650,Cm
651,Cm
652,Cm
653,Cm
654,Cm
655,Cm
656,Cm
657,Cm
658,Cm
659,Cm
660,Cm
661,Cm
662,Cm
663,Cm
664,Cm
665,Cm
666,Cm
667,Cm
668,Cm
669,Cm
670,Cm
671,Cm
672,F7
673,F7
674,F7
675,F7
676,F7
677,F7
678,F7
679,F7
680,F7
681,F7
682,F7
683,F7
684,F7
685,F7
686,F7
687,F7
688,F7
689,F7
690,F7
691,F7
692,F7
693,F7
694,F7
695,F7
696,F7
697,F7
698,F7
699,F7
700,F7
701,F7
702,F7
703,F7
704,F7
705,F7
706,F7
707,F7
708,F7
709,F7
710,F7
711,F7
712,F7
713,F7
714,F7
715,F7
716,F7
717,F7
718,F7
719,F7
720,B-
721,B-
722,B-
723,B-
724,B-
725,B-
726,B-
727,B-
728,B-
729,B-
730,B-
731,B-
732,B-
733,B-
734,B-
735,B-
736,B-
737,B-
738,B-
739,B-
740,B-
741,B-
742,B-
743,B-
744,B-
745,B-
746,B-
747,B-
748,B-
749,B-
750,B-
751,B-
752,B-
753,B-
754,B-
755,B-
756,B-
757,B-
758,B-
759,B-
760,B-
761,B-
762,B-
763,B-
764,B-
765,B-
766,B-
767,B-
768,B-
769,B-
770,B-
771,B-
772,B-
773,B-
774,B-
775,B-
776,B-
777,B-
778,B-
779,B-
780,B-
781,B-
782,B-
783,B-
784,B-
785,B-
786,B-
787,B-
788,B-
789,B-
790,B-
791,B-
792,B-
793,B-
794,B-
795,B-
796,B-
797,B-
798,B-
799,B-
800,B-
801,B-
802,B-
803,B-
804,B-
805,B-
806,B-
807,B-
808,B-
809,B-
810,B-
811,B-
812,B-
813,B-
814,B-
815,B-
816,B-
817,B-
818,B-
819,B-
820,B-
821,B-
822,B-
823,B-
824,B-
825,B-
826,B-
827,B-
828,B-
829,B-
830,B-
831,B-
832,B-
833,B-
834,B-
835,B-
836,B-
837,B-
838,B-
839,B-
840,B-
841,B-
842,B-
843,B-
844,B-
845,B-
846,B-
847,B-
848,B-
849,B-
850,B-
851,B-
852,B-
853,B-
854,B-
855,B-
856,B-
857,B-
858,B-
859,B-
860,B-
861,B-
862,B-
863,B-
864,B-
865,B-
866,B-
867,B-
868,B-
869,B-
870,B-
871,B-
872,B-
873,B-
874,B-
875,B-
876,B-
877,B-
878,B-
879,B-
880,B-
881,B-
882,B-
883,B-
884,B-
885,B-
886,B-
887,B-
888,B-
889,B-
890,B-
891,B-
892,B-
893,B-
894,B-
895,B-
896,B-
897,B-
898,B-
899,B-
900,B-
901,B-
902,B-
903,B-
904,B-
905,B-
906,B-
907,B-
908,B-
909,B-
910,B-
911,B-
912,Fm
913,Fm
914,Fm
915,Fm
916,Fm
917,Fm
918,Fm
919,Fm
920,Fm
921,Fm
922,Fm
923,Fm
924,Fm
925,Fm
926,Fm
927,Fm
928,Fm
929,Fm
930,Fm
931,Fm
932,Fm
933,Fm
934,Fm
935,Fm
936,Fm
937,Fm
938,Fm
939,Fm
940,Fm
941,Fm
942,Fm
943,Fm
944,Fm
945,Fm
946,Fm
947,Fm
948,Fm
949,Fm
950,Fm
951,Fm
952,Fm
953,Fm
954,Fm
955,Fm
956,Fm
957,Fm
958,Fm
959,Fm
960,B-7
961,B-7
962,B-7
963,B-7
964,B-7
965,B-7
966,B-7
967,B-7
968,B-7
969,B-7
970,B-7
971,B-7
972,B-7
973,B-7
974,B-7
975,B-7
976,B-7
977,B-7
978,B-7
979,B-7
980,B-7
981,B-7
982,B-7
983,B-7
984,B-7
985,B-7
986,B-7
987,B-7
988,B-7
989,B-7
990,B-7
991,B-7
992,B-7
993,B-7
994,B-7
995,B-7
996,B-7
997,B-7
998,B-7
999,B-7
1000,B-7
1001,B-7
1002,B-7
1003,B-7
1004,B-7
1005,B-7
1006,B-7
1007,B-7
1008,E-
1009,E-
1010,E-
1011,E-
1012,E-
1013,E-
1014,E-
1015,E-
1016,E-
1017,E-
1018,E-
1019,E-
1020,E-
1021,E-
1022,E-
1023,E-
1024,E-
1025,E-
1026,E-
1027,E-
1028,E-
1029,E-
1030,E-
1031,E-
1032,E-
1033,E-
1034,E-
1035,E-
1036,E-
1037,E-
1038,E-
1039,E-
1040,E-
1041,E-
1042,E-
1043,E-
1044,E-
1045,E-
1046,E-
1047,E-
1048,E-
1049,E-
1050,E-
1051,E-
1052,E-
1053,E-
1054,E-
1055,E-
1056,E-
1057,E-
1058,E-
1059,E-
1060,E-
1061,E-
1062,E-
1063,E-
1064,E-
1065,E-
1066,E-
1067,E-
1068,E-
1069,E-
1070,E-
1071,E-
1072,E-
1073,E-
1074,E-
1075,E-
1076,E-
1077,E-
1078,E-
1079,E-
1080,E-
1081,E-
1082,E-
1083,E-
1084,E-
1085,E-
1086,E-
1087,E-
1088,E-
1089,E-
1090,E-
1091,E-
1092,E-
1093,E-
1094,E-
1095,E-
1096,E-
1097,E-
1098,E-
1099,E-
1100,E-
1101,E-
1102,E-
1103,E-
1104,E-m
1105,E-m
1106,E-m
1107,E-m
1108,E-m
1109,E-m
1110,E-m
1111,E-m
1112,E-m
1113,E-m
1114,E-m
1115,E-m
1116,E-m
1117,E-m
1118,E-m
1119,E-m
1120,E-m
1121,E-m
1122,E-m
1123,E-m
1124,E-m
1125,E-m
1126,E-m
1127,E-m
1128,E-m
1129,E-m
1130,E-m
1131,E-m
1132,E-m
1133,E-m
1134,E-m
1135,E-m
1136,E-m
1137,E-m
1138,E-m
1139,E-m
1140,E-m
1141,E-m
1142,E-m
1143,E-m
1144,E-m
1145,E-m
1146,E-m
1147,E-m
1148,E-m
1149,E-m
1150,E-m
1151,E-m
1152,G#7
1153,G#7
1154,G#7
1155,G#7
1156,G#7
1157,G#7
1158,G#7
1159,G#7
1160,G#7
1161,G#7
1162,G#7
1163,G#7
1164,G#7
1165,G#7
1166,G#7
1167,G#7
1168,G#7
1169,G#7
1170,G#7
1171,G#7
