,0
0,F#7
1,F#7
2,F#7
3,F#7
4,F#7
5,F#7
6,F#7
7,F#7
8,F#7
9,F#7
10,F#7
11,F#7
12,F#7
13,F#7
14,F#7
15,F#7
16,F#7
17,F#7
18,F#7
19,F#7
20,F#7
21,F#7
22,F#7
23,F#7
24,F#7
25,F#7
26,F#7
27,F#7
28,F#7
29,F#7
30,F#7
31,F#7
32,F#7
33,F#7
34,F#7
35,F#7
36,F#7
37,F#7
38,F#7
39,F#7
40,F#7
41,F#7
42,F#7
43,F#7
44,F#7
45,F#7
46,F#7
47,F#7
48,B
49,B
50,B
51,B
52,B
53,B
54,B
55,B
56,B
57,B
58,B
59,B
60,B
61,B
62,B
63,B
64,B
65,B
66,B
67,B
68,B
69,B
70,B
71,B
72,B
73,B
74,B
75,B
76,B
77,B
78,B
79,B
80,B
81,B
82,B
83,B
84,B
85,B
86,B
87,B
88,B
89,B
90,B
91,B
92,B
93,B
94,B
95,B
96,B
97,B
98,B
99,B
100,B
101,B
102,B
103,B
104,B
105,B
106,B
107,B
108,B
109,B
110,B
111,B
112,B
113,B
114,B
115,B
116,B
117,B
118,B
119,B
120,B
121,B
122,B
123,B
124,B
125,B
126,B
127,B
128,B
129,B
130,B
131,B
132,B
133,B
134,B
135,B
136,B
137,B
138,B
139,B
140,B
141,B
142,B
143,B
144,F#m
145,F#m
146,F#m
147,F#m
148,F#m
149,F#m
150,F#m
151,F#m
152,F#m
153,F#m
154,F#m
155,F#m
156,F#m
157,F#m
158,F#m
159,F#m
160,F#m
161,F#m
162,F#m
163,F#m
164,F#m
165,F#m
166,F#m
167,F#m
168,F#m
169,F#m
170,F#m
171,F#m
172,F#m
173,F#m
174,F#m
175,F#m
176,F#m
177,F#m
178,F#m
179,F#m
180,F#m
181,F#m
182,F#m
183,F#m
184,F#m
185,F#m
186,F#m
187,F#m
188,F#m
189,F#m
190,F#m
191,F#m
192,B7
193,B7
194,B7
195,B7
196,B7
197,B7
198,B7
199,B7
200,B7
201,B7
202,B7
203,B7
204,B7
205,B7
206,B7
207,B7
208,B7
209,B7
210,B7
211,B7
212,B7
213,B7
214,B7
215,B7
216,B7
217,B7
218,B7
219,B7
220,B7
221,B7
222,B7
223,B7
224,B7
225,B7
226,B7
227,B7
228,B7
229,B7
230,B7
231,B7
232,B7
233,B7
234,B7
235,B7
236,B7
237,B7
238,B7
239,B7
240,E
241,E
242,E
243,E
244,E
245,E
246,E
247,E
248,E
249,E
250,E
251,E
252,E
253,E
254,E
255,E
256,E
257,E
258,E
259,E
260,E
261,E
262,E
263,E
264,E
265,E
266,E
267,E
268,E
269,E
270,E
271,E
272,E
273,E
274,E
275,E
276,E
277,E
278,E
279,E
280,E
281,E
282,E
283,E
284,E
285,E
286,E
287,E
288,E
289,E
290,E
291,E
292,E
293,E
294,E
295,E
296,E
297,E
298,E
299,E
300,E
301,E
302,E
303,E
304,E
305,E
306,E
307,E
308,E
309,E
310,E
311,E
312,E
313,E
314,E
315,E
316,E
317,E
318,E
319,E
320,E
321,E
322,E
323,E
324,E
325,E
326,E
327,E
328,E
329,E
330,E
331,E
332,E
333,E
334,E
335,E
336,Em
337,Em
338,Em
339,Em
340,Em
341,Em
342,Em
343,Em
344,Em
345,Em
346,Em
347,Em
348,Em
349,Em
350,Em
351,Em
352,Em
353,Em
354,Em
355,Em
356,Em
357,Em
358,Em
359,Em
360,Em
361,Em
362,Em
363,Em
364,Em
365,Em
366,Em
367,Em
368,Em
369,Em
370,Em
371,Em
372,Em
373,Em
374,Em
375,Em
376,Em
377,Em
378,Em
379,Em
380,Em
381,Em
382,Em
383,Em
384,A7
385,A7
386,A7
387,A7
388,A7
389,A7
390,A7
391,A7
392,A7
393,A7
394,A7
395,A7
396,A7
397,A7
398,A7
399,A7
400,A7
401,A7
402,A7
403,A7
404,A7
405,A7
406,A7
407,A7
408,A7
409,A7
410,A7
411,A7
412,A7
413,A7
414,A7
415,A7
416,A7
417,A7
418,A7
419,A7
420,A7
421,A7
422,A7
423,A7
424,A7
425,A7
426,A7
427,A7
428,A7
429,A7
430,A7
431,A7
432,B
433,B
434,B
435,B
436,B
437,B
438,B
439,B
440,B
441,B
442,B
443,B
444,B
445,B
446,B
447,B
448,B
449,B
450,B
451,B
452,B
453,B
454,B
455,B
456,B
457,B
458,B
459,B
460,B
461,B
462,B
463,B
464,B
465,B
466,B
467,B
468,B
469,B
470,B
471,B
472,B
473,B
474,B
475,B
476,B
477,B
478,B
479,B
480,B
481,B
482,B
483,B
484,B
485,B
486,B
487,B
488,B
489,B
490,B
491,B
492,B
493,B
494,B
495,B
496,B
497,B
498,B
499,B
500,B
501,B
502,B
503,B
504,B
505,B
506,B
507,B
508,B
509,B
510,B
511,B
512,B
513,B
514,B
515,B
516,B
517,B
518,B
519,B
520,B
521,B
522,B
523,B
524,B
525,B
526,B
527,B
528,C#7
529,C#7
530,C#7
531,C#7
532,C#7
533,C#7
534,C#7
535,C#7
536,C#7
537,C#7
538,C#7
539,C#7
540,C#7
541,C#7
542,C#7
543,C#7
544,C#7
545,C#7
546,C#7
547,C#7
548,C#7
549,C#7
550,C#7
551,C#7
552,C#7
553,C#7
554,C#7
555,C#7
556,C#7
557,C#7
558,C#7
559,C#7
560,C#7
561,C#7
562,C#7
563,C#7
564,C#7
565,C#7
566,C#7
567,C#7
568,C#7
569,C#7
570,C#7
571,C#7
572,C#7
573,C#7
574,C#7
575,C#7
576,C#7
577,C#7
578,C#7
579,C#7
580,C#7
581,C#7
582,C#7
583,C#7
584,C#7
585,C#7
586,C#7
587,C#7
588,C#7
589,C#7
590,C#7
591,C#7
592,C#7
593,C#7
594,C#7
595,C#7
596,C#7
597,C#7
598,C#7
599,C#7
600,C#7
601,C#7
602,C#7
603,C#7
604,C#7
605,C#7
606,C#7
607,C#7
608,C#7
609,C#7
610,C#7
611,C#7
612,C#7
613,C#7
614,C#7
615,C#7
616,C#7
617,C#7
618,C#7
619,C#7
620,C#7
621,C#7
622,C#7
623,C#7
624,C#m
625,C#m
626,C#m
627,C#m
628,C#m
629,C#m
630,C#m
631,C#m
632,C#m
633,C#m
634,C#m
635,C#m
636,C#m
637,C#m
638,C#m
639,C#m
640,C#m
641,C#m
642,C#m
643,C#m
644,C#m
645,C#m
646,C#m
647,C#m
648,C#m
649,C#m
650,C#m
651,C#m
652,C#m
653,C#m
654,C#m
655,C#m
656,C#m
657,C#m
658,C#m
659,C#m
660,C#m
661,C#m
662,C#m
663,C#m
664,C#m
665,C#m
666,C#m
667,C#m
668,C#m
669,C#m
670,C#m
671,C#m
672,F#7
673,F#7
674,F#7
675,F#7
676,F#7
677,F#7
678,F#7
679,F#7
680,F#7
681,F#7
682,F#7
683,F#7
684,F#7
685,F#7
686,F#7
687,F#7
688,F#7
689,F#7
690,F#7
691,F#7
692,F#7
693,F#7
694,F#7
695,F#7
696,F#7
697,F#7
698,F#7
699,F#7
700,F#7
701,F#7
702,F#7
703,F#7
704,F#7
705,F#7
706,F#7
707,F#7
708,F#7
709,F#7
710,F#7
711,F#7
712,F#7
713,F#7
714,F#7
715,F#7
716,F#7
717,F#7
718,F#7
719,F#7
720,B
721,B
722,B
723,B
724,B
725,B
726,B
727,B
728,B
729,B
730,B
731,B
732,B
733,B
734,B
735,B
736,B
737,B
738,B
739,B
740,B
741,B
742,B
743,B
744,B
745,B
746,B
747,B
748,B
749,B
750,B
751,B
752,B
753,B
754,B
755,B
756,B
757,B
758,B
759,B
760,B
761,B
762,B
763,B
764,B
765,B
766,B
767,B
768,B
769,B
770,B
771,B
772,B
773,B
774,B
775,B
776,B
777,B
778,B
779,B
780,B
781,B
782,B
783,B
784,B
785,B
786,B
787,B
788,B
789,B
790,B
791,B
792,B
793,B
794,B
795,B
796,B
797,B
798,B
799,B
800,B
801,B
802,B
803,B
804,B
805,B
806,B
807,B
808,B
809,B
810,B
811,B
812,B
813,B
814,B
815,B
816,B
817,B
818,B
819,B
820,B
821,B
822,B
823,B
824,B
825,B
826,B
827,B
828,B
829,B
830,B
831,B
832,B
833,B
834,B
835,B
836,B
837,B
838,B
839,B
840,B
841,B
842,B
843,B
844,B
845,B
846,B
847,B
848,B
849,B
850,B
851,B
852,B
853,B
854,B
855,B
856,B
857,B
858,B
859,B
860,B
861,B
862,B
863,B
864,B
865,B
866,B
867,B
868,B
869,B
870,B
871,B
872,B
873,B
874,B
875,B
876,B
877,B
878,B
879,B
880,B
881,B
882,B
883,B
884,B
885,B
886,B
887,B
888,B
889,B
890,B
891,B
892,B
893,B
894,B
895,B
896,B
897,B
898,B
899,B
900,B
901,B
902,B
903,B
904,B
905,B
906,B
907,B
908,B
909,B
910,B
911,B
912,F#m
913,F#m
914,F#m
915,F#m
916,F#m
917,F#m
918,F#m
919,F#m
920,F#m
921,F#m
922,F#m
923,F#m
924,F#m
925,F#m
926,F#m
927,F#m
928,F#m
929,F#m
930,F#m
931,F#m
932,F#m
933,F#m
934,F#m
935,F#m
936,F#m
937,F#m
938,F#m
939,F#m
940,F#m
941,F#m
942,F#m
943,F#m
944,F#m
945,F#m
946,F#m
947,F#m
948,F#m
949,F#m
950,F#m
951,F#m
952,F#m
953,F#m
954,F#m
955,F#m
956,F#m
957,F#m
958,F#m
959,F#m
960,B7
961,B7
962,B7
963,B7
964,B7
965,B7
966,B7
967,B7
968,B7
969,B7
970,B7
971,B7
972,B7
973,B7
974,B7
975,B7
976,B7
977,B7
978,B7
979,B7
980,B7
981,B7
982,B7
983,B7
984,B7
985,B7
986,B7
987,B7
988,B7
989,B7
990,B7
991,B7
992,B7
993,B7
994,B7
995,B7
996,B7
997,B7
998,B7
999,B7
1000,B7
1001,B7
1002,B7
1003,B7
1004,B7
1005,B7
1006,B7
1007,B7
1008,E
1009,E
1010,E
1011,E
1012,E
1013,E
1014,E
1015,E
1016,E
1017,E
1018,E
1019,E
1020,E
1021,E
1022,E
1023,E
1024,E
1025,E
1026,E
1027,E
1028,E
1029,E
1030,E
1031,E
1032,E
1033,E
1034,E
1035,E
1036,E
1037,E
1038,E
1039,E
1040,E
1041,E
1042,E
1043,E
1044,E
1045,E
1046,E
1047,E
1048,E
1049,E
1050,E
1051,E
1052,E
1053,E
1054,E
1055,E
1056,E
1057,E
1058,E
1059,E
1060,E
1061,E
1062,E
1063,E
1064,E
1065,E
1066,E
1067,E
1068,E
1069,E
1070,E
1071,E
1072,E
1073,E
1074,E
1075,E
1076,E
1077,E
1078,E
1079,E
1080,E
1081,E
1082,E
1083,E
1084,E
1085,E
1086,E
1087,E
1088,E
1089,E
1090,E
1091,E
1092,E
1093,E
1094,E
1095,E
1096,E
1097,E
1098,E
1099,E
1100,E
1101,E
1102,E
1103,E
1104,Em
1105,Em
1106,Em
1107,Em
1108,Em
1109,Em
1110,Em
1111,Em
1112,Em
1113,Em
1114,Em
1115,Em
1116,Em
1117,Em
1118,Em
1119,Em
1120,Em
1121,Em
1122,Em
1123,Em
1124,Em
1125,Em
1126,Em
1127,Em
1128,Em
1129,Em
1130,Em
1131,Em
1132,Em
1133,Em
1134,Em
1135,Em
1136,Em
1137,Em
1138,Em
1139,Em
1140,Em
1141,Em
1142,Em
1143,Em
1144,Em
1145,Em
1146,Em
1147,Em
1148,Em
1149,Em
1150,Em
1151,Em
1152,A7
1153,A7
1154,A7
1155,A7
1156,A7
1157,A7
1158,A7
1159,A7
1160,A7
1161,A7
1162,A7
1163,A7
1164,A7
1165,A7
1166,A7
1167,A7
1168,A7
1169,A7
1170,A7
1171,A7
1172,A7
1173,A7
1174,A7
1175,A7
1176,A7
1177,A7
1178,A7
1179,A7
1180,A7
1181,A7
1182,A7
1183,A7
1184,A7
1185,A7
1186,A7
1187,A7
1188,A7
1189,A7
1190,A7
1191,A7
1192,A7
1193,A7
1194,A7
1195,A7
1196,A7
1197,A7
1198,A7
1199,A7
1200,B
1201,B
1202,B
1203,B
1204,B
1205,B
1206,B
1207,B
1208,B
1209,B
1210,B
1211,B
1212,B
1213,B
1214,B
1215,B
1216,B
1217,B
1218,B
1219,B
1220,B
1221,B
1222,B
1223,B
1224,B
1225,B
1226,B
1227,B
1228,B
1229,B
1230,B
1231,B
1232,B
1233,B
1234,B
1235,B
1236,B
1237,B
1238,B
1239,B
1240,B
1241,B
1242,B
1243,B
1244,B
1245,B
1246,B
1247,B
1248,B
1249,B
1250,B
1251,B
1252,B
1253,B
1254,B
1255,B
1256,B
1257,B
1258,B
1259,B
1260,B
1261,B
1262,B
1263,B
1264,B
1265,B
1266,B
1267,B
1268,B
1269,B
1270,B
1271,B
1272,B
1273,B
1274,B
1275,B
1276,B
1277,B
1278,B
1279,B
1280,B
1281,B
1282,B
1283,B
1284,B
1285,B
1286,B
1287,B
1288,B
1289,B
1290,B
1291,B
1292,B
1293,B
1294,B
