,0
0,G#7
1,G#7
2,G#7
3,G#7
4,G#7
5,G#7
6,G#7
7,G#7
8,G#7
9,G#7
10,G#7
11,G#7
12,G#7
13,G#7
14,G#7
15,G#7
16,G#7
17,G#7
18,G#7
19,G#7
20,G#7
21,G#7
22,G#7
23,G#7
24,G#7
25,G#7
26,G#7
27,G#7
28,G#7
29,G#7
30,G#7
31,G#7
32,G#7
33,G#7
34,G#7
35,G#7
36,G#7
37,G#7
38,G#7
39,G#7
40,G#7
41,G#7
42,G#7
43,G#7
44,G#7
45,G#7
46,G#7
47,G#7
48,C#
49,C#
50,C#
51,C#
52,C#
53,C#
54,C#
55,C#
56,C#
57,C#
58,C#
59,C#
60,C#
61,C#
62,C#
63,C#
64,C#
65,C#
66,C#
67,C#
68,C#
69,C#
70,C#
71,C#
72,C#
73,C#
74,C#
75,C#
76,C#
77,C#
78,C#
79,C#
80,C#
81,C#
82,C#
83,C#
84,C#
85,C#
86,C#
87,C#
88,C#
89,C#
90,C#
91,C#
92,C#
93,C#
94,C#
95,C#
96,C#
97,C#
98,C#
99,C#
100,C#
101,C#
102,C#
103,C#
104,C#
105,C#
106,C#
107,C#
108,C#
109,C#
110,C#
111,C#
112,C#
113,C#
114,C#
115,C#
116,C#
117,C#
118,C#
119,C#
120,C#
121,C#
122,C#
123,C#
124,C#
125,C#
126,C#
127,C#
128,C#
129,C#
130,C#
131,C#
132,C#
133,C#
134,C#
135,C#
136,C#
137,C#
138,C#
139,C#
140,C#
141,C#
142,C#
143,C#
144,G#m
145,G#m
146,G#m
147,G#m
148,G#m
149,G#m
150,G#m
151,G#m
152,G#m
153,G#m
154,G#m
155,G#m
156,G#m
157,G#m
158,G#m
159,G#m
160,G#m
161,G#m
162,G#m
163,G#m
164,G#m
165,G#m
166,G#m
167,G#m
168,G#m
169,G#m
170,G#m
171,G#m
172,G#m
173,G#m
174,G#m
175,G#m
176,G#m
177,G#m
178,G#m
179,G#m
180,G#m
181,G#m
182,G#m
183,G#m
184,G#m
185,G#m
186,G#m
187,G#m
188,G#m
189,G#m
190,G#m
191,G#m
192,C#7
193,C#7
194,C#7
195,C#7
196,C#7
197,C#7
198,C#7
199,C#7
200,C#7
201,C#7
202,C#7
203,C#7
204,C#7
205,C#7
206,C#7
207,C#7
208,C#7
209,C#7
210,C#7
211,C#7
212,C#7
213,C#7
214,C#7
215,C#7
216,C#7
217,C#7
218,C#7
219,C#7
220,C#7
221,C#7
222,C#7
223,C#7
224,C#7
225,C#7
226,C#7
227,C#7
228,C#7
229,C#7
230,C#7
231,C#7
232,C#7
233,C#7
234,C#7
235,C#7
236,C#7
237,C#7
238,C#7
239,C#7
240,F#
241,F#
242,F#
243,F#
244,F#
245,F#
246,F#
247,F#
248,F#
249,F#
250,F#
251,F#
252,F#
253,F#
254,F#
255,F#
256,F#
257,F#
258,F#
259,F#
260,F#
261,F#
262,F#
263,F#
264,F#
265,F#
266,F#
267,F#
268,F#
269,F#
270,F#
271,F#
272,F#
273,F#
274,F#
275,F#
276,F#
277,F#
278,F#
279,F#
280,F#
281,F#
282,F#
283,F#
284,F#
285,F#
286,F#
287,F#
288,F#
289,F#
290,F#
291,F#
292,F#
293,F#
294,F#
295,F#
296,F#
297,F#
298,F#
299,F#
300,F#
301,F#
302,F#
303,F#
304,F#
305,F#
306,F#
307,F#
308,F#
309,F#
310,F#
311,F#
312,F#
313,F#
314,F#
315,F#
316,F#
317,F#
318,F#
319,F#
320,F#
321,F#
322,F#
323,F#
324,F#
325,F#
326,F#
327,F#
328,F#
329,F#
330,F#
331,F#
332,F#
333,F#
334,F#
335,F#
336,F#m
337,F#m
338,F#m
339,F#m
340,F#m
341,F#m
342,F#m
343,F#m
344,F#m
345,F#m
346,F#m
347,F#m
348,F#m
349,F#m
350,F#m
351,F#m
352,F#m
353,F#m
354,F#m
355,F#m
356,F#m
357,F#m
358,F#m
359,F#m
360,F#m
361,F#m
362,F#m
363,F#m
364,F#m
365,F#m
366,F#m
367,F#m
368,F#m
369,F#m
370,F#m
371,F#m
372,F#m
373,F#m
374,F#m
375,F#m
376,F#m
377,F#m
378,F#m
379,F#m
380,F#m
381,F#m
382,F#m
383,F#m
384,B7
385,B7
386,B7
387,B7
388,B7
389,B7
390,B7
391,B7
392,B7
393,B7
394,B7
395,B7
396,B7
397,B7
398,B7
399,B7
400,B7
401,B7
402,B7
403,B7
404,B7
405,B7
406,B7
407,B7
408,B7
409,B7
410,B7
411,B7
412,B7
413,B7
414,B7
415,B7
416,B7
417,B7
418,B7
419,B7
420,B7
421,B7
422,B7
423,B7
424,B7
425,B7
426,B7
427,B7
428,B7
429,B7
430,B7
431,B7
432,C#
433,C#
434,C#
435,C#
436,C#
437,C#
438,C#
439,C#
440,C#
441,C#
442,C#
443,C#
444,C#
445,C#
446,C#
447,C#
448,C#
449,C#
450,C#
451,C#
452,C#
453,C#
454,C#
455,C#
456,C#
457,C#
458,C#
459,C#
460,C#
461,C#
462,C#
463,C#
464,C#
465,C#
466,C#
467,C#
468,C#
469,C#
470,C#
471,C#
472,C#
473,C#
474,C#
475,C#
476,C#
