,0
0,G7
1,G7
2,G7
3,G7
4,G7
5,G7
6,G7
7,G7
8,G7
9,G7
10,G7
11,G7
12,G7
13,G7
14,G7
15,G7
16,G7
17,G7
18,G7
19,G7
20,G7
21,G7
22,G7
23,G7
24,G7
25,G7
26,G7
27,G7
28,G7
29,G7
30,G7
31,G7
32,G7
33,G7
34,G7
35,G7
36,G7
37,G7
38,G7
39,G7
40,G7
41,G7
42,G7
43,G7
44,G7
45,G7
46,G7
47,G7
48,C
49,C
50,C
51,C
52,C
53,C
54,C
55,C
56,C
57,C
58,C
59,C
60,C
61,C
62,C
63,C
64,C
65,C
66,C
67,C
68,C
69,C
70,C
71,C
72,C
73,C
74,C
75,C
76,C
77,C
78,C
79,C
80,C
81,C
82,C
83,C
84,C
85,C
86,C
87,C
88,C
89,C
90,C
91,C
92,C
93,C
94,C
95,C
96,C
97,C
98,C
99,C
100,C
101,C
102,C
103,C
104,C
105,C
106,C
107,C
108,C
109,C
110,C
111,C
112,C
113,C
114,C
115,C
116,C
117,C
118,C
119,C
120,C
121,C
122,C
123,C
124,C
125,C
126,C
127,C
128,C
129,C
130,C
131,C
132,C
133,C
134,C
135,C
136,C
137,C
138,C
139,C
140,C
141,C
142,C
143,C
144,Gm
145,Gm
146,Gm
147,Gm
148,Gm
149,Gm
150,Gm
151,Gm
152,Gm
153,Gm
154,Gm
155,Gm
156,Gm
157,Gm
158,Gm
159,Gm
160,Gm
161,Gm
162,Gm
163,Gm
164,Gm
165,Gm
166,Gm
167,Gm
168,Gm
169,Gm
170,Gm
171,Gm
172,Gm
173,Gm
174,Gm
175,Gm
176,Gm
177,Gm
178,Gm
179,Gm
180,Gm
181,Gm
182,Gm
183,Gm
184,Gm
185,Gm
186,Gm
187,Gm
188,Gm
189,Gm
190,Gm
191,Gm
192,C7
193,C7
194,C7
195,C7
196,C7
197,C7
198,C7
199,C7
200,C7
201,C7
202,C7
203,C7
204,C7
205,C7
206,C7
207,C7
208,C7
209,C7
210,C7
211,C7
212,C7
213,C7
214,C7
215,C7
216,C7
217,C7
218,C7
219,C7
220,C7
221,C7
222,C7
223,C7
224,C7
225,C7
226,C7
227,C7
228,C7
229,C7
230,C7
231,C7
232,C7
233,C7
234,C7
235,C7
236,C7
237,C7
238,C7
239,C7
240,F
241,F
242,F
243,F
244,F
245,F
246,F
247,F
248,F
249,F
250,F
251,F
252,F
253,F
254,F
255,F
256,F
257,F
258,F
259,F
260,F
261,F
262,F
263,F
264,F
265,F
266,F
267,F
268,F
269,F
270,F
271,F
272,F
273,F
274,F
275,F
276,F
277,F
278,F
279,F
280,F
281,F
282,F
283,F
284,F
285,F
286,F
287,F
288,F
289,F
290,F
291,F
292,F
293,F
294,F
295,F
296,F
297,F
298,F
299,F
300,F
301,F
302,F
303,F
304,F
305,F
306,F
307,F
308,F
309,F
310,F
311,F
312,F
313,F
314,F
315,F
316,F
317,F
318,F
319,F
320,F
321,F
322,F
323,F
324,F
325,F
326,F
327,F
328,F
329,F
330,F
331,F
332,F
333,F
334,F
335,F
336,Fm
337,Fm
338,Fm
339,Fm
340,Fm
341,Fm
342,Fm
343,Fm
344,Fm
345,Fm
346,Fm
347,Fm
348,Fm
349,Fm
350,Fm
351,Fm
352,Fm
353,Fm
354,Fm
355,Fm
356,Fm
357,Fm
358,Fm
359,Fm
360,Fm
361,Fm
362,Fm
363,Fm
364,Fm
365,Fm
366,Fm
367,Fm
368,Fm
369,Fm
370,Fm
371,Fm
372,Fm
373,Fm
374,Fm
375,Fm
376,Fm
377,Fm
378,Fm
379,Fm
380,Fm
381,Fm
382,Fm
383,Fm
384,B-7
385,B-7
386,B-7
387,B-7
388,B-7
389,B-7
390,B-7
391,B-7
392,B-7
393,B-7
394,B-7
395,B-7
396,B-7
397,B-7
398,B-7
399,B-7
400,B-7
401,B-7
402,B-7
403,B-7
404,B-7
405,B-7
406,B-7
407,B-7
408,B-7
409,B-7
410,B-7
411,B-7
412,B-7
413,B-7
414,B-7
415,B-7
416,B-7
417,B-7
418,B-7
419,B-7
420,B-7
421,B-7
422,B-7
423,B-7
424,B-7
425,B-7
426,B-7
427,B-7
428,B-7
429,B-7
430,B-7
431,B-7
432,C
433,C
434,C
435,C
436,C
437,C
438,C
439,C
440,C
441,C
442,C
443,C
444,C
445,C
446,C
447,C
448,C
449,C
450,C
451,C
452,C
453,C
454,C
455,C
456,C
457,C
458,C
459,C
460,C
461,C
462,C
463,C
464,C
465,C
466,C
467,C
468,C
469,C
470,C
471,C
472,C
473,C
474,C
475,C
476,C
477,C
478,C
479,C
480,C
481,C
482,C
483,C
484,C
485,C
486,C
487,C
488,C
489,C
490,C
491,C
492,C
493,C
494,C
495,C
496,C
497,C
498,C
499,C
500,C
501,C
502,C
503,C
504,C
505,C
506,C
507,C
508,C
509,C
510,C
511,C
512,C
513,C
514,C
515,C
516,C
517,C
518,C
519,C
520,C
521,C
522,C
523,C
524,C
525,C
526,C
527,C
528,D7
529,D7
530,D7
531,D7
532,D7
533,D7
534,D7
535,D7
536,D7
537,D7
538,D7
539,D7
540,D7
541,D7
542,D7
543,D7
