,0
0,C7
1,C7
2,C7
3,C7
4,C7
5,C7
6,C7
7,C7
8,C7
9,C7
10,C7
11,C7
12,C7
13,C7
14,C7
15,C7
16,C7
17,C7
18,C7
19,C7
20,C7
21,C7
22,C7
23,C7
24,C7
25,C7
26,C7
27,C7
28,C7
29,C7
30,C7
31,C7
32,C7
33,C7
34,C7
35,C7
36,C7
37,C7
38,C7
39,C7
40,C7
41,C7
42,C7
43,C7
44,C7
45,C7
46,C7
47,C7
48,F
49,F
50,F
51,F
52,F
53,F
54,F
55,F
56,F
57,F
58,F
59,F
60,F
61,F
62,F
63,F
64,F
65,F
66,F
67,F
68,F
69,F
70,F
71,F
72,F
73,F
74,F
75,F
76,F
77,F
78,F
79,F
80,F
81,F
82,F
83,F
84,F
85,F
86,F
87,F
88,F
89,F
90,F
91,F
92,F
93,F
94,F
95,F
96,F
97,F
98,F
99,F
100,F
101,F
102,F
103,F
104,F
105,F
106,F
107,F
108,F
109,F
110,F
111,F
112,F
113,F
114,F
115,F
116,F
117,F
118,F
119,F
120,F
121,F
122,F
123,F
124,F
125,F
126,F
127,F
128,F
129,F
130,F
131,F
132,F
133,F
134,F
135,F
136,F
137,F
138,F
139,F
140,F
141,F
142,F
143,F
144,Cm
145,Cm
146,Cm
147,Cm
148,Cm
149,Cm
150,Cm
151,Cm
152,Cm
153,Cm
154,Cm
155,Cm
156,Cm
157,Cm
158,Cm
159,Cm
160,Cm
161,Cm
162,Cm
163,Cm
164,Cm
165,Cm
166,Cm
167,Cm
168,Cm
169,Cm
170,Cm
171,Cm
172,Cm
173,Cm
174,Cm
175,Cm
176,Cm
177,Cm
178,Cm
179,Cm
180,Cm
181,Cm
182,Cm
183,Cm
184,Cm
185,Cm
186,Cm
187,Cm
188,Cm
189,Cm
190,Cm
191,Cm
192,F7
193,F7
194,F7
195,F7
196,F7
197,F7
198,F7
199,F7
200,F7
201,F7
202,F7
203,F7
204,F7
205,F7
206,F7
207,F7
208,F7
209,F7
210,F7
211,F7
212,F7
213,F7
214,F7
215,F7
216,F7
217,F7
218,F7
219,F7
220,F7
221,F7
222,F7
223,F7
224,F7
