,0
0,E-
1,E-
2,E-
3,E-
4,E-
5,E-
6,E-
7,E-
8,E-
9,E-
10,E-
11,E-
12,E-
13,E-
14,E-
15,E-
16,E-
17,E-
18,E-
19,E-
20,E-
21,E-
22,E-
23,E-
24,E-
25,E-
26,E-
27,E-
28,E-
29,E-
30,E-
31,E-
32,E-
33,E-
34,E-
35,E-
36,E-
37,E-
38,E-
39,E-
40,E-
41,E-
42,E-
43,E-
44,E-
45,E-
46,E-
47,E-
48,G#m
49,G#m
50,G#m
51,G#m
52,G#m
53,G#m
54,G#m
55,G#m
56,G#m
57,G#m
58,G#m
59,G#m
60,G#m
61,G#m
62,G#m
63,G#m
64,G#m
65,G#m
66,G#m
67,G#m
68,G#m
69,G#m
70,G#m
71,G#m
72,C#7
73,C#7
74,C#7
75,C#7
76,C#7
77,C#7
78,C#7
79,C#7
80,C#7
81,C#7
82,C#7
83,C#7
84,C#7
85,C#7
86,C#7
87,C#7
88,C#7
89,C#7
90,C#7
91,C#7
92,C#7
93,C#7
94,C#7
95,C#7
96,E-7
97,E-7
98,E-7
99,E-7
100,E-7
101,E-7
102,E-7
103,E-7
104,E-7
105,E-7
106,E-7
107,E-7
108,E-7
109,E-7
110,E-7
111,E-7
112,E-7
113,E-7
114,E-7
115,E-7
116,E-7
117,E-7
118,E-7
119,E-7
120,C#7
121,C#7
122,C#7
123,C#7
124,C#7
125,C#7
126,C#7
127,C#7
128,C#7
129,C#7
130,C#7
131,C#7
132,C#7
133,C#7
134,C#7
135,C#7
136,C#7
137,C#7
138,C#7
139,C#7
140,C#7
141,C#7
142,C#7
143,C#7
144,C7
145,C7
146,C7
147,C7
148,C7
149,C7
150,C7
151,C7
152,C7
153,C7
154,C7
155,C7
156,C7
157,C7
158,C7
159,C7
160,C7
161,C7
162,C7
163,C7
164,C7
165,C7
166,C7
167,C7
168,C7
169,C7
170,C7
171,C7
172,C7
173,C7
174,C7
175,C7
176,C7
177,C7
178,C7
179,C7
180,C7
181,C7
182,C7
183,C7
184,C7
185,C7
186,C7
187,C7
188,C7
189,C7
190,C7
191,C7
192,F7
193,F7
194,F7
195,F7
196,F7
197,F7
198,F7
199,F7
200,F7
201,F7
202,F7
203,F7
204,F7
205,F7
206,F7
207,F7
208,F7
209,F7
210,F7
211,F7
212,F7
213,F7
214,F7
215,F7
216,F7
217,F7
218,F7
219,F7
220,F7
221,F7
222,F7
223,F7
224,F7
225,F7
226,F7
227,F7
228,F7
229,F7
230,F7
231,F7
232,F7
233,F7
234,F7
235,F7
236,F7
237,F7
238,F7
239,F7
240,B-7
241,B-7
242,B-7
243,B-7
244,B-7
245,B-7
246,B-7
247,B-7
248,B-7
249,B-7
250,B-7
251,B-7
252,B-7
253,B-7
254,B-7
255,B-7
256,B-7
257,B-7
258,B-7
259,B-7
260,B-7
261,B-7
262,B-7
263,B-7
264,B-7
265,B-7
266,B-7
267,B-7
268,B-7
269,B-7
270,B-7
271,B-7
272,B-7
273,B-7
274,B-7
275,B-7
276,B-7
277,B-7
278,B-7
279,B-7
280,B-7
281,B-7
282,B-7
283,B-7
284,B-7
285,B-7
286,B-7
287,B-7
288,Gm
289,Gm
290,Gm
291,Gm
292,Gm
293,Gm
294,Gm
295,Gm
296,Gm
297,Gm
298,Gm
299,Gm
300,Gm
301,Gm
302,Gm
303,Gm
304,Gm
305,Gm
306,Gm
307,Gm
308,Gm
309,Gm
310,Gm
311,Gm
312,C7
313,C7
314,C7
315,C7
316,C7
317,C7
318,C7
319,C7
320,C7
321,C7
322,C7
323,C7
324,C7
325,C7
326,C7
327,C7
328,C7
329,C7
330,C7
331,C7
332,C7
333,C7
334,C7
335,C7
336,Fm
337,Fm
338,Fm
339,Fm
340,Fm
341,Fm
342,Fm
343,Fm
344,Fm
345,Fm
346,Fm
347,Fm
348,Fm
349,Fm
350,Fm
351,Fm
352,Fm
353,Fm
354,Fm
355,Fm
356,Fm
357,Fm
358,Fm
359,Fm
360,B-7
361,B-7
362,B-7
363,B-7
364,B-7
365,B-7
366,B-7
367,B-7
368,B-7
369,B-7
370,B-7
371,B-7
372,B-7
373,B-7
374,B-7
375,B-7
376,B-7
377,B-7
378,B-7
379,B-7
380,B-7
381,B-7
382,B-7
383,B-7
384,E-
385,E-
386,E-
387,E-
388,E-
389,E-
390,E-
391,E-
392,E-
393,E-
394,E-
395,E-
396,E-
397,E-
398,E-
399,E-
400,E-
401,E-
402,E-
403,E-
404,E-
405,E-
406,E-
407,E-
408,E-
409,E-
410,E-
411,E-
412,E-
413,E-
414,E-
415,E-
416,E-
417,E-
418,E-
419,E-
420,E-
421,E-
422,E-
423,E-
424,E-
425,E-
426,E-
427,E-
428,E-
429,E-
430,E-
431,E-
432,G#m
433,G#m
434,G#m
435,G#m
436,G#m
437,G#m
438,G#m
439,G#m
440,G#m
441,G#m
442,G#m
443,G#m
444,G#m
445,G#m
446,G#m
447,G#m
448,G#m
449,G#m
450,G#m
451,G#m
452,G#m
453,G#m
454,G#m
455,G#m
456,C#7
457,C#7
458,C#7
459,C#7
460,C#7
461,C#7
462,C#7
463,C#7
464,C#7
465,C#7
466,C#7
467,C#7
468,C#7
469,C#7
470,C#7
471,C#7
472,C#7
473,C#7
474,C#7
475,C#7
476,C#7
477,C#7
478,C#7
479,C#7
480,E-7
481,E-7
482,E-7
483,E-7
484,E-7
485,E-7
486,E-7
487,E-7
488,E-7
489,E-7
490,E-7
491,E-7
492,E-7
493,E-7
494,E-7
495,E-7
496,E-7
497,E-7
498,E-7
499,E-7
500,E-7
501,E-7
502,E-7
503,E-7
504,C#7
505,C#7
506,C#7
507,C#7
508,C#7
509,C#7
510,C#7
511,C#7
512,C#7
513,C#7
514,C#7
515,C#7
516,C#7
517,C#7
518,C#7
519,C#7
520,C#7
521,C#7
522,C#7
523,C#7
524,C#7
525,C#7
526,C#7
527,C#7
528,C7
529,C7
530,C7
531,C7
532,C7
533,C7
534,C7
535,C7
536,C7
537,C7
538,C7
539,C7
540,C7
541,C7
542,C7
543,C7
544,C7
545,C7
546,C7
547,C7
548,C7
549,C7
550,C7
551,C7
552,C7
553,C7
554,C7
555,C7
556,C7
557,C7
558,C7
559,C7
560,C7
561,C7
562,C7
563,C7
564,C7
565,C7
566,C7
567,C7
568,C7
569,C7
570,C7
571,C7
572,C7
573,C7
574,C7
575,C7
576,F7
577,F7
578,F7
579,F7
580,F7
581,F7
582,F7
583,F7
584,F7
585,F7
586,F7
587,F7
588,F7
589,F7
590,F7
591,F7
592,F7
593,F7
594,F7
595,F7
596,F7
597,F7
598,F7
599,F7
600,F7
601,F7
602,F7
603,F7
604,F7
605,F7
606,F7
607,F7
608,F7
609,F7
610,F7
611,F7
612,F7
613,F7
614,F7
615,F7
616,F7
617,F7
618,F7
619,F7
620,F7
621,F7
622,F7
623,F7
624,B-7
625,B-7
626,B-7
627,B-7
628,B-7
629,B-7
630,B-7
631,B-7
632,B-7
633,B-7
634,B-7
635,B-7
636,B-7
637,B-7
638,B-7
639,B-7
640,B-7
641,B-7
642,B-7
643,B-7
644,B-7
645,B-7
646,B-7
647,B-7
648,B-7
649,B-7
650,B-7
651,B-7
652,B-7
653,B-7
654,B-7
655,B-7
656,B-7
657,B-7
658,B-7
659,B-7
660,B-7
661,B-7
662,B-7
663,B-7
664,B-7
665,B-7
666,B-7
667,B-7
668,B-7
669,B-7
670,B-7
671,B-7
672,E-7
673,E-7
674,E-7
675,E-7
676,E-7
677,E-7
678,E-7
679,E-7
680,E-7
681,E-7
682,E-7
683,E-7
684,E-7
685,E-7
686,E-7
687,E-7
688,E-7
689,E-7
690,E-7
691,E-7
692,E-7
693,E-7
694,E-7
695,E-7
696,E-7
697,E-7
698,E-7
699,E-7
700,E-7
701,E-7
702,E-7
703,E-7
704,E-7
705,E-7
706,E-7
707,E-7
708,E-7
709,E-7
710,E-7
711,E-7
712,E-7
713,E-7
714,E-7
715,E-7
716,E-7
717,E-7
718,E-7
719,E-7
720,E-
721,E-
722,E-
723,E-
724,E-
725,E-
726,E-
727,E-
728,E-
729,E-
730,E-
731,E-
732,E-
733,E-
734,E-
735,E-
736,E-
737,E-
738,E-
739,E-
740,E-
741,E-
742,E-
743,E-
744,D7
745,D7
746,D7
747,D7
748,D7
749,D7
750,D7
751,D7
752,D7
753,D7
754,D7
755,D7
756,D7
757,D7
758,D7
759,D7
760,D7
761,D7
762,D7
763,D7
764,D7
765,D7
766,D7
767,D7
768,Gm
769,Gm
770,Gm
771,Gm
772,Gm
773,Gm
774,Gm
775,Gm
776,Gm
777,Gm
778,Gm
779,Gm
780,Gm
781,Gm
782,Gm
783,Gm
784,Gm
785,Gm
786,Gm
787,Gm
788,Gm
789,Gm
790,Gm
791,Gm
792,Gm
793,Gm
794,Gm
795,Gm
796,Gm
797,Gm
798,Gm
799,Gm
800,Gm
801,Gm
802,Gm
803,Gm
804,Gm
805,Gm
806,Gm
807,Gm
808,Gm
809,Gm
810,Gm
811,Gm
812,Gm
813,Gm
814,Gm
815,Gm
816,A/o7
817,A/o7
818,A/o7
819,A/o7
820,A/o7
821,A/o7
822,A/o7
823,A/o7
824,A/o7
825,A/o7
826,A/o7
827,A/o7
828,A/o7
829,A/o7
830,A/o7
831,A/o7
832,A/o7
833,A/o7
834,A/o7
835,A/o7
836,A/o7
837,A/o7
838,A/o7
839,A/o7
840,D7
841,D7
842,D7
843,D7
844,D7
845,D7
846,D7
847,D7
848,D7
849,D7
850,D7
851,D7
852,D7
853,D7
854,D7
855,D7
856,D7
857,D7
858,D7
859,D7
860,D7
861,D7
862,D7
863,D7
864,Gm
865,Gm
866,Gm
867,Gm
868,Gm
869,Gm
